JoinField,JoinField_alt,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
COOK:9000024,COOK:Rich Precinct 24,105,3,26,7,57,64,0,1,0,0,263
COOK:9000025,COOK:Rich Precinct 25,158,1,19,5,89,134,1,8,1,3,419
COOK:9000026,COOK:Rich Precinct 26,111,1,21,12,84,70,0,3,2,0,304
COOK:9000027,COOK:Rich Precinct 27,108,1,15,11,78,76,3,2,2,0,296
COOK:9000028,COOK:Rich Precinct 28,183,0,27,8,100,136,1,4,0,1,460
COOK:9000029,COOK:Rich Precinct 29,110,3,39,6,43,71,13,0,1,1,287
COOK:9000030,COOK:Rich Precinct 30,127,1,23,5,86,127,5,1,2,3,380
COOK:9000031,COOK:Rich Precinct 31,127,4,42,2,36,44,9,1,1,4,270
COOK:9000032,COOK:Rich Precinct 32,115,3,26,9,90,56,2,6,2,13,322
COOK:9000033,COOK:Rich Precinct 33,129,3,41,15,34,40,10,1,1,1,275
COOK:9000034,COOK:Rich Precinct 34,156,0,23,4,72,49,0,1,1,3,309
COOK:9000035,COOK:Rich Precinct 35,106,1,43,4,65,59,2,4,1,4,289
COOK:9000036,COOK:Rich Precinct 36,288,2,44,24,157,280,3,2,5,2,807
COOK:9000037,COOK:Rich Precinct 37,113,1,8,6,79,89,0,2,1,0,299
COOK:9000038,COOK:Rich Precinct 38,102,1,20,6,69,51,0,1,0,0,250
COOK:9000039,COOK:Rich Precinct 39,150,1,31,6,89,87,4,2,0,6,376
COOK:9000040,COOK:Rich Precinct 40,109,2,21,5,68,48,2,6,1,1,263
COOK:9000041,COOK:Rich Precinct 41,96,2,29,2,56,37,3,3,0,5,233
COOK:9000042,COOK:Rich Precinct 42,98,0,11,3,79,47,1,2,1,1,243
COOK:9000043,COOK:Rich Precinct 43,123,1,15,2,106,44,0,1,0,1,293
COOK:9000044,COOK:Rich Precinct 44,89,0,8,4,55,62,1,2,1,0,222
COOK:9000045,COOK:Rich Precinct 45,178,4,35,7,117,107,10,4,0,2,464
COOK:9000046,COOK:Rich Precinct 46,107,0,19,6,137,95,1,3,1,3,372
COOK:9000047,COOK:Rich Precinct 47,174,2,26,9,166,108,1,1,0,2,489
COOK:9500001,COOK:Thornton Precinct 1,71,5,13,6,74,16,1,4,6,0,196
COOK:9500002,COOK:Thornton Precinct 2,30,0,8,2,37,7,1,0,2,0,87
COOK:9500003,COOK:Thornton Precinct 3,122,5,19,4,93,24,1,7,7,2,284
COOK:9500004,COOK:Thornton Precinct 4,101,0,14,11,86,26,3,2,4,3,250
COOK:9500005,COOK:Thornton Precinct 5,25,1,10,6,36,8,0,0,1,0,87
COOK:9500006,COOK:Thornton Precinct 6,142,1,11,15,110,19,0,5,2,0,305
COOK:9500007,COOK:Thornton Precinct 7,114,3,12,9,91,17,0,0,7,0,253
COOK:9500008,COOK:Thornton Precinct 8,64,3,12,5,77,27,1,1,1,0,191
COOK:9500009,COOK:Thornton Precinct 9,58,1,3,9,69,6,2,2,3,0,153
COOK:9500010,COOK:Thornton Precinct 10,135,0,16,8,88,23,4,2,8,0,284
COOK:9500011,COOK:Thornton Precinct 11,86,3,8,5,64,34,1,3,10,1,215
COOK:9500012,COOK:Thornton Precinct 12,99,2,16,2,61,19,5,1,3,0,208
COOK:9500013,COOK:Thornton Precinct 13,115,4,20,13,83,17,1,3,5,1,262
COOK:9500014,COOK:Thornton Precinct 14,60,1,5,12,59,18,2,1,7,0,165
COOK:9500015,COOK:Thornton Precinct 15,75,2,11,12,48,16,1,1,3,3,172
COOK:9500016,COOK:Thornton Precinct 16,76,2,27,4,32,22,5,0,3,1,172
COOK:9500017,COOK:Thornton Precinct 17,84,4,9,4,63,11,3,1,1,2,182
COOK:9500018,COOK:Thornton Precinct 18,93,3,30,6,62,18,4,0,2,1,219
COOK:9500019,COOK:Thornton Precinct 19,87,1,15,8,52,17,2,1,3,0,186
COOK:9500020,COOK:Thornton Precinct 20,44,0,21,0,33,5,1,1,1,1,107
COOK:9500021,COOK:Thornton Precinct 21,155,3,12,4,114,13,2,4,6,4,317
COOK:9500022,COOK:Thornton Precinct 22,67,2,9,26,61,25,1,4,4,0,199
