FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,,STEPHANIE A. KIFOWIT,,,,,HOLLY KIM,,,,,MARGARET CROKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 006,1067,11,11,31,0,53,3,6,8,0,17,7,8,16,0,31,9,7,21,0,37,138
Bloomingdale 007,754,8,11,25,0,44,1,3,3,0,7,11,9,9,0,29,5,8,14,0,27,107
Bloomingdale 008,787,10,9,47,0,66,0,0,8,0,8,7,5,20,0,32,5,9,23,0,37,143
Bloomingdale 009,1018,10,14,20,0,44,4,8,8,0,20,11,11,13,0,35,7,10,22,0,39,138
Bloomingdale 010,983,6,12,9,0,27,3,7,10,1,21,9,5,22,0,36,13,9,32,1,55,139
Bloomingdale 011,1186,16,23,33,0,72,5,9,11,0,25,20,19,37,0,76,19,15,27,0,61,234
Bloomingdale 012,974,19,11,21,0,51,2,4,9,0,15,16,21,27,0,64,7,17,27,0,51,181
Bloomingdale 013,1015,7,6,18,0,31,6,6,5,0,17,13,12,23,0,48,13,11,32,0,56,152
Bloomingdale 014,1053,16,20,33,0,69,6,1,1,0,8,11,5,16,0,32,12,9,13,0,34,143
Bloomingdale 015,1058,10,16,26,0,52,6,3,10,0,19,7,5,10,0,22,7,7,28,0,42,135
Bloomingdale 016,991,7,9,22,0,38,4,6,7,0,17,10,11,7,0,28,9,10,16,0,35,118
Bloomingdale 017,1146,8,9,27,0,44,4,10,10,0,24,6,17,19,0,42,19,15,17,0,51,161
Bloomingdale 018,1149,10,10,15,0,35,8,8,5,0,21,5,7,14,0,26,14,28,15,0,57,139
Bloomingdale 019,930,11,8,25,0,44,4,4,4,0,12,20,14,14,0,48,12,10,14,0,36,140
Bloomingdale 020,1077,4,4,16,0,24,2,7,6,0,15,8,2,16,0,26,2,7,24,0,33,98
Bloomingdale 021,975,4,4,17,0,25,2,2,7,0,11,10,1,9,0,20,11,7,23,0,41,97
Bloomingdale 022,1009,7,11,12,0,30,1,5,5,0,11,7,10,17,0,34,6,12,12,0,30,105
Bloomingdale 023,1192,19,14,30,0,63,8,7,4,0,19,14,15,21,0,50,21,20,19,0,60,192
Bloomingdale 024,1089,18,20,24,0,62,4,6,6,0,16,18,9,15,0,42,20,24,17,0,61,181
Bloomingdale 025,1089,17,14,15,0,46,6,14,7,0,27,17,22,9,0,48,14,19,30,0,63,184
Bloomingdale 026,1050,14,6,15,0,35,3,4,4,0,11,6,4,16,0,26,4,13,27,0,44,116
Bloomingdale 027,666,5,6,12,0,23,2,1,3,0,6,2,4,5,0,11,8,6,12,0,26,66
Bloomingdale 028,826,21,25,23,0,69,1,1,3,0,5,3,8,12,0,23,4,9,11,0,24,121
Bloomingdale 029,837,8,11,21,0,40,5,6,3,0,14,5,3,10,0,18,7,16,10,0,33,105
Bloomingdale 030,851,19,11,12,0,42,6,4,2,0,12,8,9,5,0,22,13,6,10,0,29,105
Bloomingdale 031,1047,9,18,34,0,61,1,0,2,0,3,5,10,17,0,32,5,15,16,0,36,132
Bloomingdale 032,919,16,12,13,0,41,6,2,4,0,12,3,7,14,0,24,5,8,16,0,29,106
Bloomingdale 033,1079,35,13,24,0,72,3,5,6,0,14,12,11,17,0,40,7,12,20,0,39,165
Bloomingdale 034,1006,9,12,15,0,36,1,5,8,0,14,3,14,17,0,34,5,14,20,0,39,123
Bloomingdale 035,1220,7,15,21,0,43,6,2,4,0,12,13,13,31,0,57,8,14,22,0,44,156
Bloomingdale 036,793,9,16,22,0,47,1,5,6,0,12,6,11,14,0,31,6,10,27,0,43,133
Bloomingdale 037,1065,19,16,34,0,69,10,5,8,0,23,6,1,13,0,20,7,6,14,0,27,139
Bloomingdale 038,916,3,12,34,0,49,7,5,3,0,15,9,7,15,0,31,7,6,12,0,25,120
Bloomingdale 039,1066,4,20,31,0,55,5,3,6,0,14,7,14,12,0,33,7,12,27,0,46,148
Bloomingdale 040,1028,7,10,34,0,51,4,7,8,0,19,5,12,15,0,32,5,20,15,0,40,142
Bloomingdale 041,1127,30,17,35,0,82,1,7,9,0,17,10,2,13,0,25,4,5,19,0,28,152
Bloomingdale 042,1305,14,15,37,0,66,4,5,1,0,10,5,4,11,0,20,6,5,16,0,27,123
Bloomingdale 043,1051,6,13,27,0,46,4,3,1,0,8,3,5,9,0,17,10,6,7,0,23,94
Bloomingdale 044,1146,15,17,30,0,62,6,3,4,0,13,11,14,9,0,34,12,19,39,0,70,179
Bloomingdale 045,1024,9,14,27,0,50,1,3,11,0,15,8,10,14,0,32,4,12,26,0,42,139
Bloomingdale 046,665,8,7,23,0,38,1,3,6,0,10,4,8,7,0,19,7,12,8,0,27,94
Bloomingdale 047,1155,25,10,34,0,69,4,6,3,0,13,8,5,18,0,31,12,7,16,0,35,148
