FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 035,956,5,2,3,0,10,11,7,11,0,29,3,0,3,0,6,1,0,1,0,2,0,0,0,0,0,2,7,7,0,16,63
Downers Grove 036,925,0,1,3,0,4,8,5,16,0,29,0,3,7,0,10,1,0,2,0,3,1,0,0,0,1,8,3,12,0,23,70
Downers Grove 037,1074,4,2,6,0,12,11,10,19,0,40,6,1,3,0,10,4,0,1,0,5,1,0,4,0,5,10,4,11,0,25,97
Downers Grove 038,1083,4,1,2,0,7,13,6,8,0,27,3,0,4,0,7,3,0,2,0,5,3,1,2,0,6,6,2,10,0,18,70
Downers Grove 039,1259,2,2,3,0,7,13,6,14,0,33,3,2,2,0,7,3,1,4,0,8,1,0,4,0,5,8,5,11,0,24,84
Downers Grove 040,1206,2,4,6,0,12,2,4,13,0,19,1,1,3,0,5,1,1,1,0,3,2,1,0,0,3,1,4,15,0,20,62
Downers Grove 041,1054,1,2,4,0,7,13,13,11,0,37,3,0,3,0,6,1,0,4,0,5,0,2,0,0,2,1,3,7,0,11,68
Downers Grove 042,847,2,0,4,0,6,9,11,17,0,37,2,2,4,0,8,0,1,1,0,2,1,2,0,0,3,4,2,8,0,14,70
Downers Grove 043,1000,1,0,3,0,4,6,1,19,0,26,2,1,5,0,8,3,0,8,0,11,0,0,4,0,4,2,5,12,0,19,72
Downers Grove 044,840,0,2,8,0,10,4,2,11,0,17,0,1,2,0,3,1,1,4,0,6,0,1,2,0,3,8,5,13,0,26,65
Downers Grove 045,1172,3,0,7,0,10,8,10,18,0,36,2,0,2,0,4,3,1,1,0,5,0,0,0,0,0,6,2,16,0,24,79
Downers Grove 046,1282,4,2,4,0,10,28,10,28,0,66,2,0,12,0,14,0,0,6,0,6,0,0,1,0,1,13,1,24,0,38,135
Downers Grove 047,1299,0,0,6,0,6,7,6,7,0,20,4,2,7,0,13,3,4,3,0,10,0,0,3,0,3,4,5,21,0,30,82
Downers Grove 048,1008,2,2,3,0,7,2,2,7,0,11,3,2,2,0,7,1,0,2,0,3,1,0,4,0,5,2,2,8,0,12,45
Downers Grove 049,967,1,3,0,0,4,7,4,5,0,16,1,2,1,0,4,1,2,5,0,8,1,0,3,0,4,0,3,9,0,12,48
Downers Grove 050,946,1,3,3,0,7,3,5,23,0,31,2,1,6,0,9,1,2,0,0,3,1,0,1,0,2,4,3,16,0,23,75
Downers Grove 051,1202,0,0,6,0,6,5,3,4,0,12,0,0,5,0,5,3,1,3,0,7,0,0,0,0,0,2,1,7,0,10,40
Downers Grove 052,975,0,0,2,0,2,5,15,7,0,27,2,0,0,0,2,0,1,4,0,5,0,1,1,0,2,2,7,10,0,19,57
Downers Grove 053,1246,6,5,7,0,18,5,5,18,0,28,3,4,6,0,13,0,0,3,0,3,1,0,1,0,2,15,8,14,0,37,101
Downers Grove 054,1087,0,2,10,0,12,4,5,23,0,32,4,4,5,0,13,1,0,2,0,3,0,1,3,0,4,5,1,15,0,21,85
Downers Grove 055,964,6,0,4,0,10,12,6,22,0,40,2,1,3,0,6,3,0,2,0,5,1,0,2,0,3,7,4,12,0,23,87
Downers Grove 056,1054,3,2,5,0,10,9,6,12,0,27,0,3,4,0,7,3,0,2,0,5,0,0,2,0,2,12,6,10,0,28,79
Downers Grove 057,1310,2,2,2,0,6,2,4,2,0,8,5,1,6,0,12,0,1,2,0,3,1,3,2,0,6,4,2,1,0,7,42
Downers Grove 058,1109,4,5,9,0,18,13,8,10,0,31,1,3,3,0,7,1,4,4,0,9,1,0,1,0,2,6,3,15,0,24,91
Downers Grove 059,1319,1,9,12,0,22,6,10,33,0,49,2,5,6,0,13,2,1,7,0,10,1,0,3,0,4,7,9,26,0,42,140
Downers Grove 060,1063,0,1,6,0,7,1,6,17,0,24,4,2,6,0,12,0,3,1,0,4,0,1,0,0,1,2,4,16,0,22,70
Downers Grove 061,854,3,1,5,0,9,3,3,13,0,19,3,0,5,0,8,0,0,2,0,2,1,0,1,0,2,10,2,12,0,24,64
Downers Grove 062,1200,13,6,4,0,23,10,7,18,0,35,7,2,6,0,15,13,4,2,0,19,0,0,0,0,0,8,2,13,0,23,115
Downers Grove 063,1050,1,3,3,0,7,6,4,13,0,23,4,3,1,0,8,6,2,6,0,14,0,0,1,0,1,11,3,18,0,32,85
Downers Grove 064,902,2,3,4,0,9,11,9,6,0,26,1,1,7,0,9,5,2,3,0,10,2,2,2,0,6,6,2,14,0,22,82
Downers Grove 065,971,2,0,5,0,7,3,9,19,0,31,0,2,9,0,11,0,3,7,0,10,1,1,4,0,6,6,7,16,0,29,94
Downers Grove 066,908,3,0,5,0,8,7,1,13,0,21,0,0,4,0,4,5,6,20,0,31,0,0,0,0,0,5,3,16,0,24,88
Downers Grove 067,903,1,2,9,0,12,6,3,13,0,22,3,1,6,0,10,4,2,3,0,9,1,1,2,0,4,7,5,16,0,28,85
Downers Grove 068,1022,1,0,13,0,14,4,5,22,0,31,3,1,4,0,8,1,1,3,0,5,0,0,0,0,0,5,2,13,0,20,78
Downers Grove 069,1245,3,0,5,0,8,10,4,20,0,34,6,2,9,0,17,1,1,5,0,7,0,0,3,0,3,8,4,12,0,24,93
Downers Grove 070,901,2,3,1,0,6,11,1,14,0,26,8,0,6,0,14,4,2,3,0,9,0,0,1,0,1,4,5,13,0,22,78
Downers Grove 071,971,7,1,3,0,11,7,7,16,0,30,2,2,5,0,9,3,3,0,0,6,1,0,0,0,1,8,1,13,0,22,79
Downers Grove 072,1068,4,0,8,0,12,13,3,13,0,29,2,2,5,0,9,3,4,2,0,9,0,0,2,0,2,6,2,21,0,29,90
Downers Grove 073,1190,2,2,10,0,14,7,5,32,0,44,1,3,6,0,10,0,3,7,0,10,1,0,2,0,3,7,6,25,0,38,119
Downers Grove 074,1004,3,8,2,0,13,7,11,16,0,34,2,5,6,0,13,0,5,2,0,7,0,0,0,0,0,6,1,9,0,16,83
Downers Grove 075,907,2,3,5,0,10,1,2,9,0,12,1,1,4,0,6,2,0,6,0,8,0,0,1,0,1,2,1,18,0,21,58
Downers Grove 076,1175,2,2,2,0,6,6,5,8,0,19,0,0,2,0,2,0,0,3,0,3,0,0,0,0,0,10,5,9,0,24,54
Downers Grove 077,1133,4,4,9,0,17,7,3,20,0,30,2,1,6,0,9,3,2,1,0,6,1,1,0,0,2,9,4,13,0,26,90
Downers Grove 078,1279,6,5,11,0,22,12,18,30,0,60,5,2,4,0,11,0,3,5,0,8,0,2,1,0,3,6,3,14,0,23,127
Downers Grove 079,961,2,3,6,0,11,11,6,15,0,32,1,4,10,0,15,5,0,6,0,11,2,0,1,0,3,4,2,7,0,13,85
Downers Grove 080,1087,0,3,10,0,13,13,3,11,0,27,3,5,6,0,14,3,4,1,0,8,2,0,0,0,2,4,3,17,0,24,88
Downers Grove 081,822,8,0,6,0,14,4,2,17,0,23,2,4,9,0,15,2,1,5,0,8,0,1,1,0,2,6,1,16,0,23,85
Downers Grove 082,988,4,2,9,0,15,0,4,16,0,20,4,0,5,0,9,1,1,3,0,5,3,1,1,0,5,1,2,17,0,20,74
Downers Grove 083,1290,5,4,22,0,31,4,5,16,0,25,5,1,7,0,13,0,2,5,0,7,0,1,1,0,2,5,3,15,0,23,101
Downers Grove 084,994,0,3,11,0,14,6,8,31,0,45,2,1,3,0,6,3,0,3,0,6,0,0,2,0,2,2,2,24,0,28,101
Downers Grove 085,1266,7,9,5,0,21,8,8,18,0,34,5,3,6,0,14,2,3,4,0,9,2,2,3,0,7,5,10,24,0,39,124
Downers Grove 086,1206,8,6,3,0,17,15,14,44,0,73,5,1,10,0,16,2,3,2,0,7,1,0,2,0,3,11,5,17,0,33,149
Downers Grove 087,1165,6,0,3,0,9,7,7,12,0,26,3,3,3,0,9,0,1,4,0,5,1,0,0,0,1,6,1,13,0,20,70
Downers Grove 088,775,4,0,5,0,9,17,11,22,0,50,2,0,6,0,8,1,0,2,0,3,0,0,1,0,1,7,3,11,0,21,92
Downers Grove 089,1151,2,1,7,0,10,5,3,22,0,30,1,2,3,0,6,2,1,4,0,7,1,0,1,0,2,1,0,18,0,19,74
Downers Grove 090,1157,5,4,8,0,17,6,9,24,0,39,1,0,6,0,7,0,0,6,0,6,0,1,1,0,2,1,3,26,0,30,101
Downers Grove 091,924,1,5,5,0,11,17,7,27,0,51,2,5,4,0,11,1,1,2,0,4,0,0,1,0,1,8,5,11,0,24,102
Downers Grove 092,963,4,0,13,0,17,7,6,29,0,42,2,2,11,0,15,0,2,4,0,6,0,1,3,0,4,3,1,22,0,26,110
Downers Grove 093,1173,2,2,10,0,14,5,10,24,0,39,0,0,3,0,3,1,4,2,0,7,0,0,1,0,1,4,1,20,0,25,89
Downers Grove 094,1235,3,3,7,0,13,10,9,20,0,39,4,1,6,0,11,2,2,6,0,10,0,0,3,0,3,6,1,19,0,26,102
Downers Grove 095,845,5,1,3,0,9,11,14,27,0,52,0,2,3,0,5,1,0,2,0,3,0,1,3,0,4,4,3,8,0,15,88
Downers Grove 096,1056,1,0,5,0,6,7,5,32,0,44,1,0,4,0,5,0,1,3,0,4,0,2,2,0,4,1,1,18,0,20,83
Downers Grove 097,982,2,2,8,0,12,2,1,11,0,14,4,1,9,0,14,2,2,2,0,6,0,3,3,0,6,5,4,13,0,22,74
Downers Grove 098,1136,2,3,8,0,13,9,8,12,0,29,4,2,7,0,13,1,2,4,0,7,1,0,0,0,1,8,7,17,0,32,95
Downers Grove 099,1136,3,2,7,0,12,2,1,5,0,8,0,1,2,0,3,0,2,2,0,4,0,0,1,0,1,4,0,4,0,8,36
Downers Grove 100,1031,0,5,5,0,10,8,9,11,0,28,2,2,4,0,8,2,2,1,0,5,0,1,1,0,2,1,2,7,0,10,63
Downers Grove 101,1189,0,2,9,0,11,7,1,13,0,21,5,0,8,0,13,4,3,1,0,8,1,0,0,0,1,4,2,12,0,18,72
Downers Grove 102,1182,2,2,13,0,17,3,9,19,0,31,0,1,8,0,9,0,2,1,0,3,0,1,5,0,6,6,6,24,0,36,102
Downers Grove 103,887,1,0,8,0,9,2,0,7,0,9,1,2,3,0,6,0,1,2,0,3,1,0,0,0,1,2,0,8,0,10,38
Lisle 001,1145,3,0,4,0,7,11,16,21,0,48,3,3,3,0,9,0,0,4,0,4,0,1,1,0,2,8,3,20,0,31,101
Lisle 002,986,0,0,0,0,0,3,8,12,0,23,2,1,3,0,6,0,1,0,0,1,0,0,1,0,1,3,1,13,0,17,48
Lisle 003,1160,2,1,8,0,11,2,7,22,0,31,0,2,4,0,6,3,0,3,0,6,0,0,0,0,0,1,1,13,0,15,69
Lisle 004,1172,0,0,7,0,7,8,4,16,0,28,0,1,4,0,5,2,4,1,0,7,1,0,3,0,4,6,11,19,0,36,87
Lisle 005,1216,0,5,10,0,15,5,7,15,0,27,3,0,3,0,6,1,1,2,0,4,1,1,2,0,4,2,4,20,0,26,82
Lisle 006,1316,2,1,6,0,9,7,1,10,0,18,5,1,4,0,10,0,0,7,0,7,0,0,4,0,4,4,4,8,0,16,64
Lisle 007,1161,8,3,8,0,19,9,6,16,0,31,4,1,4,0,9,3,0,5,0,8,3,0,3,0,6,7,0,17,0,24,97
Lisle 008,1161,1,0,1,0,2,3,3,10,0,16,6,0,5,0,11,1,2,5,0,8,0,1,2,0,3,3,0,9,0,12,52
Lisle 009,1249,3,3,0,0,6,12,4,13,0,29,6,2,3,0,11,1,1,1,0,3,3,0,2,0,5,7,2,8,0,17,71
Lisle 010,1279,5,3,12,0,20,11,5,13,0,29,4,1,4,0,9,1,2,4,0,7,2,1,3,0,6,18,5,21,0,44,115
Lisle 011,1014,2,0,6,0,8,10,7,20,0,37,1,1,6,0,8,4,0,2,0,6,0,0,2,0,2,5,1,21,0,27,88
Lisle 012,1273,4,1,3,0,8,8,13,20,0,41,0,1,2,0,3,2,1,4,0,7,2,1,0,0,3,7,9,6,0,22,84
Lisle 013,1002,0,1,2,0,3,8,9,14,0,31,1,1,3,0,5,2,0,3,0,5,0,0,2,0,2,7,0,11,0,18,64
Lisle 014,851,0,1,1,0,2,5,3,3,0,11,0,0,1,0,1,2,4,1,0,7,0,0,1,0,1,1,3,6,0,10,32
Lisle 015,887,0,0,6,0,6,5,3,13,0,21,2,0,3,0,5,2,1,2,0,5,0,0,0,0,0,2,1,15,0,18,55
Lisle 016,1191,4,4,9,0,17,4,16,19,1,40,3,1,7,0,11,2,7,5,0,14,2,1,1,0,4,21,13,19,1,54,140
Lisle 017,981,1,2,3,0,6,6,4,17,0,27,0,0,1,0,1,3,2,5,0,10,1,0,1,0,2,12,0,11,0,23,69
Lisle 018,1123,3,0,5,0,8,6,2,20,0,28,0,2,4,0,6,5,0,2,0,7,2,0,2,0,4,13,2,15,0,30,83
Lisle 019,1037,1,1,15,0,17,7,4,22,0,33,4,7,7,0,18,0,3,5,0,8,3,0,1,0,4,11,4,13,0,28,108
Lisle 020,1229,6,0,5,0,11,8,15,20,0,43,1,0,3,0,4,3,0,4,0,7,0,0,1,0,1,6,4,18,0,28,94
Lisle 021,1113,3,2,6,0,11,8,9,17,0,34,2,0,3,0,5,1,1,4,0,6,1,0,3,0,4,3,0,6,0,9,69
Lisle 022,910,1,1,2,0,4,0,2,19,0,21,2,0,4,0,6,1,2,4,0,7,0,1,0,0,1,0,2,20,0,22,61
Lisle 023,1283,1,0,2,0,3,5,1,10,0,16,3,3,7,0,13,0,1,1,0,2,0,0,1,0,1,9,1,12,0,22,57
Lisle 024,798,2,0,1,0,3,4,4,16,0,24,1,1,1,0,3,1,2,4,0,7,1,0,1,0,2,5,4,14,0,23,62
Lisle 025,1135,1,1,3,0,5,10,6,11,0,27,0,1,3,0,4,0,1,5,0,6,0,0,2,0,2,8,1,12,0,21,65
Lisle 026,1143,1,1,11,0,13,9,10,24,0,43,0,1,6,0,7,1,5,6,0,12,0,3,2,0,5,9,7,17,0,33,113
Lisle 027,1172,0,1,2,0,3,6,7,39,0,52,2,1,7,0,10,0,5,5,0,10,2,2,2,0,6,8,4,17,0,29,110
Lisle 028,1277,2,2,10,0,14,8,2,24,0,34,0,3,7,0,10,1,0,6,0,7,1,1,1,0,3,7,3,19,0,29,97
Lisle 029,840,0,2,3,0,5,7,1,7,0,15,2,0,0,0,2,0,3,3,0,6,1,0,0,0,1,2,1,3,0,6,35
Lisle 030,1121,1,0,7,0,8,5,2,19,0,26,1,2,5,0,8,1,0,4,0,5,1,2,2,0,5,4,6,9,0,19,71
Lisle 031,1071,0,0,2,0,2,4,12,18,0,34,1,0,1,0,2,2,0,6,0,8,0,1,5,0,6,6,6,18,0,30,82
Lisle 032,1156,3,1,3,0,7,12,3,13,0,28,1,2,4,0,7,5,2,4,0,11,2,0,2,0,4,1,4,5,0,10,67
Lisle 033,902,4,2,6,0,12,5,7,20,0,32,1,1,1,0,3,3,2,3,0,8,1,0,2,0,3,13,6,17,0,36,94
Lisle 034,1208,0,3,1,0,4,5,6,14,0,25,0,1,10,0,11,2,1,5,0,8,0,0,1,0,1,5,2,15,0,22,71
Lisle 035,1050,2,5,3,0,10,10,5,27,1,43,1,1,2,0,4,2,0,4,0,6,0,1,3,0,4,4,2,17,0,23,90
Lisle 036,1057,0,3,7,0,10,9,9,30,0,48,2,1,9,0,12,3,0,11,0,14,1,0,2,0,3,5,1,26,0,32,119
Lisle 037,1274,3,4,7,0,14,28,13,62,0,103,1,1,3,0,5,2,1,6,0,9,1,1,3,0,5,10,6,34,0,50,186
Lisle 038,831,1,0,6,0,7,6,9,15,0,30,0,2,3,0,5,0,1,1,0,2,1,0,2,0,3,9,5,9,0,23,70
Lisle 039,927,1,2,4,0,7,5,0,15,0,20,0,1,8,0,9,0,1,3,0,4,0,1,3,0,4,1,1,16,0,18,62
Lisle 040,1293,3,0,2,0,5,12,11,16,0,39,2,4,8,0,14,3,2,6,0,11,0,0,1,0,1,6,9,15,0,30,100
Lisle 041,1224,2,7,4,0,13,6,4,14,0,24,2,0,6,0,8,4,5,2,0,11,1,2,2,0,5,7,5,18,0,30,91
Lisle 042,1128,2,2,5,0,9,3,9,9,0,21,2,1,3,0,6,1,3,3,0,7,1,0,0,0,1,1,1,4,0,6,50
Lisle 043,938,1,0,3,0,4,6,6,13,0,25,3,2,3,0,8,0,0,3,0,3,0,0,0,0,0,5,0,22,0,27,67
Lisle 044,1010,0,1,5,0,6,5,2,18,0,25,2,1,5,0,8,1,2,3,0,6,2,0,2,0,4,10,7,10,0,27,76
Lisle 045,1132,2,2,8,0,12,4,1,12,0,17,0,2,7,0,9,0,3,4,0,7,0,0,0,0,0,2,3,10,0,15,60
Lisle 046,674,1,1,2,0,4,2,4,1,0,7,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,7,20
Lisle 047,847,3,2,7,0,12,5,4,16,0,25,3,2,3,0,8,1,0,4,0,5,0,1,0,0,1,9,2,17,0,28,79
Lisle 048,707,2,2,8,0,12,4,2,17,0,23,0,0,3,0,3,4,0,5,0,9,0,0,3,0,3,13,5,17,0,35,85
Lisle 049,1083,1,3,5,0,9,4,12,35,0,51,2,2,6,0,10,1,3,3,0,7,1,1,0,0,2,7,3,19,0,29,108
Lisle 050,926,1,1,5,0,7,11,9,16,0,36,3,2,3,0,8,0,1,2,0,3,0,0,1,0,1,5,1,11,0,17,72
Lisle 051,931,1,1,4,0,6,4,0,17,0,21,0,0,1,0,1,1,1,1,0,3,0,1,2,0,3,2,5,14,0,21,55
Lisle 052,1173,5,2,12,0,19,4,7,9,0,20,0,2,3,0,5,4,2,4,0,10,1,0,2,0,3,3,3,11,0,17,74
Lisle 053,1158,3,2,10,0,15,4,2,7,0,13,3,2,4,0,9,2,0,2,0,4,0,0,2,0,2,4,3,8,0,15,58
Lisle 054,1139,2,2,10,0,14,16,8,45,0,69,2,3,8,0,13,5,1,9,0,15,1,0,5,0,6,11,3,37,0,51,168
Lisle 055,1176,2,4,5,0,11,6,8,22,0,36,0,1,1,0,2,1,1,6,0,8,1,0,5,0,6,6,6,31,0,43,106
Lisle 056,862,2,2,3,0,7,8,6,10,0,24,1,0,0,0,1,1,2,1,0,4,0,0,0,0,0,2,0,5,0,7,43
Lisle 057,1158,0,0,4,0,4,6,11,37,0,54,3,0,7,0,10,3,4,8,0,15,3,0,4,0,7,2,1,19,0,22,112
Lisle 058,1057,1,0,5,0,6,2,4,20,0,26,2,0,4,0,6,1,2,7,0,10,0,0,2,0,2,3,0,14,0,17,67
Lisle 059,1340,2,2,5,0,9,8,4,21,0,33,2,0,9,0,11,1,0,8,0,9,3,0,1,0,4,1,2,13,0,16,82
Lisle 060,1069,3,0,5,0,8,3,2,9,0,14,1,0,2,0,3,2,1,3,0,6,0,0,1,0,1,3,0,4,0,7,39
Lisle 061,807,2,1,5,0,8,18,3,23,0,44,2,1,3,0,6,1,1,4,0,6,0,0,1,0,1,9,6,21,0,36,101
Lisle 062,967,3,4,3,0,10,7,2,27,0,36,0,3,6,0,9,1,0,3,0,4,1,0,1,0,2,4,1,18,0,23,84
Lisle 063,1335,3,1,8,0,12,5,6,32,0,43,2,1,4,0,7,0,0,8,0,8,3,1,6,0,10,2,3,35,0,40,120
Lisle 064,1046,0,0,6,0,6,1,4,20,0,25,0,1,1,0,2,3,1,11,0,15,0,0,2,0,2,2,3,18,0,23,73
Lisle 065,1000,2,1,3,0,6,7,9,26,0,42,1,2,8,0,11,1,0,3,0,4,0,0,1,0,1,7,5,9,0,21,85
Lisle 066,962,1,1,2,0,4,4,5,9,0,18,2,1,1,0,4,0,1,1,0,2,1,0,4,0,5,2,3,3,0,8,41
Lisle 067,1217,3,0,3,0,6,3,2,17,0,22,3,3,2,0,8,1,1,3,0,5,3,0,0,0,3,2,1,7,0,10,54
Lisle 068,1266,4,2,3,0,9,5,3,9,0,17,3,6,8,0,17,0,1,1,0,2,1,0,3,0,4,3,1,17,0,21,70
Lisle 069,1039,3,0,5,0,8,4,5,12,0,21,2,1,0,0,3,2,0,8,0,10,1,0,3,0,4,5,1,8,0,14,60
Lisle 070,1145,1,2,2,0,5,7,8,4,0,19,0,0,1,0,1,0,3,3,0,6,0,2,0,0,2,0,1,2,0,3,36
Lisle 071,988,3,2,3,0,8,6,3,16,0,25,1,1,5,0,7,2,2,6,0,10,2,0,0,0,2,12,6,18,0,36,88
Lisle 072,1032,1,1,7,0,9,3,9,15,0,27,1,1,5,0,7,4,1,8,0,13,0,0,3,0,3,3,4,16,0,23,82
Lisle 073,1269,0,4,9,0,13,3,8,28,0,39,1,3,4,0,8,1,3,4,0,8,0,0,3,0,3,3,7,14,0,24,95
Lisle 074,859,0,2,6,0,8,4,14,11,0,29,2,0,7,0,9,1,0,8,0,9,0,0,1,0,1,8,5,17,0,30,86
Lisle 075,1075,2,6,6,0,14,3,11,33,0,47,0,3,6,0,9,3,0,2,0,5,0,0,2,0,2,4,2,20,0,26,103
Lisle 076,993,2,0,5,0,7,4,4,19,0,27,3,3,5,0,11,2,0,1,0,3,1,0,1,0,2,6,0,6,0,12,62
Lisle 077,1144,4,1,2,0,7,10,2,15,0,27,4,2,4,0,10,3,2,3,0,8,0,1,2,0,3,8,1,11,0,20,75
Milton 001,1048,0,2,5,0,7,6,3,37,0,46,2,2,6,0,10,3,1,1,0,5,1,0,0,0,1,5,5,18,0,28,97
Milton 002,1117,1,4,7,0,12,7,9,19,0,35,2,0,10,0,12,1,1,5,0,7,0,1,0,0,1,5,8,29,0,42,109
Milton 003,857,0,0,0,0,0,2,0,4,0,6,1,1,2,0,4,0,0,3,0,3,0,0,0,0,0,1,0,5,0,6,19
Milton 004,1407,0,1,1,0,2,5,6,9,0,20,0,3,4,0,7,2,0,4,0,6,0,0,1,0,1,1,2,7,0,10,46
Milton 005,1149,2,1,1,0,4,2,1,12,0,15,0,0,4,0,4,1,0,0,0,1,0,2,2,0,4,0,0,6,0,6,34
Milton 006,1057,2,4,2,0,8,5,4,8,0,17,1,1,1,0,3,0,3,1,0,4,0,0,1,0,1,4,0,11,0,15,48
Milton 007,1027,2,4,1,0,7,3,3,5,0,11,2,2,6,0,10,0,3,3,0,6,0,0,2,0,2,3,4,12,0,19,55
Milton 008,953,0,1,4,0,5,6,2,9,0,17,0,2,1,0,3,1,1,2,0,4,0,0,2,0,2,0,4,10,0,14,45
Milton 009,1114,1,1,3,0,5,7,2,25,0,34,2,0,5,0,7,0,0,6,0,6,1,0,1,0,2,6,2,24,0,32,86
Milton 010,965,0,0,5,0,5,5,2,12,0,19,0,0,4,0,4,1,2,5,0,8,0,0,1,0,1,3,0,20,0,23,60
Milton 011,483,3,0,1,0,4,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,4,14
Milton 012,1296,2,4,5,0,11,6,9,39,0,54,2,5,10,0,17,1,0,6,0,7,1,0,3,0,4,13,9,46,0,68,161
Milton 013,1014,3,0,7,0,10,6,3,35,0,44,2,0,2,0,4,2,1,7,0,10,1,0,2,0,3,7,7,25,0,39,110
Milton 014,1132,0,2,2,0,4,49,13,46,0,108,0,0,3,0,3,1,0,3,0,4,0,1,0,0,1,5,5,19,0,29,149
Milton 015,1334,1,0,6,0,7,21,14,41,0,76,2,0,4,0,6,3,0,4,0,7,1,0,1,0,2,1,1,27,0,29,127
Milton 016,1182,4,3,4,0,11,13,7,18,0,38,1,2,3,0,6,2,2,2,0,6,1,0,3,0,4,10,1,27,0,38,103
Milton 017,885,0,1,3,0,4,17,13,15,0,45,4,2,4,0,10,1,1,7,0,9,0,0,2,0,2,9,5,31,0,45,115
Milton 018,1129,0,0,3,0,3,13,8,14,0,35,1,0,3,0,4,1,2,1,0,4,2,2,1,0,5,11,3,14,0,28,79
Milton 019,890,0,3,3,0,6,11,7,16,0,34,1,0,4,0,5,1,3,7,0,11,1,1,0,0,2,7,1,15,0,23,81
Milton 020,1080,1,1,2,0,4,21,2,17,0,40,1,0,2,0,3,0,1,6,0,7,0,2,1,0,3,5,2,16,0,23,80
Milton 021,1121,0,1,1,0,2,15,9,18,0,42,1,1,2,0,4,2,1,2,0,5,1,0,1,0,2,4,2,17,0,23,78
Milton 022,825,0,0,4,0,4,4,5,15,0,24,4,4,4,0,12,2,4,7,0,13,0,1,0,0,1,9,3,13,0,25,79
Milton 023,796,1,0,5,0,6,4,4,13,0,21,5,0,2,0,7,0,0,1,0,1,0,0,1,0,1,17,3,23,0,43,79
Milton 024,1052,0,5,6,0,11,19,15,37,0,71,1,1,3,0,5,1,0,2,0,3,1,0,0,0,1,9,0,21,0,30,121
Milton 025,1177,0,1,2,0,3,10,15,21,0,46,2,0,5,0,7,1,1,3,0,5,2,0,1,0,3,8,8,22,0,38,102
Milton 026,1060,0,1,3,0,4,11,12,31,0,54,0,0,0,0,0,0,1,8,0,9,1,0,2,0,3,1,4,23,0,28,98
Milton 027,806,1,1,1,0,3,14,14,27,0,55,0,3,3,0,6,2,3,5,0,10,0,0,2,0,2,9,5,25,0,39,115
Milton 028,821,0,0,4,0,4,7,9,31,0,47,4,4,2,0,10,0,1,1,0,2,1,0,1,0,2,7,3,22,0,32,97
Milton 029,1046,1,2,2,0,5,3,13,13,0,29,0,1,1,0,2,2,0,2,0,4,0,0,1,0,1,4,3,10,0,17,58
Milton 030,891,0,1,1,0,2,5,6,17,0,28,1,0,4,0,5,2,3,0,0,5,0,0,1,0,1,4,6,19,0,29,70
Milton 031,1365,1,3,2,0,6,17,12,35,0,64,3,0,6,0,9,1,1,8,0,10,0,1,1,0,2,7,3,23,0,33,124
Milton 032,1266,2,1,4,0,7,18,13,35,0,66,0,2,7,0,9,2,1,1,0,4,1,2,1,0,4,6,0,15,0,21,111
Milton 033,1366,2,0,1,0,3,34,10,31,0,75,2,0,3,0,5,1,1,2,0,4,2,0,1,0,3,9,3,16,0,28,118
Milton 034,1237,1,1,2,0,4,8,1,21,0,30,1,1,1,0,3,4,1,0,0,5,1,0,0,0,1,8,2,25,0,35,78
Milton 035,1276,3,3,6,0,12,12,7,10,0,29,0,1,5,0,6,0,0,2,0,2,0,0,2,0,2,7,4,17,0,28,79
Milton 036,1169,0,0,2,0,2,10,8,17,0,35,1,1,0,0,2,1,3,1,0,5,0,0,0,0,0,5,3,25,0,33,77
Milton 037,963,2,9,0,0,11,15,28,25,0,68,2,7,2,0,11,3,5,0,0,8,3,4,0,0,7,9,25,3,0,37,142
Milton 038,1204,3,2,2,0,7,13,4,22,0,39,1,4,2,0,7,9,2,3,0,14,3,4,0,0,7,14,6,27,0,47,121
Milton 039,908,1,1,2,0,4,14,5,16,0,35,0,0,7,0,7,3,1,0,0,4,0,0,1,0,1,1,4,19,0,24,75
Milton 040,1202,5,4,3,0,12,5,8,10,0,23,0,0,6,0,6,2,0,3,0,5,0,0,1,0,1,5,3,8,0,16,63
Milton 041,897,0,2,1,0,3,16,7,14,0,37,0,2,0,0,2,2,0,3,0,5,0,1,0,0,1,4,5,13,0,22,70
Milton 042,1112,2,0,5,0,7,8,6,19,0,33,6,2,6,0,14,1,4,1,0,6,0,1,1,0,2,18,5,19,0,42,104
Milton 043,1071,4,1,3,0,8,12,9,22,0,43,3,2,2,0,7,3,4,4,0,11,0,1,1,0,2,11,1,18,0,30,101
