FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 041,878,3,0,2,0,5,3,2,11,0,16,4,2,12,0,18,1,0,0,0,1,1,0,0,0,1,2,0,4,0,6,47
Addison 042,1161,1,0,2,0,3,1,0,3,0,4,4,3,1,0,8,2,4,1,0,7,0,1,0,0,1,1,0,3,0,4,27
Addison 043,944,3,0,3,0,6,6,1,10,0,17,1,0,4,0,5,4,0,2,0,6,1,0,0,0,1,3,2,6,0,11,46
Addison 044,1059,2,2,6,0,10,14,4,6,0,24,6,1,4,0,11,1,0,5,0,6,1,1,7,0,9,7,0,12,0,19,79
Addison 045,1233,1,3,2,0,6,5,4,17,0,26,4,2,6,0,12,1,1,3,0,5,1,0,1,0,2,10,1,13,0,24,75
Addison 046,1215,1,1,8,0,10,2,2,11,0,15,3,2,12,0,17,2,1,7,0,10,2,0,3,0,5,5,2,13,0,20,77
Addison 047,1311,0,1,3,0,4,10,2,11,0,23,1,0,7,0,8,1,0,3,0,4,4,0,1,0,5,2,4,8,0,14,58
Addison 048,917,3,0,5,0,8,4,1,9,0,14,4,0,3,0,7,1,0,3,0,4,0,0,2,0,2,3,1,5,0,9,44
Addison 049,636,1,0,3,0,4,8,2,5,0,15,1,2,7,0,10,2,0,3,0,5,1,0,1,0,2,3,0,2,0,5,41
Addison 050,1014,0,0,8,0,8,8,11,7,0,26,1,8,4,0,13,6,1,2,0,9,0,1,1,0,2,3,1,12,0,16,74
Addison 051,1159,5,1,4,0,10,17,5,14,0,36,3,6,4,0,13,2,0,4,0,6,1,0,0,0,1,2,3,7,0,12,78
Addison 052,1283,2,1,2,0,5,7,5,12,0,24,1,5,4,0,10,0,0,4,0,4,0,1,0,0,1,13,1,8,0,22,66
Addison 053,1023,2,2,3,0,7,10,3,16,0,29,4,1,5,0,10,0,3,2,0,5,1,0,2,0,3,2,2,9,0,13,67
Bloomingdale 001,656,0,1,2,0,3,1,1,3,0,5,0,0,2,0,2,1,0,3,0,4,0,0,0,0,0,3,0,1,0,4,18
