FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,,ROBIN KELLY,,,,,JULIANA STRATTON,,,,,RAJA KRISHNAMOORTHI,,,,,STEVE BOTSFORD JR.,,,,,BRYAN MAXWELL,,,,,JONATHAN DEAN,,,,,SEAN BROWN,,,,,AWISI A. BUSTOS,,,,,CHRISTOPHER SWANN,,,,,Adam Delgado,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 033,1079,3,2,4,0,9,27,4,15,0,46,6,5,13,0,24,21,26,46,0,93,0,1,0,0,1,1,3,0,0,4,0,1,1,0,2,1,2,1,0,4,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,189
Bloomingdale 034,1006,0,1,5,0,6,1,4,6,0,11,8,3,19,0,30,9,39,33,0,81,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
Bloomingdale 035,1220,4,0,3,0,7,2,6,13,0,21,8,10,24,0,42,25,31,41,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,171
Bloomingdale 036,793,2,3,2,0,7,1,1,8,0,10,6,5,23,0,34,13,32,37,0,82,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,136
Bloomingdale 037,1065,1,2,4,0,7,11,0,14,0,25,12,11,22,0,45,18,15,29,0,62,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,1,1,0,0,2,1,1,2,0,4,0,2,0,0,2,0,0,0,0,0,151
Bloomingdale 038,916,0,1,2,0,3,4,5,7,0,16,5,5,21,0,31,14,19,35,0,68,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,4,0,0,2,0,2,0,0,0,0,0,127
Bloomingdale 039,1066,2,0,2,0,4,4,5,7,0,16,5,9,25,0,39,11,33,47,0,91,1,0,0,0,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,157
Bloomingdale 040,1028,1,3,4,0,8,1,2,9,0,12,8,14,26,0,48,10,29,28,0,67,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,2,1,0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,144
Bloomingdale 041,1127,6,0,6,0,12,12,13,16,0,41,13,6,15,0,34,21,15,47,0,83,0,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,177
Bloomingdale 042,1305,1,5,6,0,12,12,8,14,0,34,8,5,26,0,39,15,12,16,0,43,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,134
Bloomingdale 043,1051,0,3,3,0,6,2,7,3,0,12,7,6,17,0,30,13,12,23,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,97
Bloomingdale 044,1146,5,2,2,0,9,10,6,14,0,30,4,9,24,0,37,24,43,44,0,111,0,0,0,0,0,0,0,1,0,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,192
Bloomingdale 045,1024,0,1,2,0,3,3,2,10,0,15,1,12,26,0,39,18,31,43,0,92,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,154
Bloomingdale 046,665,0,1,3,0,4,4,3,7,0,14,3,11,18,0,32,16,18,18,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
Bloomingdale 047,1155,2,1,10,0,13,11,3,10,0,24,9,4,26,0,39,27,21,26,0,74,0,0,0,0,0,0,3,1,0,4,0,1,0,0,1,2,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,160
Bloomingdale 048,795,3,0,2,0,5,17,11,9,0,37,10,8,13,0,31,17,10,14,0,41,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,120
Bloomingdale 049,658,0,1,0,0,1,5,1,10,0,16,1,3,17,0,21,7,6,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,62
Bloomingdale 050,956,0,1,2,0,3,8,0,17,0,25,7,11,22,0,40,17,12,18,0,47,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,121
Bloomingdale 051,1175,2,3,1,0,6,3,6,10,0,19,11,13,41,0,65,20,35,56,0,111,0,0,0,0,0,0,2,1,0,3,0,2,1,0,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
Bloomingdale 052,1132,1,1,5,0,7,4,5,13,0,22,8,12,29,0,49,24,40,55,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,203
Bloomingdale 053,839,0,2,5,0,7,2,2,10,0,14,9,7,20,0,36,3,19,30,0,52,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,117
Bloomingdale 054,1187,3,0,2,0,5,33,7,19,0,59,8,11,30,0,49,35,32,37,0,104,0,1,0,0,1,5,5,2,0,12,1,0,2,0,3,1,0,0,0,1,3,1,2,0,6,1,0,0,0,1,0,0,0,0,0,241
Bloomingdale 055,815,0,2,6,0,8,0,1,6,0,7,1,7,20,0,28,2,19,19,0,40,0,0,0,0,0,1,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,89
Bloomingdale 056,1042,3,0,1,0,4,13,4,11,0,28,8,8,22,0,38,12,37,43,0,92,0,0,0,0,0,1,2,0,0,3,0,0,1,0,1,1,0,1,0,2,3,0,0,0,3,0,0,1,0,1,0,0,0,0,0,172
Bloomingdale 057,705,0,0,2,0,2,5,1,11,0,17,6,7,25,0,38,8,11,19,0,38,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,100
Bloomingdale 058,1358,2,0,2,0,4,11,3,12,0,26,6,7,39,0,52,25,20,29,0,74,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
Bloomingdale 059,925,3,9,4,0,16,39,11,21,0,71,16,7,13,0,36,21,20,21,0,62,1,0,0,0,1,1,1,0,0,2,0,1,0,0,1,0,1,3,0,4,3,1,2,0,6,0,0,0,0,0,0,0,0,0,0,199
Bloomingdale 060,1095,2,0,4,0,6,5,4,12,0,21,16,10,24,0,50,21,22,21,0,64,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,146
Bloomingdale 061,1056,0,3,9,0,12,6,2,16,0,24,7,11,41,0,59,15,41,62,0,118,0,0,0,0,0,1,1,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
Bloomingdale 062,1047,0,3,7,0,10,5,4,4,0,13,7,11,48,0,66,13,28,39,0,80,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,171
Bloomingdale 063,1053,1,4,8,0,13,4,3,11,0,18,5,8,31,0,44,12,23,48,0,83,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
Bloomingdale 064,1395,1,3,3,0,7,11,2,11,0,24,10,8,45,0,63,13,43,28,0,84,0,0,0,0,0,0,2,3,0,5,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,1,0,0,1,0,0,0,0,0,188
Bloomingdale 065,1265,2,3,2,0,7,4,3,6,0,13,8,10,22,0,40,26,10,30,0,66,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,130
Bloomingdale 066,1091,2,2,7,0,11,2,0,6,0,8,15,10,25,0,50,8,25,17,0,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,123
Bloomingdale 067,686,0,0,3,0,3,2,2,8,0,12,0,8,16,0,24,6,36,40,0,82,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
Bloomingdale 068,1157,0,0,3,0,3,8,5,23,0,36,9,6,35,0,50,17,25,24,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0,1,0,0,0,0,0,159
Bloomingdale 069,982,1,3,6,0,10,8,6,6,0,20,12,11,12,0,35,20,13,30,0,63,1,0,0,0,1,0,2,0,0,2,0,0,1,0,1,0,1,1,0,2,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,141
Bloomingdale 070,897,0,2,1,0,3,8,0,11,0,19,4,10,25,0,39,4,9,18,0,31,0,0,0,0,0,0,0,4,0,4,0,1,0,0,1,1,0,2,0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,102
Bloomingdale 071,1295,2,8,4,0,14,5,5,13,0,23,5,9,34,0,48,4,26,38,0,68,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,160
Bloomingdale 072,993,2,1,3,0,6,4,7,15,0,26,12,4,21,0,37,8,21,14,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
Downers Grove 001,596,1,0,2,0,3,2,4,3,0,9,10,13,23,0,46,22,16,28,0,66,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
Downers Grove 002,1189,3,6,10,0,19,10,11,11,0,32,24,20,37,0,81,23,30,21,0,74,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,3,0,0,0,0,0,211
Downers Grove 003,1182,1,4,2,0,7,0,4,15,0,19,25,33,40,0,98,14,22,27,0,63,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,1,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,194
Downers Grove 004,1174,1,8,4,0,13,3,6,17,0,26,24,26,21,0,71,18,23,33,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,187
Downers Grove 005,1148,0,1,3,0,4,9,5,13,0,27,25,23,32,0,80,43,28,23,0,94,0,0,1,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,210
Downers Grove 006,1221,0,1,1,0,2,5,3,1,0,9,26,19,23,0,68,24,22,33,0,79,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
Downers Grove 007,1167,4,2,3,0,9,4,3,6,0,13,50,23,41,0,114,38,41,15,0,94,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,233
Downers Grove 008,1221,4,3,7,0,14,14,6,9,0,29,48,38,58,0,144,36,38,23,0,97,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,288
Downers Grove 009,1170,7,3,1,0,11,7,9,8,0,24,28,39,35,0,102,17,49,16,0,82,3,2,0,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,228
Downers Grove 010,1078,5,3,2,0,10,9,3,5,0,17,34,28,43,0,105,27,24,22,0,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,209
Downers Grove 011,1074,4,0,1,0,5,5,3,4,0,12,14,16,23,0,53,17,11,18,0,46,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
Downers Grove 012,1141,0,4,3,0,7,1,5,11,0,17,54,38,44,0,136,31,25,27,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
Downers Grove 013,1076,5,2,3,0,10,3,10,9,0,22,52,54,54,0,160,26,25,23,0,74,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,270
Downers Grove 014,1059,2,2,2,0,6,15,8,10,0,33,29,28,43,0,100,25,30,29,0,84,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,230
Downers Grove 015,1224,4,7,2,0,13,12,7,7,0,26,30,25,55,0,110,37,31,25,0,93,1,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,248
Downers Grove 016,1169,2,3,5,0,10,11,7,11,0,29,17,26,24,0,67,19,35,18,0,72,1,0,0,0,1,0,1,2,0,3,0,0,1,0,1,0,0,1,0,1,1,1,0,0,2,0,1,1,0,2,0,0,0,0,0,188
Downers Grove 017,952,5,5,5,0,15,10,6,13,0,29,39,23,24,0,86,22,24,18,0,64,0,0,0,0,0,1,0,1,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
Downers Grove 018,817,0,2,4,0,6,8,11,11,0,30,17,17,30,0,64,12,18,17,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,149
Downers Grove 019,902,0,1,3,0,4,2,4,9,0,15,12,23,36,0,71,13,32,26,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,163
Downers Grove 020,1143,3,2,1,0,6,3,2,2,0,7,8,20,39,0,67,23,24,21,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
Downers Grove 021,1162,1,2,4,0,7,2,1,7,0,10,20,31,26,0,77,23,23,26,0,72,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,170
Downers Grove 022,1058,2,3,4,0,9,10,5,3,0,18,17,13,13,0,43,24,11,30,0,65,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,139
Downers Grove 023,907,0,0,0,0,0,5,4,6,0,15,10,19,38,0,67,9,13,16,0,38,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
Downers Grove 024,982,2,1,2,0,5,7,6,6,0,19,35,25,28,0,88,26,43,17,0,86,0,1,0,0,1,1,2,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
Downers Grove 025,1099,4,5,5,0,14,12,10,11,0,33,23,31,40,1,95,39,30,30,0,99,1,0,0,0,1,0,0,0,0,0,1,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
Downers Grove 026,1104,2,2,1,0,5,6,8,8,0,22,42,33,44,0,119,34,25,33,0,92,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,243
Downers Grove 027,1072,3,6,1,0,10,5,9,11,0,25,46,33,27,0,106,22,26,16,0,64,1,0,0,0,1,1,0,4,0,5,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,215
Downers Grove 028,978,1,3,4,0,8,3,4,10,0,17,23,19,58,0,100,14,28,30,0,72,0,0,0,0,0,0,4,1,0,5,1,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,207
Downers Grove 029,917,3,0,4,0,7,8,5,5,0,18,13,32,26,0,71,23,16,18,0,57,0,0,0,0,0,0,1,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,160
Downers Grove 030,927,1,2,1,0,4,1,5,5,0,11,19,11,40,0,70,12,24,22,0,58,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,3,0,3,0,0,0,0,0,151
Downers Grove 031,1150,5,2,2,0,9,3,3,9,0,15,15,31,44,0,90,32,27,31,0,90,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,208
Downers Grove 032,1092,1,1,2,0,4,4,5,4,0,13,14,21,32,0,67,16,14,24,0,54,0,0,0,0,0,0,1,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,144
Downers Grove 033,1019,1,1,2,0,4,5,3,2,0,10,14,21,18,0,53,12,14,14,0,40,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0,112
Downers Grove 034,865,2,1,2,0,5,8,4,4,0,16,8,16,16,0,40,7,12,13,0,32,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Downers Grove 035,956,0,2,0,0,2,3,0,3,0,6,6,11,11,0,28,9,4,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Downers Grove 036,925,2,0,11,0,13,5,6,12,0,23,33,31,46,0,110,18,20,33,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
Downers Grove 037,1074,2,2,2,0,6,15,10,7,0,32,31,32,45,0,108,26,42,25,0,93,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,3,2,0,6,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,250
Downers Grove 038,1083,3,1,3,0,7,8,9,8,0,25,18,31,25,0,74,19,25,25,0,69,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,2,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,182
Downers Grove 039,1259,0,6,0,0,6,4,8,15,0,27,31,22,31,0,84,25,36,29,0,90,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,3,0,0,0,0,0,214
Downers Grove 040,1206,2,1,8,0,11,2,3,12,0,17,11,18,40,0,69,17,20,35,0,72,0,0,0,0,0,2,2,1,0,5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
Downers Grove 041,1054,1,0,5,0,6,4,0,7,0,11,10,18,33,0,61,11,24,19,0,54,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Downers Grove 042,847,0,2,0,0,2,2,4,11,0,17,13,16,21,0,50,11,16,26,0,53,0,1,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,129
Downers Grove 043,1000,0,1,4,0,5,2,3,16,0,21,11,15,25,0,51,13,14,34,0,61,1,0,1,0,2,1,0,1,0,2,0,1,2,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,147
Downers Grove 044,840,2,4,0,0,6,3,3,4,0,10,20,18,36,0,74,21,24,25,0,70,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,164
Downers Grove 045,1172,0,0,5,0,5,16,4,18,0,38,20,22,67,0,109,24,30,58,0,112,0,2,2,0,4,0,2,1,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
Downers Grove 046,1282,2,7,4,0,13,11,8,11,0,30,37,43,44,0,124,35,34,31,0,100,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,1,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,273
Downers Grove 047,1299,1,3,5,0,9,6,7,18,0,31,19,20,44,0,83,16,26,25,0,67,0,0,1,0,1,1,1,0,0,2,0,0,1,0,1,3,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,199
Downers Grove 048,1008,1,7,2,0,10,4,6,15,0,25,14,18,41,0,73,7,9,13,0,29,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,144
Downers Grove 049,967,1,1,1,0,3,3,6,5,0,14,12,21,21,0,54,14,22,20,0,56,0,0,1,0,1,1,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,134
Downers Grove 050,946,1,1,3,0,5,6,2,12,0,20,19,12,39,0,70,22,22,21,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,163
Downers Grove 051,1202,0,0,7,0,7,3,3,16,0,22,8,16,44,0,68,12,25,23,0,60,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
Downers Grove 052,975,2,0,1,0,3,6,4,20,0,30,10,19,17,0,46,13,23,22,0,58,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
Downers Grove 053,1246,0,6,5,0,11,6,9,8,0,23,16,19,47,0,82,28,38,32,0,98,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,217
Downers Grove 054,1087,3,2,5,0,10,3,5,12,0,20,23,16,32,0,71,25,29,21,0,75,0,0,0,0,0,0,1,2,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
Downers Grove 055,964,1,2,6,0,9,10,4,12,0,26,29,19,29,0,77,27,19,22,0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,185
Downers Grove 056,1054,1,2,4,0,7,9,12,3,0,24,17,19,32,0,68,30,39,15,0,84,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,189
Downers Grove 057,1310,5,7,3,0,15,3,7,13,0,23,18,10,45,0,73,12,20,13,0,45,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,1,2,1,0,4,0,1,1,0,2,0,0,0,0,0,167
Downers Grove 058,1109,0,1,2,0,3,7,8,11,0,26,9,22,24,0,55,23,23,24,0,70,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,157
Downers Grove 059,1319,1,2,5,0,8,10,11,17,0,38,12,20,52,0,84,28,62,54,1,145,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278
Downers Grove 060,1063,0,1,2,0,3,3,2,21,0,26,12,5,36,0,53,21,11,25,0,57,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,2,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,146
Downers Grove 061,854,0,2,2,0,4,2,3,9,0,14,32,18,24,0,74,21,31,18,0,70,0,0,0,0,0,0,1,0,0,1,0,3,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
Downers Grove 062,1200,2,3,6,0,11,4,5,7,0,16,33,38,51,0,122,33,35,28,0,96,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,250
Downers Grove 063,1050,4,5,6,0,15,9,13,5,0,27,13,29,32,0,74,39,46,21,0,106,0,0,0,0,0,1,1,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,227
Downers Grove 064,902,3,3,2,0,8,11,9,6,0,26,20,37,29,0,86,24,15,12,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,177
Downers Grove 065,971,1,3,8,0,12,5,4,11,0,20,19,27,48,0,94,14,48,53,0,115,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,245
Downers Grove 066,908,4,5,2,0,11,8,12,10,0,30,15,16,35,0,66,11,29,17,0,57,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,167
Downers Grove 067,903,3,5,5,0,13,10,5,4,0,19,5,14,22,0,41,14,14,28,0,56,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,1,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,137
Downers Grove 068,1022,3,4,2,0,9,7,5,13,0,25,19,22,32,0,73,27,24,22,0,73,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,184
