FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,,ROBIN KELLY,,,,,JULIANA STRATTON,,,,,RAJA KRISHNAMOORTHI,,,,,STEVE BOTSFORD JR.,,,,,BRYAN MAXWELL,,,,,JONATHAN DEAN,,,,,SEAN BROWN,,,,,AWISI A. BUSTOS,,,,,CHRISTOPHER SWANN,,,,,Adam Delgado,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 022,985,0,0,2,0,2,3,4,4,0,11,9,6,13,0,28,17,24,25,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108
Addison 023,843,1,2,1,0,4,6,2,2,0,10,3,2,13,0,18,14,24,19,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Addison 024,827,0,1,0,0,1,4,1,1,0,6,12,1,5,0,18,25,10,28,0,63,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Addison 025,798,1,0,4,0,5,1,3,4,0,8,5,4,9,0,18,8,20,28,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Addison 026,697,1,0,0,0,1,3,0,6,0,9,8,4,7,0,19,7,25,14,0,46,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Addison 027,999,0,0,0,0,0,2,6,8,0,16,11,10,23,0,44,7,21,29,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,119
Addison 028,1163,1,0,3,0,4,6,3,7,0,16,20,8,16,0,44,29,15,10,0,54,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,3,1,1,2,0,4,0,0,0,0,0,127
Addison 029,937,1,3,1,0,5,5,3,2,0,10,9,7,27,0,43,21,11,7,0,39,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101
Addison 030,1169,0,0,0,0,0,1,0,13,0,14,11,10,20,0,41,24,28,28,0,80,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,139
Addison 031,1051,1,0,4,0,5,6,6,9,0,21,3,6,41,0,50,21,7,27,0,55,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0,137
Addison 032,994,0,2,8,0,10,5,4,7,0,16,9,8,20,0,37,12,24,22,0,58,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,127
Addison 033,794,0,1,1,0,2,2,3,4,0,9,7,12,11,0,30,23,18,18,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Addison 034,1019,0,2,1,0,3,2,2,12,0,16,3,11,23,0,37,18,16,16,0,50,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,2,0,4,0,0,1,0,1,0,0,0,0,0,114
Addison 035,1104,4,2,3,0,9,6,7,9,0,22,6,11,16,0,33,27,26,24,0,77,0,0,0,0,0,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,146
Addison 036,1235,1,0,1,0,2,4,0,3,0,7,6,18,39,0,63,19,17,18,0,54,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,3,0,0,1,0,1,0,0,0,0,0,132
Addison 037,814,5,1,3,0,9,5,2,1,0,8,6,11,16,0,33,13,10,9,0,32,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,86
Addison 038,872,5,1,1,0,7,3,1,5,0,9,10,5,14,0,29,21,9,13,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Addison 039,1141,2,1,2,0,5,3,9,8,0,20,6,9,27,0,42,18,24,36,0,78,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,1,0,1,0,1,2,0,3,0,0,0,0,0,152
