FOR REPRESENTATIVE IN CONGRESS EIGHTH CONGRESSIONAL DISTRICT ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NEIL KHOT,,,,,YASMEEN BANKOLE,,,,,KEVIN B. MORRISON,,,,,DAN TULLY,,,,,RYAN VETTICAD,,,,,MELISSA L. BEAN,,,,,JUNAID AHMED,,,,,SANJYOT DUNUNG,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 013,1015,1,2,6,0,9,9,6,19,0,34,0,3,4,0,7,9,5,27,0,41,0,0,0,0,0,9,15,18,0,42,11,3,13,0,27,1,1,1,0,3,163
Bloomingdale 014,1053,2,1,1,0,4,13,15,27,0,55,2,1,2,0,5,4,4,0,0,8,0,0,0,0,0,7,10,18,0,35,17,8,22,0,47,2,1,0,0,3,157
Bloomingdale 015,1058,1,2,5,0,8,5,10,12,0,27,3,2,7,0,12,5,3,11,0,19,0,0,1,0,1,8,11,25,0,44,11,8,11,0,30,0,0,4,0,4,145
Bloomingdale 016,991,0,1,3,0,4,1,3,5,0,9,1,4,4,0,9,12,5,14,0,31,1,1,1,0,3,10,12,20,0,42,6,11,14,0,31,0,1,0,0,1,130
Bloomingdale 017,1146,3,2,0,0,5,5,3,17,0,25,2,5,2,0,9,15,17,14,0,46,0,0,0,0,0,7,17,18,0,42,7,10,24,0,41,0,0,2,0,2,170
Bloomingdale 018,1149,2,4,2,0,8,7,4,4,0,15,2,1,0,0,3,7,12,11,0,30,0,3,1,0,4,10,22,18,0,50,10,9,18,0,37,0,0,2,0,2,149
Bloomingdale 019,930,0,1,4,0,5,8,4,5,0,17,2,3,10,0,15,12,11,10,0,33,0,0,0,0,0,19,13,17,0,49,7,5,17,0,29,1,1,2,0,4,152
Bloomingdale 020,1077,3,2,2,0,7,0,1,5,0,6,2,3,2,0,7,7,5,15,0,27,0,0,0,0,0,2,9,24,0,35,4,0,20,0,24,0,0,1,0,1,107
Bloomingdale 021,975,3,0,2,0,5,3,2,7,0,12,0,0,2,0,2,8,4,7,0,19,0,3,0,0,3,9,8,15,0,32,7,4,22,0,33,1,1,2,0,4,110
Bloomingdale 022,1009,1,3,2,0,6,3,3,6,0,12,0,3,3,0,6,6,7,6,0,19,0,0,2,0,2,8,17,16,0,41,11,7,14,0,32,0,0,0,0,0,118
Bloomingdale 023,1192,3,5,6,0,14,6,3,8,0,17,4,2,2,0,8,5,13,12,0,30,0,0,0,0,0,32,24,24,0,80,16,11,27,0,54,1,0,1,0,2,205
Bloomingdale 024,1089,5,0,2,0,7,5,4,12,0,21,1,3,3,0,7,13,8,15,0,36,2,2,0,0,4,22,30,16,0,68,9,13,20,0,42,2,2,1,0,5,190
Bloomingdale 025,1089,2,5,4,0,11,3,9,3,0,15,4,3,3,0,10,13,18,13,0,44,0,2,0,0,2,15,23,30,0,68,24,8,11,0,43,1,0,1,0,2,195
Bloomingdale 026,1050,3,0,4,0,7,4,2,1,0,7,3,0,4,0,7,1,4,17,0,22,0,0,0,0,0,9,21,24,0,54,5,2,13,0,20,2,0,2,0,4,121
Bloomingdale 027,666,2,1,0,0,3,1,0,2,0,3,0,4,2,0,6,1,5,4,0,10,0,0,0,0,0,7,6,8,0,21,6,5,18,0,29,0,0,2,0,2,74
Bloomingdale 028,826,1,1,6,0,8,0,4,3,0,7,0,3,1,0,4,3,2,4,0,9,0,0,2,0,2,7,12,15,0,34,19,23,25,0,67,0,0,1,0,1,132
Bloomingdale 029,837,3,4,5,0,12,1,0,3,0,4,0,2,1,0,3,3,3,4,0,10,0,0,0,0,0,7,16,6,0,29,7,12,22,0,41,5,2,1,0,8,107
Bloomingdale 030,851,2,1,3,0,6,3,0,0,0,3,4,5,0,0,9,10,7,7,0,24,1,0,0,0,1,14,14,12,0,40,11,4,9,0,24,3,1,1,0,5,112
Bloomingdale 031,1047,0,1,2,0,3,3,10,17,0,30,1,2,3,0,6,2,4,12,0,18,0,1,0,0,1,8,15,16,0,39,7,9,24,0,40,0,3,0,0,3,140
Bloomingdale 032,919,0,0,1,0,1,4,1,8,0,13,1,2,0,0,3,4,7,3,0,14,0,0,0,0,0,4,10,23,0,37,19,10,12,0,41,2,0,7,0,9,118
Bloomingdale 033,1079,3,1,5,0,9,0,3,4,0,7,2,3,6,0,11,8,8,10,0,26,0,0,1,0,1,9,15,24,0,48,43,14,29,0,86,0,0,4,0,4,192
Bloomingdale 034,1006,0,2,5,0,7,3,4,7,0,14,3,7,3,0,13,2,4,10,0,16,0,3,2,0,5,6,19,21,0,46,4,7,15,0,26,0,2,0,0,2,129
Bloomingdale 035,1220,0,1,3,0,4,7,0,8,0,15,1,4,5,0,10,13,10,22,0,45,0,0,0,0,0,12,13,23,0,48,5,16,21,0,42,2,1,0,0,3,167
Bloomingdale 036,793,1,2,4,0,7,3,2,5,0,10,3,3,3,0,9,1,6,17,0,24,0,0,0,0,0,6,24,31,0,61,10,6,10,0,26,1,0,1,0,2,139
Bloomingdale 037,1065,2,5,7,0,14,1,3,6,0,10,1,1,4,0,6,4,3,6,0,13,0,0,0,0,0,13,10,21,0,44,27,9,31,0,67,0,0,0,0,0,154
Bloomingdale 038,916,2,1,5,0,8,3,2,5,0,10,1,2,2,0,5,3,8,6,0,17,0,1,0,0,1,10,11,32,0,53,8,7,18,0,33,0,0,0,0,0,127
Bloomingdale 039,1066,0,1,4,0,5,4,1,5,0,10,2,1,4,0,7,3,11,20,0,34,0,1,1,0,2,5,28,24,0,57,8,6,22,0,36,0,0,2,0,2,153
Bloomingdale 040,1028,2,4,1,0,7,0,4,13,0,17,1,2,3,0,6,5,3,6,0,14,0,1,1,0,2,5,29,25,0,59,7,5,22,0,34,1,2,2,0,5,144
Bloomingdale 041,1127,7,0,7,0,14,2,4,4,0,10,0,0,3,0,3,2,0,6,0,8,0,1,2,0,3,9,6,18,0,33,31,20,41,0,92,6,4,6,0,16,179
Bloomingdale 042,1305,4,0,3,0,7,5,2,15,0,22,3,2,4,0,9,1,6,6,0,13,1,0,0,0,1,5,8,17,0,30,16,12,23,0,51,0,0,1,0,1,134
Bloomingdale 043,1051,3,2,5,0,10,2,3,7,0,12,0,2,1,0,3,3,5,3,0,11,0,3,2,0,5,10,7,18,0,35,4,5,8,0,17,0,0,1,0,1,94
Bloomingdale 044,1146,1,4,9,0,14,2,3,3,0,8,5,4,2,0,11,7,9,15,0,31,0,1,0,0,1,13,22,31,0,66,17,16,27,0,60,1,1,2,0,4,195
Bloomingdale 045,1024,2,3,4,0,9,4,10,11,0,25,2,1,1,0,4,4,9,10,0,23,0,1,0,0,1,6,13,32,0,51,5,10,21,0,36,1,0,1,0,2,151
Bloomingdale 046,665,9,2,8,0,19,0,4,4,0,8,0,0,2,0,2,2,3,1,0,6,0,2,0,0,2,5,14,7,0,26,7,6,21,0,34,0,2,3,0,5,102
Bloomingdale 047,1155,3,4,5,0,12,1,2,13,0,16,1,2,4,0,7,2,4,3,0,9,2,0,0,0,2,12,7,13,0,32,34,13,35,0,82,0,1,1,0,2,162
Bloomingdale 048,795,3,0,1,0,4,5,4,3,0,12,1,2,1,0,4,3,3,3,0,9,1,0,0,0,1,12,7,11,0,30,26,12,19,0,57,0,1,2,0,3,120
Bloomingdale 049,658,1,2,2,0,5,1,2,7,0,10,2,1,0,0,3,0,2,2,0,4,0,0,1,0,1,4,3,8,0,15,5,2,18,0,25,0,0,0,0,0,63
Bloomingdale 051,1175,4,1,7,0,12,2,6,9,0,17,1,5,5,0,11,3,14,18,0,35,0,0,0,0,0,12,22,40,0,74,16,12,29,0,57,0,2,2,0,4,210
Bloomingdale 052,1132,6,4,10,0,20,3,7,7,0,17,5,3,2,0,10,4,6,22,0,32,1,1,4,0,6,7,26,30,0,63,13,12,28,0,53,1,1,4,0,6,207
Bloomingdale 053,839,0,0,8,0,8,2,4,1,0,7,0,1,4,0,5,2,4,12,0,18,0,1,0,0,1,4,13,21,0,38,8,6,22,0,36,0,0,0,0,0,113
Bloomingdale 054,1187,4,3,7,0,14,5,2,11,0,18,0,6,4,0,10,1,6,9,0,16,0,3,1,0,4,11,18,27,0,56,81,22,37,0,140,0,0,0,0,0,258
Bloomingdale 055,815,0,3,10,0,13,2,1,4,0,7,0,3,1,0,4,0,6,12,0,18,0,0,0,0,0,2,11,5,0,18,5,5,21,0,31,0,2,0,0,2,93
Bloomingdale 056,1042,2,4,14,0,20,1,9,8,0,18,0,7,3,0,10,3,9,7,0,19,3,0,2,0,5,2,16,21,0,39,31,5,28,0,64,1,0,1,0,2,177
Bloomingdale 059,925,1,1,7,0,9,1,2,1,0,4,0,2,2,0,4,7,6,2,0,15,0,4,0,0,4,5,14,11,0,30,75,23,42,0,140,0,0,0,0,0,206
Bloomingdale 061,1056,2,0,7,0,9,1,6,14,0,21,6,2,6,0,14,6,17,21,0,44,0,1,1,0,2,10,14,42,0,66,4,18,33,0,55,0,0,2,0,2,213
Bloomingdale 062,1047,1,3,7,0,11,3,7,13,0,23,0,5,3,0,8,8,10,22,0,40,0,1,1,0,2,9,14,28,0,51,4,4,22,0,30,0,2,2,0,4,169
Bloomingdale 063,1053,2,0,3,0,5,2,3,6,0,11,2,7,4,0,13,3,6,37,0,46,0,1,1,0,2,8,14,18,0,40,4,7,26,0,37,1,0,4,0,5,159
Bloomingdale 068,1157,1,3,5,0,9,1,4,9,0,14,0,5,1,0,6,3,4,18,0,25,0,0,0,0,0,14,11,20,0,45,13,8,36,1,58,3,2,2,0,7,164
Bloomingdale 069,982,1,4,4,0,9,7,1,10,0,18,3,2,1,0,6,9,3,10,0,22,0,0,0,0,0,8,16,18,0,42,13,10,16,0,39,1,0,0,0,1,137
Bloomingdale 070,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton 003,857,0,1,3,0,4,3,4,7,0,14,1,5,4,0,10,1,3,5,0,9,1,0,1,0,2,7,3,21,0,31,4,4,17,0,25,0,0,0,0,0,95
Milton 004,1407,0,1,2,0,3,3,4,16,0,23,4,3,7,0,14,10,10,14,0,34,0,0,1,0,1,11,20,35,0,66,35,13,34,0,82,0,2,0,0,2,225
Milton 007,1027,1,4,9,0,14,5,4,13,0,22,3,4,5,0,12,4,6,7,0,17,1,0,0,0,1,13,44,36,0,93,7,12,18,0,37,0,0,1,0,1,197
Milton 008,953,2,1,1,0,4,0,3,4,0,7,2,3,4,0,9,0,2,6,0,8,1,1,2,0,4,9,15,16,0,40,11,7,17,0,35,0,2,2,0,4,111
Wayne 003,1036,4,4,7,0,15,6,1,8,0,15,3,4,6,0,13,11,5,4,0,20,1,0,0,0,1,24,12,15,0,51,10,7,14,0,31,4,3,1,0,8,154
Wayne 004,1074,0,5,2,0,7,5,3,11,0,19,4,1,4,0,9,8,2,9,0,19,0,0,0,0,0,25,22,22,0,69,18,8,11,0,37,0,0,1,0,1,161
Wayne 005,746,1,5,1,0,7,2,6,20,0,28,0,1,2,0,3,3,3,11,0,17,0,0,0,0,0,2,4,11,0,17,11,2,13,0,26,0,1,2,0,3,101
Wayne 006,852,3,1,4,0,8,5,4,8,0,17,1,0,2,0,3,4,4,7,0,15,0,2,0,0,2,21,12,17,0,50,13,12,26,0,51,0,0,2,0,2,148
Wayne 008,917,4,0,6,0,10,7,5,9,0,21,0,0,2,0,2,10,4,3,0,17,0,0,1,0,1,19,14,13,0,46,24,10,22,0,56,0,0,2,0,2,155
Wayne 009,1036,2,8,13,0,23,5,4,12,0,21,3,1,4,0,8,10,7,6,0,23,0,0,0,0,0,23,10,15,0,48,21,4,12,0,37,0,1,1,0,2,162
Wayne 010,1091,1,3,9,0,13,6,10,12,0,28,5,5,4,0,14,12,6,12,0,30,0,0,1,0,1,15,14,18,0,47,16,8,17,0,41,2,1,6,0,9,183
Wayne 011,1082,2,9,5,0,16,13,7,14,0,34,2,4,4,0,10,1,4,11,0,16,0,1,1,0,2,12,12,14,0,38,24,9,26,0,59,2,0,2,0,4,179
Wayne 015,1171,4,5,10,0,19,5,2,9,0,16,2,6,3,0,11,7,2,5,0,14,0,0,1,0,1,25,8,20,0,53,27,7,14,0,48,1,2,5,0,8,170
Wayne 016,897,2,2,3,0,7,3,2,4,0,9,4,6,1,0,11,7,1,6,0,14,0,1,1,0,2,15,7,21,0,43,14,17,13,0,44,0,0,0,0,0,130
Wayne 017,1228,3,3,13,0,19,20,8,21,0,49,1,5,6,0,12,6,2,6,0,14,1,0,0,0,1,16,19,20,0,55,18,9,16,0,43,2,1,5,0,8,201
Wayne 018,705,2,2,1,0,5,1,3,12,0,16,1,2,0,0,3,3,2,4,0,9,0,0,0,0,0,1,4,12,0,17,11,0,14,0,25,1,1,1,0,3,78
Wayne 022,952,4,2,3,0,9,4,2,5,0,11,2,2,2,0,6,2,6,4,0,12,0,0,0,0,0,13,13,12,0,38,13,5,24,0,42,3,0,3,0,6,124
Wayne 023,1077,3,0,2,0,5,6,11,10,0,27,1,2,4,0,7,7,1,5,0,13,0,0,0,0,0,13,17,23,0,53,15,7,11,0,33,1,1,3,0,5,143
Wayne 024,945,6,2,9,0,17,6,5,11,0,22,0,1,2,0,3,1,5,3,0,9,0,1,0,0,1,4,11,12,0,27,10,3,31,0,44,0,2,4,0,6,129
Wayne 025,1003,7,3,5,0,15,0,7,11,0,18,2,3,5,0,10,1,2,3,0,6,0,1,1,0,2,7,11,14,0,32,30,6,19,0,55,1,4,3,0,8,146
Wayne 027,1046,2,0,8,0,10,7,3,9,0,19,4,4,5,0,13,11,8,16,0,35,0,0,0,0,0,17,9,33,0,59,7,8,28,0,43,0,1,3,0,4,183
Wayne 028,1099,7,1,12,0,20,5,5,7,0,17,1,5,8,0,14,3,9,5,0,17,0,1,0,0,1,13,17,25,0,55,14,13,16,0,43,0,0,5,0,5,172
Wayne 029,940,1,1,6,0,8,3,7,9,0,19,2,6,5,0,13,3,10,10,0,23,0,2,4,0,6,6,11,25,0,42,7,7,25,0,39,0,0,6,0,6,156
