FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,
,,JB PRITZER / CHRISTIAN MITCHELL,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
York 059,1217,32,32,111,1,176,176
York 060,1192,53,54,110,0,217,217
York 061,1247,63,65,100,0,228,228
York 062,1111,41,34,79,0,154,154
York 063,929,42,47,91,0,180,180
York 064,1371,64,70,104,0,238,238
York 065,1288,79,77,71,0,227,227
York 066,1205,71,58,67,0,196,196
York 067,1118,74,94,84,0,252,252
York 068,1273,66,67,83,0,216,216
York 069,976,43,25,67,0,135,135
York 070,902,28,25,87,0,140,140
York 071,1148,46,56,53,0,155,155
York 072,1140,34,22,73,0,129,129
York 073,1069,36,90,130,0,256,256
York 074,1136,57,73,62,0,192,192
York 075,1171,86,75,65,0,226,226
York 076,880,31,41,48,0,120,120
York 077,1247,75,34,61,0,170,170
York 078,449,23,12,31,0,66,66
York 079,1128,66,32,72,0,170,170
York 080,1125,48,55,99,0,202,202
York 081,1301,47,68,109,0,224,224
York 082,823,37,23,32,0,92,92
York 083,839,35,46,44,0,125,125
York 084,1166,32,81,189,0,302,302
York 085,866,30,22,40,0,92,92
York 086,775,50,31,57,0,138,138
Total:,636822,26948,29810,47049,42,103849,103849
