FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
,,TED DABROWSKI / CARRIE MENDOZA,,,,,JAMES MENDRICK / ROBERT RENTERIA,,,,,DARREN BAILEY / AARON B. DEL MAR,,,,,RICK HEIDNER / CHRISTINA NEITZKE-TROIKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 005,820,5,2,13,0,20,1,3,4,0,8,6,1,12,0,19,0,3,4,0,7,54
Bloomingdale 006,1067,3,2,18,0,23,2,3,15,0,20,12,2,28,0,42,2,0,3,0,5,90
Bloomingdale 007,754,0,1,4,0,5,3,0,3,0,6,8,0,4,0,12,7,0,2,0,9,32
Bloomingdale 008,787,0,2,4,0,6,0,0,6,0,6,1,0,2,0,3,0,0,2,0,2,17
Bloomingdale 009,1018,4,1,20,0,25,6,6,10,0,22,1,2,14,0,17,3,2,6,0,11,75
Bloomingdale 010,983,2,7,17,0,26,5,4,16,0,25,6,8,14,0,28,2,7,5,0,14,93
Bloomingdale 011,1186,5,4,22,0,31,12,0,16,0,28,6,10,18,0,34,5,3,7,0,15,108
Bloomingdale 012,974,3,0,12,0,15,8,5,6,0,19,5,2,12,0,19,2,0,3,0,5,58
Bloomingdale 013,1015,5,3,20,0,28,3,7,12,0,22,9,7,17,0,33,6,0,14,0,20,103
Bloomingdale 014,1053,6,2,18,0,26,3,3,6,0,12,1,1,8,0,10,5,1,4,0,10,58
Bloomingdale 015,1058,4,2,23,0,29,6,1,12,0,19,3,2,8,1,14,1,2,4,0,7,69
Bloomingdale 016,991,4,3,11,0,18,1,5,7,0,13,5,6,11,0,22,0,0,3,0,3,56
Bloomingdale 017,1146,4,5,30,0,39,7,9,13,0,29,4,4,22,0,30,1,0,10,0,11,109
Bloomingdale 018,1149,7,6,27,0,40,4,9,18,0,31,7,4,33,0,44,8,2,15,0,25,140
Bloomingdale 019,930,8,1,21,0,30,4,3,8,0,15,5,0,15,0,20,7,0,7,0,14,79
Bloomingdale 020,1077,11,2,50,0,63,7,0,21,0,28,4,4,21,0,29,9,3,10,0,22,142
Bloomingdale 021,975,14,3,13,0,30,4,2,8,0,14,4,6,9,0,19,5,2,7,0,14,77
Bloomingdale 022,1009,1,11,10,0,22,1,1,17,0,19,1,2,8,0,11,1,1,4,0,6,58
Bloomingdale 023,1192,4,7,24,0,35,15,5,14,0,34,4,2,18,0,24,1,5,11,0,17,110
Bloomingdale 024,1089,7,3,26,1,37,6,4,6,0,16,5,6,16,0,27,8,2,10,0,20,100
Bloomingdale 025,1089,11,12,37,0,60,4,7,15,0,26,3,3,28,0,34,4,9,12,0,25,145
Bloomingdale 026,1050,11,7,33,0,51,15,2,32,0,49,8,7,21,0,36,2,1,10,0,13,149
Bloomingdale 027,666,6,3,16,0,25,5,2,10,0,17,2,5,12,0,19,4,1,5,0,10,71
Bloomingdale 028,826,4,2,10,0,16,3,1,12,0,16,3,2,6,0,11,1,0,3,0,4,47
Bloomingdale 029,837,8,4,14,0,26,5,5,4,0,14,0,2,10,0,12,1,1,4,0,6,58
Bloomingdale 030,851,5,4,12,0,21,8,1,7,0,16,2,5,9,0,16,9,6,11,0,26,79
Bloomingdale 031,1047,1,4,8,0,13,4,1,6,0,11,1,9,10,0,20,3,0,2,0,5,49
Bloomingdale 032,919,8,4,31,0,43,7,5,9,0,21,6,4,15,0,25,5,3,14,0,22,111
Bloomingdale 033,1079,16,3,25,0,44,4,2,17,0,23,12,0,12,0,24,9,1,15,0,25,116
Bloomingdale 034,1006,6,6,29,0,41,5,4,24,0,33,4,10,13,1,28,6,8,15,0,29,131
Bloomingdale 035,1220,5,7,37,0,49,11,1,23,0,35,2,2,17,0,21,2,0,13,0,15,120
Bloomingdale 036,793,1,4,5,0,10,10,2,13,0,25,2,0,10,0,12,1,4,2,0,7,54
Bloomingdale 037,1065,6,4,6,0,16,5,5,4,0,14,5,1,5,0,11,0,0,5,0,5,46
Bloomingdale 038,916,7,6,12,0,25,7,7,12,0,26,3,2,12,0,17,4,1,6,0,11,79
Bloomingdale 039,1066,5,4,7,0,16,4,4,4,0,12,2,7,7,0,16,0,3,6,0,9,53
Bloomingdale 040,1028,2,4,8,0,14,6,3,8,0,17,1,2,8,0,11,0,4,5,0,9,51
Bloomingdale 041,1127,7,4,23,0,34,6,1,8,0,15,1,0,5,0,6,5,4,2,0,11,66
Bloomingdale 042,1305,5,0,6,0,11,4,0,7,0,11,5,0,7,0,12,0,0,3,0,3,37
Bloomingdale 043,1051,3,2,13,0,18,8,4,16,0,28,6,0,8,0,14,3,2,4,0,9,69
