JoinField,Ward,Precinct,La Shawn K. Ford,Jazmin J. Robinson,Melissa Conyears-Ervin,Jason Friedman,Rory Hoskins,Reed Showalter,Anabel Mendoza,"Anthony Driver, Jr.",Richard R. Boykin,Felix Tello,Kina Collins,David Ehrlich,Thomas Fisher,Total Voters
CITY OF CHICAGO:WARD 34 PRECINCT 19,34,19,47,12,45,48,1,23,16,63,11,2,38,5,82,393
CITY OF CHICAGO:WARD 34 PRECINCT 20,34,20,52,2,52,71,4,29,27,45,17,3,13,6,91,412
CITY OF CHICAGO:WARD 36 PRECINCT 17,36,17,26,7,29,8,2,11,29,124,3,2,28,0,16,285
CITY OF CHICAGO:WARD 36 PRECINCT 21,36,21,23,2,34,20,2,19,25,58,10,1,24,3,9,230
CITY OF CHICAGO:WARD 36 PRECINCT 22,36,22,30,8,31,24,2,17,25,139,6,0,35,5,39,361
CITY OF CHICAGO:WARD 36 PRECINCT 23,36,23,34,4,41,29,3,27,27,89,11,3,29,5,35,337
CITY OF CHICAGO:WARD 36 PRECINCT 24,36,24,38,5,22,20,3,30,38,104,6,1,39,6,31,343
CITY OF CHICAGO:WARD 36 PRECINCT 25,36,25,42,7,42,29,2,30,56,85,3,0,45,8,31,380
CITY OF CHICAGO:WARD 36 PRECINCT 26,36,26,41,6,39,24,6,29,31,100,6,3,48,4,29,366
CITY OF CHICAGO:WARD 36 PRECINCT 27,36,27,43,11,39,38,0,24,35,85,7,3,35,1,41,362
CITY OF CHICAGO:WARD 37 PRECINCT 01,37,1,107,3,58,5,2,4,7,7,3,0,10,1,2,209
CITY OF CHICAGO:WARD 37 PRECINCT 03,37,3,118,4,69,4,0,1,2,12,7,1,7,1,3,229
CITY OF CHICAGO:WARD 37 PRECINCT 04,37,4,111,7,92,3,0,1,6,5,11,1,9,0,6,252
CITY OF CHICAGO:WARD 37 PRECINCT 05,37,5,93,1,50,3,2,1,11,6,5,0,5,0,0,177
CITY OF CHICAGO:WARD 37 PRECINCT 06,37,6,179,9,95,2,1,3,6,12,12,0,5,1,0,325
CITY OF CHICAGO:WARD 37 PRECINCT 08,37,8,182,8,98,2,2,3,7,17,10,2,6,0,5,342
CITY OF CHICAGO:WARD 37 PRECINCT 09,37,9,45,3,44,0,1,6,1,2,5,0,3,1,2,113
CITY OF CHICAGO:WARD 37 PRECINCT 10,37,10,83,7,72,2,2,2,10,5,8,5,9,0,2,207
CITY OF CHICAGO:WARD 37 PRECINCT 11,37,11,104,3,75,6,1,0,2,9,8,0,4,0,4,216
CITY OF CHICAGO:WARD 37 PRECINCT 12,37,12,139,11,86,3,3,0,13,11,11,0,10,2,6,295
CITY OF CHICAGO:WARD 37 PRECINCT 13,37,13,47,8,72,7,2,1,10,12,17,0,3,0,2,181
CITY OF CHICAGO:WARD 37 PRECINCT 14,37,14,131,4,93,3,0,4,9,14,18,1,11,0,4,292
CITY OF CHICAGO:WARD 37 PRECINCT 15,37,15,162,8,66,6,0,3,13,5,15,0,6,0,7,291
CITY OF CHICAGO:WARD 37 PRECINCT 16,37,16,159,11,71,7,1,1,14,14,11,1,10,1,3,304
CITY OF CHICAGO:WARD 37 PRECINCT 17,37,17,80,10,30,3,1,3,5,14,5,0,8,0,0,159
CITY OF CHICAGO:WARD 37 PRECINCT 18,37,18,102,7,68,4,2,1,8,8,7,2,12,1,1,223
CITY OF CHICAGO:WARD 37 PRECINCT 20,37,20,191,1,78,4,3,1,9,10,14,1,11,0,3,326
CITY OF CHICAGO:WARD 42 PRECINCT 01,42,1,19,8,41,31,3,2,14,9,9,1,6,2,30,175
CITY OF CHICAGO:WARD 42 PRECINCT 02,42,2,27,2,26,20,0,7,11,16,4,3,12,1,19,148
CITY OF CHICAGO:WARD 42 PRECINCT 03,42,3,56,6,71,103,1,23,31,36,15,0,22,9,100,473
CITY OF CHICAGO:WARD 42 PRECINCT 04,42,4,49,12,39,55,9,21,23,35,11,3,18,4,56,335
CITY OF CHICAGO:WARD 42 PRECINCT 05,42,5,83,15,98,89,8,25,35,42,18,2,30,5,87,537
CITY OF CHICAGO:WARD 42 PRECINCT 06,42,6,27,5,49,56,2,8,21,17,13,2,6,4,43,253
CITY OF CHICAGO:WARD 42 PRECINCT 07,42,7,45,3,43,75,10,9,17,26,16,0,32,8,60,344
CITY OF CHICAGO:WARD 42 PRECINCT 08,42,8,24,5,28,19,3,16,11,29,3,1,24,2,33,198
CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,14,5,20,17,0,7,5,14,8,1,6,2,10,109
CITY OF CHICAGO:WARD 42 PRECINCT 10,42,10,22,7,32,43,2,11,15,21,9,2,7,4,28,203
CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,37,7,23,20,2,17,15,30,9,0,33,2,11,206
CITY OF CHICAGO:WARD 42 PRECINCT 12,42,12,24,4,9,42,5,9,13,34,7,1,24,0,18,190
CITY OF CHICAGO:WARD 42 PRECINCT 13,42,13,22,5,28,30,4,6,11,31,10,0,13,1,23,184
CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,21,1,14,26,1,11,2,14,5,1,7,4,13,120
CITY OF CHICAGO:WARD 42 PRECINCT 15,42,15,17,1,9,16,0,8,3,7,0,0,5,2,3,71
CITY OF CHICAGO:WARD 42 PRECINCT 16,42,16,40,7,29,72,2,24,24,26,8,1,30,4,31,298
CITY OF CHICAGO:WARD 42 PRECINCT 17,42,17,49,5,48,56,3,29,21,49,21,1,34,2,33,351
CITY OF CHICAGO:WARD 42 PRECINCT 18,42,18,19,5,25,41,0,14,11,28,5,0,13,1,21,183
CITY OF CHICAGO:WARD 42 PRECINCT 19,42,19,42,5,51,73,4,33,19,48,14,3,30,4,56,382
CITY OF CHICAGO:WARD 42 PRECINCT 20,42,20,34,3,44,84,7,26,15,30,11,1,24,4,57,340
CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,45,7,39,74,1,17,23,39,14,0,23,3,61,346
CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,43,15,58,75,5,18,15,31,11,2,23,8,39,343
CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,57,3,45,54,2,16,12,38,8,1,17,4,60,317
