JoinField,JoinField_alt,La Shawn K. Ford,Jazmin J. Robinson,Melissa Conyears-Ervin,Jason Friedman,Rory Hoskins,Reed Showalter,Anabel Mendoza,"Anthony Driver, Jr.",Richard R. Boykin,Felix Tello,Kina Collins,David Ehrlich,Thomas Fisher,Total Voters
COOK:8900035,COOK:Proviso Precinct 35,64,6,69,35,8,14,23,12,9,5,15,5,29,294
COOK:8900036,COOK:Proviso Precinct 36,95,13,54,5,8,2,13,22,15,0,10,1,4,242
COOK:8900037,COOK:Proviso Precinct 37,61,9,56,0,0,0,8,9,11,0,4,1,5,164
COOK:8900038,COOK:Proviso Precinct 38,108,6,70,4,5,0,1,10,12,0,12,0,4,232
COOK:8900039,COOK:Proviso Precinct 39,109,7,67,6,14,6,29,20,16,2,12,1,8,297
COOK:8900040,COOK:Proviso Precinct 40,171,9,92,5,11,4,13,19,34,1,11,1,6,377
COOK:8900041,COOK:Proviso Precinct 41,74,2,43,5,3,1,6,9,9,2,3,0,1,158
COOK:8900042,COOK:Proviso Precinct 42,68,5,39,41,5,11,18,18,17,3,13,3,30,271
COOK:8900043,COOK:Proviso Precinct 43,76,5,29,3,1,1,4,9,13,0,7,0,0,148
COOK:8900044,COOK:Proviso Precinct 44,108,9,62,4,3,2,5,12,14,0,6,1,1,227
COOK:8900045,COOK:Proviso Precinct 45,112,8,80,5,6,4,8,16,23,1,7,0,5,275
COOK:8900047,COOK:Proviso Precinct 47,63,4,65,2,8,2,11,13,12,0,7,0,3,190
COOK:8900048,COOK:Proviso Precinct 48,105,7,83,7,1,1,12,12,13,0,12,0,9,262
COOK:8900049,COOK:Proviso Precinct 49,64,6,49,6,4,3,8,5,5,5,4,1,5,165
COOK:8900050,COOK:Proviso Precinct 50,120,9,75,16,8,6,25,32,22,4,25,2,12,356
COOK:8900051,COOK:Proviso Precinct 51,61,4,40,12,7,3,36,18,11,1,16,0,28,237
COOK:8900052,COOK:Proviso Precinct 52,56,3,33,3,1,1,13,6,8,1,5,0,2,132
COOK:8900053,COOK:Proviso Precinct 53,78,6,57,1,1,4,13,14,9,0,7,1,2,193
COOK:8900056,COOK:Proviso Precinct 56,81,4,64,3,12,4,5,28,25,1,14,1,1,243
COOK:8900057,COOK:Proviso Precinct 57,54,4,37,12,5,7,15,14,6,0,10,4,16,184
COOK:8900058,COOK:Proviso Precinct 58,78,9,53,4,3,3,5,5,6,0,11,0,4,181
COOK:8900059,COOK:Proviso Precinct 59,67,2,40,19,5,3,7,3,4,1,11,0,6,168
COOK:8900060,COOK:Proviso Precinct 60,57,8,45,2,4,3,13,12,8,0,10,1,2,165
COOK:8900061,COOK:Proviso Precinct 61,66,6,39,8,49,8,10,34,10,0,46,4,24,304
COOK:8900062,COOK:Proviso Precinct 62,69,10,44,22,55,20,16,29,15,2,27,2,46,357
COOK:8900064,COOK:Proviso Precinct 64,110,3,48,4,1,1,12,9,13,0,5,2,2,210
COOK:8900065,COOK:Proviso Precinct 65,57,7,30,3,35,8,7,11,11,1,18,1,10,199
COOK:8900066,COOK:Proviso Precinct 66,81,9,31,20,80,27,21,43,13,0,46,4,27,402
COOK:8900067,COOK:Proviso Precinct 67,77,8,34,20,102,25,18,45,20,1,44,1,23,418
COOK:8900068,COOK:Proviso Precinct 68,28,0,14,18,29,13,4,27,2,1,24,0,12,172
COOK:8900069,COOK:Proviso Precinct 69,58,7,39,9,2,1,7,7,6,1,10,2,9,158
COOK:8900070,COOK:Proviso Precinct 70,71,3,37,18,2,6,13,16,15,0,8,2,26,217
COOK:8900071,COOK:Proviso Precinct 71,41,8,26,5,2,5,13,8,2,1,6,2,6,125
COOK:8900072,COOK:Proviso Precinct 72,38,5,20,12,69,18,7,28,6,0,40,1,7,251
COOK:8900073,COOK:Proviso Precinct 73,72,8,34,11,110,13,17,60,14,1,47,2,15,404
COOK:8900074,COOK:Proviso Precinct 74,49,7,55,27,11,7,28,32,17,4,19,2,18,276
COOK:8900076,COOK:Proviso Precinct 76,72,5,33,17,59,9,15,49,1,0,38,0,6,304
COOK:8900077,COOK:Proviso Precinct 77,69,6,31,7,3,3,11,10,7,3,10,0,3,163
COOK:8900079,COOK:Proviso Precinct 79,95,8,68,9,3,2,5,12,13,0,10,0,3,228
COOK:8900081,COOK:Proviso Precinct 81,64,6,48,4,4,3,22,9,8,2,5,0,7,182
COOK:8900082,COOK:Proviso Precinct 82,145,13,88,8,7,4,17,10,20,1,11,1,15,340
COOK:8900083,COOK:Proviso Precinct 83,199,16,114,5,4,5,4,20,39,0,5,0,11,422
COOK:8900084,COOK:Proviso Precinct 84,41,3,32,23,4,4,10,17,2,0,10,5,16,167
COOK:8900085,COOK:Proviso Precinct 85,74,18,66,16,9,3,25,13,14,1,15,1,17,272
COOK:8900086,COOK:Proviso Precinct 86,159,13,78,5,5,2,13,7,31,0,7,0,9,329
COOK:9100001,COOK:River Forest Precinct 1,45,1,26,46,21,16,7,11,9,1,51,4,56,294
COOK:9100002,COOK:River Forest Precinct 2,71,7,31,93,42,33,19,26,17,1,90,1,75,506
COOK:9100003,COOK:River Forest Precinct 3,49,2,31,39,23,13,12,21,13,1,51,1,36,292
COOK:9100004,COOK:River Forest Precinct 4,29,3,24,70,27,31,8,27,5,1,52,2,63,342
COOK:9100005,COOK:River Forest Precinct 5,44,5,25,60,30,23,13,36,12,0,89,3,72,412
COOK:9100006,COOK:River Forest Precinct 6,23,2,13,36,12,9,5,17,4,0,30,1,25,177
COOK:9100007,COOK:River Forest Precinct 7,44,2,39,48,14,19,11,27,14,1,69,8,48,344
,COOK:Suburban Cook County,8128,706,4716,2185,1460,2034,1690,3382,1542,94,5003,195,2831,33966
