JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7100035,COOK:Bloom Precinct 35,2,0,2,1,5
COOK:7100036,COOK:Bloom Precinct 36,12,0,2,2,16
COOK:7100037,COOK:Bloom Precinct 37,4,0,1,0,5
COOK:7100038,COOK:Bloom Precinct 38,8,2,6,1,17
COOK:7100039,COOK:Bloom Precinct 39,3,0,4,1,8
COOK:7100040,COOK:Bloom Precinct 40,20,1,17,5,43
COOK:7100041,COOK:Bloom Precinct 41,3,0,6,1,10
COOK:7100042,COOK:Bloom Precinct 42,10,2,7,2,21
COOK:7100043,COOK:Bloom Precinct 43,0,0,0,1,1
COOK:7100044,COOK:Bloom Precinct 44,13,3,13,7,36
COOK:7100045,COOK:Bloom Precinct 45,6,2,7,1,16
COOK:7100046,COOK:Bloom Precinct 46,4,0,6,3,13
COOK:7100047,COOK:Bloom Precinct 47,14,8,20,5,47
COOK:7100048,COOK:Bloom Precinct 48,3,2,9,3,17
COOK:7100049,COOK:Bloom Precinct 49,5,2,3,1,11
COOK:7100050,COOK:Bloom Precinct 50,25,0,6,1,32
COOK:7100051,COOK:Bloom Precinct 51,1,0,2,0,3
COOK:7100052,COOK:Bloom Precinct 52,0,1,3,0,4
COOK:7100053,COOK:Bloom Precinct 53,5,0,9,0,14
COOK:7100054,COOK:Bloom Precinct 54,8,3,8,5,24
COOK:7200001,COOK:Bremen Precinct 1,2,1,2,0,5
COOK:7200002,COOK:Bremen Precinct 2,3,0,2,0,5
COOK:7200003,COOK:Bremen Precinct 3,35,6,32,11,84
COOK:7200004,COOK:Bremen Precinct 4,19,6,17,2,44
COOK:7200005,COOK:Bremen Precinct 5,6,5,13,4,28
COOK:7200006,COOK:Bremen Precinct 6,13,4,26,8,51
COOK:7200007,COOK:Bremen Precinct 7,0,0,2,1,3
COOK:7200008,COOK:Bremen Precinct 8,2,0,2,1,5
COOK:7200009,COOK:Bremen Precinct 9,23,5,17,6,51
COOK:7200010,COOK:Bremen Precinct 10,31,7,16,12,66
COOK:7200011,COOK:Bremen Precinct 11,23,10,24,15,72
COOK:7200012,COOK:Bremen Precinct 12,4,1,5,0,10
COOK:7200013,COOK:Bremen Precinct 13,14,3,18,8,43
COOK:7200014,COOK:Bremen Precinct 14,12,5,10,2,29
COOK:7200015,COOK:Bremen Precinct 15,31,5,49,12,97
COOK:7200016,COOK:Bremen Precinct 16,27,8,30,7,72
COOK:7200017,COOK:Bremen Precinct 17,3,1,1,0,5
COOK:7200018,COOK:Bremen Precinct 18,27,1,21,9,58
COOK:7200019,COOK:Bremen Precinct 19,24,3,24,10,61
COOK:7200020,COOK:Bremen Precinct 20,27,9,36,17,89
COOK:7200021,COOK:Bremen Precinct 21,7,9,7,0,23
COOK:7200022,COOK:Bremen Precinct 22,14,2,19,10,45
COOK:7200023,COOK:Bremen Precinct 23,0,0,0,1,1
COOK:7200024,COOK:Bremen Precinct 24,28,4,25,16,73
COOK:7200025,COOK:Bremen Precinct 25,17,4,30,9,60
COOK:7200026,COOK:Bremen Precinct 26,3,1,1,3,8
COOK:7200027,COOK:Bremen Precinct 27,18,11,30,4,63
