JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 03 PRECINCT 15,3,15,1,1,1,0,3
CITY OF CHICAGO:WARD 03 PRECINCT 16,3,16,2,0,3,2,7
CITY OF CHICAGO:WARD 03 PRECINCT 17,3,17,0,2,2,0,4
CITY OF CHICAGO:WARD 03 PRECINCT 18,3,18,1,0,1,1,3
CITY OF CHICAGO:WARD 03 PRECINCT 19,3,19,12,1,12,5,30
CITY OF CHICAGO:WARD 03 PRECINCT 20,3,20,0,3,1,0,4
CITY OF CHICAGO:WARD 03 PRECINCT 21,3,21,5,2,2,3,12
CITY OF CHICAGO:WARD 03 PRECINCT 22,3,22,2,0,5,1,8
CITY OF CHICAGO:WARD 03 PRECINCT 23,3,23,0,0,3,1,4
CITY OF CHICAGO:WARD 03 PRECINCT 24,3,24,1,2,1,0,4
CITY OF CHICAGO:WARD 03 PRECINCT 25,3,25,29,1,3,3,36
CITY OF CHICAGO:WARD 03 PRECINCT 26,3,26,2,1,1,2,6
CITY OF CHICAGO:WARD 03 PRECINCT 27,3,27,15,2,5,2,24
CITY OF CHICAGO:WARD 04 PRECINCT 01,4,1,5,1,3,0,9
CITY OF CHICAGO:WARD 04 PRECINCT 02,4,2,2,0,3,1,6
CITY OF CHICAGO:WARD 04 PRECINCT 03,4,3,4,0,1,1,6
CITY OF CHICAGO:WARD 04 PRECINCT 04,4,4,1,2,3,0,6
CITY OF CHICAGO:WARD 04 PRECINCT 05,4,5,4,0,1,0,5
CITY OF CHICAGO:WARD 04 PRECINCT 06,4,6,3,2,3,0,8
CITY OF CHICAGO:WARD 04 PRECINCT 07,4,7,1,0,1,2,4
CITY OF CHICAGO:WARD 04 PRECINCT 08,4,8,2,1,2,0,5
CITY OF CHICAGO:WARD 04 PRECINCT 09,4,9,2,1,3,2,8
CITY OF CHICAGO:WARD 04 PRECINCT 10,4,10,1,0,0,3,4
CITY OF CHICAGO:WARD 04 PRECINCT 11,4,11,3,0,1,1,5
CITY OF CHICAGO:WARD 04 PRECINCT 12,4,12,3,0,5,0,8
CITY OF CHICAGO:WARD 04 PRECINCT 13,4,13,6,1,4,1,12
CITY OF CHICAGO:WARD 04 PRECINCT 14,4,14,1,0,3,0,4
CITY OF CHICAGO:WARD 04 PRECINCT 15,4,15,6,0,4,2,12
CITY OF CHICAGO:WARD 04 PRECINCT 16,4,16,3,1,3,1,8
CITY OF CHICAGO:WARD 04 PRECINCT 17,4,17,5,2,1,0,8
CITY OF CHICAGO:WARD 04 PRECINCT 18,4,18,1,0,1,0,2
CITY OF CHICAGO:WARD 04 PRECINCT 19,4,19,1,1,0,1,3
CITY OF CHICAGO:WARD 04 PRECINCT 20,4,20,3,0,1,1,5
CITY OF CHICAGO:WARD 04 PRECINCT 21,4,21,5,0,1,0,6
CITY OF CHICAGO:WARD 04 PRECINCT 22,4,22,3,0,0,2,5
CITY OF CHICAGO:WARD 04 PRECINCT 23,4,23,4,0,1,1,6
CITY OF CHICAGO:WARD 04 PRECINCT 24,4,24,9,2,2,2,15
CITY OF CHICAGO:WARD 04 PRECINCT 25,4,25,12,3,14,3,32
CITY OF CHICAGO:WARD 04 PRECINCT 26,4,26,18,4,10,2,34
CITY OF CHICAGO:WARD 04 PRECINCT 27,4,27,5,3,1,2,11
CITY OF CHICAGO:WARD 04 PRECINCT 28,4,28,13,1,6,3,23
CITY OF CHICAGO:WARD 05 PRECINCT 01,5,1,4,2,6,1,13
CITY OF CHICAGO:WARD 05 PRECINCT 02,5,2,6,1,2,2,11
CITY OF CHICAGO:WARD 05 PRECINCT 03,5,3,3,3,1,1,8
CITY OF CHICAGO:WARD 05 PRECINCT 04,5,4,4,1,6,2,13
CITY OF CHICAGO:WARD 05 PRECINCT 05,5,5,0,1,0,0,1
CITY OF CHICAGO:WARD 05 PRECINCT 06,5,6,1,0,3,0,4
CITY OF CHICAGO:WARD 05 PRECINCT 07,5,7,0,0,0,0,0
CITY OF CHICAGO:WARD 05 PRECINCT 08,5,8,2,0,1,2,5
CITY OF CHICAGO:WARD 05 PRECINCT 09,5,9,2,0,0,0,2
CITY OF CHICAGO:WARD 05 PRECINCT 10,5,10,4,0,3,0,7
CITY OF CHICAGO:WARD 05 PRECINCT 11,5,11,3,0,1,1,5
CITY OF CHICAGO:WARD 05 PRECINCT 12,5,12,6,2,6,1,15
CITY OF CHICAGO:WARD 05 PRECINCT 13,5,13,1,0,0,0,1
CITY OF CHICAGO:WARD 05 PRECINCT 14,5,14,0,3,3,0,6
CITY OF CHICAGO:WARD 05 PRECINCT 15,5,15,3,0,2,0,5
CITY OF CHICAGO:WARD 05 PRECINCT 16,5,16,4,0,4,0,8
CITY OF CHICAGO:WARD 05 PRECINCT 17,5,17,2,0,0,0,2
CITY OF CHICAGO:WARD 05 PRECINCT 18,5,18,6,1,9,1,17
CITY OF CHICAGO:WARD 05 PRECINCT 19,5,19,2,1,3,1,7
CITY OF CHICAGO:WARD 05 PRECINCT 20,5,20,1,0,3,1,5
CITY OF CHICAGO:WARD 05 PRECINCT 21,5,21,2,2,2,0,6
CITY OF CHICAGO:WARD 05 PRECINCT 22,5,22,8,2,2,1,13
CITY OF CHICAGO:WARD 05 PRECINCT 23,5,23,1,2,2,0,5
CITY OF CHICAGO:WARD 05 PRECINCT 24,5,24,2,0,2,0,4
CITY OF CHICAGO:WARD 05 PRECINCT 25,5,25,9,2,4,1,16
CITY OF CHICAGO:WARD 06 PRECINCT 01,6,1,2,1,2,0,5
CITY OF CHICAGO:WARD 06 PRECINCT 02,6,2,1,0,1,0,2
CITY OF CHICAGO:WARD 06 PRECINCT 03,6,3,1,0,0,0,1
CITY OF CHICAGO:WARD 06 PRECINCT 04,6,4,0,0,2,0,2
CITY OF CHICAGO:WARD 06 PRECINCT 05,6,5,1,1,3,0,5
CITY OF CHICAGO:WARD 06 PRECINCT 06,6,6,3,3,1,0,7
CITY OF CHICAGO:WARD 06 PRECINCT 07,6,7,0,2,6,2,10
CITY OF CHICAGO:WARD 06 PRECINCT 08,6,8,1,0,5,0,6
CITY OF CHICAGO:WARD 06 PRECINCT 09,6,9,0,2,1,2,5
