JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 13 PRECINCT 11,13,11,10,1,5,3,19
CITY OF CHICAGO:WARD 13 PRECINCT 12,13,12,4,0,3,0,7
CITY OF CHICAGO:WARD 13 PRECINCT 13,13,13,14,7,12,5,38
CITY OF CHICAGO:WARD 13 PRECINCT 14,13,14,5,6,11,2,24
CITY OF CHICAGO:WARD 13 PRECINCT 15,13,15,11,4,9,2,26
CITY OF CHICAGO:WARD 13 PRECINCT 16,13,16,11,5,4,3,23
CITY OF CHICAGO:WARD 13 PRECINCT 17,13,17,10,4,7,3,24
CITY OF CHICAGO:WARD 13 PRECINCT 18,13,18,14,0,5,3,22
CITY OF CHICAGO:WARD 13 PRECINCT 19,13,19,12,2,11,2,27
CITY OF CHICAGO:WARD 13 PRECINCT 20,13,20,13,4,15,0,32
CITY OF CHICAGO:WARD 13 PRECINCT 21,13,21,10,1,12,6,29
CITY OF CHICAGO:WARD 13 PRECINCT 22,13,22,4,3,7,1,15
CITY OF CHICAGO:WARD 13 PRECINCT 23,13,23,27,7,8,1,43
CITY OF CHICAGO:WARD 13 PRECINCT 24,13,24,9,5,10,1,25
CITY OF CHICAGO:WARD 13 PRECINCT 25,13,25,12,4,4,2,22
CITY OF CHICAGO:WARD 13 PRECINCT 26,13,26,8,1,5,1,15
CITY OF CHICAGO:WARD 13 PRECINCT 27,13,27,6,1,2,0,9
CITY OF CHICAGO:WARD 13 PRECINCT 28,13,28,2,1,1,1,5
CITY OF CHICAGO:WARD 13 PRECINCT 29,13,29,6,1,3,1,11
CITY OF CHICAGO:WARD 13 PRECINCT 30,13,30,15,3,11,4,33
CITY OF CHICAGO:WARD 13 PRECINCT 31,13,31,7,6,7,5,25
CITY OF CHICAGO:WARD 13 PRECINCT 32,13,32,9,4,7,1,21
CITY OF CHICAGO:WARD 13 PRECINCT 33,13,33,2,2,11,4,19
CITY OF CHICAGO:WARD 13 PRECINCT 34,13,34,22,11,7,6,46
CITY OF CHICAGO:WARD 13 PRECINCT 35,13,35,9,5,15,3,32
CITY OF CHICAGO:WARD 13 PRECINCT 36,13,36,7,0,0,2,9
CITY OF CHICAGO:WARD 13 PRECINCT 37,13,37,33,8,16,12,69
CITY OF CHICAGO:WARD 13 PRECINCT 38,13,38,2,4,4,0,10
CITY OF CHICAGO:WARD 13 PRECINCT 39,13,39,17,0,13,7,37
CITY OF CHICAGO:WARD 13 PRECINCT 40,13,40,14,6,1,5,26
CITY OF CHICAGO:WARD 14 PRECINCT 01,14,1,7,7,7,0,21
CITY OF CHICAGO:WARD 14 PRECINCT 02,14,2,3,2,6,1,12
CITY OF CHICAGO:WARD 14 PRECINCT 03,14,3,9,1,2,1,13
CITY OF CHICAGO:WARD 14 PRECINCT 04,14,4,1,0,1,0,2
CITY OF CHICAGO:WARD 14 PRECINCT 05,14,5,1,0,3,2,6
CITY OF CHICAGO:WARD 14 PRECINCT 06,14,6,7,1,7,1,16
CITY OF CHICAGO:WARD 14 PRECINCT 07,14,7,21,3,10,2,36
CITY OF CHICAGO:WARD 14 PRECINCT 08,14,8,14,3,12,1,30
CITY OF CHICAGO:WARD 14 PRECINCT 09,14,9,7,1,7,3,18
CITY OF CHICAGO:WARD 14 PRECINCT 10,14,10,1,3,2,1,7
CITY OF CHICAGO:WARD 14 PRECINCT 11,14,11,4,0,6,1,11
CITY OF CHICAGO:WARD 14 PRECINCT 12,14,12,1,1,3,3,8
CITY OF CHICAGO:WARD 14 PRECINCT 13,14,13,19,1,8,1,29
CITY OF CHICAGO:WARD 14 PRECINCT 14,14,14,3,3,1,3,10
CITY OF CHICAGO:WARD 14 PRECINCT 15,14,15,4,0,6,0,10
CITY OF CHICAGO:WARD 15 PRECINCT 01,15,1,8,2,20,3,33
CITY OF CHICAGO:WARD 15 PRECINCT 02,15,2,21,4,22,3,50
CITY OF CHICAGO:WARD 15 PRECINCT 03,15,3,7,1,6,1,15
CITY OF CHICAGO:WARD 15 PRECINCT 04,15,4,2,1,2,1,6
CITY OF CHICAGO:WARD 15 PRECINCT 05,15,5,4,0,2,1,7
CITY OF CHICAGO:WARD 15 PRECINCT 06,15,6,2,1,2,0,5
CITY OF CHICAGO:WARD 15 PRECINCT 07,15,7,0,0,0,0,0
CITY OF CHICAGO:WARD 15 PRECINCT 08,15,8,5,3,2,3,13
CITY OF CHICAGO:WARD 15 PRECINCT 09,15,9,8,1,11,1,21
CITY OF CHICAGO:WARD 15 PRECINCT 10,15,10,0,1,0,0,1
CITY OF CHICAGO:WARD 15 PRECINCT 11,15,11,2,1,0,0,3
CITY OF CHICAGO:WARD 15 PRECINCT 12,15,12,5,3,1,0,9
CITY OF CHICAGO:WARD 15 PRECINCT 13,15,13,1,2,1,2,6
CITY OF CHICAGO:WARD 15 PRECINCT 14,15,14,0,1,1,1,3
CITY OF CHICAGO:WARD 15 PRECINCT 15,15,15,1,0,1,0,2
CITY OF CHICAGO:WARD 15 PRECINCT 16,15,16,6,0,2,0,8
CITY OF CHICAGO:WARD 15 PRECINCT 17,15,17,1,1,0,3,5
CITY OF CHICAGO:WARD 15 PRECINCT 18,15,18,0,0,2,0,2
CITY OF CHICAGO:WARD 15 PRECINCT 19,15,19,1,0,2,1,4
CITY OF CHICAGO:WARD 15 PRECINCT 20,15,20,5,1,1,0,7
CITY OF CHICAGO:WARD 16 PRECINCT 01,16,1,1,2,3,0,6
CITY OF CHICAGO:WARD 16 PRECINCT 02,16,2,2,1,0,0,3
CITY OF CHICAGO:WARD 16 PRECINCT 03,16,3,1,2,1,0,4
CITY OF CHICAGO:WARD 16 PRECINCT 04,16,4,1,2,0,0,3
CITY OF CHICAGO:WARD 16 PRECINCT 05,16,5,2,2,0,2,6
CITY OF CHICAGO:WARD 16 PRECINCT 06,16,6,1,1,2,0,4
CITY OF CHICAGO:WARD 16 PRECINCT 07,16,7,3,1,3,0,7
CITY OF CHICAGO:WARD 16 PRECINCT 08,16,8,0,0,2,1,3
CITY OF CHICAGO:WARD 16 PRECINCT 09,16,9,1,0,1,0,2
CITY OF CHICAGO:WARD 16 PRECINCT 10,16,10,2,0,1,0,3
CITY OF CHICAGO:WARD 16 PRECINCT 11,16,11,1,0,1,1,3
CITY OF CHICAGO:WARD 16 PRECINCT 12,16,12,0,1,3,1,5
CITY OF CHICAGO:WARD 16 PRECINCT 13,16,13,0,2,0,0,2
CITY OF CHICAGO:WARD 16 PRECINCT 14,16,14,2,1,3,0,6
CITY OF CHICAGO:WARD 16 PRECINCT 15,16,15,2,0,2,0,4
CITY OF CHICAGO:WARD 16 PRECINCT 16,16,16,0,0,2,0,2
CITY OF CHICAGO:WARD 16 PRECINCT 17,16,17,1,1,4,2,8
CITY OF CHICAGO:WARD 16 PRECINCT 18,16,18,3,1,1,1,6
CITY OF CHICAGO:WARD 16 PRECINCT 19,16,19,3,1,6,0,10
CITY OF CHICAGO:WARD 16 PRECINCT 20,16,20,0,2,1,2,5
CITY OF CHICAGO:WARD 16 PRECINCT 21,16,21,0,0,2,2,4
CITY OF CHICAGO:WARD 16 PRECINCT 22,16,22,1,1,3,2,7
CITY OF CHICAGO:WARD 16 PRECINCT 23,16,23,3,2,4,0,9
CITY OF CHICAGO:WARD 16 PRECINCT 24,16,24,1,0,0,0,1
CITY OF CHICAGO:WARD 16 PRECINCT 25,16,25,2,1,1,0,4
CITY OF CHICAGO:WARD 17 PRECINCT 01,17,1,6,3,5,2,16
CITY OF CHICAGO:WARD 17 PRECINCT 02,17,2,4,2,4,0,10
CITY OF CHICAGO:WARD 17 PRECINCT 03,17,3,3,0,1,0,4
CITY OF CHICAGO:WARD 17 PRECINCT 04,17,4,1,0,0,0,1
CITY OF CHICAGO:WARD 17 PRECINCT 05,17,5,0,1,2,1,4
CITY OF CHICAGO:WARD 17 PRECINCT 06,17,6,2,0,1,0,3
CITY OF CHICAGO:WARD 17 PRECINCT 07,17,7,1,0,0,0,1
CITY OF CHICAGO:WARD 17 PRECINCT 08,17,8,1,0,0,0,1
CITY OF CHICAGO:WARD 17 PRECINCT 09,17,9,1,0,2,1,4
CITY OF CHICAGO:WARD 17 PRECINCT 10,17,10,4,1,3,0,8
CITY OF CHICAGO:WARD 17 PRECINCT 11,17,11,0,1,2,1,4
CITY OF CHICAGO:WARD 17 PRECINCT 12,17,12,0,0,1,0,1
CITY OF CHICAGO:WARD 17 PRECINCT 13,17,13,2,1,1,0,4
CITY OF CHICAGO:WARD 17 PRECINCT 14,17,14,1,0,2,1,4
CITY OF CHICAGO:WARD 17 PRECINCT 15,17,15,3,1,3,1,8
CITY OF CHICAGO:WARD 17 PRECINCT 16,17,16,0,2,1,0,3
CITY OF CHICAGO:WARD 17 PRECINCT 17,17,17,1,4,0,1,6
CITY OF CHICAGO:WARD 17 PRECINCT 18,17,18,0,0,1,0,1
CITY OF CHICAGO:WARD 17 PRECINCT 19,17,19,5,1,4,1,11
CITY OF CHICAGO:WARD 17 PRECINCT 20,17,20,0,2,4,1,7
CITY OF CHICAGO:WARD 17 PRECINCT 21,17,21,2,2,2,0,6
CITY OF CHICAGO:WARD 17 PRECINCT 22,17,22,1,1,4,0,6
CITY OF CHICAGO:WARD 17 PRECINCT 23,17,23,0,0,0,0,0
CITY OF CHICAGO:WARD 17 PRECINCT 24,17,24,1,1,2,0,4
CITY OF CHICAGO:WARD 17 PRECINCT 25,17,25,1,0,1,3,5
CITY OF CHICAGO:WARD 17 PRECINCT 26,17,26,1,1,1,0,3
CITY OF CHICAGO:WARD 17 PRECINCT 27,17,27,2,1,2,2,7
CITY OF CHICAGO:WARD 17 PRECINCT 28,17,28,5,1,3,0,9
CITY OF CHICAGO:WARD 17 PRECINCT 29,17,29,2,2,7,1,12
CITY OF CHICAGO:WARD 18 PRECINCT 01,18,1,3,2,4,2,11
CITY OF CHICAGO:WARD 18 PRECINCT 02,18,2,1,0,6,0,7
CITY OF CHICAGO:WARD 18 PRECINCT 03,18,3,3,1,1,1,6
CITY OF CHICAGO:WARD 18 PRECINCT 04,18,4,4,1,7,1,13
CITY OF CHICAGO:WARD 18 PRECINCT 05,18,5,1,0,2,0,3
CITY OF CHICAGO:WARD 18 PRECINCT 06,18,6,2,2,2,3,9
CITY OF CHICAGO:WARD 18 PRECINCT 07,18,7,3,0,6,0,9
CITY OF CHICAGO:WARD 18 PRECINCT 08,18,8,8,0,7,1,16
CITY OF CHICAGO:WARD 18 PRECINCT 09,18,9,4,0,4,0,8
CITY OF CHICAGO:WARD 18 PRECINCT 10,18,10,3,1,8,4,16
CITY OF CHICAGO:WARD 18 PRECINCT 11,18,11,0,0,4,0,4
CITY OF CHICAGO:WARD 18 PRECINCT 12,18,12,2,1,4,3,10
CITY OF CHICAGO:WARD 18 PRECINCT 13,18,13,5,4,10,2,21
CITY OF CHICAGO:WARD 18 PRECINCT 14,18,14,1,0,4,1,6
CITY OF CHICAGO:WARD 18 PRECINCT 15,18,15,5,3,1,2,11
CITY OF CHICAGO:WARD 18 PRECINCT 16,18,16,4,2,2,1,9
CITY OF CHICAGO:WARD 18 PRECINCT 17,18,17,3,1,3,0,7
CITY OF CHICAGO:WARD 18 PRECINCT 18,18,18,7,1,7,0,15
CITY OF CHICAGO:WARD 18 PRECINCT 19,18,19,3,1,7,1,12
CITY OF CHICAGO:WARD 18 PRECINCT 20,18,20,3,0,8,0,11
CITY OF CHICAGO:WARD 18 PRECINCT 21,18,21,5,0,3,1,9
CITY OF CHICAGO:WARD 18 PRECINCT 22,18,22,6,1,22,3,32
CITY OF CHICAGO:WARD 18 PRECINCT 23,18,23,15,1,23,6,45
CITY OF CHICAGO:WARD 18 PRECINCT 24,18,24,10,9,11,4,34
CITY OF CHICAGO:WARD 18 PRECINCT 25,18,25,11,5,5,2,23
CITY OF CHICAGO:WARD 18 PRECINCT 26,18,26,11,3,11,1,26
CITY OF CHICAGO:WARD 19 PRECINCT 01,19,1,19,5,19,7,50
CITY OF CHICAGO:WARD 19 PRECINCT 02,19,2,12,3,8,2,25
CITY OF CHICAGO:WARD 19 PRECINCT 03,19,3,33,6,30,10,79
CITY OF CHICAGO:WARD 19 PRECINCT 04,19,4,33,6,26,7,72
CITY OF CHICAGO:WARD 19 PRECINCT 05,19,5,14,0,5,2,21
CITY OF CHICAGO:WARD 19 PRECINCT 06,19,6,27,7,21,3,58
CITY OF CHICAGO:WARD 19 PRECINCT 07,19,7,42,8,29,3,82
CITY OF CHICAGO:WARD 19 PRECINCT 08,19,8,3,2,4,2,11
CITY OF CHICAGO:WARD 19 PRECINCT 09,19,9,2,1,4,0,7
CITY OF CHICAGO:WARD 19 PRECINCT 10,19,10,9,1,5,1,16
CITY OF CHICAGO:WARD 19 PRECINCT 11,19,11,32,13,20,8,73
CITY OF CHICAGO:WARD 19 PRECINCT 12,19,12,32,15,33,3,83
CITY OF CHICAGO:WARD 19 PRECINCT 13,19,13,3,0,0,0,3
CITY OF CHICAGO:WARD 19 PRECINCT 14,19,14,19,2,5,5,31
CITY OF CHICAGO:WARD 19 PRECINCT 15,19,15,36,10,35,6,87
CITY OF CHICAGO:WARD 19 PRECINCT 16,19,16,29,9,31,9,78
CITY OF CHICAGO:WARD 19 PRECINCT 17,19,17,32,2,8,2,44
CITY OF CHICAGO:WARD 19 PRECINCT 18,19,18,36,4,32,5,77
CITY OF CHICAGO:WARD 19 PRECINCT 19,19,19,8,4,8,0,20
CITY OF CHICAGO:WARD 19 PRECINCT 20,19,20,3,1,5,1,10
CITY OF CHICAGO:WARD 19 PRECINCT 21,19,21,33,4,32,16,85
CITY OF CHICAGO:WARD 19 PRECINCT 22,19,22,22,5,17,0,44
CITY OF CHICAGO:WARD 19 PRECINCT 23,19,23,21,5,16,9,51
CITY OF CHICAGO:WARD 19 PRECINCT 24,19,24,38,6,32,4,80
CITY OF CHICAGO:WARD 19 PRECINCT 25,19,25,14,1,8,1,24
CITY OF CHICAGO:WARD 19 PRECINCT 26,19,26,24,0,12,2,38
CITY OF CHICAGO:WARD 19 PRECINCT 27,19,27,5,3,12,7,27
CITY OF CHICAGO:WARD 19 PRECINCT 28,19,28,9,4,8,3,24
CITY OF CHICAGO:WARD 19 PRECINCT 29,19,29,32,19,46,13,110
CITY OF CHICAGO:WARD 19 PRECINCT 30,19,30,36,6,23,9,74
CITY OF CHICAGO:WARD 19 PRECINCT 31,19,31,29,7,12,4,52
CITY OF CHICAGO:WARD 19 PRECINCT 32,19,32,8,3,7,0,18
CITY OF CHICAGO:WARD 19 PRECINCT 33,19,33,18,6,29,4,57
CITY OF CHICAGO:WARD 19 PRECINCT 34,19,34,29,3,26,5,63
CITY OF CHICAGO:WARD 19 PRECINCT 35,19,35,19,2,13,1,35
CITY OF CHICAGO:WARD 19 PRECINCT 36,19,36,10,2,14,4,30
CITY OF CHICAGO:WARD 20 PRECINCT 01,20,1,2,1,2,0,5
CITY OF CHICAGO:WARD 20 PRECINCT 02,20,2,1,1,2,0,4
CITY OF CHICAGO:WARD 20 PRECINCT 03,20,3,3,1,0,0,4
CITY OF CHICAGO:WARD 20 PRECINCT 04,20,4,0,0,1,0,1
CITY OF CHICAGO:WARD 20 PRECINCT 05,20,5,0,0,1,1,2
CITY OF CHICAGO:WARD 20 PRECINCT 06,20,6,0,2,1,1,4
CITY OF CHICAGO:WARD 20 PRECINCT 07,20,7,5,0,5,0,10
CITY OF CHICAGO:WARD 20 PRECINCT 08,20,8,1,1,1,0,3
CITY OF CHICAGO:WARD 20 PRECINCT 09,20,9,5,0,3,0,8
CITY OF CHICAGO:WARD 20 PRECINCT 10,20,10,4,1,3,0,8
CITY OF CHICAGO:WARD 20 PRECINCT 11,20,11,3,1,5,0,9
CITY OF CHICAGO:WARD 20 PRECINCT 12,20,12,1,0,0,0,1
CITY OF CHICAGO:WARD 20 PRECINCT 13,20,13,3,0,6,1,10
CITY OF CHICAGO:WARD 20 PRECINCT 14,20,14,2,1,1,0,4
CITY OF CHICAGO:WARD 20 PRECINCT 15,20,15,1,0,2,2,5
CITY OF CHICAGO:WARD 20 PRECINCT 16,20,16,1,0,6,1,8
CITY OF CHICAGO:WARD 20 PRECINCT 17,20,17,6,1,2,1,10
CITY OF CHICAGO:WARD 20 PRECINCT 18,20,18,4,1,5,2,12
CITY OF CHICAGO:WARD 20 PRECINCT 19,20,19,1,0,3,1,5
CITY OF CHICAGO:WARD 20 PRECINCT 20,20,20,1,1,0,0,2
CITY OF CHICAGO:WARD 20 PRECINCT 21,20,21,3,5,5,0,13
CITY OF CHICAGO:WARD 20 PRECINCT 22,20,22,9,4,4,1,18
CITY OF CHICAGO:WARD 20 PRECINCT 23,20,23,0,0,3,0,3
CITY OF CHICAGO:WARD 21 PRECINCT 01,21,1,2,0,3,1,6
CITY OF CHICAGO:WARD 21 PRECINCT 02,21,2,2,0,1,0,3
CITY OF CHICAGO:WARD 21 PRECINCT 03,21,3,5,1,3,2,11
CITY OF CHICAGO:WARD 21 PRECINCT 04,21,4,0,0,2,0,2
CITY OF CHICAGO:WARD 21 PRECINCT 05,21,5,2,0,2,0,4
CITY OF CHICAGO:WARD 21 PRECINCT 06,21,6,1,5,6,1,13
CITY OF CHICAGO:WARD 21 PRECINCT 07,21,7,4,1,4,0,9
CITY OF CHICAGO:WARD 21 PRECINCT 08,21,8,1,2,2,1,6
CITY OF CHICAGO:WARD 21 PRECINCT 09,21,9,3,2,0,1,6
CITY OF CHICAGO:WARD 21 PRECINCT 10,21,10,3,1,3,0,7
CITY OF CHICAGO:WARD 21 PRECINCT 11,21,11,2,1,4,5,12
CITY OF CHICAGO:WARD 21 PRECINCT 12,21,12,3,0,1,0,4
CITY OF CHICAGO:WARD 21 PRECINCT 13,21,13,6,1,2,2,11
CITY OF CHICAGO:WARD 21 PRECINCT 14,21,14,2,0,4,3,9
CITY OF CHICAGO:WARD 21 PRECINCT 15,21,15,1,1,6,2,10
CITY OF CHICAGO:WARD 21 PRECINCT 16,21,16,1,2,3,0,6
CITY OF CHICAGO:WARD 21 PRECINCT 17,21,17,2,0,2,0,4
CITY OF CHICAGO:WARD 21 PRECINCT 18,21,18,2,2,2,0,6
CITY OF CHICAGO:WARD 21 PRECINCT 19,21,19,0,0,4,0,4
CITY OF CHICAGO:WARD 21 PRECINCT 20,21,20,3,2,4,1,10
CITY OF CHICAGO:WARD 21 PRECINCT 21,21,21,1,1,2,0,4
CITY OF CHICAGO:WARD 21 PRECINCT 22,21,22,2,0,5,0,7
CITY OF CHICAGO:WARD 21 PRECINCT 23,21,23,7,0,1,0,8
CITY OF CHICAGO:WARD 21 PRECINCT 24,21,24,1,2,0,1,4
CITY OF CHICAGO:WARD 21 PRECINCT 25,21,25,1,1,1,0,3
CITY OF CHICAGO:WARD 21 PRECINCT 26,21,26,1,0,0,0,1
CITY OF CHICAGO:WARD 21 PRECINCT 27,21,27,6,1,6,1,14
CITY OF CHICAGO:WARD 21 PRECINCT 28,21,28,4,4,0,2,10
CITY OF CHICAGO:WARD 21 PRECINCT 29,21,29,6,0,5,1,12
CITY OF CHICAGO:WARD 22 PRECINCT 01,22,1,1,0,1,0,2
CITY OF CHICAGO:WARD 22 PRECINCT 02,22,2,4,1,1,0,6
CITY OF CHICAGO:WARD 22 PRECINCT 03,22,3,7,1,2,1,11
CITY OF CHICAGO:WARD 22 PRECINCT 04,22,4,1,1,0,0,2
CITY OF CHICAGO:WARD 22 PRECINCT 05,22,5,9,5,3,1,18
CITY OF CHICAGO:WARD 22 PRECINCT 06,22,6,2,3,2,1,8
CITY OF CHICAGO:WARD 22 PRECINCT 07,22,7,1,0,3,1,5
CITY OF CHICAGO:WARD 22 PRECINCT 08,22,8,1,2,3,2,8
CITY OF CHICAGO:WARD 22 PRECINCT 09,22,9,0,0,1,0,1
CITY OF CHICAGO:WARD 22 PRECINCT 10,22,10,1,1,2,1,5
CITY OF CHICAGO:WARD 22 PRECINCT 11,22,11,2,1,7,3,13
CITY OF CHICAGO:WARD 22 PRECINCT 12,22,12,6,1,4,0,11
CITY OF CHICAGO:WARD 22 PRECINCT 13,22,13,1,4,2,0,7
CITY OF CHICAGO:WARD 22 PRECINCT 14,22,14,1,5,3,1,10
CITY OF CHICAGO:WARD 22 PRECINCT 15,22,15,1,0,1,1,3
CITY OF CHICAGO:WARD 22 PRECINCT 16,22,16,8,5,4,0,17
CITY OF CHICAGO:WARD 22 PRECINCT 17,22,17,1,1,2,0,4
CITY OF CHICAGO:WARD 22 PRECINCT 18,22,18,2,1,0,2,5
CITY OF CHICAGO:WARD 22 PRECINCT 19,22,19,9,6,14,2,31
CITY OF CHICAGO:WARD 23 PRECINCT 01,23,1,5,1,7,1,14
CITY OF CHICAGO:WARD 23 PRECINCT 02,23,2,26,6,34,4,70
CITY OF CHICAGO:WARD 23 PRECINCT 03,23,3,12,3,10,1,26
CITY OF CHICAGO:WARD 23 PRECINCT 04,23,4,6,5,12,0,23
CITY OF CHICAGO:WARD 23 PRECINCT 05,23,5,22,7,19,6,54
CITY OF CHICAGO:WARD 23 PRECINCT 06,23,6,20,7,9,4,40
CITY OF CHICAGO:WARD 23 PRECINCT 07,23,7,9,12,15,5,41
CITY OF CHICAGO:WARD 23 PRECINCT 08,23,8,20,1,5,7,33
CITY OF CHICAGO:WARD 23 PRECINCT 09,23,9,34,5,14,7,60
CITY OF CHICAGO:WARD 23 PRECINCT 10,23,10,20,5,12,1,38
CITY OF CHICAGO:WARD 23 PRECINCT 11,23,11,14,0,4,1,19
CITY OF CHICAGO:WARD 23 PRECINCT 12,23,12,15,5,11,4,35
CITY OF CHICAGO:WARD 23 PRECINCT 13,23,13,35,0,12,5,52
CITY OF CHICAGO:WARD 23 PRECINCT 14,23,14,18,2,8,1,29
CITY OF CHICAGO:WARD 23 PRECINCT 15,23,15,14,2,9,1,26
CITY OF CHICAGO:WARD 23 PRECINCT 16,23,16,3,3,8,2,16
CITY OF CHICAGO:WARD 23 PRECINCT 17,23,17,6,1,4,0,11
CITY OF CHICAGO:WARD 23 PRECINCT 18,23,18,4,1,3,2,10
CITY OF CHICAGO:WARD 23 PRECINCT 19,23,19,4,0,0,1,5
CITY OF CHICAGO:WARD 23 PRECINCT 20,23,20,5,0,5,0,10
CITY OF CHICAGO:WARD 23 PRECINCT 21,23,21,3,0,3,2,8
CITY OF CHICAGO:WARD 23 PRECINCT 22,23,22,8,1,2,3,14
CITY OF CHICAGO:WARD 23 PRECINCT 23,23,23,2,1,4,0,7
CITY OF CHICAGO:WARD 23 PRECINCT 24,23,24,4,1,3,0,8
CITY OF CHICAGO:WARD 23 PRECINCT 25,23,25,2,0,4,0,6
CITY OF CHICAGO:WARD 23 PRECINCT 26,23,26,3,0,2,0,5
CITY OF CHICAGO:WARD 23 PRECINCT 27,23,27,2,1,5,1,9
CITY OF CHICAGO:WARD 23 PRECINCT 28,23,28,2,1,7,1,11
CITY OF CHICAGO:WARD 23 PRECINCT 29,23,29,1,2,4,1,8
CITY OF CHICAGO:WARD 23 PRECINCT 30,23,30,2,0,3,0,5
CITY OF CHICAGO:WARD 23 PRECINCT 31,23,31,2,3,3,1,9
CITY OF CHICAGO:WARD 23 PRECINCT 32,23,32,1,1,1,0,3
CITY OF CHICAGO:WARD 23 PRECINCT 33,23,33,10,1,7,2,20
CITY OF CHICAGO:WARD 24 PRECINCT 01,24,1,1,0,1,1,3
CITY OF CHICAGO:WARD 24 PRECINCT 02,24,2,0,1,3,0,4
CITY OF CHICAGO:WARD 24 PRECINCT 03,24,3,5,2,4,1,12
CITY OF CHICAGO:WARD 24 PRECINCT 04,24,4,3,0,1,0,4
CITY OF CHICAGO:WARD 24 PRECINCT 05,24,5,3,1,4,0,8
CITY OF CHICAGO:WARD 24 PRECINCT 06,24,6,0,1,0,0,1
CITY OF CHICAGO:WARD 24 PRECINCT 07,24,7,0,0,1,0,1
CITY OF CHICAGO:WARD 24 PRECINCT 08,24,8,2,2,1,1,6
CITY OF CHICAGO:WARD 24 PRECINCT 09,24,9,4,2,1,1,8
CITY OF CHICAGO:WARD 24 PRECINCT 10,24,10,0,1,0,0,1
CITY OF CHICAGO:WARD 24 PRECINCT 11,24,11,0,0,5,0,5
CITY OF CHICAGO:WARD 24 PRECINCT 12,24,12,1,0,3,3,7
CITY OF CHICAGO:WARD 24 PRECINCT 13,24,13,2,2,2,0,6
CITY OF CHICAGO:WARD 24 PRECINCT 14,24,14,1,2,4,2,9
CITY OF CHICAGO:WARD 24 PRECINCT 15,24,15,0,1,2,0,3
CITY OF CHICAGO:WARD 24 PRECINCT 16,24,16,2,0,1,0,3
CITY OF CHICAGO:WARD 24 PRECINCT 17,24,17,6,2,0,2,10
CITY OF CHICAGO:WARD 24 PRECINCT 18,24,18,2,3,1,1,7
CITY OF CHICAGO:WARD 24 PRECINCT 19,24,19,41,35,42,19,137
CITY OF CHICAGO:WARD 24 PRECINCT 20,24,20,1,0,2,1,4
CITY OF CHICAGO:WARD 25 PRECINCT 01,25,1,3,0,0,0,3
CITY OF CHICAGO:WARD 25 PRECINCT 02,25,2,1,1,1,2,5
CITY OF CHICAGO:WARD 25 PRECINCT 03,25,3,3,4,2,0,9
CITY OF CHICAGO:WARD 25 PRECINCT 04,25,4,3,6,1,4,14
CITY OF CHICAGO:WARD 25 PRECINCT 05,25,5,3,1,6,0,10
CITY OF CHICAGO:WARD 25 PRECINCT 06,25,6,7,3,6,0,16
CITY OF CHICAGO:WARD 25 PRECINCT 07,25,7,2,2,7,0,11
CITY OF CHICAGO:WARD 25 PRECINCT 08,25,8,3,1,5,2,11
CITY OF CHICAGO:WARD 25 PRECINCT 09,25,9,1,2,0,4,7
CITY OF CHICAGO:WARD 25 PRECINCT 10,25,10,5,2,1,0,8
CITY OF CHICAGO:WARD 25 PRECINCT 11,25,11,3,1,2,2,8
CITY OF CHICAGO:WARD 25 PRECINCT 12,25,12,3,2,4,0,9
CITY OF CHICAGO:WARD 25 PRECINCT 13,25,13,2,3,7,2,14
CITY OF CHICAGO:WARD 25 PRECINCT 14,25,14,8,1,6,0,15
CITY OF CHICAGO:WARD 25 PRECINCT 15,25,15,15,1,8,0,24
CITY OF CHICAGO:WARD 25 PRECINCT 16,25,16,7,3,3,0,13
CITY OF CHICAGO:WARD 25 PRECINCT 17,25,17,3,0,4,1,8
CITY OF CHICAGO:WARD 26 PRECINCT 01,26,1,2,0,3,0,5
CITY OF CHICAGO:WARD 26 PRECINCT 02,26,2,4,2,1,0,7
CITY OF CHICAGO:WARD 26 PRECINCT 03,26,3,3,1,1,1,6
CITY OF CHICAGO:WARD 26 PRECINCT 04,26,4,6,3,17,3,29
CITY OF CHICAGO:WARD 26 PRECINCT 05,26,5,1,4,4,0,9
CITY OF CHICAGO:WARD 26 PRECINCT 06,26,6,1,1,3,1,6
CITY OF CHICAGO:WARD 26 PRECINCT 07,26,7,3,3,3,0,9
CITY OF CHICAGO:WARD 26 PRECINCT 08,26,8,3,2,1,0,6
CITY OF CHICAGO:WARD 26 PRECINCT 09,26,9,5,1,3,0,9
CITY OF CHICAGO:WARD 26 PRECINCT 10,26,10,1,2,0,0,3
CITY OF CHICAGO:WARD 26 PRECINCT 11,26,11,2,0,0,1,3
CITY OF CHICAGO:WARD 26 PRECINCT 12,26,12,0,0,1,0,1
CITY OF CHICAGO:WARD 26 PRECINCT 13,26,13,0,1,1,0,2
CITY OF CHICAGO:WARD 26 PRECINCT 14,26,14,2,3,3,0,8
CITY OF CHICAGO:WARD 26 PRECINCT 15,26,15,2,1,0,1,4
CITY OF CHICAGO:WARD 26 PRECINCT 16,26,16,1,1,1,0,3
CITY OF CHICAGO:WARD 26 PRECINCT 17,26,17,1,1,4,0,6
