JoinField,Ted Dabrowski / Carrie Mendoza,James Mendrick / Robert Renteria,Darren Bailey / Aaron B. Del Mar,Rick Heidner / Christina Neitzke-Troike,Total Voters
LAKE:VERNON 263,60,5,24,3,92
LAKE:VERNON 264,9,0,12,4,25
LAKE:VERNON 265,20,2,10,2,34
LAKE:VERNON 266,16,4,6,5,31
LAKE:VERNON 267,13,0,13,5,31
LAKE:VERNON 268,21,3,16,5,45
LAKE:VERNON 269,15,2,10,3,30
LAKE:VERNON 270,13,2,4,4,23
LAKE:VERNON 271,13,2,11,4,30
LAKE:VERNON 272,27,5,18,10,60
LAKE:VERNON 273,23,1,4,4,32
LAKE:VERNON 274,67,1,4,2,74
LAKE:VERNON 275,14,4,13,7,38
LAKE:VERNON 276,16,2,10,3,31
LAKE:VERNON 277,11,3,8,0,22
LAKE:VERNON 278,11,1,2,0,14
LAKE:VERNON 279,20,5,15,4,44
LAKE:VERNON 280,13,1,11,4,29
LAKE:VERNON 281,58,1,11,1,71
LAKE:VERNON 282,30,2,10,7,49
LAKE:VERNON 283,19,2,6,6,33
LAKE:VERNON 284,12,2,13,5,32
LAKE:VERNON 285,19,1,2,2,24
LAKE:VERNON 286,7,0,7,4,18
LAKE:VERNON 287,8,2,9,3,22
LAKE:VERNON 288,41,4,4,3,52
LAKE:VERNON 289,24,4,10,0,38
LAKE:VERNON 290,15,4,13,3,35
LAKE:VERNON 291,13,4,11,7,35
LAKE:VERNON 292,6,2,6,1,15
LAKE:VERNON 293,17,1,6,2,26
LAKE:VERNON 294,19,5,15,2,41
LAKE:VERNON 295,19,5,13,3,40
LAKE:VERNON 296,13,7,0,1,21
LAKE:VERNON 297,12,3,13,2,30
LAKE:VERNON 298,30,3,17,6,56
LAKE:WARREN 299,19,1,19,1,40
LAKE:WARREN 300,17,0,15,3,35
LAKE:WARREN 301,16,3,21,6,46
LAKE:WARREN 302,20,1,17,3,41
LAKE:WARREN 303,18,3,20,6,47
LAKE:WARREN 304,19,2,7,2,30
LAKE:WARREN 305,18,2,18,4,42
LAKE:WARREN 306,14,2,19,5,40
LAKE:WARREN 307,12,1,9,3,25
LAKE:WARREN 308,10,2,11,7,30
LAKE:WARREN 309,16,2,6,9,33
LAKE:WARREN 310,12,5,10,1,28
LAKE:WARREN 311,12,3,16,7,38
LAKE:WARREN 312,17,2,14,2,35
LAKE:WARREN 313,10,4,14,1,29
LAKE:WARREN 314,18,2,13,8,41
LAKE:WARREN 315,39,6,19,3,67
LAKE:WARREN 316,15,2,19,9,45
LAKE:WARREN 317,18,3,19,4,44
LAKE:WARREN 318,8,0,13,6,27
LAKE:WARREN 319,15,2,12,2,31
LAKE:WARREN 320,15,2,15,7,39
LAKE:WARREN 321,22,4,15,7,48
LAKE:WARREN 322,25,3,24,0,52
LAKE:WARREN 323,9,4,9,2,24
LAKE:WARREN 324,29,4,18,2,53
LAKE:WARREN 325,14,6,13,3,36
LAKE:WARREN 326,27,8,31,9,75
LAKE:WARREN 327,28,4,34,2,68
LAKE:WARREN 328,16,3,6,0,25
LAKE:WARREN 329,30,1,44,12,87
LAKE:WARREN 330,36,2,18,7,63
LAKE:WARREN 331,24,6,15,5,50
LAKE:WARREN 332,19,5,17,4,45
LAKE:WARREN 333,22,2,15,1,40
LAKE:WARREN 334,13,0,10,2,25
LAKE:WARREN 335,6,1,4,1,12
LAKE:WARREN 336,12,0,10,1,23
LAKE:WARREN 337,7,0,2,1,10
LAKE:WARREN 338,9,1,4,0,14
LAKE:WAUCONDA 339,16,7,7,7,37
LAKE:WAUCONDA 340,19,3,20,3,45
LAKE:WAUCONDA 341,21,4,15,5,45
LAKE:WAUCONDA 342,23,3,28,5,59
LAKE:WAUCONDA 343,43,6,40,8,97
LAKE:WAUCONDA 344,36,8,45,11,100
LAKE:WAUCONDA 345,24,5,21,7,57
LAKE:WAUCONDA 346,13,3,27,3,46
LAKE:WAUCONDA 347,24,4,27,10,65
LAKE:WAUCONDA 348,9,2,24,4,39
LAKE:WAUCONDA 349,46,2,17,11,76
LAKE:WAUCONDA 350,29,8,25,8,70
LAKE:WAUCONDA 351,35,6,28,8,77
LAKE:WAUCONDA 352,27,3,23,4,57
LAKE:WAUCONDA 353,28,4,19,8,59
LAKE:WAUCONDA 354,53,3,32,10,98
LAKE:WAUKEGAN 355,11,2,11,1,25
LAKE:WAUKEGAN 356,10,1,16,4,31
LAKE:WAUKEGAN 357,9,0,7,0,16
LAKE:WAUKEGAN 358,17,6,12,2,37
LAKE:WAUKEGAN 359,7,3,10,3,23
LAKE:WAUKEGAN 360,15,2,8,4,29
LAKE:WAUKEGAN 361,3,1,4,0,8
LAKE:WAUKEGAN 362,8,3,9,4,24
LAKE:WAUKEGAN 363,9,3,10,3,25
LAKE:WAUKEGAN 364,5,2,14,0,21
LAKE:WAUKEGAN 365,5,0,7,4,16
LAKE:WAUKEGAN 366,15,0,15,1,31
LAKE:WAUKEGAN 367,6,1,3,2,12
LAKE:WAUKEGAN 368,5,2,5,1,13
LAKE:WAUKEGAN 369,7,3,7,0,17
LAKE:WAUKEGAN 370,3,1,3,0,7
LAKE:WAUKEGAN 371,9,1,3,0,13
LAKE:WAUKEGAN 372,2,1,4,2,9
LAKE:WAUKEGAN 373,7,4,5,4,20
LAKE:WAUKEGAN 374,6,0,6,2,14
LAKE:WAUKEGAN 375,2,0,3,1,6
LAKE:WAUKEGAN 376,3,1,6,3,13
LAKE:WAUKEGAN 377,4,0,4,1,9
LAKE:WAUKEGAN 378,4,2,7,1,14
LAKE:WAUKEGAN 379,5,1,7,1,14
LAKE:WAUKEGAN 380,3,1,2,1,7
LAKE:WAUKEGAN 381,4,2,3,0,9
LAKE:WAUKEGAN 382,1,2,5,1,9
LAKE:WAUKEGAN 383,0,0,1,0,1
LAKE:WAUKEGAN 384,11,1,8,0,20
LAKE:WAUKEGAN 385,5,0,3,0,8
LAKE:WAUKEGAN 386,2,1,0,0,3
LAKE:WAUKEGAN 387,6,0,3,1,10
LAKE:WAUKEGAN 388,2,0,2,0,4
LAKE:WAUKEGAN 389,1,3,5,0,9
LAKE:WAUKEGAN 390,3,0,2,0,5
LAKE:WAUKEGAN 391,2,1,2,2,7
LAKE:WAUKEGAN 392,1,0,5,0,6
LAKE:WAUKEGAN 393,0,1,3,6,10
LAKE:WEST DEERFIELD 394,39,5,11,5,60
LAKE:WEST DEERFIELD 395,30,1,5,2,38
LAKE:WEST DEERFIELD 396,20,2,11,1,34
LAKE:WEST DEERFIELD 397,47,2,11,3,63
LAKE:WEST DEERFIELD 398,61,1,12,5,79
LAKE:WEST DEERFIELD 399,28,1,12,3,44
LAKE:WEST DEERFIELD 400,40,3,12,5,60
LAKE:WEST DEERFIELD 401,14,2,4,0,20
LAKE:WEST DEERFIELD 402,10,1,3,1,15
