JoinField,Ted Dabrowski,James Mendrick,Darren Bailey,Rick Heidner,Total Voters
DUPAGE:YORK 077,44,26,24,9,103
DUPAGE:YORK 078,17,14,8,6,45
DUPAGE:YORK 079,13,5,10,7,35
DUPAGE:YORK 080,33,13,15,11,72
DUPAGE:YORK 081,44,34,25,16,119
DUPAGE:YORK 082,40,18,21,9,88
DUPAGE:YORK 083,16,9,16,9,50
DUPAGE:YORK 084,33,26,26,14,99
DUPAGE:YORK 085,33,12,19,3,67
DUPAGE:YORK 086,24,9,20,11,64
DUPAGE:TOTAL:,17792,12225,12633,4899,47549
