JoinField,KARINA VILLA,STEPHANIE A. KIFOWIT,HOLLY KIM,MARGARET CROKE,Total Voters
DUPAGE:YORK 073,78,22,51,96,247
DUPAGE:YORK 074,77,17,40,60,194
DUPAGE:YORK 075,71,16,55,85,227
DUPAGE:YORK 076,36,10,33,38,117
DUPAGE:YORK 077,135,9,24,30,198
DUPAGE:YORK 078,20,5,11,28,64
DUPAGE:YORK 079,127,9,26,34,196
DUPAGE:YORK 080,54,29,39,67,189
DUPAGE:YORK 081,51,19,70,76,216
DUPAGE:YORK 082,59,12,16,17,104
DUPAGE:YORK 083,48,16,32,30,126
DUPAGE:YORK 084,63,24,74,139,300
DUPAGE:YORK 085,38,6,23,23,90
DUPAGE:YORK 086,41,6,31,56,134
DUPAGE:TOTAL:,33659,11575,28640,28704,102578
