JoinField,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
LAKE:GRANT 143,22,4,21,16,63
LAKE:GRANT 144,36,15,70,31,152
LAKE:GRANT 145,24,8,40,14,86
LAKE:GRANT 146,37,5,64,25,131
LAKE:GRANT 147,33,13,73,16,135
LAKE:LAKE VILLA 148,16,10,64,36,126
LAKE:LAKE VILLA 149,20,7,41,28,96
LAKE:LAKE VILLA 150,31,9,54,21,115
LAKE:LAKE VILLA 151,15,2,58,21,96
LAKE:LAKE VILLA 152,18,10,67,27,122
LAKE:LAKE VILLA 153,22,9,58,30,119
LAKE:LAKE VILLA 154,21,9,58,36,124
LAKE:LAKE VILLA 155,19,7,35,28,89
LAKE:LAKE VILLA 156,23,7,45,18,93
LAKE:LAKE VILLA 157,19,7,61,35,122
LAKE:LAKE VILLA 158,33,5,63,25,126
LAKE:LAKE VILLA 159,20,8,79,45,152
LAKE:LAKE VILLA 160,24,18,95,23,160
LAKE:LAKE VILLA 161,28,8,63,25,124
LAKE:LAKE VILLA 162,24,11,55,21,111
LAKE:LAKE VILLA 163,26,10,53,26,115
LAKE:LAKE VILLA 164,45,3,53,17,118
LAKE:LAKE VILLA 165,56,6,62,9,133
LAKE:LAKE VILLA 166,50,9,55,25,139
LAKE:LAKE VILLA 167,36,14,41,13,104
LAKE:LAKE VILLA 168,21,8,63,22,114
LAKE:LAKE VILLA 169,24,9,57,37,127
LAKE:LAKE VILLA 170,53,7,78,24,162
LAKE:LAKE VILLA 171,16,6,39,19,80
LAKE:LAKE VILLA 172,35,13,59,27,134
LAKE:LAKE VILLA 173,39,17,114,44,214
LAKE:LIBERTYVILLE 174,29,5,30,20,84
LAKE:LIBERTYVILLE 175,22,8,89,43,162
LAKE:LIBERTYVILLE 176,33,6,82,24,145
LAKE:LIBERTYVILLE 177,26,7,78,39,150
LAKE:LIBERTYVILLE 178,29,4,118,19,170
LAKE:LIBERTYVILLE 179,3,0,61,13,77
LAKE:LIBERTYVILLE 180,23,11,124,17,175
LAKE:LIBERTYVILLE 181,44,6,116,19,185
LAKE:LIBERTYVILLE 182,16,2,84,10,112
LAKE:LIBERTYVILLE 183,41,3,102,10,156
LAKE:LIBERTYVILLE 184,48,12,91,36,187
LAKE:LIBERTYVILLE 185,19,13,60,15,107
LAKE:LIBERTYVILLE 186,23,3,76,28,130
LAKE:LIBERTYVILLE 187,26,18,115,46,205
LAKE:LIBERTYVILLE 188,18,3,56,30,107
LAKE:LIBERTYVILLE 189,22,3,107,27,159
LAKE:LIBERTYVILLE 190,42,2,81,37,162
LAKE:LIBERTYVILLE 191,45,11,82,19,157
LAKE:LIBERTYVILLE 192,13,6,79,20,118
LAKE:LIBERTYVILLE 193,18,7,70,25,120
LAKE:LIBERTYVILLE 194,19,12,93,38,162
LAKE:LIBERTYVILLE 195,28,12,86,30,156
LAKE:LIBERTYVILLE 196,32,6,96,28,162
LAKE:LIBERTYVILLE 197,43,9,83,43,178
LAKE:LIBERTYVILLE 198,21,12,96,37,166
LAKE:LIBERTYVILLE 199,37,6,110,31,184
LAKE:LIBERTYVILLE 200,26,16,137,44,223
LAKE:LIBERTYVILLE 201,26,3,78,38,145
LAKE:LIBERTYVILLE 202,74,7,117,35,233
LAKE:LIBERTYVILLE 203,25,2,98,34,159
LAKE:LIBERTYVILLE 204,31,11,68,39,149
LAKE:LIBERTYVILLE 205,23,3,43,12,81
LAKE:LIBERTYVILLE 206,31,6,86,31,154
LAKE:LIBERTYVILLE 207,16,2,47,20,85
LAKE:LIBERTYVILLE 208,21,4,46,21,92
LAKE:LIBERTYVILLE 209,31,7,102,40,180
LAKE:MORAINE 210,18,9,42,42,111
LAKE:MORAINE 211,21,11,136,75,243
LAKE:MORAINE 212,43,6,58,26,133
LAKE:MORAINE 213,52,5,95,32,184
LAKE:MORAINE 214,46,15,180,63,304
LAKE:MORAINE 215,33,9,128,80,250
LAKE:MORAINE 216,35,12,118,39,204
LAKE:MORAINE 217,45,12,139,45,241
LAKE:MORAINE 218,38,15,157,124,334
LAKE:MORAINE 219,20,10,119,64,213
LAKE:MORAINE 220,21,5,101,46,173
LAKE:MORAINE 221,25,11,139,68,243
LAKE:MORAINE 222,27,9,163,56,255
LAKE:MORAINE 223,31,5,129,65,230
LAKE:MORAINE 224,26,8,156,62,252
LAKE:MORAINE 225,22,7,116,61,206
LAKE:MORAINE 226,23,9,106,49,187
LAKE:MORAINE 227,14,6,118,77,215
LAKE:MORAINE 228,32,9,155,71,267
LAKE:MORAINE 229,27,9,150,84,270
