JoinField,KARINA VILLA,STEPHANIE A. KIFOWIT,HOLLY KIM,MARGARET CROKE,Total Voters
WILL:JACKSON PCT 002,32,13,37,57,139
WILL:JOLIET PCT 001,73,19,26,52,170
WILL:JOLIET PCT 002,50,13,21,61,145
WILL:JOLIET PCT 003,46,5,30,30,111
WILL:JOLIET PCT 004,46,14,21,20,101
WILL:JOLIET PCT 005,29,14,18,32,93
WILL:JOLIET PCT 006,79,5,18,35,137
WILL:JOLIET PCT 007,79,23,33,61,196
WILL:JOLIET PCT 008,51,12,24,39,126
WILL:JOLIET PCT 009,82,19,30,63,194
WILL:JOLIET PCT 010,66,16,32,50,164
WILL:JOLIET PCT 011,73,17,41,34,165
WILL:JOLIET PCT 012,78,9,22,24,133
WILL:JOLIET PCT 013,96,7,14,20,137
WILL:JOLIET PCT 014,99,7,14,15,135
WILL:JOLIET PCT 015,64,15,14,29,122
WILL:JOLIET PCT 016,65,16,55,43,179
WILL:JOLIET PCT 017,60,19,47,56,182
WILL:JOLIET PCT 018,73,21,53,86,233
WILL:JOLIET PCT 019,72,15,43,52,182
WILL:JOLIET PCT 020,58,19,39,44,160
WILL:JOLIET PCT 021,30,7,11,23,71
WILL:JOLIET PCT 022,44,19,24,34,121
WILL:JOLIET PCT 023,33,8,26,20,87
WILL:JOLIET PCT 024,47,12,30,31,120
WILL:JOLIET PCT 025,45,7,36,31,119
WILL:JOLIET PCT 026,63,17,27,42,149
WILL:JOLIET PCT 027,36,5,19,23,83
WILL:JOLIET PCT 028,46,6,27,22,101
WILL:JOLIET PCT 029,45,13,27,29,114
WILL:JOLIET PCT 030,69,13,29,28,139
WILL:JOLIET PCT 031,45,8,25,41,119
WILL:JOLIET PCT 032,51,13,23,43,130
WILL:JOLIET PCT 033,37,6,15,31,89
WILL:JOLIET PCT 034,51,11,34,46,142
WILL:JOLIET PCT 035,54,20,39,63,176
WILL:JOLIET PCT 036,53,14,31,59,157
WILL:JOLIET PCT 037,58,16,38,52,164
WILL:LOCKPORT PCT 001,80,50,104,215,449
WILL:LOCKPORT PCT 002,101,11,28,53,193
WILL:LOCKPORT PCT 003,96,13,36,38,183
WILL:LOCKPORT PCT 004,56,15,31,49,151
WILL:LOCKPORT PCT 005,34,17,40,54,145
WILL:LOCKPORT PCT 006,94,11,32,50,187
WILL:LOCKPORT PCT 007,107,27,62,54,250
WILL:LOCKPORT PCT 008,93,16,32,51,192
WILL:LOCKPORT PCT 009,92,62,54,150,358
WILL:LOCKPORT PCT 010,44,13,28,51,136
WILL:LOCKPORT PCT 011,49,16,38,51,154
WILL:LOCKPORT PCT 012,37,12,37,56,142
WILL:LOCKPORT PCT 013,77,45,89,230,441
WILL:LOCKPORT PCT 014,61,19,40,40,160
WILL:LOCKPORT PCT 015,56,17,19,45,137
WILL:LOCKPORT PCT 016,52,17,49,56,174
WILL:LOCKPORT PCT 017,56,14,53,55,178
WILL:LOCKPORT PCT 018,52,16,48,41,157
WILL:LOCKPORT PCT 019,56,29,60,122,267
WILL:LOCKPORT PCT 020,47,18,46,46,157
WILL:LOCKPORT PCT 021,48,18,19,45,130
WILL:LOCKPORT PCT 022,44,16,23,39,122
WILL:LOCKPORT PCT 023,27,3,11,41,82
WILL:LOCKPORT PCT 024,36,17,34,35,122
WILL:MANHATTAN PCT 001,33,14,33,52,132
WILL:MANHATTAN PCT 002,34,28,36,54,152
WILL:MANHATTAN PCT 003,24,7,28,37,96
WILL:MANHATTAN PCT 004,33,9,22,44,108
WILL:MANHATTAN PCT 005,30,16,30,51,127
WILL:MONEE PCT 001,73,20,48,63,204
WILL:MONEE PCT 002,72,24,54,111,261
WILL:MONEE PCT 003,52,19,52,86,209
WILL:MONEE PCT 004,60,16,49,92,217
WILL:MONEE PCT 005,51,16,39,75,181
WILL:MONEE PCT 006,38,11,48,61,158
WILL:MONEE PCT 007,69,43,65,117,294
WILL:MONEE PCT 008,39,10,53,77,179
WILL:NEW LENOX PCT 001,41,19,24,52,136
WILL:NEW LENOX PCT 002,56,21,35,77,189
WILL:NEW LENOX PCT 003,26,19,15,36,96
WILL:NEW LENOX PCT 004,22,11,17,36,86
WILL:NEW LENOX PCT 005,25,39,26,30,120
WILL:NEW LENOX PCT 006,30,21,28,52,131
WILL:NEW LENOX PCT 007,28,16,30,45,119
WILL:NEW LENOX PCT 008,27,17,30,46,120
WILL:NEW LENOX PCT 009,20,18,15,26,79
WILL:NEW LENOX PCT 010,36,27,54,68,185
WILL:NEW LENOX PCT 011,38,23,41,77,179
WILL:NEW LENOX PCT 012,40,18,27,50,135
WILL:NEW LENOX PCT 013,46,44,53,57,200
WILL:NEW LENOX PCT 014,53,55,52,91,251
WILL:NEW LENOX PCT 015,29,23,31,48,131
WILL:NEW LENOX PCT 016,34,42,33,56,165
WILL:NEW LENOX PCT 017,29,18,37,57,141
WILL:NEW LENOX PCT 018,48,20,40,64,172
WILL:NEW LENOX PCT 019,44,14,39,57,154
WILL:NEW LENOX PCT 020,54,26,46,71,197
WILL:PEOTONE PCT 001,23,13,24,36,96
WILL:PEOTONE PCT 002,29,10,28,46,113
WILL:PLAINFIELD PCT 001,76,27,47,52,202
WILL:PLAINFIELD PCT 002,61,20,49,45,175
WILL:PLAINFIELD PCT 003,40,16,42,55,153
WILL:PLAINFIELD PCT 004,63,16,42,55,176
WILL:PLAINFIELD PCT 005,76,9,31,43,159
WILL:PLAINFIELD PCT 006,43,13,38,32,126
WILL:PLAINFIELD PCT 007,106,23,40,57,226
WILL:PLAINFIELD PCT 008,84,22,64,82,252
WILL:PLAINFIELD PCT 009,64,17,48,47,176
WILL:PLAINFIELD PCT 010,39,16,39,40,134
WILL:PLAINFIELD PCT 011,39,7,18,31,95
WILL:PLAINFIELD PCT 012,64,31,40,59,194
WILL:PLAINFIELD PCT 013,106,30,88,106,330
WILL:PLAINFIELD PCT 014,71,31,61,82,245
WILL:PLAINFIELD PCT 015,70,31,54,93,248
WILL:PLAINFIELD PCT 016,63,25,59,75,222
WILL:PLAINFIELD PCT 017,70,19,28,63,180
WILL:PLAINFIELD PCT 018,49,16,34,51,150
WILL:PLAINFIELD PCT 019,93,12,40,64,209
WILL:PLAINFIELD PCT 020,63,16,33,52,164
WILL:PLAINFIELD PCT 021,49,15,31,47,142
WILL:PLAINFIELD PCT 022,23,13,21,20,77
WILL:PLAINFIELD PCT 023,44,17,28,33,122
WILL:PLAINFIELD PCT 024,45,32,38,49,164
WILL:PLAINFIELD PCT 025,76,12,46,45,179
WILL:PLAINFIELD PCT 026,83,26,59,52,220
WILL:PLAINFIELD PCT 027,60,22,41,38,161
WILL:PLAINFIELD PCT 028,66,19,39,44,168
WILL:PLAINFIELD PCT 029,43,23,31,30,127
WILL:PLAINFIELD PCT 030,40,12,22,46,120
WILL:PLAINFIELD PCT 031,73,20,24,41,158
