JoinField,JoinField_alt,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
COOK:8300037,COOK:Northfield Precinct 37,59,24,103,131,317
COOK:8300038,COOK:Northfield Precinct 38,42,6,55,79,182
COOK:8300039,COOK:Northfield Precinct 39,27,6,42,35,110
COOK:8300040,COOK:Northfield Precinct 40,16,8,47,52,123
COOK:8300041,COOK:Northfield Precinct 41,33,10,89,92,224
COOK:8300042,COOK:Northfield Precinct 42,25,4,74,96,199
COOK:8300043,COOK:Northfield Precinct 43,34,8,84,92,218
COOK:8300044,COOK:Northfield Precinct 44,24,14,72,79,189
COOK:8300045,COOK:Northfield Precinct 45,20,4,59,80,163
COOK:8300046,COOK:Northfield Precinct 46,24,8,132,81,245
COOK:8300047,COOK:Northfield Precinct 47,30,15,147,162,354
COOK:8300048,COOK:Northfield Precinct 48,26,8,75,82,191
COOK:8300049,COOK:Northfield Precinct 49,36,8,41,53,138
COOK:8300050,COOK:Northfield Precinct 50,25,7,103,73,208
COOK:8300051,COOK:Northfield Precinct 51,83,29,200,269,581
COOK:8300052,COOK:Northfield Precinct 52,39,9,99,113,260
COOK:8300053,COOK:Northfield Precinct 53,24,12,94,111,241
COOK:8300054,COOK:Northfield Precinct 54,30,16,164,154,364
COOK:8300055,COOK:Northfield Precinct 55,29,10,128,96,263
COOK:8300056,COOK:Northfield Precinct 56,58,11,107,121,297
COOK:8300057,COOK:Northfield Precinct 57,23,9,72,59,163
COOK:8300058,COOK:Northfield Precinct 58,14,4,30,44,92
COOK:8400001,COOK:Norwood Park Precinct 1,42,12,24,81,159
COOK:8400002,COOK:Norwood Park Precinct 2,49,11,30,58,148
COOK:8400003,COOK:Norwood Park Precinct 3,39,14,37,115,205
COOK:8400004,COOK:Norwood Park Precinct 4,40,5,15,53,113
COOK:8400005,COOK:Norwood Park Precinct 5,58,16,40,95,209
COOK:8400006,COOK:Norwood Park Precinct 6,38,11,37,78,164
COOK:8400007,COOK:Norwood Park Precinct 7,27,7,19,55,108
COOK:8400008,COOK:Norwood Park Precinct 8,21,4,7,28,60
COOK:8400009,COOK:Norwood Park Precinct 9,49,21,19,77,166
COOK:8400010,COOK:Norwood Park Precinct 10,24,10,11,38,83
COOK:8400011,COOK:Norwood Park Precinct 11,42,13,51,132,238
COOK:8400012,COOK:Norwood Park Precinct 12,46,11,23,63,143
COOK:8400013,COOK:Norwood Park Precinct 13,35,15,11,56,117
COOK:8400014,COOK:Norwood Park Precinct 14,22,9,26,62,119
COOK:8500001,COOK:Oak Park Precinct 1,304,33,91,236,664
COOK:8500002,COOK:Oak Park Precinct 2,221,32,72,242,567
COOK:8500003,COOK:Oak Park Precinct 3,264,28,71,217,580
COOK:8500004,COOK:Oak Park Precinct 4,181,41,77,179,478
COOK:8500005,COOK:Oak Park Precinct 5,174,28,65,180,447
COOK:8500006,COOK:Oak Park Precinct 6,196,29,53,148,426
COOK:8500007,COOK:Oak Park Precinct 7,237,43,95,189,564
COOK:8500008,COOK:Oak Park Precinct 8,229,17,60,132,438
COOK:8500009,COOK:Oak Park Precinct 9,241,25,69,212,547
COOK:8500010,COOK:Oak Park Precinct 10,201,25,63,160,449
COOK:8500011,COOK:Oak Park Precinct 11,181,20,46,116,363
COOK:8500012,COOK:Oak Park Precinct 12,73,9,39,75,196
COOK:8500013,COOK:Oak Park Precinct 13,208,15,56,110,389
COOK:8500014,COOK:Oak Park Precinct 14,175,20,58,200,453
COOK:8500015,COOK:Oak Park Precinct 15,243,35,71,153,502
COOK:8500016,COOK:Oak Park Precinct 16,295,26,91,231,643
COOK:8500017,COOK:Oak Park Precinct 17,265,25,98,224,612
COOK:8500018,COOK:Oak Park Precinct 18,158,22,58,120,358
COOK:8500019,COOK:Oak Park Precinct 19,166,32,66,150,414
COOK:8500020,COOK:Oak Park Precinct 20,211,42,81,207,541
COOK:8500021,COOK:Oak Park Precinct 21,127,17,69,137,350
COOK:8500022,COOK:Oak Park Precinct 22,218,24,77,152,471
COOK:8500023,COOK:Oak Park Precinct 23,136,36,51,166,389
COOK:8500024,COOK:Oak Park Precinct 24,142,12,47,114,315
COOK:8500025,COOK:Oak Park Precinct 25,215,18,69,152,454
COOK:8500026,COOK:Oak Park Precinct 26,235,24,72,195,526
COOK:8500027,COOK:Oak Park Precinct 27,321,26,78,242,667
COOK:8500028,COOK:Oak Park Precinct 28,238,27,78,160,503
COOK:8500029,COOK:Oak Park Precinct 29,194,17,53,152,416
COOK:8500030,COOK:Oak Park Precinct 30,170,20,64,84,338
COOK:8500031,COOK:Oak Park Precinct 31,346,30,69,209,654
COOK:8500032,COOK:Oak Park Precinct 32,204,30,80,168,482
COOK:8600001,COOK:Orland Precinct 1,73,18,49,92,232
COOK:8600002,COOK:Orland Precinct 2,36,10,24,90,160
COOK:8600003,COOK:Orland Precinct 3,64,10,28,80,182
COOK:8600004,COOK:Orland Precinct 4,55,14,41,125,235
COOK:8600005,COOK:Orland Precinct 5,35,18,31,72,156
COOK:8600006,COOK:Orland Precinct 6,41,7,24,82,154
COOK:8600007,COOK:Orland Precinct 7,45,8,28,71,152
COOK:8600008,COOK:Orland Precinct 8,62,12,31,78,183
COOK:8600009,COOK:Orland Precinct 9,88,14,21,110,233
COOK:8600010,COOK:Orland Precinct 10,42,14,26,72,154
COOK:8600011,COOK:Orland Precinct 11,54,8,16,71,149
COOK:8600012,COOK:Orland Precinct 12,6,1,9,25,41
COOK:8600013,COOK:Orland Precinct 13,56,20,28,86,190
COOK:8600014,COOK:Orland Precinct 14,26,16,17,74,133
COOK:8600015,COOK:Orland Precinct 15,70,14,36,61,181
COOK:8600016,COOK:Orland Precinct 16,68,16,23,60,167
COOK:8600017,COOK:Orland Precinct 17,23,5,9,59,96
COOK:8600018,COOK:Orland Precinct 18,63,16,25,83,187
COOK:8600019,COOK:Orland Precinct 19,21,6,16,53,96
