JoinField,JoinField_alt,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
COOK:8700036,COOK:Palatine Precinct 36,56,18,45,47,166
COOK:8700037,COOK:Palatine Precinct 37,60,16,43,83,202
COOK:8700038,COOK:Palatine Precinct 38,43,21,69,111,244
COOK:8700039,COOK:Palatine Precinct 39,54,20,41,99,214
COOK:8700040,COOK:Palatine Precinct 40,61,17,58,87,223
COOK:8700041,COOK:Palatine Precinct 41,52,24,51,95,222
COOK:8700042,COOK:Palatine Precinct 42,58,23,41,129,251
COOK:8700043,COOK:Palatine Precinct 43,31,12,35,79,157
COOK:8700044,COOK:Palatine Precinct 44,27,14,31,63,135
COOK:8700045,COOK:Palatine Precinct 45,35,12,32,79,158
COOK:8700046,COOK:Palatine Precinct 46,38,21,37,109,205
COOK:8700047,COOK:Palatine Precinct 47,50,12,41,94,197
COOK:8700048,COOK:Palatine Precinct 48,20,13,49,81,163
COOK:8700049,COOK:Palatine Precinct 49,18,8,26,45,97
COOK:8700050,COOK:Palatine Precinct 50,36,21,42,121,220
COOK:8700051,COOK:Palatine Precinct 51,27,3,23,35,88
COOK:8700052,COOK:Palatine Precinct 52,36,16,38,75,165
COOK:8700053,COOK:Palatine Precinct 53,30,17,32,69,148
COOK:8700054,COOK:Palatine Precinct 54,50,27,72,110,259
COOK:8700055,COOK:Palatine Precinct 55,53,16,43,109,221
COOK:8700056,COOK:Palatine Precinct 56,34,9,42,85,170
COOK:8700057,COOK:Palatine Precinct 57,71,18,64,114,267
COOK:8700058,COOK:Palatine Precinct 58,53,11,31,56,151
COOK:8700059,COOK:Palatine Precinct 59,58,28,68,125,279
COOK:8700060,COOK:Palatine Precinct 60,56,8,43,50,157
COOK:8700061,COOK:Palatine Precinct 61,12,6,25,45,88
COOK:8700062,COOK:Palatine Precinct 62,60,12,49,52,173
COOK:8700063,COOK:Palatine Precinct 63,63,12,43,67,185
COOK:8700064,COOK:Palatine Precinct 64,41,9,20,62,132
COOK:8700065,COOK:Palatine Precinct 65,79,10,43,45,177
COOK:8800001,COOK:Palos Precinct 1,28,4,13,42,87
COOK:8800002,COOK:Palos Precinct 2,22,3,11,51,87
COOK:8800003,COOK:Palos Precinct 3,23,10,19,74,126
COOK:8800004,COOK:Palos Precinct 4,47,10,12,38,107
COOK:8800005,COOK:Palos Precinct 5,63,10,13,23,109
COOK:8800006,COOK:Palos Precinct 6,18,4,5,10,37
COOK:8800007,COOK:Palos Precinct 7,78,11,25,49,163
COOK:8800008,COOK:Palos Precinct 8,63,17,27,59,166
COOK:8800009,COOK:Palos Precinct 9,48,11,35,101,195
COOK:8800010,COOK:Palos Precinct 10,34,20,30,96,180
COOK:8800011,COOK:Palos Precinct 11,26,17,17,68,128
COOK:8800012,COOK:Palos Precinct 12,47,6,17,49,119
COOK:8800013,COOK:Palos Precinct 13,80,8,19,76,183
COOK:8800014,COOK:Palos Precinct 14,50,9,12,37,108
COOK:8800015,COOK:Palos Precinct 15,63,21,41,170,295
COOK:8800016,COOK:Palos Precinct 16,61,9,29,117,216
COOK:8800017,COOK:Palos Precinct 17,55,18,26,58,157
COOK:8800018,COOK:Palos Precinct 18,78,9,23,57,167
COOK:8800019,COOK:Palos Precinct 19,66,13,31,61,171
COOK:8800020,COOK:Palos Precinct 20,52,16,21,69,158
COOK:8800021,COOK:Palos Precinct 21,45,8,19,28,100
COOK:8800022,COOK:Palos Precinct 22,23,3,13,14,53
COOK:8800023,COOK:Palos Precinct 23,51,13,15,36,115
COOK:8800024,COOK:Palos Precinct 24,53,20,41,150,264
COOK:8800025,COOK:Palos Precinct 25,196,3,21,16,236
COOK:8800026,COOK:Palos Precinct 26,36,4,14,29,83
COOK:8800027,COOK:Palos Precinct 27,73,12,40,41,166
COOK:8800028,COOK:Palos Precinct 28,24,4,20,28,76
COOK:8800029,COOK:Palos Precinct 29,49,4,28,64,145
COOK:8800030,COOK:Palos Precinct 30,41,15,29,94,179
COOK:8800031,COOK:Palos Precinct 31,50,8,23,58,139
COOK:8800032,COOK:Palos Precinct 32,32,6,10,18,66
COOK:8800033,COOK:Palos Precinct 33,53,22,23,60,158
COOK:8800034,COOK:Palos Precinct 34,24,7,12,37,80
COOK:8800035,COOK:Palos Precinct 35,63,16,50,65,194
COOK:8900001,COOK:Proviso Precinct 1,63,7,21,80,171
COOK:8900002,COOK:Proviso Precinct 2,65,7,9,58,139
COOK:8900003,COOK:Proviso Precinct 3,85,11,29,119,244
COOK:8900004,COOK:Proviso Precinct 4,56,20,24,91,191
COOK:8900005,COOK:Proviso Precinct 5,88,17,36,90,231
COOK:8900006,COOK:Proviso Precinct 6,95,15,40,119,269
COOK:8900007,COOK:Proviso Precinct 7,16,7,15,42,80
COOK:8900008,COOK:Proviso Precinct 8,72,22,34,123,251
COOK:8900009,COOK:Proviso Precinct 9,52,8,16,93,169
COOK:8900010,COOK:Proviso Precinct 10,54,1,10,29,94
COOK:8900011,COOK:Proviso Precinct 11,65,4,11,42,122
COOK:8900012,COOK:Proviso Precinct 12,97,9,16,70,192
COOK:8900013,COOK:Proviso Precinct 13,52,13,20,94,179
COOK:8900014,COOK:Proviso Precinct 14,62,6,5,16,89
COOK:8900015,COOK:Proviso Precinct 15,55,5,5,51,116
COOK:8900016,COOK:Proviso Precinct 16,57,12,28,76,173
COOK:8900017,COOK:Proviso Precinct 17,102,11,31,200,344
COOK:8900018,COOK:Proviso Precinct 18,65,18,29,154,266
COOK:8900019,COOK:Proviso Precinct 19,61,17,29,138,245
COOK:8900020,COOK:Proviso Precinct 20,85,19,40,133,277
COOK:8900021,COOK:Proviso Precinct 21,94,16,48,111,269
COOK:8900022,COOK:Proviso Precinct 22,42,11,12,94,159
COOK:8900023,COOK:Proviso Precinct 23,61,10,46,168,285
COOK:8900024,COOK:Proviso Precinct 24,69,19,52,177,317
COOK:8900025,COOK:Proviso Precinct 25,85,14,50,110,259
COOK:8900026,COOK:Proviso Precinct 26,61,16,42,175,294
COOK:8900027,COOK:Proviso Precinct 27,79,16,50,99,244
COOK:8900028,COOK:Proviso Precinct 28,71,15,41,118,245
COOK:8900029,COOK:Proviso Precinct 29,111,27,51,133,322
COOK:8900030,COOK:Proviso Precinct 30,80,13,18,85,196
COOK:8900031,COOK:Proviso Precinct 31,23,6,13,52,94
COOK:8900032,COOK:Proviso Precinct 32,142,22,79,146,389
COOK:8900033,COOK:Proviso Precinct 33,96,19,47,135,297
COOK:8900034,COOK:Proviso Precinct 34,101,23,57,227,408
COOK:8900035,COOK:Proviso Precinct 35,52,26,44,159,281
COOK:8900036,COOK:Proviso Precinct 36,61,15,28,129,233
COOK:8900037,COOK:Proviso Precinct 37,46,11,28,73,158
COOK:8900038,COOK:Proviso Precinct 38,73,16,26,110,225
COOK:8900039,COOK:Proviso Precinct 39,91,21,42,127,281
COOK:8900040,COOK:Proviso Precinct 40,88,23,51,207,369
COOK:8900041,COOK:Proviso Precinct 41,37,8,21,84,150
COOK:8900042,COOK:Proviso Precinct 42,56,20,44,150,270
COOK:8900043,COOK:Proviso Precinct 43,44,9,18,70,141
COOK:8900044,COOK:Proviso Precinct 44,63,13,32,109,217
COOK:8900045,COOK:Proviso Precinct 45,57,14,30,161,262
COOK:8900046,COOK:Proviso Precinct 46,19,4,8,20,51
COOK:8900047,COOK:Proviso Precinct 47,48,11,30,87,176
COOK:8900048,COOK:Proviso Precinct 48,70,16,33,124,243
COOK:8900049,COOK:Proviso Precinct 49,50,17,15,77,159
COOK:8900050,COOK:Proviso Precinct 50,105,31,50,148,334
COOK:8900051,COOK:Proviso Precinct 51,79,7,29,115,230
COOK:8900052,COOK:Proviso Precinct 52,40,11,14,58,123
COOK:8900053,COOK:Proviso Precinct 53,52,16,19,98,185
COOK:8900054,COOK:Proviso Precinct 54,37,15,37,140,229
COOK:8900055,COOK:Proviso Precinct 55,66,19,24,155,264
COOK:8900056,COOK:Proviso Precinct 56,65,22,32,108,227
COOK:8900057,COOK:Proviso Precinct 57,65,10,31,77,183
COOK:8900058,COOK:Proviso Precinct 58,56,11,19,86,172
COOK:8900059,COOK:Proviso Precinct 59,42,7,14,94,157
COOK:8900060,COOK:Proviso Precinct 60,47,9,27,76,159
COOK:8900061,COOK:Proviso Precinct 61,95,16,45,136,292
COOK:8900062,COOK:Proviso Precinct 62,77,22,62,183,344
COOK:8900063,COOK:Proviso Precinct 63,88,24,57,134,303
COOK:8900064,COOK:Proviso Precinct 64,52,9,30,113,204
COOK:8900065,COOK:Proviso Precinct 65,65,9,30,82,186
COOK:8900066,COOK:Proviso Precinct 66,120,15,58,188,381
COOK:8900067,COOK:Proviso Precinct 67,154,20,71,159,404
COOK:8900068,COOK:Proviso Precinct 68,71,8,25,68,172
COOK:8900069,COOK:Proviso Precinct 69,53,8,18,76,155
COOK:8900070,COOK:Proviso Precinct 70,31,12,35,139,217
COOK:8900071,COOK:Proviso Precinct 71,107,20,52,161,340
COOK:8900072,COOK:Proviso Precinct 72,81,7,41,100,229
COOK:8900073,COOK:Proviso Precinct 73,141,28,63,139,371
COOK:8900074,COOK:Proviso Precinct 74,91,17,38,122,268
COOK:8900075,COOK:Proviso Precinct 75,73,16,32,112,233
COOK:8900076,COOK:Proviso Precinct 76,112,23,42,109,286
COOK:8900077,COOK:Proviso Precinct 77,52,8,25,71,156
COOK:8900078,COOK:Proviso Precinct 78,98,8,25,48,179
COOK:8900079,COOK:Proviso Precinct 79,62,12,27,118,219
COOK:8900080,COOK:Proviso Precinct 80,75,4,6,23,108
COOK:8900081,COOK:Proviso Precinct 81,55,10,20,87,172
COOK:8900082,COOK:Proviso Precinct 82,92,21,31,178,322
COOK:8900083,COOK:Proviso Precinct 83,94,19,49,239,401
COOK:8900084,COOK:Proviso Precinct 84,41,11,16,92,160
COOK:8900085,COOK:Proviso Precinct 85,79,23,34,134,270
COOK:8900086,COOK:Proviso Precinct 86,78,12,45,179,314
COOK:8900087,COOK:Proviso Precinct 87,68,10,27,89,194
COOK:8900088,COOK:Proviso Precinct 88,123,25,58,130,336
COOK:8900089,COOK:Proviso Precinct 89,54,12,27,56,149
COOK:9000001,COOK:Rich Precinct 1,202,54,165,550,971
COOK:9000002,COOK:Rich Precinct 2,115,35,126,327,603
COOK:9000003,COOK:Rich Precinct 3,118,19,83,234,454
COOK:9000004,COOK:Rich Precinct 4,70,15,48,144,277
COOK:9000005,COOK:Rich Precinct 5,69,20,61,222,372
COOK:9000006,COOK:Rich Precinct 6,93,29,70,221,413
COOK:9000007,COOK:Rich Precinct 7,54,18,41,147,260
COOK:9000008,COOK:Rich Precinct 8,69,20,61,172,322
COOK:9000009,COOK:Rich Precinct 9,70,21,71,184,346
COOK:9000010,COOK:Rich Precinct 10,41,14,47,121,223
COOK:9000011,COOK:Rich Precinct 11,57,21,48,111,237
COOK:9000012,COOK:Rich Precinct 12,87,19,61,116,283
COOK:9000013,COOK:Rich Precinct 13,63,21,73,113,270
COOK:9000014,COOK:Rich Precinct 14,17,4,6,23,50
COOK:9000015,COOK:Rich Precinct 15,80,30,116,298,524
COOK:9000016,COOK:Rich Precinct 16,47,9,19,72,147
COOK:9000017,COOK:Rich Precinct 17,50,15,25,72,162
COOK:9000018,COOK:Rich Precinct 18,65,16,51,154,286
COOK:9000019,COOK:Rich Precinct 19,33,14,30,71,148
COOK:9000020,COOK:Rich Precinct 20,62,28,50,179,319
COOK:9000021,COOK:Rich Precinct 21,58,18,54,142,272
COOK:9000022,COOK:Rich Precinct 22,36,9,40,97,182
COOK:9000023,COOK:Rich Precinct 23,105,23,83,188,399
COOK:9000024,COOK:Rich Precinct 24,69,16,44,127,256
COOK:9000025,COOK:Rich Precinct 25,97,34,68,201,400
COOK:9000026,COOK:Rich Precinct 26,80,20,52,138,290
COOK:9000027,COOK:Rich Precinct 27,58,14,50,166,288
COOK:9000028,COOK:Rich Precinct 28,93,33,65,241,432
COOK:9000029,COOK:Rich Precinct 29,62,20,62,118,262
COOK:9000030,COOK:Rich Precinct 30,89,22,62,186,359
COOK:9000031,COOK:Rich Precinct 31,76,16,56,103,251
COOK:9000032,COOK:Rich Precinct 32,74,23,65,141,303
COOK:9000033,COOK:Rich Precinct 33,61,18,45,131,255
COOK:9000034,COOK:Rich Precinct 34,67,9,49,169,294
COOK:9000035,COOK:Rich Precinct 35,68,31,49,129,277
COOK:9000036,COOK:Rich Precinct 36,163,51,123,428,765
COOK:9000037,COOK:Rich Precinct 37,54,15,50,162,281
COOK:9000038,COOK:Rich Precinct 38,64,17,38,121,240
COOK:9000039,COOK:Rich Precinct 39,77,30,59,190,356
COOK:9000040,COOK:Rich Precinct 40,55,17,53,130,255
COOK:9000041,COOK:Rich Precinct 41,64,23,35,97,219
COOK:9000042,COOK:Rich Precinct 42,46,7,45,138,236
COOK:9000043,COOK:Rich Precinct 43,72,17,60,126,275
COOK:9000044,COOK:Rich Precinct 44,41,14,31,122,208
COOK:9000045,COOK:Rich Precinct 45,93,30,91,224,438
COOK:9000046,COOK:Rich Precinct 46,81,20,71,181,353
COOK:9000047,COOK:Rich Precinct 47,104,25,93,240,462
COOK:9100001,COOK:River Forest Precinct 1,63,14,60,139,276
COOK:9100002,COOK:River Forest Precinct 2,102,27,70,251,450
COOK:9100003,COOK:River Forest Precinct 3,88,20,37,134,279
COOK:9100004,COOK:River Forest Precinct 4,89,16,49,164,318
COOK:9100005,COOK:River Forest Precinct 5,111,26,68,184,389
COOK:9100006,COOK:River Forest Precinct 6,38,11,27,88,164
COOK:9100007,COOK:River Forest Precinct 7,92,22,52,155,321
COOK:9200001,COOK:Riverside Precinct 1,57,17,32,110,216
COOK:9200002,COOK:Riverside Precinct 2,6,1,2,5,14
COOK:9200003,COOK:Riverside Precinct 3,50,11,39,72,172
COOK:9200004,COOK:Riverside Precinct 4,104,14,61,128,307
COOK:9200005,COOK:Riverside Precinct 5,58,10,29,48,145
COOK:9200006,COOK:Riverside Precinct 6,115,18,47,114,294
COOK:9200007,COOK:Riverside Precinct 7,49,11,24,48,132
COOK:9200008,COOK:Riverside Precinct 8,97,20,35,133,285
COOK:9200009,COOK:Riverside Precinct 9,62,12,33,105,212
COOK:9200010,COOK:Riverside Precinct 10,68,23,64,138,293
COOK:9200011,COOK:Riverside Precinct 11,73,15,69,99,256
COOK:9200012,COOK:Riverside Precinct 12,102,17,37,77,233
COOK:9300001,COOK:Schaumburg Precinct 1,122,38,62,97,319
COOK:9300002,COOK:Schaumburg Precinct 2,80,24,43,63,210
COOK:9300003,COOK:Schaumburg Precinct 3,69,16,61,102,248
COOK:9300004,COOK:Schaumburg Precinct 4,47,4,21,40,112
COOK:9300005,COOK:Schaumburg Precinct 5,11,15,20,119,165
COOK:9300006,COOK:Schaumburg Precinct 6,75,28,50,82,235
COOK:9300007,COOK:Schaumburg Precinct 7,42,9,27,37,115
COOK:9300008,COOK:Schaumburg Precinct 8,50,11,26,44,131
COOK:9300009,COOK:Schaumburg Precinct 9,60,14,25,54,153
COOK:9300010,COOK:Schaumburg Precinct 10,43,5,13,31,92
COOK:9300011,COOK:Schaumburg Precinct 11,49,21,28,46,144
COOK:9300012,COOK:Schaumburg Precinct 12,68,11,43,65,187
COOK:9300013,COOK:Schaumburg Precinct 13,49,10,38,62,159
COOK:9300014,COOK:Schaumburg Precinct 14,60,28,69,124,281
COOK:9300015,COOK:Schaumburg Precinct 15,52,16,49,49,166
COOK:9300016,COOK:Schaumburg Precinct 16,60,10,34,46,150
COOK:9300017,COOK:Schaumburg Precinct 17,78,27,41,79,225
COOK:9300018,COOK:Schaumburg Precinct 18,83,20,48,85,236
COOK:9300019,COOK:Schaumburg Precinct 19,62,15,27,49,153
COOK:9300020,COOK:Schaumburg Precinct 20,79,20,65,107,271
COOK:9300021,COOK:Schaumburg Precinct 21,74,22,55,102,253
COOK:9300022,COOK:Schaumburg Precinct 22,83,9,41,59,192
COOK:9300023,COOK:Schaumburg Precinct 23,54,21,54,59,188
COOK:9300024,COOK:Schaumburg Precinct 24,52,31,45,66,194
COOK:9300025,COOK:Schaumburg Precinct 25,41,23,43,54,161
COOK:9300026,COOK:Schaumburg Precinct 26,60,14,40,62,176
COOK:9300027,COOK:Schaumburg Precinct 27,77,26,32,62,197
COOK:9300028,COOK:Schaumburg Precinct 28,61,16,52,81,210
COOK:9300029,COOK:Schaumburg Precinct 29,48,32,37,97,214
COOK:9300030,COOK:Schaumburg Precinct 30,37,15,28,99,179
COOK:9300031,COOK:Schaumburg Precinct 31,89,27,48,111,275
COOK:9300032,COOK:Schaumburg Precinct 32,72,18,39,94,223
COOK:9300033,COOK:Schaumburg Precinct 33,69,17,65,142,293
COOK:9300034,COOK:Schaumburg Precinct 34,61,13,36,74,184
COOK:9300035,COOK:Schaumburg Precinct 35,45,13,24,80,162
COOK:9300036,COOK:Schaumburg Precinct 36,109,18,52,128,307
COOK:9300037,COOK:Schaumburg Precinct 37,27,22,32,62,143
COOK:9300038,COOK:Schaumburg Precinct 38,87,30,38,98,253
COOK:9300039,COOK:Schaumburg Precinct 39,78,36,51,126,291
COOK:9300040,COOK:Schaumburg Precinct 40,50,18,37,66,171
COOK:9300041,COOK:Schaumburg Precinct 41,72,29,35,91,227
COOK:9300042,COOK:Schaumburg Precinct 42,78,17,47,53,195
COOK:9300043,COOK:Schaumburg Precinct 43,78,10,39,56,183
COOK:9300044,COOK:Schaumburg Precinct 44,94,15,44,62,215
COOK:9300045,COOK:Schaumburg Precinct 45,43,14,19,70,146
COOK:9300046,COOK:Schaumburg Precinct 46,25,14,27,54,120
COOK:9300047,COOK:Schaumburg Precinct 47,32,19,29,83,163
COOK:9300048,COOK:Schaumburg Precinct 48,39,10,25,55,129
COOK:9300049,COOK:Schaumburg Precinct 49,38,12,18,38,106
COOK:9300050,COOK:Schaumburg Precinct 50,29,19,24,56,128
COOK:9300051,COOK:Schaumburg Precinct 51,61,22,32,46,161
COOK:9300052,COOK:Schaumburg Precinct 52,55,22,48,93,218
COOK:9300053,COOK:Schaumburg Precinct 53,46,19,43,71,179
COOK:9300054,COOK:Schaumburg Precinct 54,37,15,47,49,148
COOK:9300055,COOK:Schaumburg Precinct 55,74,27,57,123,281
COOK:9300056,COOK:Schaumburg Precinct 56,47,14,42,86,189
COOK:9300057,COOK:Schaumburg Precinct 57,52,16,28,76,172
COOK:9300058,COOK:Schaumburg Precinct 58,28,14,21,32,95
COOK:9300059,COOK:Schaumburg Precinct 59,39,30,58,81,208
COOK:9300060,COOK:Schaumburg Precinct 60,36,29,36,81,182
COOK:9300061,COOK:Schaumburg Precinct 61,68,22,61,102,253
COOK:9300062,COOK:Schaumburg Precinct 62,65,17,50,69,201
COOK:9300063,COOK:Schaumburg Precinct 63,67,19,57,81,224
COOK:9300064,COOK:Schaumburg Precinct 64,36,14,26,61,137
COOK:9300065,COOK:Schaumburg Precinct 65,34,16,40,77,167
COOK:9300066,COOK:Schaumburg Precinct 66,81,16,56,94,247
COOK:9300067,COOK:Schaumburg Precinct 67,62,25,54,97,238
COOK:9300068,COOK:Schaumburg Precinct 68,41,9,45,65,160
COOK:9300069,COOK:Schaumburg Precinct 69,26,9,23,64,122
COOK:9400001,COOK:Stickney Precinct 1,29,5,18,16,68
COOK:9400002,COOK:Stickney Precinct 2,57,6,23,30,116
COOK:9400003,COOK:Stickney Precinct 3,97,12,33,53,195
COOK:9400004,COOK:Stickney Precinct 4,63,7,18,40,128
COOK:9400005,COOK:Stickney Precinct 5,83,7,20,51,161
COOK:9400006,COOK:Stickney Precinct 6,66,7,34,66,173
COOK:9400007,COOK:Stickney Precinct 7,46,4,11,19,80
COOK:9400008,COOK:Stickney Precinct 8,64,6,18,22,110
COOK:9400009,COOK:Stickney Precinct 9,50,14,19,35,118
COOK:9400010,COOK:Stickney Precinct 10,95,11,12,22,140
COOK:9400011,COOK:Stickney Precinct 11,43,4,27,50,124
COOK:7200057,COOK:Stickney Precinct 12,56,13,22,32,123
COOK:9400013,COOK:Stickney Precinct 13,46,7,15,34,102
COOK:9400014,COOK:Stickney Precinct 14,72,8,34,53,167
COOK:9400015,COOK:Stickney Precinct 15,82,10,27,48,167
COOK:9400016,COOK:Stickney Precinct 16,85,8,25,47,165
COOK:9400017,COOK:Stickney Precinct 17,53,8,15,29,105
COOK:9400018,COOK:Stickney Precinct 18,31,4,7,12,54
COOK:9400019,COOK:Stickney Precinct 19,62,5,8,30,105
COOK:9400020,COOK:Stickney Precinct 20,52,3,5,30,90
COOK:9500001,COOK:Thornton Precinct 1,48,21,24,92,185
COOK:9500002,COOK:Thornton Precinct 2,25,4,16,38,83
COOK:9500003,COOK:Thornton Precinct 3,80,27,48,115,270
COOK:9500004,COOK:Thornton Precinct 4,66,17,41,121,245
COOK:9500005,COOK:Thornton Precinct 5,30,8,14,29,81
COOK:9500006,COOK:Thornton Precinct 6,65,17,44,157,283
COOK:9500007,COOK:Thornton Precinct 7,52,14,38,131,235
COOK:9500008,COOK:Thornton Precinct 8,45,14,40,81,180
COOK:9500009,COOK:Thornton Precinct 9,35,15,23,61,134
COOK:9500010,COOK:Thornton Precinct 10,68,24,39,132,263
COOK:9500011,COOK:Thornton Precinct 11,49,17,48,88,202
COOK:9500012,COOK:Thornton Precinct 12,74,15,35,77,201
COOK:9500013,COOK:Thornton Precinct 13,77,18,39,114,248
COOK:9500014,COOK:Thornton Precinct 14,26,13,40,82,161
COOK:9500015,COOK:Thornton Precinct 15,37,12,21,88,158
COOK:9500016,COOK:Thornton Precinct 16,44,13,31,74,162
COOK:9500017,COOK:Thornton Precinct 17,47,12,26,88,173
COOK:9500018,COOK:Thornton Precinct 18,73,16,38,86,213
COOK:9500019,COOK:Thornton Precinct 19,46,9,35,89,179
COOK:9500020,COOK:Thornton Precinct 20,29,11,15,44,99
COOK:9500021,COOK:Thornton Precinct 21,75,21,57,150,303
COOK:9500022,COOK:Thornton Precinct 22,45,16,37,100,198
COOK:9500023,COOK:Thornton Precinct 23,57,14,34,93,198
COOK:9500024,COOK:Thornton Precinct 24,85,12,48,108,253
COOK:9500025,COOK:Thornton Precinct 25,64,9,38,102,213
COOK:9500026,COOK:Thornton Precinct 26,35,7,26,72,140
COOK:9500027,COOK:Thornton Precinct 27,58,23,63,196,340
COOK:9500028,COOK:Thornton Precinct 28,24,6,25,37,92
COOK:9500029,COOK:Thornton Precinct 29,45,7,31,112,195
COOK:9500030,COOK:Thornton Precinct 30,14,4,23,46,87
COOK:9500031,COOK:Thornton Precinct 31,26,7,30,31,94
COOK:9500032,COOK:Thornton Precinct 32,25,6,26,49,106
COOK:9500033,COOK:Thornton Precinct 33,46,16,36,78,176
COOK:9500034,COOK:Thornton Precinct 34,50,16,60,157,283
COOK:9500035,COOK:Thornton Precinct 35,95,15,67,144,321
COOK:9500036,COOK:Thornton Precinct 36,28,7,31,47,113
COOK:9500037,COOK:Thornton Precinct 37,56,17,34,105,212
COOK:9500038,COOK:Thornton Precinct 38,59,21,44,115,239
COOK:9500039,COOK:Thornton Precinct 39,46,17,45,159,267
COOK:9500040,COOK:Thornton Precinct 40,22,10,20,71,123
COOK:9500041,COOK:Thornton Precinct 41,28,6,23,65,122
COOK:9500042,COOK:Thornton Precinct 42,84,26,69,185,364
COOK:9500043,COOK:Thornton Precinct 43,55,17,59,101,232
COOK:9500044,COOK:Thornton Precinct 44,21,7,14,52,94
COOK:9500045,COOK:Thornton Precinct 45,60,24,43,146,273
COOK:9500046,COOK:Thornton Precinct 46,70,20,48,160,298
COOK:9500047,COOK:Thornton Precinct 47,53,16,36,58,163
COOK:9500048,COOK:Thornton Precinct 48,46,30,49,124,249
COOK:9500049,COOK:Thornton Precinct 49,42,14,55,77,188
COOK:9500050,COOK:Thornton Precinct 50,74,21,48,124,267
COOK:9500051,COOK:Thornton Precinct 51,37,11,24,57,129
COOK:9500052,COOK:Thornton Precinct 52,40,10,42,84,176
COOK:9500053,COOK:Thornton Precinct 53,61,16,60,142,279
COOK:9500054,COOK:Thornton Precinct 54,89,27,63,163,342
COOK:9500055,COOK:Thornton Precinct 55,31,16,38,66,151
COOK:9500056,COOK:Thornton Precinct 56,41,17,29,94,181
COOK:9500057,COOK:Thornton Precinct 57,82,23,57,136,298
COOK:9500058,COOK:Thornton Precinct 58,67,14,63,115,259
COOK:9500059,COOK:Thornton Precinct 59,23,10,18,54,105
COOK:9500060,COOK:Thornton Precinct 60,18,10,14,48,90
COOK:9500061,COOK:Thornton Precinct 61,48,11,22,63,144
COOK:9500062,COOK:Thornton Precinct 62,17,2,7,21,47
COOK:9500063,COOK:Thornton Precinct 63,23,8,16,41,88
COOK:9500064,COOK:Thornton Precinct 64,33,15,25,129,202
COOK:9500065,COOK:Thornton Precinct 65,59,11,28,81,179
COOK:9500066,COOK:Thornton Precinct 66,78,17,61,194,350
COOK:9500067,COOK:Thornton Precinct 67,82,31,47,113,273
COOK:9500068,COOK:Thornton Precinct 68,38,15,24,79,156
COOK:9500069,COOK:Thornton Precinct 69,60,24,34,107,225
COOK:9500070,COOK:Thornton Precinct 70,16,15,16,46,93
COOK:9500071,COOK:Thornton Precinct 71,42,6,30,127,205
COOK:9500072,COOK:Thornton Precinct 72,53,17,30,90,190
COOK:9500073,COOK:Thornton Precinct 73,70,24,60,124,278
COOK:9500074,COOK:Thornton Precinct 74,47,18,22,82,169
COOK:9500075,COOK:Thornton Precinct 75,69,14,55,172,310
COOK:9500076,COOK:Thornton Precinct 76,44,20,63,119,246
COOK:9500077,COOK:Thornton Precinct 77,62,22,52,148,284
COOK:9500078,COOK:Thornton Precinct 78,51,11,32,108,202
COOK:9500079,COOK:Thornton Precinct 79,65,20,36,122,243
COOK:9500080,COOK:Thornton Precinct 80,46,12,44,128,230
COOK:9500081,COOK:Thornton Precinct 81,75,26,79,195,375
COOK:9500082,COOK:Thornton Precinct 82,39,7,16,62,124
COOK:9500083,COOK:Thornton Precinct 83,56,15,41,147,259
COOK:9500084,COOK:Thornton Precinct 84,61,14,47,145,267
COOK:9500085,COOK:Thornton Precinct 85,71,26,43,86,226
COOK:9500086,COOK:Thornton Precinct 86,29,12,42,86,169
COOK:9500087,COOK:Thornton Precinct 87,74,24,68,143,309
COOK:9500088,COOK:Thornton Precinct 88,24,7,15,41,87
COOK:9500089,COOK:Thornton Precinct 89,61,23,58,140,282
COOK:9500090,COOK:Thornton Precinct 90,54,17,33,110,214
COOK:9500091,COOK:Thornton Precinct 91,40,16,37,128,221
COOK:9500092,COOK:Thornton Precinct 92,95,22,85,186,388
COOK:9500093,COOK:Thornton Precinct 93,44,5,5,21,75
COOK:9500094,COOK:Thornton Precinct 94,67,16,49,124,256
COOK:9500095,COOK:Thornton Precinct 95,30,3,19,51,103
COOK:9500096,COOK:Thornton Precinct 96,31,3,20,44,98
COOK:9500097,COOK:Thornton Precinct 97,18,8,17,40,83
COOK:9500098,COOK:Thornton Precinct 98,22,3,14,24,63
COOK:9500099,COOK:Thornton Precinct 99,28,4,18,39,89
COOK:9500100,COOK:Thornton Precinct 100,20,6,17,41,84
COOK:9500101,COOK:Thornton Precinct 101,51,11,50,124,236
COOK:9500102,COOK:Thornton Precinct 102,26,12,17,54,109
COOK:9500103,COOK:Thornton Precinct 103,36,16,26,67,145
COOK:9500104,COOK:Thornton Precinct 104,80,26,65,222,393
COOK:9600001,COOK:Wheeling Precinct 1,53,10,111,133,307
COOK:9600002,COOK:Wheeling Precinct 2,53,42,73,131,299
COOK:9600003,COOK:Wheeling Precinct 3,38,19,51,69,177
COOK:9600004,COOK:Wheeling Precinct 4,69,16,94,85,264
COOK:9600005,COOK:Wheeling Precinct 5,42,21,60,61,184
COOK:9600006,COOK:Wheeling Precinct 6,22,10,34,47,113
COOK:9600007,COOK:Wheeling Precinct 7,63,19,98,91,271
