JoinField,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
MCHENRY:GRE 7,8,4,14,13,39
MCHENRY:GRE 8,24,11,22,29,86
MCHENRY:GRE 9,22,10,25,27,84
MCHENRY:HAR 1,8,6,19,28,61
MCHENRY:HAR 2,17,4,23,44,88
MCHENRY:HEB 1,29,3,27,19,78
MCHENRY:HEB 2,15,20,38,37,110
MCHENRY:MAR 1,13,9,24,25,71
MCHENRY:MAR 2,16,6,32,21,75
MCHENRY:MAR 3,28,9,16,37,90
MCHENRY:MAR 4,14,8,22,15,59
MCHENRY:MAR 5,21,4,22,33,80
MCHENRY:MCH 1,16,6,27,26,75
MCHENRY:MCH 10,16,11,34,46,107
MCHENRY:MCH 11,15,8,15,25,63
MCHENRY:MCH 12,13,7,19,27,66
MCHENRY:MCH 13,18,13,40,35,106
MCHENRY:MCH 14,21,4,33,24,82
MCHENRY:MCH 15,18,7,31,24,80
MCHENRY:MCH 16,12,3,23,28,66
MCHENRY:MCH 17,16,4,18,20,58
MCHENRY:MCH 18,18,6,15,31,70
MCHENRY:MCH 19,9,7,20,19,55
MCHENRY:MCH 2,17,7,15,32,71
MCHENRY:MCH 20,16,10,21,22,69
MCHENRY:MCH 21,10,8,21,21,60
MCHENRY:MCH 22,16,6,32,42,96
MCHENRY:MCH 23,33,10,31,37,111
MCHENRY:MCH 24,23,7,24,27,81
MCHENRY:MCH 25,25,13,33,34,105
MCHENRY:MCH 26,31,21,37,45,134
MCHENRY:MCH 27,9,13,22,16,60
MCHENRY:MCH 28,25,10,29,28,92
MCHENRY:MCH 29,13,3,14,18,48
MCHENRY:MCH 3,26,6,26,24,82
MCHENRY:MCH 30,14,11,20,15,60
MCHENRY:MCH 31,10,3,17,14,44
MCHENRY:MCH 32,13,10,28,29,80
MCHENRY:MCH 33,13,11,41,33,98
MCHENRY:MCH 34,14,9,21,13,57
MCHENRY:MCH 4,34,15,33,34,116
MCHENRY:MCH 5,22,6,19,27,74
MCHENRY:MCH 6,11,7,23,25,66
MCHENRY:MCH 7,20,5,33,31,89
MCHENRY:MCH 8,23,9,34,43,109
MCHENRY:MCH 9,26,8,31,25,90
MCHENRY:NUN 1,21,14,21,41,97
MCHENRY:NUN 10,40,15,31,28,114
MCHENRY:NUN 11,52,24,50,57,183
MCHENRY:NUN 12,30,17,55,35,137
MCHENRY:NUN 13,30,6,31,38,105
MCHENRY:NUN 14,37,12,23,35,107
MCHENRY:NUN 15,21,8,27,37,93
MCHENRY:NUN 16,20,6,34,24,84
MCHENRY:NUN 17,37,11,33,43,124
MCHENRY:NUN 18,29,10,35,27,101
MCHENRY:NUN 19,31,9,42,39,121
MCHENRY:NUN 2,15,14,42,39,110
MCHENRY:NUN 20,27,10,36,24,97
MCHENRY:NUN 21,40,4,40,37,121
MCHENRY:NUN 22,28,12,32,42,114
MCHENRY:NUN 23,20,9,22,15,66
MCHENRY:NUN 24,19,7,19,22,67
MCHENRY:NUN 25,14,5,10,20,49
MCHENRY:NUN 26,5,4,17,9,35
MCHENRY:NUN 27,19,10,26,28,83
MCHENRY:NUN 28,26,6,20,29,81
MCHENRY:NUN 29,16,15,31,37,99
MCHENRY:NUN 3,29,13,48,43,133
MCHENRY:NUN 4,18,17,21,32,88
MCHENRY:NUN 5,22,9,26,31,88
MCHENRY:NUN 6,17,6,26,27,76
MCHENRY:NUN 7,32,15,27,45,119
MCHENRY:NUN 8,15,10,34,31,90
MCHENRY:NUN 9,26,9,56,26,117
MCHENRY:RIC 1,30,10,39,38,117
MCHENRY:RIC 2,26,4,34,21,85
MCHENRY:RIC 3,14,8,27,37,86
MCHENRY:RIC 4,14,11,27,32,84
MCHENRY:RIC 5,16,4,14,21,55
MCHENRY:RIC 6,17,7,27,21,72
MCHENRY:RIL 1,13,9,20,33,75
MCHENRY:RIL 2,27,12,17,40,96
MCHENRY:SEN 1,14,5,28,23,70
MCHENRY:SEN 2,19,2,31,19,71
MCHENRY:SEN 3,14,12,16,35,77
,5911,2451,7185,7731,23278
