JoinField,JoinField_alt,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
COOK:8000030,COOK:Maine Precinct 30,183,3,8,9,1,6,119,52,2,84,6,4,3,4,1,485
COOK:8000031,COOK:Maine Precinct 31,36,3,5,3,4,2,36,11,2,37,2,1,0,2,0,144
COOK:8000032,COOK:Maine Precinct 32,68,0,7,17,6,3,40,5,0,38,1,2,0,6,0,193
COOK:8000039,COOK:Maine Precinct 39,56,3,9,16,1,0,37,11,1,52,1,4,0,2,2,195
COOK:8000040,COOK:Maine Precinct 40,45,2,3,14,2,1,42,6,0,31,1,0,0,2,0,149
COOK:8000043,COOK:Maine Precinct 43,60,1,3,2,3,1,33,14,1,25,0,1,0,1,0,145
COOK:8000044,COOK:Maine Precinct 44,46,0,4,7,1,1,56,19,0,23,2,0,0,6,0,165
COOK:8000046,COOK:Maine Precinct 46,45,0,3,8,6,3,37,17,0,43,0,4,1,5,0,172
COOK:8000051,COOK:Maine Precinct 51,43,2,2,18,2,0,22,8,2,24,0,1,0,10,1,135
COOK:8000052,COOK:Maine Precinct 52,43,1,5,11,1,4,71,23,0,53,4,2,0,3,0,221
COOK:8000055,COOK:Maine Precinct 55,60,1,12,7,1,1,24,17,0,34,1,2,0,1,0,161
COOK:8000058,COOK:Maine Precinct 58,52,0,2,5,3,3,36,21,2,25,2,1,2,4,6,164
COOK:8000059,COOK:Maine Precinct 59,59,3,0,5,3,5,35,13,0,32,0,2,0,5,1,163
COOK:8000060,COOK:Maine Precinct 60,93,2,9,15,9,4,71,32,0,72,0,4,0,1,1,313
COOK:8000063,COOK:Maine Precinct 63,38,2,6,8,3,0,26,12,1,39,0,0,0,3,0,138
COOK:8000069,COOK:Maine Precinct 69,28,1,2,14,0,4,41,6,0,41,0,3,0,4,1,145
COOK:8000072,COOK:Maine Precinct 72,79,0,6,8,6,1,59,13,0,38,3,0,3,4,2,222
COOK:8000073,COOK:Maine Precinct 73,40,2,6,6,1,0,37,3,1,10,1,3,1,1,0,112
COOK:8000074,COOK:Maine Precinct 74,45,0,1,13,4,1,58,9,0,33,0,1,0,0,0,165
COOK:8000075,COOK:Maine Precinct 75,53,5,2,5,3,1,43,6,0,26,2,0,0,5,0,151
COOK:8000076,COOK:Maine Precinct 76,21,2,4,12,0,1,29,5,0,19,0,0,0,4,0,97
COOK:8000083,COOK:Maine Precinct 83,39,3,5,2,4,1,25,15,0,28,0,4,1,3,1,131
COOK:8100003,COOK:New Trier Precinct 3,131,1,3,11,1,2,79,84,0,30,0,0,0,2,0,344
COOK:8100013,COOK:New Trier Precinct 13,135,3,4,13,1,1,111,45,0,67,0,0,1,4,0,385
COOK:8100017,COOK:New Trier Precinct 17,119,0,7,2,3,2,105,42,1,50,1,1,0,8,0,341
COOK:8100018,COOK:New Trier Precinct 18,19,0,1,0,0,0,13,43,0,5,0,0,0,0,0,81
COOK:8100021,COOK:New Trier Precinct 21,129,0,2,10,0,2,103,75,0,44,2,0,2,6,2,377
COOK:8100024,COOK:New Trier Precinct 24,108,1,3,14,3,1,82,43,0,42,5,2,0,9,1,314
COOK:8100026,COOK:New Trier Precinct 26,184,0,4,16,2,1,119,125,0,57,4,1,1,5,0,519
COOK:8100027,COOK:New Trier Precinct 27,103,0,0,4,1,0,64,88,0,37,0,0,0,0,0,297
COOK:8100031,COOK:New Trier Precinct 31,39,0,4,1,0,0,26,48,1,21,0,1,0,3,0,144
COOK:8100032,COOK:New Trier Precinct 32,58,0,0,4,0,1,49,86,0,24,1,0,0,0,1,224
COOK:8100033,COOK:New Trier Precinct 33,146,1,6,5,1,7,95,141,0,48,3,1,1,2,1,458
COOK:8100034,COOK:New Trier Precinct 34,99,0,4,5,1,1,69,27,0,34,2,0,0,5,0,247
COOK:8100036,COOK:New Trier Precinct 36,134,0,9,10,2,2,77,208,0,63,3,1,0,4,0,513
COOK:8100037,COOK:New Trier Precinct 37,127,1,0,2,1,5,66,157,0,41,4,0,1,2,1,408
COOK:8100038,COOK:New Trier Precinct 38,133,1,9,5,2,0,69,157,1,33,4,0,0,4,0,418
