REPRESENTATIVE IN CONGRESS NINTH CONGRESSIONAL DISTRICT (Vote For 1),,,,,,,,,,,,,,,,,,,,,,
,,John Elleson,,,,,Paul Friedman,,,,,Rocio Cleveland,,,,,Dongbo Mark Su,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 52,1012,18,5,0,0,23,14,3,1,0,18,7,1,2,0,10,1,1,2,0,4,55
Algonquin 53,1056,31,10,14,2,57,21,9,4,1,35,9,1,0,0,10,2,1,0,0,3,105
Algonquin 54,988,21,0,2,0,23,10,4,3,0,17,5,0,2,0,7,2,2,0,0,4,51
Algonquin 55,1055,29,6,7,0,42,14,1,1,0,16,7,1,0,0,8,4,1,2,0,7,73
Algonquin 56,882,20,6,3,0,29,15,3,3,0,21,6,0,3,4,13,4,0,1,0,5,68
Algonquin 57,979,25,2,2,0,29,17,2,1,0,20,2,0,0,0,2,0,0,0,0,0,51
Algonquin 58,1032,20,3,2,0,25,14,0,3,0,17,8,0,1,0,9,0,0,2,0,2,53
Algonquin 59,1053,32,6,2,4,44,21,5,4,0,30,2,2,1,0,5,1,1,0,0,2,81
Algonquin 60,1136,27,12,12,0,51,19,6,2,0,27,2,3,0,0,5,0,1,1,0,2,85
Algonquin 61,995,10,4,4,0,18,11,6,5,0,22,5,3,1,0,9,2,0,2,0,4,53
Algonquin 62,1038,17,15,8,0,40,22,13,6,0,41,7,2,4,0,13,2,2,1,0,5,99
Algonquin 63,967,19,6,6,2,33,17,4,4,0,25,3,0,0,0,3,2,0,0,0,2,63
Total:,61505,1226,383,241,23,1873,867,234,136,12,1249,273,76,59,6,414,77,39,43,6,165,3701
