GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,
,,(JB Pritzker /  Christian Mitchell,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Marengo 1,840,40,10,18,3,71,71
Marengo 2,926,41,9,23,0,73,73
Marengo 3,1120,42,14,27,4,87,87
Marengo 4,832,24,13,26,0,63,63
Marengo 5,901,36,25,20,1,82,82
McHenry 1,1001,37,19,20,2,78,78
McHenry 2,986,36,14,15,3,68,68
McHenry 3,1017,46,9,25,3,83,83
McHenry 4,1541,61,29,26,5,121,121
McHenry 5,922,34,27,18,0,79,79
McHenry 6,997,33,15,22,0,70,70
McHenry 7,997,35,24,27,1,87,87
McHenry 8,1061,54,28,26,2,110,110
McHenry 9,905,71,10,13,0,94,94
McHenry 10,980,45,36,21,5,107,107
McHenry 11,1006,27,15,21,4,67,67
McHenry 12,940,27,17,20,1,65,65
McHenry 13,1205,48,35,27,1,111,111
McHenry 14,1059,42,27,15,1,85,85
McHenry 15,900,54,18,11,2,85,85
McHenry 16,979,32,14,19,4,69,69
McHenry 17,860,22,17,18,0,57,57
McHenry 18,799,33,12,25,0,70,70
McHenry 19,789,22,16,16,0,54,54
McHenry 20,1312,37,22,13,3,75,75
McHenry 21,962,29,16,16,0,61,61
McHenry 22,1011,53,21,17,7,98,98
McHenry 23,1127,51,37,35,1,124,124
McHenry 24,1040,41,18,31,0,90,90
McHenry 25,1059,43,25,36,1,105,105
McHenry 26,1033,53,36,41,6,136,136
McHenry 27,818,30,11,18,0,59,59
McHenry 28,1066,52,20,24,1,97,97
McHenry 29,875,22,10,13,2,47,47
McHenry 30,718,25,6,28,5,64,64
McHenry 31,699,19,18,7,1,45,45
McHenry 32,746,41,21,20,1,83,83
McHenry 33,894,42,31,18,4,95,95
McHenry 34,835,32,11,19,1,63,63
Nunda 1,1109,51,24,24,7,106,106
Nunda 2,1043,52,33,27,3,115,115
Nunda 3,1142,63,36,29,7,135,135
Nunda 4,1020,35,30,20,4,89,89
Nunda 5,1241,38,28,18,5,89,89
Nunda 6,970,31,20,25,2,78,78
Nunda 7,1013,51,33,36,5,125,125
Nunda 8,1003,37,30,21,2,90,90
Nunda 9,1002,62,31,26,1,120,120
Nunda 10,1026,55,29,29,6,119,119
Nunda 11,1598,92,38,56,3,189,189
Nunda 12,1023,91,20,29,9,149,149
Nunda 13,1007,66,20,22,8,116,116
Nunda 14,1026,58,24,33,2,117,117
Nunda 15,923,45,30,19,4,98,98
Nunda 16,839,45,19,29,4,97,97
Nunda 17,833,77,29,24,5,135,135
Nunda 18,825,53,30,11,6,100,100
Nunda 19,987,82,16,20,3,121,121
Nunda 20,782,56,21,22,2,101,101
Nunda 21,1100,76,5,45,5,131,131
Nunda 22,960,61,23,28,3,115,115
Nunda 23,741,38,5,27,2,72,72
Nunda 24,832,32,12,21,5,70,70
Nunda 25,718,35,12,3,2,52,52
Nunda 26,795,24,4,10,0,38,38
Nunda 27,869,40,18,23,3,84,84
Nunda 28,1031,54,7,19,3,83,83
Nunda 29,827,59,12,31,1,103,103
Richmond 1,991,60,23,38,1,122,122
Richmond 2,915,60,15,17,0,92,92
Richmond 3,922,48,16,20,1,85,85
Richmond 4,957,46,18,21,4,89,89
Richmond 5,586,31,7,13,4,55,55
Richmond 6,803,30,10,30,5,75,75
Riley 1,1034,33,10,34,3,80,80
Riley 2,1221,56,18,20,3,97,97
Seneca 1,556,24,19,30,3,76,76
Seneca 2,626,36,14,21,2,73,73
Seneca 3,977,45,16,22,0,83,83
Total:,217436,11844,5825,5819,783,24271,24271
