UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kevin Ryan,,,,,Robin Kelly,,,,,Juliana Stratton,,,,,Raja Krishnamoorthi,,,,,Steve Botsford Jr.,,,,,Bryan Maxwell,,,,,Jonathan Dean,,,,,Sean Brown,,,,,Awisi A. Bustos,,,,,Christopher Swann,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Dunham 1,755,2,0,0,0,2,9,3,1,0,13,25,12,4,0,41,9,5,6,0,20,1,0,0,0,1,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Dunham 2,720,2,1,4,0,7,3,4,0,0,7,15,8,8,1,32,19,5,14,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,85
Grafton 1,1059,1,1,0,0,2,4,0,3,0,7,18,10,10,0,38,17,13,20,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,2,0,0,0,0,0,102
Grafton 2,1122,6,0,1,2,9,7,6,4,3,20,57,6,1,2,66,33,18,9,0,60,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,161
Grafton 3,1078,1,1,2,0,4,10,3,3,0,16,42,14,15,3,74,39,11,13,1,64,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,164
Grafton 4,1469,4,2,3,0,9,11,2,6,0,19,22,11,15,1,49,18,22,22,1,63,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144
Grafton 5,904,1,0,0,0,1,1,1,2,0,4,18,8,4,4,34,14,9,9,0,32,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74
Grafton 6,1105,2,2,0,0,4,6,3,4,2,15,24,10,5,4,43,15,9,21,0,45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
Grafton 7,1045,4,2,1,0,7,4,2,2,1,9,21,13,18,1,53,34,26,21,1,82,0,0,1,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,156
Grafton 8,935,5,2,1,1,9,5,7,3,0,15,23,17,9,4,53,12,14,8,2,36,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
Grafton 9,1120,5,0,2,0,7,4,1,1,0,6,21,9,7,1,38,18,15,21,1,55,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,2,6,0,0,0,0,0,116
Grafton 10,1077,1,0,1,0,2,6,4,0,0,10,22,9,6,1,38,23,6,9,0,38,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Grafton 11,779,3,0,0,0,3,1,2,0,0,3,20,15,5,1,41,12,3,8,3,26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,77
Grafton 12,1043,5,2,7,0,14,7,1,1,0,9,21,15,8,3,47,9,11,9,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,103
Grafton 13,1096,1,2,2,0,5,5,4,7,0,16,19,14,8,5,46,23,22,16,1,62,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
Grafton 14,1499,2,2,1,0,5,6,5,1,0,12,32,8,6,1,47,16,17,19,0,52,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121
Grafton 15,902,0,0,2,0,2,5,15,4,0,24,10,19,16,0,45,41,43,59,2,145,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
Grafton 16,1131,1,0,0,0,1,6,2,0,0,8,23,12,10,2,47,19,15,17,0,51,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,109
Grafton 17,1108,1,2,0,0,3,8,2,4,0,14,18,7,11,0,36,8,11,20,0,39,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,95
Grafton 18,910,0,1,4,0,5,6,6,2,0,14,21,11,7,1,40,16,26,26,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,129
Grafton 19,1065,0,1,0,0,1,3,7,3,0,13,25,6,2,4,37,13,15,7,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Grafton 20,1080,1,5,1,0,7,2,3,0,0,5,14,12,11,4,41,20,14,6,0,40,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96
Grafton 21,1024,3,0,1,0,4,9,3,2,1,15,22,12,8,4,46,18,9,18,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,115
Grafton 22,1000,3,2,0,0,5,8,0,2,0,10,19,6,3,1,29,8,6,7,1,22,0,0,0,0,0,0,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
Grafton 23,1131,6,1,0,0,7,6,0,0,1,7,29,4,10,1,44,20,3,9,2,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,95
Grafton 24,1089,0,1,0,0,1,4,1,0,0,5,20,6,7,4,37,13,10,15,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
Grafton 25,1038,5,3,0,0,8,4,2,3,0,9,17,14,2,4,37,17,7,18,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,98
Grafton 26,1054,3,0,2,0,5,9,6,3,0,18,23,13,11,0,47,51,58,80,1,190,0,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,266
Grafton 27,1053,3,1,2,0,6,5,8,5,0,18,21,9,6,2,38,19,43,45,4,111,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,179
Grafton 28,877,2,0,3,0,5,1,5,3,0,9,28,7,1,2,38,12,9,3,4,28,0,0,0,0,0,2,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85
Grafton 29,1149,5,0,0,1,6,2,0,2,0,4,42,9,11,0,62,18,4,19,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
Grafton 30,1413,1,1,1,0,3,7,3,2,0,12,10,8,7,0,25,18,19,30,2,69,0,0,0,0,0,0,2,0,0,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,115
Grafton 31,986,2,5,1,0,8,4,4,2,0,10,25,15,14,4,58,17,5,18,1,41,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,122
Grafton 32,1022,2,0,0,0,2,8,7,4,0,19,16,9,5,4,34,6,12,12,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Grafton 33,799,2,1,1,0,4,6,3,3,0,12,10,10,9,1,30,16,13,14,3,46,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
Grafton 34,723,4,6,1,0,11,2,0,0,0,2,13,7,11,2,33,10,11,9,2,32,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,83
Grafton 35,1181,0,0,3,0,3,5,0,2,3,10,30,3,9,0,42,21,4,6,0,31,0,0,0,0,0,1,0,3,0,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Grafton 36,972,2,0,2,0,4,2,4,0,0,6,14,13,4,5,36,7,5,11,2,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,73
Grafton 37,1165,2,0,1,0,3,3,1,0,1,5,21,8,11,1,41,17,5,8,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,83
Grafton 38,1029,1,0,5,0,6,9,5,6,0,20,23,7,10,1,41,20,16,28,4,68,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,139
Greenwood 1,838,2,1,1,0,4,3,2,0,0,5,15,5,2,0,22,13,13,11,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,69
Greenwood 2,913,4,2,3,1,10,5,8,2,1,16,21,17,13,0,51,9,25,14,7,55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,135
Greenwood 3,998,3,2,1,1,7,9,0,2,3,14,28,10,6,0,44,16,5,22,1,44,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,115
Greenwood 4,1030,3,0,2,2,7,3,1,1,1,6,36,6,11,3,56,19,11,19,1,50,1,2,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,125
Greenwood 5,966,1,3,1,0,5,8,2,1,2,13,8,10,8,4,30,5,14,13,4,36,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,89
Greenwood 6,1064,0,2,1,1,4,3,6,1,0,10,23,14,9,0,46,14,24,23,1,62,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
Greenwood 7,744,1,0,0,0,1,5,0,0,0,5,13,1,2,0,16,6,2,10,0,18,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Greenwood 8,959,3,2,4,0,9,6,1,0,0,7,20,5,5,0,30,20,7,13,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89
Greenwood 9,1261,6,1,0,1,8,7,0,2,2,11,16,9,6,2,33,19,5,13,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
Greenwood 10,723,0,1,0,1,2,4,5,2,2,13,10,11,6,2,29,9,12,16,0,37,0,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Hartland 1,724,3,0,0,0,3,6,3,6,0,15,6,1,5,0,12,16,5,13,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,66
Hartland 2,718,1,4,0,0,5,5,2,1,0,8,21,6,7,2,36,22,15,8,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,96
Hebron 1,835,2,0,0,0,2,4,3,1,1,9,25,4,4,1,34,22,5,11,3,41,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Hebron 2,830,3,1,0,0,4,8,4,3,1,16,39,5,2,0,46,31,9,11,0,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
Marengo 1,840,5,3,1,0,9,4,1,2,0,7,17,1,5,2,25,13,5,9,1,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
Marengo 2,926,3,0,0,0,3,9,0,2,0,11,18,3,0,0,21,12,5,21,0,38,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Marengo 3,1120,0,1,2,0,3,2,2,2,0,6,13,9,5,1,28,24,4,19,3,50,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,93
Marengo 4,832,0,0,2,0,2,4,0,2,0,6,10,3,3,0,16,9,9,19,0,37,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,65
Marengo 5,901,2,1,1,0,4,3,2,1,0,6,8,7,7,0,22,23,15,9,1,48,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,83
McHenry 1,1001,2,0,0,0,2,4,1,1,0,6,14,4,6,0,24,16,15,13,2,46,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
McHenry 2,986,4,0,0,0,4,5,4,3,0,12,18,3,8,2,31,9,9,4,0,22,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
McHenry 3,1017,3,1,0,0,4,4,2,1,0,7,17,1,7,2,27,20,3,16,1,40,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
McHenry 4,1541,2,5,0,0,7,5,6,2,2,15,29,13,6,2,50,24,6,16,1,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
McHenry 5,922,1,2,2,0,5,3,2,2,0,7,20,12,5,0,37,8,12,9,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79
McHenry 6,997,3,0,0,0,3,7,0,4,0,11,14,9,5,0,28,8,6,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,70
McHenry 7,997,2,1,0,0,3,2,0,3,0,5,17,9,8,0,34,15,14,18,0,47,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
McHenry 8,1061,5,1,3,0,9,1,8,1,0,10,24,8,4,2,38,30,11,16,0,57,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
McHenry 9,905,0,0,0,0,0,8,2,2,0,12,47,4,4,0,55,15,4,6,0,25,0,1,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
McHenry 10,980,1,0,0,0,1,7,3,1,1,12,23,15,12,0,50,15,18,8,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,110
McHenry 11,1006,2,1,0,1,4,1,2,0,2,5,16,7,4,1,28,9,6,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
McHenry 12,940,1,0,0,1,2,2,2,1,0,5,10,3,3,0,16,15,10,16,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,68
McHenry 13,1205,1,1,2,0,4,7,5,3,0,15,26,9,6,0,41,14,18,16,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,114
McHenry 14,1059,4,1,0,0,5,8,3,1,0,12,23,3,5,1,32,9,21,8,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,89
McHenry 15,900,6,2,0,0,8,2,1,0,0,3,27,5,7,1,40,19,10,4,0,33,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
McHenry 16,979,1,2,0,0,3,5,1,3,0,9,18,1,4,2,25,8,10,10,0,28,0,0,2,0,2,0,0,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,72
McHenry 17,860,0,1,0,0,1,2,2,2,0,6,10,4,5,0,19,9,13,12,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
McHenry 18,799,6,0,0,0,6,3,3,1,0,7,10,3,9,0,22,14,7,16,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73
McHenry 19,789,1,0,0,0,1,3,1,1,0,5,5,5,2,0,12,15,10,13,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
McHenry 20,1312,3,0,0,0,3,4,2,2,0,8,16,4,7,3,30,12,16,4,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,78
McHenry 21,962,0,1,1,0,2,3,2,2,0,7,10,2,5,0,17,15,12,7,0,34,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63
McHenry 22,1011,2,2,1,0,5,4,3,5,0,12,22,7,5,2,36,26,11,7,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
McHenry 23,1127,2,2,3,0,7,4,7,1,0,12,25,15,8,0,48,21,13,26,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
McHenry 24,1040,3,1,1,0,5,6,2,1,0,9,17,6,7,0,30,14,9,20,0,43,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
McHenry 25,1059,1,2,1,0,4,7,2,3,0,12,19,11,9,1,40,19,10,24,1,54,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
McHenry 26,1033,4,1,3,1,9,3,11,2,1,17,24,8,4,3,39,23,15,29,2,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,137
McHenry 27,818,1,1,0,0,2,7,1,0,0,8,17,5,4,0,26,7,5,14,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
McHenry 28,1066,1,8,4,1,14,7,1,5,0,13,18,4,6,0,28,25,7,10,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,99
McHenry 29,875,1,0,0,0,1,2,0,0,0,2,16,4,3,0,23,5,7,9,3,24,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
McHenry 30,718,2,0,1,0,3,5,1,6,0,12,12,3,5,4,24,6,2,17,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,67
McHenry 31,699,1,0,0,0,1,3,3,2,0,8,8,8,0,1,17,5,8,4,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
McHenry 32,746,2,3,0,0,5,4,5,1,0,10,19,5,6,1,31,17,10,13,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
McHenry 33,894,1,3,1,0,5,5,2,3,3,13,20,13,2,0,35,17,14,10,2,43,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,101
McHenry 34,835,1,1,0,1,3,2,2,0,0,4,16,4,10,0,30,14,4,7,1,26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,65
Nunda 1,1109,3,3,0,2,8,4,0,0,0,4,19,7,7,3,36,25,15,17,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109
Nunda 2,1043,5,2,0,0,7,3,1,0,1,5,25,19,5,0,49,19,13,21,2,55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,119
Nunda 3,1142,1,0,1,0,2,9,3,0,3,15,23,9,5,1,38,29,25,21,2,77,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,138
Nunda 4,1020,1,2,3,0,6,0,4,1,0,5,26,12,5,3,46,10,12,13,1,36,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Nunda 5,1241,5,0,1,0,6,6,4,3,0,13,17,6,2,5,30,9,16,12,0,37,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,91
Nunda 6,970,1,0,2,0,3,2,2,0,0,4,21,8,9,2,40,6,11,14,0,31,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,80
Nunda 7,1013,1,4,2,1,8,2,2,2,1,7,29,19,12,1,61,15,9,21,2,47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,127
Nunda 8,1003,0,6,2,1,9,5,0,0,1,6,19,7,6,0,32,17,22,12,0,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,101
Nunda 9,1002,5,0,2,0,7,6,6,1,0,13,31,15,8,1,55,19,10,15,0,44,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122
Nunda 10,1026,2,0,1,0,3,7,4,2,0,13,18,15,8,4,45,28,10,17,2,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,123
Nunda 11,1598,1,1,5,0,7,13,3,9,0,25,44,18,15,1,78,31,16,25,2,74,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
Nunda 12,1023,2,0,1,0,3,10,2,2,0,14,44,7,9,3,63,36,11,17,6,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,153
Nunda 13,1007,2,0,0,0,2,10,3,4,0,17,33,15,9,3,60,20,2,8,4,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Nunda 14,1026,2,0,2,1,5,9,8,1,1,19,28,9,11,0,48,18,9,20,0,47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Nunda 15,923,1,1,1,0,3,4,6,0,0,10,25,7,6,3,41,12,16,12,1,41,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,99
Nunda 16,839,0,0,0,0,0,7,0,1,0,8,25,5,8,1,39,13,13,19,3,48,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,99
