UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kevin Ryan,,,,,Robin Kelly,,,,,Juliana Stratton,,,,,Raja Krishnamoorthi,,,,,Steve Botsford Jr.,,,,,Bryan Maxwell,,,,,Jonathan Dean,,,,,Sean Brown,,,,,Awisi A. Bustos,,,,,Christopher Swann,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 20,978,6,1,0,0,7,7,5,1,1,14,37,11,9,3,60,21,17,19,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,141
Algonquin 21,1004,5,7,2,0,14,8,1,1,0,10,32,17,7,2,58,26,21,29,2,78,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,163
Algonquin 22,1016,4,2,4,1,11,6,4,4,2,16,49,20,7,3,79,32,15,22,0,69,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
Algonquin 23,767,0,1,0,0,1,10,5,0,0,15,12,10,2,1,25,17,24,16,0,57,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,103
Algonquin 24,773,1,0,1,0,2,8,6,2,0,16,16,8,4,2,30,10,10,4,2,26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,77
Algonquin 25,909,5,0,0,0,5,3,7,1,0,11,19,12,5,0,36,15,12,14,1,42,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,103
Algonquin 26,921,1,0,0,0,1,7,3,1,0,11,20,12,7,2,41,13,11,13,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Algonquin 27,962,2,1,0,0,3,4,0,0,2,6,29,11,5,2,47,24,13,19,1,57,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,118
Algonquin 28,1105,6,5,2,1,14,15,9,1,1,26,45,26,17,5,93,32,27,30,1,90,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,228
Algonquin 29,986,0,6,3,0,9,8,2,2,0,12,18,13,2,1,34,14,13,13,0,40,0,0,0,0,0,1,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,102
Algonquin 30,899,3,1,1,0,5,4,4,1,1,10,21,17,12,1,51,10,6,16,3,35,0,0,0,0,0,0,0,1,0,1,3,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,107
Algonquin 31,1298,4,2,0,0,6,10,12,3,2,27,43,13,2,2,60,21,7,16,1,45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
Algonquin 32,939,3,0,1,0,4,4,3,3,0,10,31,10,1,2,44,24,20,27,0,71,0,0,0,0,0,0,1,1,0,2,0,2,0,0,2,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,136
Algonquin 33,1081,1,3,2,2,8,18,5,4,1,28,35,9,11,1,56,30,17,18,8,73,1,0,0,0,1,1,1,2,0,4,2,0,0,0,2,0,0,0,0,0,1,0,1,0,2,1,1,0,0,2,0,0,0,0,0,176
Algonquin 34,933,5,1,1,0,7,7,6,1,0,14,24,10,7,2,43,27,18,15,0,60,0,0,0,0,0,2,0,0,0,2,3,0,1,0,4,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,134
Algonquin 35,1015,4,4,3,0,11,2,1,1,0,4,31,7,12,1,51,16,17,12,3,48,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,119
Algonquin 36,858,3,0,0,0,3,9,2,3,0,14,29,6,3,2,40,27,11,19,0,57,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,121
Algonquin 37,933,0,2,2,0,4,9,2,2,0,13,39,8,8,2,57,16,5,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,1,1,0,0,2,0,1,0,0,1,104
Algonquin 38,1043,2,0,1,1,4,7,2,1,0,10,44,9,7,1,61,31,5,11,0,47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,125
Algonquin 39,946,4,3,1,0,8,16,1,1,0,18,38,7,5,2,52,21,10,7,1,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,2,0,0,0,1,1,0,2,0,0,2,0,1,0,0,1,125
Algonquin 40,861,5,0,0,0,5,7,1,2,1,11,32,13,4,2,51,19,17,7,4,47,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,119
Algonquin 41,998,1,2,3,0,6,6,3,0,0,9,36,11,8,1,56,21,13,18,1,53,0,0,0,0,0,1,0,0,3,4,0,0,1,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132
Algonquin 42,969,5,2,1,0,8,8,3,3,0,14,32,18,11,3,64,39,27,15,2,83,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,173
Algonquin 43,706,1,1,0,0,2,5,2,0,1,8,24,8,0,1,33,23,11,8,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Algonquin 44,901,2,0,2,2,6,1,2,3,0,6,31,5,4,1,41,24,11,13,0,48,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,3,0,0,0,0,0,106
Algonquin 45,935,9,0,1,0,10,5,9,1,0,15,29,11,10,0,50,39,13,23,0,75,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,154
Algonquin 46,1085,4,2,0,0,6,5,8,3,1,17,58,10,14,8,90,25,9,27,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,180
Algonquin 47,992,3,3,0,0,6,7,2,0,0,9,27,14,7,2,50,32,17,26,2,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,146
Algonquin 48,938,1,1,2,0,4,10,7,4,1,22,43,12,4,1,60,37,14,11,2,64,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,1,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,157
Algonquin 49,932,1,1,0,0,2,5,3,1,0,9,28,13,12,2,55,20,10,15,3,48,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,122
Algonquin 50,992,6,1,4,0,11,9,1,1,0,11,45,19,16,3,83,32,15,13,0,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
Algonquin 51,1031,4,0,1,0,5,16,6,3,0,25,45,11,12,1,69,28,18,16,1,63,2,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,167
Algonquin 52,1012,5,1,1,0,7,12,0,8,1,21,43,14,4,1,62,38,9,6,3,56,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,2,2,1,0,5,1,0,0,0,1,2,1,0,0,3,0,0,0,0,0,158
Algonquin 53,1056,5,1,0,0,6,13,1,1,2,17,26,17,6,4,53,20,3,11,1,35,1,0,0,0,1,0,0,3,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
Algonquin 54,988,2,0,1,1,4,7,9,1,0,17,34,4,1,1,40,18,12,14,0,44,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,3,0,0,0,3,0,0,0,0,0,113
Algonquin 55,1055,1,0,3,0,4,15,1,2,1,19,60,10,10,2,82,32,14,13,0,59,0,0,0,0,0,0,1,0,0,1,2,1,0,0,3,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,172
Algonquin 56,882,2,1,1,0,4,6,2,5,1,14,43,13,5,6,67,48,19,10,2,79,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,171
Algonquin 57,979,7,1,0,0,8,12,2,0,0,14,34,16,7,1,58,38,8,24,1,71,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,154
Algonquin 58,1032,5,2,1,0,8,16,4,5,0,25,46,13,7,1,67,29,8,20,3,60,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
Algonquin 59,1053,3,0,2,1,6,7,4,4,0,15,38,14,12,4,68,28,14,11,4,57,2,1,0,0,3,1,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
Algonquin 60,1136,2,2,0,1,5,10,0,2,1,13,35,9,11,2,57,27,13,15,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,136
Algonquin 61,995,2,3,0,0,5,4,3,2,1,10,28,10,10,2,50,26,18,22,5,71,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,2,0,0,2,2,3,0,0,5,0,0,0,0,0,147
Algonquin 62,1038,0,1,5,0,6,8,1,2,0,11,21,6,12,3,42,24,28,26,0,78,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,2,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,144
Algonquin 63,967,3,0,0,0,3,12,1,5,0,18,52,16,5,2,75,37,14,13,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
Burton 1,981,0,0,0,0,0,4,2,1,0,7,11,9,10,0,30,12,5,20,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77
Burton 2,943,1,0,1,0,2,0,0,1,0,1,13,4,7,2,26,19,18,7,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Burton 3,920,3,1,0,1,5,3,1,2,0,6,30,5,7,1,43,11,11,13,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,92
Burton 4,866,1,0,0,0,1,11,1,1,0,13,7,2,5,0,14,22,8,19,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Chemung 1,845,2,0,6,0,8,5,1,1,1,8,18,7,3,0,28,15,9,10,2,36,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,3,0,0,0,3,0,0,1,0,1,0,0,0,0,0,87
Chemung 2,970,3,0,0,0,3,7,1,1,0,9,14,1,4,1,20,15,1,7,0,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,59
Chemung 3,761,4,2,4,2,12,5,0,0,0,5,14,2,4,2,22,4,2,12,1,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,61
Chemung 4,811,4,1,0,0,5,3,1,1,0,5,17,6,1,1,25,15,3,5,0,23,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,61
Chemung 5,773,5,0,1,0,6,4,1,4,2,11,17,2,2,1,22,16,4,14,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,78
Coral 1,1007,0,2,0,0,2,5,2,3,1,11,23,2,11,4,40,20,5,22,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,101
Coral 2,910,1,0,2,0,3,9,0,0,0,9,11,3,4,2,20,22,2,11,1,36,0,0,0,0,0,1,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
Coral 3,928,0,1,0,0,1,5,0,2,1,8,13,11,4,3,31,21,13,20,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98
Dorr 1,922,2,1,1,0,4,6,4,3,2,15,25,21,8,4,58,10,10,9,3,32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,113
Dorr 2,962,6,4,2,0,12,9,8,1,0,18,27,7,18,0,52,15,10,17,0,42,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,131
Dorr 3,990,7,2,2,0,11,8,4,2,0,14,28,7,7,0,42,18,12,17,3,50,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,122
Dorr 4,976,5,2,4,1,12,8,2,2,0,12,55,14,12,1,82,18,13,16,3,50,1,0,0,0,1,1,0,1,0,2,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,167
