UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casey Chlebek,,,,,Don Tracy,,,,,R. Cary Capparelli,,,,,Pamela Denise Long,,,,,"Jimmy Lee Tillman, II",,,,,Jeannie Evans,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
McHenry 14,1059,6,4,1,0,11,14,2,3,0,19,6,2,1,0,9,2,3,3,0,8,3,1,4,0,8,8,7,4,0,19,74
McHenry 15,900,6,2,2,0,10,20,5,3,1,29,5,6,1,0,12,4,0,1,1,6,2,0,0,0,2,15,6,0,1,22,81
McHenry 16,979,7,2,2,0,11,11,3,1,2,17,6,1,0,0,7,7,1,0,0,8,4,0,0,0,4,10,3,4,0,17,64
McHenry 17,860,4,0,0,0,4,17,2,3,0,22,7,3,0,0,10,5,0,0,0,5,1,2,2,0,5,5,1,1,2,9,55
McHenry 18,799,11,0,2,0,13,21,7,1,1,30,8,0,0,0,8,0,1,0,0,1,3,1,1,0,5,18,6,2,1,27,84
McHenry 19,789,2,1,0,0,3,20,5,1,0,26,7,4,0,0,11,8,1,0,0,9,2,2,0,0,4,14,4,0,0,18,71
McHenry 20,1312,10,0,3,0,13,14,11,2,1,28,2,0,0,0,2,6,1,2,0,9,1,2,0,0,3,21,8,1,0,30,85
McHenry 21,962,4,0,2,0,6,19,7,1,1,28,8,3,1,0,12,14,1,1,0,16,3,1,5,0,9,18,2,0,0,20,91
McHenry 22,1011,4,3,3,1,11,16,7,3,1,27,6,1,0,0,7,2,4,2,1,9,7,1,2,0,10,14,4,2,0,20,84
McHenry 23,1127,4,2,3,0,9,20,7,0,0,27,5,3,1,0,9,2,2,0,0,4,7,2,0,0,9,20,12,2,2,36,94
McHenry 24,1040,6,1,4,0,11,7,2,1,0,10,4,0,0,0,4,4,0,0,0,4,1,0,0,0,1,11,3,3,0,17,47
McHenry 25,1059,7,1,8,0,16,11,4,6,0,21,2,3,2,0,7,4,1,1,0,6,3,1,0,0,4,12,3,2,0,17,71
McHenry 26,1033,4,1,2,0,7,12,3,4,1,20,5,1,4,0,10,4,2,2,0,8,2,2,2,1,7,12,11,5,0,28,80
McHenry 27,818,3,0,0,1,4,15,3,4,0,22,5,2,0,1,8,1,0,0,0,1,4,1,0,0,5,9,1,1,2,13,53
McHenry 28,1066,5,0,0,0,5,22,7,2,0,31,8,1,3,0,12,3,2,2,0,7,4,3,1,0,8,16,9,1,1,27,90
McHenry 29,875,4,2,1,0,7,10,1,2,1,14,7,1,5,0,13,3,1,2,0,6,2,0,2,0,4,9,3,1,0,13,57
McHenry 30,718,8,1,1,0,10,5,3,5,0,13,4,1,1,1,7,5,0,2,0,7,1,0,0,0,1,6,2,1,0,9,47
McHenry 31,699,3,0,0,0,3,8,2,1,0,11,0,0,1,0,1,2,3,1,0,6,2,0,0,0,2,6,7,0,0,13,36
McHenry 32,746,2,1,2,0,5,10,4,4,0,18,3,2,2,0,7,3,1,0,0,4,1,0,1,0,2,8,3,1,0,12,48
McHenry 33,894,4,0,1,0,5,19,0,2,1,22,9,1,0,1,11,9,0,1,0,10,5,2,0,0,7,13,4,1,0,18,73
McHenry 34,835,4,1,0,1,6,26,3,4,0,33,5,1,1,0,7,3,0,1,0,4,4,1,1,0,6,20,2,2,0,24,80
Nunda 1,1109,8,0,0,0,8,15,3,1,3,22,6,1,2,0,9,3,1,1,0,5,2,3,0,0,5,13,1,1,2,17,66
Nunda 2,1043,2,1,2,0,5,18,8,1,0,27,4,0,0,0,4,3,1,3,0,7,3,0,0,0,3,17,4,2,0,23,69
Nunda 3,1142,4,2,7,0,13,17,7,2,3,29,7,1,3,0,11,4,2,3,0,9,2,1,0,0,3,9,6,2,1,18,83
Nunda 4,1020,1,0,1,1,3,16,7,3,0,26,4,0,0,1,5,7,4,3,1,15,6,0,0,0,6,19,7,0,0,26,81
Nunda 5,1241,11,4,2,0,17,13,6,11,1,31,2,1,0,0,3,2,2,2,0,6,1,1,0,0,2,10,3,0,0,13,72
Nunda 6,970,0,1,2,0,3,11,4,0,0,15,3,3,0,0,6,9,1,0,0,10,3,2,0,0,5,7,4,0,1,12,51
Nunda 7,1013,4,3,0,0,7,7,5,3,2,17,2,4,2,1,9,1,0,2,0,3,0,1,0,0,1,8,2,1,1,12,49
Nunda 8,1003,3,0,2,0,5,13,0,3,0,16,3,1,0,0,4,6,2,3,0,11,5,3,0,0,8,18,8,1,0,27,71
Nunda 9,1002,4,3,0,0,7,11,5,10,0,26,0,1,0,1,2,8,3,7,1,19,2,2,0,0,4,14,3,0,0,17,75
Nunda 10,1026,6,0,0,0,6,24,4,6,1,35,7,2,0,0,9,5,1,4,0,10,2,0,1,0,3,15,3,5,0,23,86
Nunda 11,1598,3,3,2,0,8,18,13,2,2,35,6,2,2,0,10,8,1,1,1,11,4,1,1,0,6,19,3,0,0,22,92
Nunda 12,1023,6,2,2,0,10,8,1,3,1,13,7,2,0,0,9,3,0,0,0,3,2,3,0,0,5,12,4,4,0,20,60
Nunda 13,1007,6,4,1,0,11,9,4,1,0,14,5,0,0,0,5,1,3,0,0,4,4,0,0,0,4,13,5,1,0,19,57
Nunda 14,1026,6,3,2,0,11,17,4,3,1,25,4,1,2,0,7,5,0,3,0,8,3,0,0,0,3,15,2,0,0,17,71
Nunda 15,923,5,0,0,0,5,16,4,1,0,21,7,2,0,0,9,2,0,1,0,3,7,0,0,0,7,17,3,1,1,22,67
Nunda 16,839,3,3,0,2,8,11,2,3,0,16,4,1,1,0,6,6,0,0,1,7,4,1,1,0,6,7,5,2,1,15,58
Nunda 17,833,4,0,0,0,4,13,1,0,1,15,2,0,1,2,5,2,0,0,0,2,2,0,0,0,2,11,0,0,1,12,40
Nunda 18,825,5,1,3,0,9,11,6,5,0,22,1,2,0,0,3,1,0,0,2,3,1,0,1,0,2,10,1,1,0,12,51
Nunda 19,987,12,0,1,0,13,28,1,9,1,39,2,0,3,0,5,1,1,0,0,2,1,0,0,0,1,25,3,2,0,30,90
Nunda 20,782,2,0,1,0,3,11,2,9,1,23,2,0,0,0,2,2,0,0,0,2,5,0,0,0,5,13,0,2,0,15,50
Nunda 21,1100,5,0,1,0,6,15,1,4,0,20,1,0,1,0,2,5,0,0,0,5,2,0,1,0,3,10,1,1,0,12,48
Nunda 22,960,3,0,0,0,3,7,6,1,2,16,3,0,1,0,4,1,0,0,0,1,3,0,0,0,3,9,1,0,0,10,37
Nunda 23,741,1,1,1,1,4,17,2,2,0,21,5,2,0,0,7,2,0,0,0,2,1,0,0,0,1,8,5,1,0,14,49
Nunda 24,832,2,0,1,1,4,15,4,1,0,20,4,0,0,0,4,8,3,1,0,12,2,0,2,0,4,5,2,4,0,11,55
Nunda 25,718,9,1,0,0,10,12,4,5,3,24,3,3,1,0,7,4,2,1,0,7,4,1,0,0,5,11,1,1,0,13,66
Nunda 26,795,10,0,1,0,11,11,1,5,0,17,5,0,0,0,5,4,0,0,0,4,2,1,1,0,4,15,4,0,0,19,60
Nunda 27,869,4,0,2,0,6,24,5,4,0,33,9,0,1,0,10,4,1,4,0,9,1,1,0,0,2,10,4,1,0,15,75
Nunda 28,1031,9,0,2,0,11,8,1,1,0,10,1,2,0,0,3,7,0,0,0,7,6,0,0,0,6,7,2,3,1,13,50
Nunda 29,827,4,0,0,0,4,16,0,2,2,20,3,2,3,1,9,2,3,0,0,5,0,1,1,0,2,19,0,1,0,20,60
Richmond 1,991,8,2,1,0,11,24,7,9,0,40,6,2,1,0,9,7,2,3,0,12,1,0,0,0,1,14,5,9,0,28,101
Richmond 2,915,7,4,0,0,11,19,3,0,0,22,7,1,2,0,10,6,0,0,0,6,7,0,2,0,9,17,2,0,0,19,77
Richmond 3,922,9,2,2,0,13,28,3,2,2,35,10,2,0,0,12,5,1,0,0,6,6,0,3,0,9,27,2,3,0,32,107
Richmond 4,957,6,2,2,0,10,18,3,4,0,25,4,3,1,1,9,3,0,1,0,4,3,0,1,0,4,14,1,2,0,17,69
Richmond 5,586,8,0,1,1,10,9,1,0,2,12,3,2,1,0,6,5,1,0,0,6,3,1,0,0,4,8,1,5,1,15,53
Richmond 6,803,2,2,0,0,4,21,1,5,0,27,6,1,1,0,8,4,2,0,0,6,10,0,0,0,10,11,2,0,0,13,68
Riley 1,1034,12,1,0,0,13,37,3,12,0,52,7,2,0,0,9,8,2,0,0,10,7,0,0,0,7,19,4,4,0,27,118
Riley 2,1221,7,0,1,0,8,21,6,2,0,29,5,1,4,0,10,6,0,3,0,9,1,1,1,0,3,29,4,2,0,35,94
Seneca 1,556,2,3,0,0,5,11,3,0,0,14,1,1,0,0,2,2,0,0,0,2,3,0,0,0,3,10,3,0,0,13,39
Seneca 2,626,5,2,0,0,7,14,2,6,1,23,3,1,0,0,4,1,2,2,0,5,2,0,0,0,2,10,5,0,1,16,57
Seneca 3,977,17,2,0,0,19,39,1,3,1,44,8,1,1,0,10,11,0,0,1,12,9,1,0,1,11,43,4,5,0,52,148
Total:,217436,1102,292,237,28,1659,3396,974,713,116,5199,1026,349,223,22,1620,933,270,279,21,1503,661,184,119,12,976,2855,839,388,60,4142,15099
