UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casey Chlebek,,,,,Don Tracy,,,,,R. Cary Capparelli,,,,,Pamela Denise Long,,,,,"Jimmy Lee Tillman, II",,,,,Jeannie Evans,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 38,1043,5,0,1,0,6,13,3,1,0,17,9,0,0,0,9,2,0,2,0,4,2,0,0,0,2,18,2,1,0,21,59
Algonquin 39,946,6,0,0,0,6,18,1,2,0,21,3,2,1,0,6,2,1,1,0,4,4,4,0,0,8,22,1,2,0,25,70
Algonquin 40,861,1,0,0,0,1,17,1,4,0,22,7,3,1,0,11,3,3,1,0,7,4,0,0,0,4,8,0,1,0,9,54
Algonquin 41,998,4,0,1,0,5,16,5,2,0,23,6,4,1,0,11,4,0,0,0,4,3,0,0,0,3,13,4,1,0,18,64
Algonquin 42,969,4,1,4,0,9,15,3,2,0,20,2,1,0,0,3,3,2,2,0,7,1,1,0,0,2,12,2,0,1,15,56
Algonquin 43,706,5,0,1,0,6,15,5,0,1,21,2,1,0,0,3,1,0,1,0,2,1,1,0,0,2,7,4,0,0,11,45
Algonquin 44,901,5,0,2,0,7,18,2,1,0,21,8,1,2,0,11,4,1,1,1,7,2,1,1,0,4,18,3,2,0,23,73
Algonquin 45,935,6,1,1,0,8,20,4,2,0,26,3,3,3,0,9,4,2,1,0,7,2,1,0,0,3,20,4,5,0,29,82
Algonquin 46,1085,6,1,1,0,8,11,5,8,0,24,5,2,0,0,7,3,1,0,0,4,4,1,4,0,9,11,3,3,0,17,69
Algonquin 47,992,6,0,4,0,10,8,6,0,1,15,2,1,0,0,3,2,0,5,0,7,1,3,0,0,4,9,2,0,0,11,50
Algonquin 48,938,11,1,1,0,13,19,1,4,2,26,2,0,0,0,2,3,1,0,0,4,1,0,0,0,1,11,2,0,0,13,59
Algonquin 49,932,4,0,2,0,6,12,7,3,0,22,3,1,1,0,5,4,0,1,0,5,1,0,0,0,1,16,2,2,1,21,60
Algonquin 50,992,1,0,0,0,1,23,5,3,1,32,9,1,0,0,10,3,0,0,1,4,1,2,0,0,3,12,1,3,0,16,66
Algonquin 51,1031,12,1,2,0,15,12,7,3,0,22,3,0,0,0,3,2,1,0,0,3,2,0,1,0,3,8,7,0,0,15,61
Algonquin 52,1012,6,0,0,0,6,17,6,1,0,24,5,0,0,0,5,2,3,1,0,6,2,0,1,0,3,13,1,2,0,16,60
Algonquin 53,1056,6,2,0,1,9,22,15,13,1,51,7,2,1,0,10,9,0,1,0,10,3,0,2,0,5,23,3,1,1,28,113
Algonquin 54,988,9,2,0,0,11,12,2,5,0,19,3,0,1,0,4,2,0,1,0,3,3,0,0,0,3,13,3,1,0,17,57
Algonquin 55,1055,4,2,2,0,8,27,4,3,0,34,5,0,0,0,5,6,0,3,0,9,5,0,0,0,5,9,3,2,0,14,75
Algonquin 56,882,2,0,2,0,4,18,4,4,1,27,7,1,0,0,8,4,1,1,0,6,3,0,2,0,5,15,3,1,3,22,72
Algonquin 57,979,3,0,0,0,3,25,1,2,0,28,4,1,0,0,5,6,2,0,0,8,1,0,0,0,1,6,0,1,0,7,52
Algonquin 58,1032,5,0,0,0,5,16,2,2,0,20,1,0,2,0,3,7,0,1,0,8,5,1,0,0,6,9,0,3,0,12,54
Algonquin 59,1053,10,1,4,1,16,24,10,1,1,36,1,1,1,0,3,6,1,0,0,7,4,0,1,0,5,14,1,1,2,18,85
