JoinField,JoinField_alt,Ward/Township,Precinct,La Shawn K. Ford,Jazmin J. Robinson,Melissa Conyears-Ervin,Jason Friedman,Rory Hoskins,Reed Showalter,Anabel Mendoza,"Anthony Driver, Jr.",Richard R. Boykin,Felix Tello,Kina Collins,David Ehrlich,Thomas Fisher,Total Voters
CITY OF CHICAGO:WARD 03 PRECINCT 25,CITY OF CHICAGO:WARD 03 PRECINCT 25,3,25,62,11,90,68,3,16,27,53,14,1,36,4,106,491
CITY OF CHICAGO:WARD 04 PRECINCT 24,CITY OF CHICAGO:WARD 04 PRECINCT 24,4,24,22,4,28,3,0,3,1,10,2,0,5,0,15,93
CITY OF CHICAGO:WARD 04 PRECINCT 25,CITY OF CHICAGO:WARD 04 PRECINCT 25,4,25,89,9,103,68,5,33,37,83,22,2,55,6,102,614
CITY OF CHICAGO:WARD 04 PRECINCT 26,CITY OF CHICAGO:WARD 04 PRECINCT 26,4,26,83,14,77,56,4,25,34,96,24,2,43,8,88,554
CITY OF CHICAGO:WARD 04 PRECINCT 27,CITY OF CHICAGO:WARD 04 PRECINCT 27,4,27,80,14,63,23,4,36,21,71,13,0,48,6,44,423
CITY OF CHICAGO:WARD 04 PRECINCT 28,CITY OF CHICAGO:WARD 04 PRECINCT 28,4,28,87,14,69,48,2,68,28,122,14,2,67,6,77,604
CITY OF CHICAGO:WARD 11 PRECINCT 01,CITY OF CHICAGO:WARD 11 PRECINCT 01,11,1,41,1,11,16,1,1,7,22,3,0,9,2,14,128
CITY OF CHICAGO:WARD 11 PRECINCT 02,CITY OF CHICAGO:WARD 11 PRECINCT 02,11,2,7,3,10,6,0,1,3,10,2,1,1,0,4,48
CITY OF CHICAGO:WARD 11 PRECINCT 03,CITY OF CHICAGO:WARD 11 PRECINCT 03,11,3,31,7,41,37,1,10,31,47,10,4,18,3,13,253
CITY OF CHICAGO:WARD 11 PRECINCT 07,CITY OF CHICAGO:WARD 11 PRECINCT 07,11,7,24,0,18,94,2,4,8,21,5,1,7,1,8,193
CITY OF CHICAGO:WARD 11 PRECINCT 08,CITY OF CHICAGO:WARD 11 PRECINCT 08,11,8,39,13,40,43,3,10,25,32,10,5,19,4,16,259
CITY OF CHICAGO:WARD 11 PRECINCT 09,CITY OF CHICAGO:WARD 11 PRECINCT 09,11,9,26,5,30,28,2,8,34,41,18,6,10,4,20,232
CITY OF CHICAGO:WARD 11 PRECINCT 10,CITY OF CHICAGO:WARD 11 PRECINCT 10,11,10,8,1,9,3,0,4,5,7,1,0,3,0,4,45
CITY OF CHICAGO:WARD 11 PRECINCT 11,CITY OF CHICAGO:WARD 11 PRECINCT 11,11,11,12,6,7,3,0,2,2,3,0,0,0,0,5,40
CITY OF CHICAGO:WARD 11 PRECINCT 12,CITY OF CHICAGO:WARD 11 PRECINCT 12,11,12,5,2,2,14,0,7,19,10,4,1,2,1,7,74
CITY OF CHICAGO:WARD 11 PRECINCT 13,CITY OF CHICAGO:WARD 11 PRECINCT 13,11,13,34,1,29,29,4,9,37,55,7,5,11,6,10,237
CITY OF CHICAGO:WARD 11 PRECINCT 14,CITY OF CHICAGO:WARD 11 PRECINCT 14,11,14,29,11,66,45,3,18,58,117,16,4,40,5,28,440
CITY OF CHICAGO:WARD 11 PRECINCT 21,CITY OF CHICAGO:WARD 11 PRECINCT 21,11,21,40,4,46,57,2,10,41,63,36,4,21,11,26,361
CITY OF CHICAGO:WARD 11 PRECINCT 22,CITY OF CHICAGO:WARD 11 PRECINCT 22,11,22,21,3,31,38,1,7,33,24,21,1,20,5,19,224
CITY OF CHICAGO:WARD 11 PRECINCT 23,CITY OF CHICAGO:WARD 11 PRECINCT 23,11,23,22,8,44,34,0,9,34,33,17,1,17,7,24,250
CITY OF CHICAGO:WARD 14 PRECINCT 01,CITY OF CHICAGO:WARD 14 PRECINCT 01,14,1,21,6,34,4,4,3,43,20,3,4,6,0,4,152
CITY OF CHICAGO:WARD 15 PRECINCT 01,CITY OF CHICAGO:WARD 15 PRECINCT 01,15,1,9,2,27,19,5,4,13,9,16,1,1,2,15,123
CITY OF CHICAGO:WARD 15 PRECINCT 02,CITY OF CHICAGO:WARD 15 PRECINCT 02,15,2,11,2,20,26,5,8,18,12,20,0,10,7,8,147
CITY OF CHICAGO:WARD 15 PRECINCT 03,CITY OF CHICAGO:WARD 15 PRECINCT 03,15,3,12,2,13,9,1,1,7,7,4,0,5,2,5,68
CITY OF CHICAGO:WARD 15 PRECINCT 10,CITY OF CHICAGO:WARD 15 PRECINCT 10,15,10,7,4,23,1,0,1,6,2,1,1,3,1,3,53
CITY OF CHICAGO:WARD 15 PRECINCT 15,CITY OF CHICAGO:WARD 15 PRECINCT 15,15,15,23,9,22,4,0,3,35,9,1,3,7,0,6,122
CITY OF CHICAGO:WARD 15 PRECINCT 16,CITY OF CHICAGO:WARD 15 PRECINCT 16,15,16,38,9,63,5,0,0,31,19,14,2,6,0,3,190
CITY OF CHICAGO:WARD 15 PRECINCT 17,CITY OF CHICAGO:WARD 15 PRECINCT 17,15,17,60,6,102,4,1,1,13,17,13,2,7,2,5,233
CITY OF CHICAGO:WARD 15 PRECINCT 18,CITY OF CHICAGO:WARD 15 PRECINCT 18,15,18,42,5,74,4,1,2,5,16,17,1,5,0,4,176
CITY OF CHICAGO:WARD 15 PRECINCT 19,CITY OF CHICAGO:WARD 15 PRECINCT 19,15,19,24,4,47,1,0,0,7,6,7,0,6,0,1,103
CITY OF CHICAGO:WARD 16 PRECINCT 01,CITY OF CHICAGO:WARD 16 PRECINCT 01,16,1,59,6,87,1,2,4,3,14,9,1,9,1,3,199
CITY OF CHICAGO:WARD 16 PRECINCT 02,CITY OF CHICAGO:WARD 16 PRECINCT 02,16,2,20,8,64,5,2,0,12,9,3,0,4,0,4,131
CITY OF CHICAGO:WARD 16 PRECINCT 03,CITY OF CHICAGO:WARD 16 PRECINCT 03,16,3,37,9,65,3,4,1,6,8,2,0,6,0,6,147
CITY OF CHICAGO:WARD 16 PRECINCT 04,CITY OF CHICAGO:WARD 16 PRECINCT 04,16,4,32,4,57,4,1,4,2,4,4,1,1,0,1,115
CITY OF CHICAGO:WARD 16 PRECINCT 05,CITY OF CHICAGO:WARD 16 PRECINCT 05,16,5,47,10,87,6,1,0,8,16,12,0,16,0,9,212
CITY OF CHICAGO:WARD 16 PRECINCT 06,CITY OF CHICAGO:WARD 16 PRECINCT 06,16,6,59,11,85,6,0,4,3,15,11,1,7,0,4,206
CITY OF CHICAGO:WARD 16 PRECINCT 07,CITY OF CHICAGO:WARD 16 PRECINCT 07,16,7,34,4,48,7,1,1,9,7,3,0,2,2,2,120
CITY OF CHICAGO:WARD 16 PRECINCT 08,CITY OF CHICAGO:WARD 16 PRECINCT 08,16,8,13,5,28,2,0,1,17,11,2,2,0,1,3,85
CITY OF CHICAGO:WARD 16 PRECINCT 09,CITY OF CHICAGO:WARD 16 PRECINCT 09,16,9,60,13,78,1,1,0,4,16,9,0,9,2,7,200
CITY OF CHICAGO:WARD 16 PRECINCT 10,CITY OF CHICAGO:WARD 16 PRECINCT 10,16,10,53,2,64,2,1,2,4,8,8,0,6,0,2,152
CITY OF CHICAGO:WARD 16 PRECINCT 11,CITY OF CHICAGO:WARD 16 PRECINCT 11,16,11,23,8,56,3,1,0,5,8,11,1,8,1,8,133
CITY OF CHICAGO:WARD 16 PRECINCT 12,CITY OF CHICAGO:WARD 16 PRECINCT 12,16,12,11,3,26,0,2,1,3,4,3,0,1,0,1,55
CITY OF CHICAGO:WARD 16 PRECINCT 13,CITY OF CHICAGO:WARD 16 PRECINCT 13,16,13,19,8,40,0,1,2,2,4,10,1,5,1,0,93
CITY OF CHICAGO:WARD 16 PRECINCT 14,CITY OF CHICAGO:WARD 16 PRECINCT 14,16,14,71,14,89,1,3,1,5,14,12,0,4,2,7,223
CITY OF CHICAGO:WARD 16 PRECINCT 15,CITY OF CHICAGO:WARD 16 PRECINCT 15,16,15,47,9,81,5,3,1,3,27,8,0,4,0,3,191
CITY OF CHICAGO:WARD 16 PRECINCT 16,CITY OF CHICAGO:WARD 16 PRECINCT 16,16,16,37,9,57,0,0,3,3,18,5,0,3,0,4,139
CITY OF CHICAGO:WARD 16 PRECINCT 17,CITY OF CHICAGO:WARD 16 PRECINCT 17,16,17,52,13,91,7,1,2,23,23,14,1,4,0,5,236
CITY OF CHICAGO:WARD 16 PRECINCT 18,CITY OF CHICAGO:WARD 16 PRECINCT 18,16,18,61,9,88,7,1,3,17,28,4,2,8,2,6,236
CITY OF CHICAGO:WARD 16 PRECINCT 19,CITY OF CHICAGO:WARD 16 PRECINCT 19,16,19,36,11,75,4,1,2,26,14,7,2,9,1,2,190
CITY OF CHICAGO:WARD 16 PRECINCT 20,CITY OF CHICAGO:WARD 16 PRECINCT 20,16,20,32,3,77,3,2,1,3,9,11,0,1,1,6,149
CITY OF CHICAGO:WARD 16 PRECINCT 21,CITY OF CHICAGO:WARD 16 PRECINCT 21,16,21,37,4,56,2,0,1,7,5,4,0,7,0,7,130
CITY OF CHICAGO:WARD 16 PRECINCT 22,CITY OF CHICAGO:WARD 16 PRECINCT 22,16,22,52,4,64,0,0,3,4,17,8,1,8,1,4,166
CITY OF CHICAGO:WARD 16 PRECINCT 23,CITY OF CHICAGO:WARD 16 PRECINCT 23,16,23,7,2,4,0,1,0,8,1,1,1,1,0,0,26
CITY OF CHICAGO:WARD 16 PRECINCT 24,CITY OF CHICAGO:WARD 16 PRECINCT 24,16,24,40,6,70,5,1,3,6,5,4,1,3,1,3,148
CITY OF CHICAGO:WARD 16 PRECINCT 25,CITY OF CHICAGO:WARD 16 PRECINCT 25,16,25,25,5,39,0,0,2,1,4,3,0,3,0,6,88
CITY OF CHICAGO:WARD 17 PRECINCT 02,CITY OF CHICAGO:WARD 17 PRECINCT 02,17,2,25,4,26,0,1,4,4,5,4,1,1,0,2,77
CITY OF CHICAGO:WARD 17 PRECINCT 03,CITY OF CHICAGO:WARD 17 PRECINCT 03,17,3,64,12,96,0,0,1,11,10,5,1,6,0,11,217
CITY OF CHICAGO:WARD 17 PRECINCT 04,CITY OF CHICAGO:WARD 17 PRECINCT 04,17,4,51,7,76,0,0,2,6,11,6,1,4,0,6,170
CITY OF CHICAGO:WARD 17 PRECINCT 05,CITY OF CHICAGO:WARD 17 PRECINCT 05,17,5,28,6,42,2,0,0,6,3,2,0,5,1,6,101
CITY OF CHICAGO:WARD 17 PRECINCT 06,CITY OF CHICAGO:WARD 17 PRECINCT 06,17,6,49,6,70,4,0,2,9,9,10,0,6,0,4,169
CITY OF CHICAGO:WARD 17 PRECINCT 07,CITY OF CHICAGO:WARD 17 PRECINCT 07,17,7,23,5,37,1,0,0,2,7,7,0,1,0,1,84
CITY OF CHICAGO:WARD 17 PRECINCT 08,CITY OF CHICAGO:WARD 17 PRECINCT 08,17,8,39,3,56,1,0,0,3,3,10,1,3,0,3,122
CITY OF CHICAGO:WARD 17 PRECINCT 09,CITY OF CHICAGO:WARD 17 PRECINCT 09,17,9,33,10,62,4,0,4,1,10,2,0,3,0,1,130
CITY OF CHICAGO:WARD 17 PRECINCT 11,CITY OF CHICAGO:WARD 17 PRECINCT 11,17,11,42,6,68,2,0,0,3,14,7,0,3,0,4,149
CITY OF CHICAGO:WARD 17 PRECINCT 12,CITY OF CHICAGO:WARD 17 PRECINCT 12,17,12,24,11,39,2,0,2,2,10,0,0,3,0,3,96
CITY OF CHICAGO:WARD 17 PRECINCT 13,CITY OF CHICAGO:WARD 17 PRECINCT 13,17,13,25,6,47,3,0,2,2,4,8,0,0,2,5,104
CITY OF CHICAGO:WARD 17 PRECINCT 14,CITY OF CHICAGO:WARD 17 PRECINCT 14,17,14,25,4,43,2,0,2,1,2,1,0,4,1,1,86
CITY OF CHICAGO:WARD 18 PRECINCT 11,CITY OF CHICAGO:WARD 18 PRECINCT 11,18,11,82,13,108,1,4,1,7,12,13,0,5,1,9,256
CITY OF CHICAGO:WARD 20 PRECINCT 01,CITY OF CHICAGO:WARD 20 PRECINCT 01,20,1,6,1,12,0,0,0,9,0,0,0,0,0,1,29
CITY OF CHICAGO:WARD 20 PRECINCT 03,CITY OF CHICAGO:WARD 20 PRECINCT 03,20,3,15,4,27,0,2,2,21,11,0,0,4,2,1,89
CITY OF CHICAGO:WARD 20 PRECINCT 04,CITY OF CHICAGO:WARD 20 PRECINCT 04,20,4,22,1,28,2,0,0,3,2,3,0,1,1,3,66
CITY OF CHICAGO:WARD 20 PRECINCT 05,CITY OF CHICAGO:WARD 20 PRECINCT 05,20,5,28,5,45,3,0,0,6,21,3,1,2,1,2,117
CITY OF CHICAGO:WARD 20 PRECINCT 06,CITY OF CHICAGO:WARD 20 PRECINCT 06,20,6,28,4,29,0,3,1,1,9,5,0,3,0,4,87
CITY OF CHICAGO:WARD 20 PRECINCT 07,CITY OF CHICAGO:WARD 20 PRECINCT 07,20,7,53,8,41,1,0,2,3,5,7,0,4,0,5,129
CITY OF CHICAGO:WARD 20 PRECINCT 08,CITY OF CHICAGO:WARD 20 PRECINCT 08,20,8,12,2,20,1,1,0,0,6,3,1,1,0,2,49
CITY OF CHICAGO:WARD 20 PRECINCT 09,CITY OF CHICAGO:WARD 20 PRECINCT 09,20,9,86,11,104,7,3,7,7,24,13,0,12,1,7,282
CITY OF CHICAGO:WARD 20 PRECINCT 10,CITY OF CHICAGO:WARD 20 PRECINCT 10,20,10,78,18,90,1,2,5,7,16,19,3,11,1,7,258
CITY OF CHICAGO:WARD 20 PRECINCT 11,CITY OF CHICAGO:WARD 20 PRECINCT 11,20,11,64,8,77,0,2,0,4,18,15,1,7,2,13,211
CITY OF CHICAGO:WARD 20 PRECINCT 14,CITY OF CHICAGO:WARD 20 PRECINCT 14,20,14,38,5,42,1,0,1,0,3,3,0,8,0,5,106
CITY OF CHICAGO:WARD 20 PRECINCT 23,CITY OF CHICAGO:WARD 20 PRECINCT 23,20,23,43,7,43,5,1,0,7,7,6,1,0,0,4,124
CITY OF CHICAGO:WARD 22 PRECINCT 01,CITY OF CHICAGO:WARD 22 PRECINCT 01,22,1,42,5,41,0,1,1,2,19,7,0,4,0,0,122
CITY OF CHICAGO:WARD 22 PRECINCT 02,CITY OF CHICAGO:WARD 22 PRECINCT 02,22,2,17,1,21,0,0,1,3,6,0,0,3,0,2,54
CITY OF CHICAGO:WARD 24 PRECINCT 01,CITY OF CHICAGO:WARD 24 PRECINCT 01,24,1,84,5,49,3,1,1,3,6,7,0,3,0,0,162
CITY OF CHICAGO:WARD 24 PRECINCT 02,CITY OF CHICAGO:WARD 24 PRECINCT 02,24,2,53,6,47,2,1,0,0,7,2,0,8,0,0,126
CITY OF CHICAGO:WARD 24 PRECINCT 03,CITY OF CHICAGO:WARD 24 PRECINCT 03,24,3,80,16,94,3,1,1,2,10,11,1,10,0,6,235
CITY OF CHICAGO:WARD 24 PRECINCT 04,CITY OF CHICAGO:WARD 24 PRECINCT 04,24,4,69,1,72,2,0,2,5,6,13,0,9,1,1,181
CITY OF CHICAGO:WARD 24 PRECINCT 05,CITY OF CHICAGO:WARD 24 PRECINCT 05,24,5,154,9,149,44,2,0,10,20,20,1,7,0,9,425
CITY OF CHICAGO:WARD 24 PRECINCT 06,CITY OF CHICAGO:WARD 24 PRECINCT 06,24,6,84,4,88,5,1,1,5,14,9,0,9,0,7,227
CITY OF CHICAGO:WARD 24 PRECINCT 07,CITY OF CHICAGO:WARD 24 PRECINCT 07,24,7,45,3,41,1,2,1,3,10,4,0,3,0,0,113
CITY OF CHICAGO:WARD 24 PRECINCT 08,CITY OF CHICAGO:WARD 24 PRECINCT 08,24,8,59,7,65,2,1,0,3,6,5,0,5,0,3,156
CITY OF CHICAGO:WARD 24 PRECINCT 09,CITY OF CHICAGO:WARD 24 PRECINCT 09,24,9,99,6,89,8,0,2,7,16,6,0,13,0,9,255
CITY OF CHICAGO:WARD 24 PRECINCT 10,CITY OF CHICAGO:WARD 24 PRECINCT 10,24,10,67,4,65,1,0,2,3,2,4,0,6,1,4,159
CITY OF CHICAGO:WARD 24 PRECINCT 11,CITY OF CHICAGO:WARD 24 PRECINCT 11,24,11,94,6,104,4,0,1,2,8,8,2,9,0,4,242
CITY OF CHICAGO:WARD 24 PRECINCT 12,CITY OF CHICAGO:WARD 24 PRECINCT 12,24,12,128,8,115,10,4,3,5,28,9,0,16,3,8,337
CITY OF CHICAGO:WARD 24 PRECINCT 13,CITY OF CHICAGO:WARD 24 PRECINCT 13,24,13,75,16,107,2,0,1,7,11,11,1,13,0,3,247
CITY OF CHICAGO:WARD 24 PRECINCT 14,CITY OF CHICAGO:WARD 24 PRECINCT 14,24,14,78,1,89,4,0,0,4,12,6,0,13,3,1,211
CITY OF CHICAGO:WARD 24 PRECINCT 15,CITY OF CHICAGO:WARD 24 PRECINCT 15,24,15,46,7,52,8,0,2,6,11,13,0,8,0,1,154
CITY OF CHICAGO:WARD 24 PRECINCT 16,CITY OF CHICAGO:WARD 24 PRECINCT 16,24,16,26,4,26,4,0,1,7,13,5,1,2,1,2,92
CITY OF CHICAGO:WARD 24 PRECINCT 17,CITY OF CHICAGO:WARD 24 PRECINCT 17,24,17,54,3,68,3,1,4,3,10,5,0,11,0,4,166
CITY OF CHICAGO:WARD 24 PRECINCT 18,CITY OF CHICAGO:WARD 24 PRECINCT 18,24,18,27,2,24,5,0,1,31,27,1,1,8,1,3,131
CITY OF CHICAGO:WARD 24 PRECINCT 20,CITY OF CHICAGO:WARD 24 PRECINCT 20,24,20,72,4,89,6,1,5,10,26,8,0,13,3,5,242
CITY OF CHICAGO:WARD 25 PRECINCT 03,CITY OF CHICAGO:WARD 25 PRECINCT 03,25,3,3,1,3,4,1,0,10,8,0,0,4,0,0,34
CITY OF CHICAGO:WARD 25 PRECINCT 13,CITY OF CHICAGO:WARD 25 PRECINCT 13,25,13,49,8,51,31,2,12,40,76,11,0,34,1,23,338
CITY OF CHICAGO:WARD 25 PRECINCT 15,CITY OF CHICAGO:WARD 25 PRECINCT 15,25,15,44,3,43,22,6,11,28,39,11,0,24,3,38,272
CITY OF CHICAGO:WARD 25 PRECINCT 17,CITY OF CHICAGO:WARD 25 PRECINCT 17,25,17,19,5,17,3,5,16,26,44,5,1,20,3,10,174
CITY OF CHICAGO:WARD 26 PRECINCT 27,CITY OF CHICAGO:WARD 26 PRECINCT 27,26,27,14,7,16,8,0,5,7,42,0,1,10,0,4,114
CITY OF CHICAGO:WARD 27 PRECINCT 01,CITY OF CHICAGO:WARD 27 PRECINCT 01,27,1,51,10,31,28,4,19,23,40,7,1,27,0,20,261
CITY OF CHICAGO:WARD 27 PRECINCT 02,CITY OF CHICAGO:WARD 27 PRECINCT 02,27,2,43,2,64,46,0,21,17,44,6,1,28,3,35,310
CITY OF CHICAGO:WARD 27 PRECINCT 03,CITY OF CHICAGO:WARD 27 PRECINCT 03,27,3,63,12,73,1,0,1,7,20,12,2,4,0,0,195
CITY OF CHICAGO:WARD 27 PRECINCT 04,CITY OF CHICAGO:WARD 27 PRECINCT 04,27,4,84,11,82,3,2,12,14,31,10,0,26,2,7,284
CITY OF CHICAGO:WARD 27 PRECINCT 05,CITY OF CHICAGO:WARD 27 PRECINCT 05,27,5,43,9,42,0,2,4,15,22,7,1,12,1,5,163
CITY OF CHICAGO:WARD 27 PRECINCT 06,CITY OF CHICAGO:WARD 27 PRECINCT 06,27,6,58,13,56,56,2,24,29,37,11,1,33,3,44,367
CITY OF CHICAGO:WARD 27 PRECINCT 07,CITY OF CHICAGO:WARD 27 PRECINCT 07,27,7,60,9,61,47,2,42,50,120,9,3,55,1,28,487
CITY OF CHICAGO:WARD 27 PRECINCT 08,CITY OF CHICAGO:WARD 27 PRECINCT 08,27,8,39,4,39,4,2,4,5,13,3,0,5,1,1,120
CITY OF CHICAGO:WARD 27 PRECINCT 09,CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,71,15,73,28,6,11,13,34,14,2,32,5,24,328
CITY OF CHICAGO:WARD 27 PRECINCT 10,CITY OF CHICAGO:WARD 27 PRECINCT 10,27,10,72,11,74,7,2,3,10,28,17,0,11,0,3,238
