JoinField,JoinField_alt,Ward/Township,Precinct,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
CITY OF CHICAGO:WARD 07 PRECINCT 16,CITY OF CHICAGO:WARD 07 PRECINCT 16,7,16,21,2,7,3,18,1,1,2,0,2,57
CITY OF CHICAGO:WARD 07 PRECINCT 17,CITY OF CHICAGO:WARD 07 PRECINCT 17,7,17,4,1,7,0,6,1,0,0,0,0,19
CITY OF CHICAGO:WARD 07 PRECINCT 18,CITY OF CHICAGO:WARD 07 PRECINCT 18,7,18,32,1,5,1,27,1,0,0,0,0,67
CITY OF CHICAGO:WARD 07 PRECINCT 24,CITY OF CHICAGO:WARD 07 PRECINCT 24,7,24,17,0,11,3,14,2,1,1,0,1,50
CITY OF CHICAGO:WARD 07 PRECINCT 25,CITY OF CHICAGO:WARD 07 PRECINCT 25,7,25,88,0,12,13,105,16,2,4,7,0,247
CITY OF CHICAGO:WARD 07 PRECINCT 30,CITY OF CHICAGO:WARD 07 PRECINCT 30,7,30,62,3,10,5,73,12,1,1,1,0,168
CITY OF CHICAGO:WARD 07 PRECINCT 31,CITY OF CHICAGO:WARD 07 PRECINCT 31,7,31,31,1,10,3,38,2,0,3,1,0,89
CITY OF CHICAGO:WARD 09 PRECINCT 08,CITY OF CHICAGO:WARD 09 PRECINCT 08,9,8,7,0,2,0,9,4,0,1,0,0,23
CITY OF CHICAGO:WARD 09 PRECINCT 09,CITY OF CHICAGO:WARD 09 PRECINCT 09,9,9,92,2,5,8,68,8,2,5,1,2,193
CITY OF CHICAGO:WARD 09 PRECINCT 10,CITY OF CHICAGO:WARD 09 PRECINCT 10,9,10,192,2,20,21,203,36,0,9,5,3,491
CITY OF CHICAGO:WARD 09 PRECINCT 12,CITY OF CHICAGO:WARD 09 PRECINCT 12,9,12,179,4,28,16,173,30,1,3,2,5,441
CITY OF CHICAGO:WARD 09 PRECINCT 13,CITY OF CHICAGO:WARD 09 PRECINCT 13,9,13,167,4,34,10,147,31,3,5,6,3,410
CITY OF CHICAGO:WARD 09 PRECINCT 14,CITY OF CHICAGO:WARD 09 PRECINCT 14,9,14,83,1,8,15,86,12,2,3,4,4,218
CITY OF CHICAGO:WARD 09 PRECINCT 15,CITY OF CHICAGO:WARD 09 PRECINCT 15,9,15,117,3,25,7,121,16,1,6,3,1,300
CITY OF CHICAGO:WARD 09 PRECINCT 16,CITY OF CHICAGO:WARD 09 PRECINCT 16,9,16,133,1,28,20,176,23,2,8,6,1,398
CITY OF CHICAGO:WARD 09 PRECINCT 18,CITY OF CHICAGO:WARD 09 PRECINCT 18,9,18,62,2,9,8,78,19,0,0,3,2,183
CITY OF CHICAGO:WARD 09 PRECINCT 19,CITY OF CHICAGO:WARD 09 PRECINCT 19,9,19,44,4,17,3,66,10,2,4,3,1,154
CITY OF CHICAGO:WARD 09 PRECINCT 20,CITY OF CHICAGO:WARD 09 PRECINCT 20,9,20,125,6,70,10,97,19,4,2,4,6,343
CITY OF CHICAGO:WARD 09 PRECINCT 21,CITY OF CHICAGO:WARD 09 PRECINCT 21,9,21,135,4,12,11,111,24,2,6,4,0,309
CITY OF CHICAGO:WARD 09 PRECINCT 27,CITY OF CHICAGO:WARD 09 PRECINCT 27,9,27,81,0,7,5,78,13,0,2,2,0,188
CITY OF CHICAGO:WARD 09 PRECINCT 28,CITY OF CHICAGO:WARD 09 PRECINCT 28,9,28,45,1,6,4,44,10,1,2,7,0,120
CITY OF CHICAGO:WARD 10 PRECINCT 01,CITY OF CHICAGO:WARD 10 PRECINCT 01,10,1,19,0,15,2,26,4,1,3,1,1,72
CITY OF CHICAGO:WARD 10 PRECINCT 02,CITY OF CHICAGO:WARD 10 PRECINCT 02,10,2,43,2,13,1,26,4,2,5,0,0,96
CITY OF CHICAGO:WARD 10 PRECINCT 03,CITY OF CHICAGO:WARD 10 PRECINCT 03,10,3,41,2,26,3,48,13,7,2,3,2,147
CITY OF CHICAGO:WARD 10 PRECINCT 04,CITY OF CHICAGO:WARD 10 PRECINCT 04,10,4,70,2,24,7,70,9,2,10,5,3,202
CITY OF CHICAGO:WARD 10 PRECINCT 05,CITY OF CHICAGO:WARD 10 PRECINCT 05,10,5,20,3,15,1,16,3,2,1,0,2,63
CITY OF CHICAGO:WARD 10 PRECINCT 06,CITY OF CHICAGO:WARD 10 PRECINCT 06,10,6,33,0,29,1,23,5,1,2,1,1,96
CITY OF CHICAGO:WARD 10 PRECINCT 07,CITY OF CHICAGO:WARD 10 PRECINCT 07,10,7,70,4,44,2,35,6,2,5,5,7,180
CITY OF CHICAGO:WARD 10 PRECINCT 08,CITY OF CHICAGO:WARD 10 PRECINCT 08,10,8,67,6,31,6,27,8,5,3,2,6,161
CITY OF CHICAGO:WARD 10 PRECINCT 09,CITY OF CHICAGO:WARD 10 PRECINCT 09,10,9,62,3,54,4,35,5,7,3,4,1,178
CITY OF CHICAGO:WARD 10 PRECINCT 10,CITY OF CHICAGO:WARD 10 PRECINCT 10,10,10,37,6,59,3,42,4,8,1,4,1,165
CITY OF CHICAGO:WARD 10 PRECINCT 11,CITY OF CHICAGO:WARD 10 PRECINCT 11,10,11,24,0,20,0,12,3,0,2,3,1,65
CITY OF CHICAGO:WARD 10 PRECINCT 12,CITY OF CHICAGO:WARD 10 PRECINCT 12,10,12,55,7,41,3,34,5,4,1,4,0,154
CITY OF CHICAGO:WARD 10 PRECINCT 13,CITY OF CHICAGO:WARD 10 PRECINCT 13,10,13,79,1,79,5,46,10,8,3,2,3,236
CITY OF CHICAGO:WARD 10 PRECINCT 14,CITY OF CHICAGO:WARD 10 PRECINCT 14,10,14,94,4,90,7,46,13,12,3,3,4,276
CITY OF CHICAGO:WARD 10 PRECINCT 15,CITY OF CHICAGO:WARD 10 PRECINCT 15,10,15,75,4,67,6,29,5,16,4,3,0,209
