JoinField,JoinField_alt,Ward/Township,Precinct,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
COOK:9500009,COOK:Thornton Precinct 9,Thornton,9,58,1,3,9,69,6,2,2,3,0,153
COOK:9500010,COOK:Thornton Precinct 10,Thornton,10,135,0,16,8,88,23,4,2,8,0,284
COOK:9500011,COOK:Thornton Precinct 11,Thornton,11,86,3,8,5,64,34,1,3,10,1,215
COOK:9500012,COOK:Thornton Precinct 12,Thornton,12,99,2,16,2,61,19,5,1,3,0,208
COOK:9500013,COOK:Thornton Precinct 13,Thornton,13,115,4,20,13,83,17,1,3,5,1,262
COOK:9500014,COOK:Thornton Precinct 14,Thornton,14,60,1,5,12,59,18,2,1,7,0,165
COOK:9500015,COOK:Thornton Precinct 15,Thornton,15,75,2,11,12,48,16,1,1,3,3,172
COOK:9500016,COOK:Thornton Precinct 16,Thornton,16,76,2,27,4,32,22,5,0,3,1,172
COOK:9500017,COOK:Thornton Precinct 17,Thornton,17,84,4,9,4,63,11,3,1,1,2,182
COOK:9500018,COOK:Thornton Precinct 18,Thornton,18,93,3,30,6,62,18,4,0,2,1,219
COOK:9500019,COOK:Thornton Precinct 19,Thornton,19,87,1,15,8,52,17,2,1,3,0,186
COOK:9500020,COOK:Thornton Precinct 20,Thornton,20,44,0,21,0,33,5,1,1,1,1,107
COOK:9500021,COOK:Thornton Precinct 21,Thornton,21,155,3,12,4,114,13,2,4,6,4,317
COOK:9500022,COOK:Thornton Precinct 22,Thornton,22,67,2,9,26,61,25,1,4,4,0,199
COOK:9500023,COOK:Thornton Precinct 23,Thornton,23,90,0,30,7,59,19,3,1,0,0,209
COOK:9500024,COOK:Thornton Precinct 24,Thornton,24,110,4,79,2,34,20,12,2,3,2,268
COOK:9500025,COOK:Thornton Precinct 25,Thornton,25,80,1,66,4,38,24,10,2,2,2,229
COOK:9500026,COOK:Thornton Precinct 26,Thornton,26,60,1,16,2,51,12,1,2,2,1,148
COOK:9500027,COOK:Thornton Precinct 27,Thornton,27,181,2,14,9,108,27,3,2,5,1,352
COOK:9500028,COOK:Thornton Precinct 28,Thornton,28,46,0,5,1,38,7,2,1,0,0,100
COOK:9500029,COOK:Thornton Precinct 29,Thornton,29,76,0,12,6,98,13,1,4,1,0,211
COOK:9500032,COOK:Thornton Precinct 32,Thornton,32,44,0,9,4,48,6,1,1,3,1,117
COOK:9500033,COOK:Thornton Precinct 33,Thornton,33,92,1,5,2,67,11,1,1,3,1,184
COOK:9500034,COOK:Thornton Precinct 34,Thornton,34,133,2,17,21,80,32,1,1,5,0,292
COOK:9500035,COOK:Thornton Precinct 35,Thornton,35,137,1,20,7,130,25,1,6,6,2,335
COOK:9500036,COOK:Thornton Precinct 36,Thornton,36,43,0,10,12,52,7,0,0,0,2,126
COOK:9500037,COOK:Thornton Precinct 37,Thornton,37,102,3,13,4,64,18,1,2,4,1,212
COOK:9500038,COOK:Thornton Precinct 38,Thornton,38,92,3,17,3,110,24,0,3,0,4,256
COOK:9500039,COOK:Thornton Precinct 39,Thornton,39,72,2,16,5,149,24,0,3,9,0,280
COOK:9500040,COOK:Thornton Precinct 40,Thornton,40,60,0,3,15,38,10,1,3,1,1,132
COOK:9500041,COOK:Thornton Precinct 41,Thornton,41,55,2,15,2,43,10,0,0,1,4,132
COOK:9500042,COOK:Thornton Precinct 42,Thornton,42,159,5,19,14,146,31,3,4,5,2,388
COOK:9500043,COOK:Thornton Precinct 43,Thornton,43,101,1,31,10,62,29,4,3,1,1,243
COOK:9500044,COOK:Thornton Precinct 44,Thornton,44,46,0,5,4,37,5,1,3,2,0,103
COOK:9500045,COOK:Thornton Precinct 45,Thornton,45,121,3,6,29,90,32,1,3,10,3,298
COOK:9500046,COOK:Thornton Precinct 46,Thornton,46,122,1,12,5,130,36,1,6,0,1,314
COOK:9500047,COOK:Thornton Precinct 47,Thornton,47,61,0,31,0,43,22,3,1,5,2,168
COOK:9500048,COOK:Thornton Precinct 48,Thornton,48,105,1,11,12,104,25,1,3,1,1,264
COOK:9500049,COOK:Thornton Precinct 49,Thornton,49,33,0,7,2,46,2,0,0,1,0,91
COOK:9500050,COOK:Thornton Precinct 50,Thornton,50,117,3,26,10,77,48,3,3,1,2,290
COOK:9500051,COOK:Thornton Precinct 51,Thornton,51,54,0,20,4,36,11,1,1,3,3,133
COOK:9500052,COOK:Thornton Precinct 52,Thornton,52,69,0,12,1,73,24,0,2,1,0,182
COOK:9500053,COOK:Thornton Precinct 53,Thornton,53,144,3,33,8,82,14,8,4,2,2,300
COOK:9500054,COOK:Thornton Precinct 54,Thornton,54,188,2,18,12,116,20,2,3,6,0,367
COOK:9500055,COOK:Thornton Precinct 55,Thornton,55,67,0,8,12,53,14,2,1,2,2,161
COOK:9500056,COOK:Thornton Precinct 56,Thornton,56,87,2,9,7,68,15,1,1,3,1,194
COOK:9500057,COOK:Thornton Precinct 57,Thornton,57,148,0,29,4,86,33,3,2,7,0,312
COOK:9500058,COOK:Thornton Precinct 58,Thornton,58,114,3,15,5,91,31,1,1,5,2,268
COOK:9500059,COOK:Thornton Precinct 59,Thornton,59,37,0,12,0,42,15,1,2,0,0,109
COOK:9500060,COOK:Thornton Precinct 60,Thornton,60,36,0,5,3,46,6,0,1,0,0,97
COOK:9500061,COOK:Thornton Precinct 61,Thornton,61,62,3,10,2,58,11,0,4,0,3,153
COOK:9500062,COOK:Thornton Precinct 62,Thornton,62,20,0,7,2,11,2,1,0,2,1,46
COOK:9500063,COOK:Thornton Precinct 63,Thornton,63,38,2,8,0,32,7,0,1,2,2,92
COOK:9500064,COOK:Thornton Precinct 64,Thornton,64,94,4,11,8,85,10,0,2,3,1,218
COOK:9500065,COOK:Thornton Precinct 65,Thornton,65,75,1,27,4,49,22,8,1,4,0,191
COOK:9500066,COOK:Thornton Precinct 66,Thornton,66,212,1,35,8,100,17,2,3,2,1,381
COOK:9500067,COOK:Thornton Precinct 67,Thornton,67,123,2,95,4,28,22,9,1,1,1,286
COOK:9500068,COOK:Thornton Precinct 68,Thornton,68,83,4,20,2,42,8,4,1,0,2,166
COOK:9500069,COOK:Thornton Precinct 69,Thornton,69,86,0,6,7,119,9,0,3,1,0,231
COOK:9500070,COOK:Thornton Precinct 70,Thornton,70,44,0,5,1,34,8,0,1,1,0,94
COOK:9500071,COOK:Thornton Precinct 71,Thornton,71,118,1,9,14,51,15,0,2,1,3,214
COOK:9500072,COOK:Thornton Precinct 72,Thornton,72,82,0,13,8,65,20,0,2,7,1,198
COOK:9500073,COOK:Thornton Precinct 73,Thornton,73,138,1,19,1,97,25,1,5,4,0,291
COOK:9500074,COOK:Thornton Precinct 74,Thornton,74,65,1,7,3,75,22,1,1,4,0,179
COOK:9500075,COOK:Thornton Precinct 75,Thornton,75,147,2,15,25,83,41,1,2,3,2,321
COOK:9500076,COOK:Thornton Precinct 76,Thornton,76,105,1,8,6,99,28,0,2,7,0,256
COOK:9500077,COOK:Thornton Precinct 77,Thornton,77,127,2,12,13,104,29,2,7,3,3,302
COOK:9500078,COOK:Thornton Precinct 78,Thornton,78,82,3,10,2,81,21,1,5,2,0,207
COOK:9500079,COOK:Thornton Precinct 79,Thornton,79,91,4,27,8,98,23,1,1,2,2,257
COOK:9500080,COOK:Thornton Precinct 80,Thornton,80,122,2,18,3,69,26,2,2,1,0,245
COOK:9500081,COOK:Thornton Precinct 81,Thornton,81,192,2,15,19,108,39,2,5,8,2,392
COOK:9500082,COOK:Thornton Precinct 82,Thornton,82,67,0,24,1,24,7,2,1,4,0,130
COOK:9500083,COOK:Thornton Precinct 83,Thornton,83,130,0,16,16,84,22,1,1,5,2,277
COOK:9500084,COOK:Thornton Precinct 84,Thornton,84,116,1,12,14,100,28,0,4,7,2,284
COOK:9500085,COOK:Thornton Precinct 85,Thornton,85,93,1,15,8,97,17,3,5,1,3,243
COOK:9500086,COOK:Thornton Precinct 86,Thornton,86,87,1,8,1,66,18,1,1,3,0,186
COOK:9500087,COOK:Thornton Precinct 87,Thornton,87,137,0,17,9,107,48,1,3,4,2,328
COOK:9500088,COOK:Thornton Precinct 88,Thornton,88,29,2,4,3,46,5,0,0,1,1,91
COOK:9500089,COOK:Thornton Precinct 89,Thornton,89,139,3,16,6,84,38,2,3,4,2,297
COOK:9500090,COOK:Thornton Precinct 90,Thornton,90,113,2,5,3,75,12,3,2,6,2,223
COOK:9500091,COOK:Thornton Precinct 91,Thornton,91,124,3,9,2,70,18,1,6,3,0,236
COOK:9500092,COOK:Thornton Precinct 92,Thornton,92,180,2,23,14,125,45,1,2,12,2,406
COOK:9500093,COOK:Thornton Precinct 93,Thornton,93,18,2,17,1,24,9,1,0,1,3,76
COOK:9500094,COOK:Thornton Precinct 94,Thornton,94,106,1,17,5,108,19,1,4,8,0,269
COOK:9500095,COOK:Thornton Precinct 95,Thornton,95,45,0,4,1,46,7,0,3,0,1,107
COOK:9500096,COOK:Thornton Precinct 96,Thornton,96,49,2,8,4,35,3,0,0,2,0,103
COOK:9500097,COOK:Thornton Precinct 97,Thornton,97,31,2,4,0,46,1,1,5,1,0,91
COOK:9500098,COOK:Thornton Precinct 98,Thornton,98,22,0,17,1,20,3,0,1,2,0,66
COOK:9500099,COOK:Thornton Precinct 99,Thornton,99,39,0,7,4,37,5,0,1,1,0,94
COOK:9500100,COOK:Thornton Precinct 100,Thornton,100,33,1,11,3,33,5,2,1,0,0,89
COOK:9500101,COOK:Thornton Precinct 101,Thornton,101,101,1,14,11,104,10,0,1,4,2,248
COOK:9500102,COOK:Thornton Precinct 102,Thornton,102,39,4,7,3,49,5,0,0,1,2,110
COOK:9500103,COOK:Thornton Precinct 103,Thornton,103,58,1,6,4,72,7,1,3,1,1,154
COOK:9500104,COOK:Thornton Precinct 104,Thornton,104,182,1,30,9,154,31,0,1,2,5,415
COOK:9700024,COOK:Worth Precinct 24,Worth,24,0,0,0,0,0,0,0,0,0,0,0
WILL:CRETE PCT 001,WILL:CRETE PCT 001,CRETE,1,89,0,31,5,54,22,7,3,2,1,214
WILL:CRETE PCT 002,WILL:CRETE PCT 002,CRETE,2,69,1,30,1,37,3,5,1,2,1,150
WILL:CRETE PCT 003,WILL:CRETE PCT 003,CRETE,3,85,2,30,4,30,9,6,2,2,4,174
WILL:CRETE PCT 004,WILL:CRETE PCT 004,CRETE,4,128,5,23,6,88,17,9,2,5,1,284
WILL:CRETE PCT 005,WILL:CRETE PCT 005,CRETE,5,145,8,32,4,98,20,6,6,6,4,329
WILL:CRETE PCT 006,WILL:CRETE PCT 006,CRETE,6,83,2,38,2,66,17,7,3,1,4,223
WILL:CRETE PCT 007,WILL:CRETE PCT 007,CRETE,7,174,4,23,6,88,10,4,3,6,2,320
WILL:CRETE PCT 008,WILL:CRETE PCT 008,CRETE,8,87,5,36,2,65,21,3,2,4,1,226
WILL:CRETE PCT 009,WILL:CRETE PCT 009,CRETE,9,77,0,34,1,38,14,7,3,1,1,176
WILL:CRETE PCT 010,WILL:CRETE PCT 010,CRETE,10,51,3,22,2,26,7,0,0,1,1,113
WILL:CRETE PCT 011,WILL:CRETE PCT 011,CRETE,11,62,5,25,4,12,4,7,1,5,2,127
WILL:CRETE PCT 012,WILL:CRETE PCT 012,CRETE,12,67,2,27,2,43,7,8,2,1,1,160
WILL:MONEE PCT 001,WILL:MONEE PCT 001,MONEE,1,77,4,38,4,52,23,3,2,1,1,205
WILL:MONEE PCT 002,WILL:MONEE PCT 002,MONEE,2,120,3,29,7,82,18,2,2,3,5,271
WILL:MONEE PCT 003,WILL:MONEE PCT 003,MONEE,3,100,0,40,4,49,14,6,0,0,0,213
WILL:MONEE PCT 004,WILL:MONEE PCT 004,MONEE,4,107,0,28,6,37,25,11,2,0,2,218
WILL:MONEE PCT 005,WILL:MONEE PCT 005,MONEE,5,65,1,19,9,75,17,0,4,0,0,190
WILL:MONEE PCT 006,WILL:MONEE PCT 006,MONEE,6,71,1,8,4,70,15,2,2,1,1,175
WILL:MONEE PCT 007,WILL:MONEE PCT 007,MONEE,7,116,1,18,7,128,25,1,8,2,0,306
WILL:MONEE PCT 008,WILL:MONEE PCT 008,MONEE,8,84,2,37,6,36,12,7,1,0,0,185
WILL:PEOTONE PCT 001,WILL:PEOTONE PCT 001,PEOTONE,1,34,1,23,2,10,0,3,0,0,1,74
WILL:PEOTONE PCT 002,WILL:PEOTONE PCT 002,PEOTONE,2,46,0,24,3,16,4,7,2,2,1,105
WILL:WASHINGTON PCT 001,WILL:WASHINGTON PCT 001,WASHINGTON,1,68,5,30,1,11,1,8,3,0,1,128
WILL:WASHINGTON PCT 002,WILL:WASHINGTON PCT 002,WASHINGTON,2,90,2,19,4,27,9,11,3,0,1,166
WILL:WASHINGTON PCT 003,WILL:WASHINGTON PCT 003,WASHINGTON,3,51,0,18,1,11,0,1,1,3,0,86
WILL:WILL PCT 001,WILL:WILL PCT 001,WILL,1,42,4,20,1,9,2,6,2,0,2,88
