JoinField,JoinField_alt,Ward/Township,Precinct,Neil Khot,Yasmeen Bankole,Kevin B. Morrison,Dan Tully,Ryan Vetticad,Melissa L. Bean,Junaid Ahmed,Sanjyot Dunung,Total Voters
DUPAGE:BLOOMINGDALE 013,DUPAGE:BLOOMINGDALE 013,BLOOMINGDALE,13,9,34,7,41,0,42,27,3,163
DUPAGE:BLOOMINGDALE 014,DUPAGE:BLOOMINGDALE 014,BLOOMINGDALE,14,4,55,5,8,0,35,47,3,157
DUPAGE:BLOOMINGDALE 015,DUPAGE:BLOOMINGDALE 015,BLOOMINGDALE,15,8,27,12,19,1,44,30,4,145
DUPAGE:BLOOMINGDALE 016,DUPAGE:BLOOMINGDALE 016,BLOOMINGDALE,16,4,9,9,31,3,42,31,1,130
DUPAGE:BLOOMINGDALE 017,DUPAGE:BLOOMINGDALE 017,BLOOMINGDALE,17,5,25,9,46,0,42,41,2,170
DUPAGE:BLOOMINGDALE 018,DUPAGE:BLOOMINGDALE 018,BLOOMINGDALE,18,8,15,3,30,4,50,37,2,149
DUPAGE:BLOOMINGDALE 019,DUPAGE:BLOOMINGDALE 019,BLOOMINGDALE,19,5,17,15,33,0,49,29,4,152
DUPAGE:BLOOMINGDALE 020,DUPAGE:BLOOMINGDALE 020,BLOOMINGDALE,20,7,6,7,27,0,35,24,1,107
DUPAGE:BLOOMINGDALE 021,DUPAGE:BLOOMINGDALE 021,BLOOMINGDALE,21,5,12,2,19,3,32,33,4,110
DUPAGE:BLOOMINGDALE 022,DUPAGE:BLOOMINGDALE 022,BLOOMINGDALE,22,6,12,6,19,2,41,32,0,118
DUPAGE:BLOOMINGDALE 023,DUPAGE:BLOOMINGDALE 023,BLOOMINGDALE,23,14,17,8,30,0,80,54,2,205
DUPAGE:BLOOMINGDALE 024,DUPAGE:BLOOMINGDALE 024,BLOOMINGDALE,24,7,21,7,36,4,68,42,5,190
DUPAGE:BLOOMINGDALE 025,DUPAGE:BLOOMINGDALE 025,BLOOMINGDALE,25,11,15,10,44,2,68,43,2,195
DUPAGE:BLOOMINGDALE 026,DUPAGE:BLOOMINGDALE 026,BLOOMINGDALE,26,7,7,7,22,0,54,20,4,121
DUPAGE:BLOOMINGDALE 027,DUPAGE:BLOOMINGDALE 027,BLOOMINGDALE,27,3,3,6,10,0,21,29,2,74
DUPAGE:BLOOMINGDALE 028,DUPAGE:BLOOMINGDALE 028,BLOOMINGDALE,28,8,7,4,9,2,34,67,1,132
DUPAGE:BLOOMINGDALE 029,DUPAGE:BLOOMINGDALE 029,BLOOMINGDALE,29,12,4,3,10,0,29,41,8,107
DUPAGE:BLOOMINGDALE 030,DUPAGE:BLOOMINGDALE 030,BLOOMINGDALE,30,6,3,9,24,1,40,24,5,112
