JoinField,JoinField_alt,Ward/Township,Precinct,Mike Quigley,Matthew Conroy,Anthony Michael Tamez,Ellen A. Corley,Total Voters
COOK:8400003,COOK:Norwood Park Precinct 3,Norwood Park,3,166,22,8,19,215
COOK:8400004,COOK:Norwood Park Precinct 4,Norwood Park,4,81,20,3,9,113
COOK:8400005,COOK:Norwood Park Precinct 5,Norwood Park,5,159,39,9,18,225
COOK:8400006,COOK:Norwood Park Precinct 6,Norwood Park,6,126,19,10,12,167
COOK:8400007,COOK:Norwood Park Precinct 7,Norwood Park,7,80,14,5,13,112
COOK:8400008,COOK:Norwood Park Precinct 8,Norwood Park,8,51,8,1,3,63
COOK:8400009,COOK:Norwood Park Precinct 9,Norwood Park,9,128,26,5,14,173
COOK:8400010,COOK:Norwood Park Precinct 10,Norwood Park,10,61,12,7,8,88
COOK:8400011,COOK:Norwood Park Precinct 11,Norwood Park,11,182,37,4,21,244
COOK:8400012,COOK:Norwood Park Precinct 12,Norwood Park,12,114,17,5,12,148
COOK:8400013,COOK:Norwood Park Precinct 13,Norwood Park,13,83,12,10,15,120
COOK:8400014,COOK:Norwood Park Precinct 14,Norwood Park,14,99,16,6,8,129
COOK:8700001,COOK:Palatine Precinct 1,Palatine,1,102,26,3,20,151
COOK:8700002,COOK:Palatine Precinct 2,Palatine,2,32,9,3,5,49
COOK:8700003,COOK:Palatine Precinct 3,Palatine,3,73,21,1,14,109
COOK:8700006,COOK:Palatine Precinct 6,Palatine,6,177,27,7,24,235
COOK:8700007,COOK:Palatine Precinct 7,Palatine,7,89,21,2,10,122
COOK:8700008,COOK:Palatine Precinct 8,Palatine,8,161,45,12,24,242
COOK:8700009,COOK:Palatine Precinct 9,Palatine,9,109,27,4,14,154
COOK:8700010,COOK:Palatine Precinct 10,Palatine,10,122,21,3,8,154
COOK:8700012,COOK:Palatine Precinct 12,Palatine,12,132,10,2,24,168
COOK:8700014,COOK:Palatine Precinct 14,Palatine,14,119,35,6,16,176
COOK:8700017,COOK:Palatine Precinct 17,Palatine,17,153,34,4,16,207
COOK:8700018,COOK:Palatine Precinct 18,Palatine,18,177,48,5,17,247
COOK:8700023,COOK:Palatine Precinct 23,Palatine,23,77,13,3,2,95
COOK:8700025,COOK:Palatine Precinct 25,Palatine,25,147,39,6,16,208
COOK:8700027,COOK:Palatine Precinct 27,Palatine,27,67,27,7,12,113
COOK:8700029,COOK:Palatine Precinct 29,Palatine,29,174,27,11,18,230
COOK:8700030,COOK:Palatine Precinct 30,Palatine,30,76,25,10,18,129
COOK:8700031,COOK:Palatine Precinct 31,Palatine,31,108,21,0,9,138
COOK:8700034,COOK:Palatine Precinct 34,Palatine,34,140,35,5,15,195
COOK:8700035,COOK:Palatine Precinct 35,Palatine,35,168,36,8,16,228
COOK:8700037,COOK:Palatine Precinct 37,Palatine,37,142,44,11,11,208
COOK:8700038,COOK:Palatine Precinct 38,Palatine,38,177,45,7,20,249
COOK:8700040,COOK:Palatine Precinct 40,Palatine,40,156,41,7,24,228
COOK:8700042,COOK:Palatine Precinct 42,Palatine,42,177,40,8,25,250
COOK:8700043,COOK:Palatine Precinct 43,Palatine,43,116,32,1,14,163
COOK:8700044,COOK:Palatine Precinct 44,Palatine,44,105,25,3,9,142
COOK:8700045,COOK:Palatine Precinct 45,Palatine,45,121,21,2,12,156
COOK:8700046,COOK:Palatine Precinct 46,Palatine,46,158,30,5,17,210
COOK:8700047,COOK:Palatine Precinct 47,Palatine,47,1,3,0,0,4
COOK:8700048,COOK:Palatine Precinct 48,Palatine,48,127,22,4,18,171
COOK:8700049,COOK:Palatine Precinct 49,Palatine,49,66,19,1,9,95
COOK:8700050,COOK:Palatine Precinct 50,Palatine,50,169,25,9,30,233
COOK:8700054,COOK:Palatine Precinct 54,Palatine,54,194,45,9,20,268
COOK:8700055,COOK:Palatine Precinct 55,Palatine,55,183,30,5,13,231
COOK:8700056,COOK:Palatine Precinct 56,Palatine,56,122,29,6,17,174
COOK:8700057,COOK:Palatine Precinct 57,Palatine,57,188,47,4,28,267
COOK:8700059,COOK:Palatine Precinct 59,Palatine,59,66,15,5,9,95
COOK:8700061,COOK:Palatine Precinct 61,Palatine,61,65,14,1,12,92
COOK:8700064,COOK:Palatine Precinct 64,Palatine,64,85,28,8,20,141
COOK:9600002,COOK:Wheeling Precinct 2,Wheeling,2,213,39,7,36,295
COOK:9600003,COOK:Wheeling Precinct 3,Wheeling,3,127,30,3,18,178
COOK:9600005,COOK:Wheeling Precinct 5,Wheeling,5,117,37,7,27,188
COOK:9600007,COOK:Wheeling Precinct 7,Wheeling,7,190,42,8,25,265
COOK:9600010,COOK:Wheeling Precinct 10,Wheeling,10,178,38,3,17,236
COOK:9600011,COOK:Wheeling Precinct 11,Wheeling,11,77,18,4,15,114
COOK:9600013,COOK:Wheeling Precinct 13,Wheeling,13,176,19,12,28,235
COOK:9600014,COOK:Wheeling Precinct 14,Wheeling,14,118,22,3,14,157
COOK:9600015,COOK:Wheeling Precinct 15,Wheeling,15,121,35,7,16,179
COOK:9600018,COOK:Wheeling Precinct 18,Wheeling,18,127,22,2,27,178
COOK:9600019,COOK:Wheeling Precinct 19,Wheeling,19,210,41,4,21,276
COOK:9600020,COOK:Wheeling Precinct 20,Wheeling,20,159,30,11,27,227
COOK:9600021,COOK:Wheeling Precinct 21,Wheeling,21,89,13,2,9,113
COOK:9600022,COOK:Wheeling Precinct 22,Wheeling,22,162,34,5,28,229
COOK:9600023,COOK:Wheeling Precinct 23,Wheeling,23,116,24,3,10,153
COOK:9600024,COOK:Wheeling Precinct 24,Wheeling,24,244,31,5,30,310
COOK:9600025,COOK:Wheeling Precinct 25,Wheeling,25,163,50,8,21,242
COOK:9600026,COOK:Wheeling Precinct 26,Wheeling,26,183,44,10,20,257
COOK:9600031,COOK:Wheeling Precinct 31,Wheeling,31,210,58,8,36,312
COOK:9600034,COOK:Wheeling Precinct 34,Wheeling,34,216,36,10,32,294
COOK:9600035,COOK:Wheeling Precinct 35,Wheeling,35,121,35,1,15,172
COOK:9600036,COOK:Wheeling Precinct 36,Wheeling,36,201,39,6,25,271
COOK:9600039,COOK:Wheeling Precinct 39,Wheeling,39,147,21,5,25,198
COOK:9600040,COOK:Wheeling Precinct 40,Wheeling,40,210,49,5,29,293
COOK:9600041,COOK:Wheeling Precinct 41,Wheeling,41,218,36,8,29,291
COOK:9600042,COOK:Wheeling Precinct 42,Wheeling,42,146,25,8,23,202
COOK:9600045,COOK:Wheeling Precinct 45,Wheeling,45,114,37,4,18,173
COOK:9600046,COOK:Wheeling Precinct 46,Wheeling,46,153,29,3,16,201
COOK:9600057,COOK:Wheeling Precinct 57,Wheeling,57,210,33,4,29,276
COOK:9600059,COOK:Wheeling Precinct 59,Wheeling,59,137,37,2,29,205
COOK:9600060,COOK:Wheeling Precinct 60,Wheeling,60,27,2,0,1,30
COOK:9600062,COOK:Wheeling Precinct 62,Wheeling,62,138,34,7,25,204
COOK:9600063,COOK:Wheeling Precinct 63,Wheeling,63,32,10,4,5,51
COOK:9600064,COOK:Wheeling Precinct 64,Wheeling,64,147,32,4,38,221
COOK:9600068,COOK:Wheeling Precinct 68,Wheeling,68,11,2,0,2,15
COOK:9600071,COOK:Wheeling Precinct 71,Wheeling,71,210,43,6,24,283
COOK:9600073,COOK:Wheeling Precinct 73,Wheeling,73,127,37,4,24,192
COOK:9600074,COOK:Wheeling Precinct 74,Wheeling,74,146,37,11,24,218
COOK:9600078,COOK:Wheeling Precinct 78,Wheeling,78,202,52,5,28,287
COOK:9600081,COOK:Wheeling Precinct 81,Wheeling,81,133,12,6,16,167
LAKE:CUBA 72,LAKE:CUBA 72,CUBA,72,80,25,5,18,128
LAKE:CUBA 73,LAKE:CUBA 73,CUBA,73,117,19,2,14,152
LAKE:CUBA 74,LAKE:CUBA 74,CUBA,74,121,29,5,31,186
LAKE:CUBA 75,LAKE:CUBA 75,CUBA,75,78,22,3,11,114
LAKE:CUBA 76,LAKE:CUBA 76,CUBA,76,91,18,7,15,131
LAKE:CUBA 77,LAKE:CUBA 77,CUBA,77,121,35,5,19,180
LAKE:CUBA 78,LAKE:CUBA 78,CUBA,78,150,30,3,17,200
LAKE:ELA 84,LAKE:ELA 84,ELA,84,72,21,5,13,111
LAKE:ELA 85,LAKE:ELA 85,ELA,85,116,21,8,20,165
LAKE:ELA 86,LAKE:ELA 86,ELA,86,74,28,3,11,116
LAKE:ELA 91,LAKE:ELA 91,ELA,91,89,17,6,15,127
LAKE:ELA 92,LAKE:ELA 92,ELA,92,130,30,3,19,182
LAKE:ELA 93,LAKE:ELA 93,ELA,93,65,22,7,18,112
LAKE:ELA 94,LAKE:ELA 94,ELA,94,67,24,3,16,110
LAKE:ELA 95,LAKE:ELA 95,ELA,95,76,17,7,23,123
LAKE:ELA 96,LAKE:ELA 96,ELA,96,87,33,3,11,134
LAKE:ELA 97,LAKE:ELA 97,ELA,97,112,32,6,14,164
LAKE:ELA 98,LAKE:ELA 98,ELA,98,108,22,7,17,154
LAKE:ELA 99,LAKE:ELA 99,ELA,99,123,24,8,5,160
LAKE:ELA 100,LAKE:ELA 100,ELA,100,75,22,1,14,112
LAKE:ELA 101,LAKE:ELA 101,ELA,101,100,33,4,21,158
LAKE:ELA 102,LAKE:ELA 102,ELA,102,81,9,3,11,104
LAKE:ELA 103,LAKE:ELA 103,ELA,103,113,22,2,18,155
LAKE:ELA 104,LAKE:ELA 104,ELA,104,112,12,0,16,140
LAKE:ELA 105,LAKE:ELA 105,ELA,105,77,13,6,15,111
LAKE:ELA 106,LAKE:ELA 106,ELA,106,127,23,3,16,169
LAKE:ELA 107,LAKE:ELA 107,ELA,107,74,11,8,11,104
LAKE:VERNON 282,LAKE:VERNON 282,VERNON,282,74,27,5,16,122
