JoinField,JoinField_alt,Ward/Township,Precinct,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
COOK:8200039,COOK:Niles Precinct 39,Niles,39,13,11,3,2,29
COOK:8200040,COOK:Niles Precinct 40,Niles,40,11,8,1,5,25
COOK:8200041,COOK:Niles Precinct 41,Niles,41,11,20,3,1,35
COOK:8200042,COOK:Niles Precinct 42,Niles,42,14,7,0,5,26
COOK:8200043,COOK:Niles Precinct 43,Niles,43,32,32,9,7,80
COOK:8200044,COOK:Niles Precinct 44,Niles,44,14,6,0,1,21
COOK:8200045,COOK:Niles Precinct 45,Niles,45,10,6,0,1,17
COOK:8200046,COOK:Niles Precinct 46,Niles,46,8,6,1,4,19
COOK:8200047,COOK:Niles Precinct 47,Niles,47,5,5,0,2,12
COOK:8200048,COOK:Niles Precinct 48,Niles,48,8,5,2,0,15
COOK:8200049,COOK:Niles Precinct 49,Niles,49,8,6,1,0,15
COOK:8200050,COOK:Niles Precinct 50,Niles,50,25,10,2,6,43
COOK:8200051,COOK:Niles Precinct 51,Niles,51,11,3,3,1,18
COOK:8200052,COOK:Niles Precinct 52,Niles,52,11,11,5,3,30
COOK:8200053,COOK:Niles Precinct 53,Niles,53,18,24,3,5,50
COOK:8200054,COOK:Niles Precinct 54,Niles,54,13,8,3,5,29
COOK:8200055,COOK:Niles Precinct 55,Niles,55,3,5,4,3,15
COOK:8200056,COOK:Niles Precinct 56,Niles,56,15,7,1,6,29
COOK:8200057,COOK:Niles Precinct 57,Niles,57,25,9,1,3,38
COOK:8200058,COOK:Niles Precinct 58,Niles,58,16,15,1,2,34
COOK:8200059,COOK:Niles Precinct 59,Niles,59,25,14,3,3,45
COOK:8200060,COOK:Niles Precinct 60,Niles,60,21,29,9,7,66
COOK:8200061,COOK:Niles Precinct 61,Niles,61,12,15,2,5,34
COOK:8200062,COOK:Niles Precinct 62,Niles,62,8,10,5,1,24
COOK:8300004,COOK:Northfield Precinct 4,Northfield,4,20,12,8,3,43
COOK:8300005,COOK:Northfield Precinct 5,Northfield,5,15,9,3,4,31
COOK:8300006,COOK:Northfield Precinct 6,Northfield,6,27,17,4,1,49
COOK:8300007,COOK:Northfield Precinct 7,Northfield,7,40,13,3,4,60
COOK:8300008,COOK:Northfield Precinct 8,Northfield,8,37,23,5,5,70
COOK:8300009,COOK:Northfield Precinct 9,Northfield,9,20,12,6,2,40
COOK:8300010,COOK:Northfield Precinct 10,Northfield,10,11,11,4,4,30
COOK:8300012,COOK:Northfield Precinct 12,Northfield,12,49,19,8,3,79
COOK:8300013,COOK:Northfield Precinct 13,Northfield,13,10,8,3,1,22
COOK:8300019,COOK:Northfield Precinct 19,Northfield,19,28,14,3,1,46
COOK:8300020,COOK:Northfield Precinct 20,Northfield,20,20,16,0,5,41
COOK:8300021,COOK:Northfield Precinct 21,Northfield,21,25,23,7,4,59
COOK:8300023,COOK:Northfield Precinct 23,Northfield,23,26,12,6,4,48
COOK:8300024,COOK:Northfield Precinct 24,Northfield,24,9,14,4,7,34
COOK:8300025,COOK:Northfield Precinct 25,Northfield,25,20,6,9,4,39
COOK:8300027,COOK:Northfield Precinct 27,Northfield,27,11,14,4,1,30
COOK:8300030,COOK:Northfield Precinct 30,Northfield,30,16,11,2,2,31
COOK:8300031,COOK:Northfield Precinct 31,Northfield,31,48,10,3,2,63
COOK:8300033,COOK:Northfield Precinct 33,Northfield,33,2,5,0,2,9
COOK:8300035,COOK:Northfield Precinct 35,Northfield,35,26,11,3,5,45
COOK:8300037,COOK:Northfield Precinct 37,Northfield,37,36,25,4,5,70
COOK:8300038,COOK:Northfield Precinct 38,Northfield,38,15,10,2,4,31
COOK:8300039,COOK:Northfield Precinct 39,Northfield,39,12,4,2,2,20
COOK:8300041,COOK:Northfield Precinct 41,Northfield,41,11,14,1,3,29
COOK:8300042,COOK:Northfield Precinct 42,Northfield,42,20,26,4,2,52
COOK:8300043,COOK:Northfield Precinct 43,Northfield,43,0,0,0,0,0
COOK:8300044,COOK:Northfield Precinct 44,Northfield,44,15,7,3,3,28
COOK:8300045,COOK:Northfield Precinct 45,Northfield,45,32,7,4,7,50
COOK:8300048,COOK:Northfield Precinct 48,Northfield,48,12,16,5,3,36
COOK:8300049,COOK:Northfield Precinct 49,Northfield,49,8,6,3,2,19
COOK:8300051,COOK:Northfield Precinct 51,Northfield,51,67,40,11,7,125
COOK:8300052,COOK:Northfield Precinct 52,Northfield,52,23,8,3,2,36
COOK:8300053,COOK:Northfield Precinct 53,Northfield,53,18,5,2,1,26
COOK:8300056,COOK:Northfield Precinct 56,Northfield,56,37,21,5,1,64
COOK:8300057,COOK:Northfield Precinct 57,Northfield,57,20,10,2,2,34
COOK:9600006,COOK:Wheeling Precinct 6,Wheeling,6,14,10,1,4,29
COOK:9600008,COOK:Wheeling Precinct 8,Wheeling,8,37,27,7,2,73
COOK:9600011,COOK:Wheeling Precinct 11,Wheeling,11,17,6,2,1,26
COOK:9600012,COOK:Wheeling Precinct 12,Wheeling,12,41,28,11,9,89
COOK:9600016,COOK:Wheeling Precinct 16,Wheeling,16,7,9,0,1,17
COOK:9600017,COOK:Wheeling Precinct 17,Wheeling,17,12,20,4,3,39
COOK:9600021,COOK:Wheeling Precinct 21,Wheeling,21,31,20,5,3,59
COOK:9600027,COOK:Wheeling Precinct 27,Wheeling,27,36,24,5,3,68
COOK:9600028,COOK:Wheeling Precinct 28,Wheeling,28,53,29,12,0,94
COOK:9600030,COOK:Wheeling Precinct 30,Wheeling,30,44,27,4,3,78
COOK:9600038,COOK:Wheeling Precinct 38,Wheeling,38,12,18,5,0,35
COOK:9600040,COOK:Wheeling Precinct 40,Wheeling,40,6,1,0,0,7
COOK:9600043,COOK:Wheeling Precinct 43,Wheeling,43,29,19,8,1,57
COOK:9600044,COOK:Wheeling Precinct 44,Wheeling,44,24,19,6,5,54
COOK:9600046,COOK:Wheeling Precinct 46,Wheeling,46,9,3,1,2,15
COOK:9600047,COOK:Wheeling Precinct 47,Wheeling,47,19,10,5,3,37
COOK:9600048,COOK:Wheeling Precinct 48,Wheeling,48,2,1,0,0,3
COOK:9600051,COOK:Wheeling Precinct 51,Wheeling,51,31,19,4,3,57
COOK:9600052,COOK:Wheeling Precinct 52,Wheeling,52,27,15,6,2,50
COOK:9600053,COOK:Wheeling Precinct 53,Wheeling,53,29,9,2,2,42
COOK:9600054,COOK:Wheeling Precinct 54,Wheeling,54,46,31,1,4,82
COOK:9600056,COOK:Wheeling Precinct 56,Wheeling,56,21,16,6,4,47
COOK:9600058,COOK:Wheeling Precinct 58,Wheeling,58,28,13,4,2,47
COOK:9600060,COOK:Wheeling Precinct 60,Wheeling,60,39,25,5,7,76
COOK:9600061,COOK:Wheeling Precinct 61,Wheeling,61,79,46,22,10,157
COOK:9600063,COOK:Wheeling Precinct 63,Wheeling,63,2,6,4,0,12
COOK:9600065,COOK:Wheeling Precinct 65,Wheeling,65,49,27,12,7,95
COOK:9600066,COOK:Wheeling Precinct 66,Wheeling,66,31,28,2,1,62
COOK:9600067,COOK:Wheeling Precinct 67,Wheeling,67,27,13,5,2,47
COOK:9600068,COOK:Wheeling Precinct 68,Wheeling,68,18,17,4,2,41
COOK:9600069,COOK:Wheeling Precinct 69,Wheeling,69,66,30,4,1,101
COOK:9600070,COOK:Wheeling Precinct 70,Wheeling,70,41,28,6,6,81
COOK:9600072,COOK:Wheeling Precinct 72,Wheeling,72,16,18,9,2,45
COOK:9600075,COOK:Wheeling Precinct 75,Wheeling,75,28,22,1,2,53
COOK:9600077,COOK:Wheeling Precinct 77,Wheeling,77,9,1,0,1,11
COOK:9600079,COOK:Wheeling Precinct 79,Wheeling,79,16,11,3,4,34
COOK:9600080,COOK:Wheeling Precinct 80,Wheeling,80,19,16,2,4,41
LAKE:CUBA 66,LAKE:CUBA 66,CUBA,66,30,20,9,3,62
LAKE:CUBA 67,LAKE:CUBA 67,CUBA,67,40,34,4,7,85
LAKE:CUBA 68,LAKE:CUBA 68,CUBA,68,50,32,3,8,93
LAKE:CUBA 69,LAKE:CUBA 69,CUBA,69,63,28,5,6,102
LAKE:CUBA 70,LAKE:CUBA 70,CUBA,70,51,30,8,4,93
LAKE:CUBA 71,LAKE:CUBA 71,CUBA,71,61,12,5,6,84
LAKE:ELA 79,LAKE:ELA 79,ELA,79,62,19,4,11,96
LAKE:ELA 80,LAKE:ELA 80,ELA,80,47,20,1,5,73
LAKE:ELA 81,LAKE:ELA 81,ELA,81,23,16,2,17,58
LAKE:ELA 82,LAKE:ELA 82,ELA,82,23,11,6,22,62
LAKE:ELA 83,LAKE:ELA 83,ELA,83,33,13,2,5,53
LAKE:ELA 87,LAKE:ELA 87,ELA,87,50,17,3,1,71
LAKE:ELA 88,LAKE:ELA 88,ELA,88,74,18,5,5,102
LAKE:ELA 89,LAKE:ELA 89,ELA,89,33,21,1,7,62
LAKE:ELA 90,LAKE:ELA 90,ELA,90,16,18,4,8,46
LAKE:FREMONT 115,LAKE:FREMONT 115,FREMONT,115,31,19,6,4,60
LAKE:FREMONT 118,LAKE:FREMONT 118,FREMONT,118,39,15,4,3,61
LAKE:VERNON 270,LAKE:VERNON 270,VERNON,270,10,5,3,2,20
LAKE:VERNON 275,LAKE:VERNON 275,VERNON,275,12,15,5,6,38
LAKE:VERNON 276,LAKE:VERNON 276,VERNON,276,8,12,6,7,33
LAKE:VERNON 283,LAKE:VERNON 283,VERNON,283,14,9,2,4,29
LAKE:VERNON 284,LAKE:VERNON 284,VERNON,284,12,16,3,1,32
LAKE:VERNON 285,LAKE:VERNON 285,VERNON,285,7,7,4,3,21
LAKE:VERNON 288,LAKE:VERNON 288,VERNON,288,12,19,5,5,41
LAKE:VERNON 289,LAKE:VERNON 289,VERNON,289,14,16,4,0,34
LAKE:VERNON 290,LAKE:VERNON 290,VERNON,290,21,11,1,1,34
LAKE:WAUCONDA 344,LAKE:WAUCONDA 344,WAUCONDA,344,48,29,8,5,90
LAKE:WAUCONDA 346,LAKE:WAUCONDA 346,WAUCONDA,346,18,15,9,4,46
LAKE:WAUCONDA 347,LAKE:WAUCONDA 347,WAUCONDA,347,43,17,3,3,66
LAKE:WAUCONDA 350,LAKE:WAUCONDA 350,WAUCONDA,350,0,0,0,0,0
LAKE:WAUCONDA 353,LAKE:WAUCONDA 353,WAUCONDA,353,34,19,5,1,59
LAKE:WAUCONDA 354,LAKE:WAUCONDA 354,WAUCONDA,354,61,21,4,9,95
MCHENRY:ALG 1,MCHENRY:ALG 1,ALG,1,24,12,41,2,79
MCHENRY:ALG 10,MCHENRY:ALG 10,ALG,10,12,10,4,2,28
MCHENRY:ALG 11,MCHENRY:ALG 11,ALG,11,51,23,7,0,81
MCHENRY:ALG 12,MCHENRY:ALG 12,ALG,12,22,15,5,1,43
MCHENRY:ALG 13,MCHENRY:ALG 13,ALG,13,20,16,18,0,54
MCHENRY:ALG 14,MCHENRY:ALG 14,ALG,14,26,16,25,3,70
MCHENRY:ALG 15,MCHENRY:ALG 15,ALG,15,32,21,5,4,62
MCHENRY:ALG 16,MCHENRY:ALG 16,ALG,16,14,12,5,2,33
MCHENRY:ALG 17,MCHENRY:ALG 17,ALG,17,32,18,4,0,54
MCHENRY:ALG 18,MCHENRY:ALG 18,ALG,18,25,28,7,2,62
MCHENRY:ALG 19,MCHENRY:ALG 19,ALG,19,26,19,8,1,54
MCHENRY:ALG 2,MCHENRY:ALG 2,ALG,2,26,19,5,1,51
MCHENRY:ALG 20,MCHENRY:ALG 20,ALG,20,39,20,9,1,69
MCHENRY:ALG 21,MCHENRY:ALG 21,ALG,21,61,23,6,1,91
MCHENRY:ALG 22,MCHENRY:ALG 22,ALG,22,34,16,7,4,61
MCHENRY:ALG 23,MCHENRY:ALG 23,ALG,23,27,15,0,1,43
MCHENRY:ALG 24,MCHENRY:ALG 24,ALG,24,22,13,3,0,38
MCHENRY:ALG 25,MCHENRY:ALG 25,ALG,25,19,15,1,2,37
MCHENRY:ALG 26,MCHENRY:ALG 26,ALG,26,33,20,5,7,65
MCHENRY:ALG 27,MCHENRY:ALG 27,ALG,27,25,22,2,1,50
MCHENRY:ALG 28,MCHENRY:ALG 28,ALG,28,29,12,6,1,48
MCHENRY:ALG 29,MCHENRY:ALG 29,ALG,29,20,21,4,2,47
MCHENRY:ALG 3,MCHENRY:ALG 3,ALG,3,37,14,5,7,63
MCHENRY:ALG 30,MCHENRY:ALG 30,ALG,30,17,16,3,1,37
MCHENRY:ALG 31,MCHENRY:ALG 31,ALG,31,22,8,1,4,35
MCHENRY:ALG 32,MCHENRY:ALG 32,ALG,32,24,32,2,6,64
MCHENRY:ALG 33,MCHENRY:ALG 33,ALG,33,38,24,3,4,69
MCHENRY:ALG 34,MCHENRY:ALG 34,ALG,34,31,20,3,5,59
MCHENRY:ALG 35,MCHENRY:ALG 35,ALG,35,29,16,2,2,49
MCHENRY:ALG 36,MCHENRY:ALG 36,ALG,36,26,14,11,1,52
MCHENRY:ALG 37,MCHENRY:ALG 37,ALG,37,31,16,13,2,62
MCHENRY:ALG 38,MCHENRY:ALG 38,ALG,38,32,17,8,0,57
MCHENRY:ALG 39,MCHENRY:ALG 39,ALG,39,38,22,4,1,65
MCHENRY:ALG 4,MCHENRY:ALG 4,ALG,4,25,18,6,2,51
MCHENRY:ALG 40,MCHENRY:ALG 40,ALG,40,27,19,3,2,51
MCHENRY:ALG 41,MCHENRY:ALG 41,ALG,41,29,21,9,5,64
MCHENRY:ALG 42,MCHENRY:ALG 42,ALG,42,23,27,2,3,55
MCHENRY:ALG 43,MCHENRY:ALG 43,ALG,43,26,11,4,2,43
MCHENRY:ALG 44,MCHENRY:ALG 44,ALG,44,27,31,3,7,68
MCHENRY:ALG 45,MCHENRY:ALG 45,ALG,45,34,35,10,2,81
MCHENRY:ALG 46,MCHENRY:ALG 46,ALG,46,35,22,8,2,67
MCHENRY:ALG 47,MCHENRY:ALG 47,ALG,47,26,18,1,3,48
MCHENRY:ALG 48,MCHENRY:ALG 48,ALG,48,23,24,6,1,54
MCHENRY:ALG 49,MCHENRY:ALG 49,ALG,49,35,16,3,3,57
MCHENRY:ALG 5,MCHENRY:ALG 5,ALG,5,17,18,4,0,39
MCHENRY:ALG 50,MCHENRY:ALG 50,ALG,50,35,22,2,5,64
MCHENRY:ALG 51,MCHENRY:ALG 51,ALG,51,28,19,7,3,57
MCHENRY:ALG 52,MCHENRY:ALG 52,ALG,52,23,18,10,4,55
MCHENRY:ALG 53,MCHENRY:ALG 53,ALG,53,57,35,10,3,105
MCHENRY:ALG 54,MCHENRY:ALG 54,ALG,54,23,17,7,4,51
MCHENRY:ALG 55,MCHENRY:ALG 55,ALG,55,42,16,8,7,73
MCHENRY:ALG 56,MCHENRY:ALG 56,ALG,56,29,21,13,5,68
MCHENRY:ALG 57,MCHENRY:ALG 57,ALG,57,29,20,2,0,51
MCHENRY:ALG 58,MCHENRY:ALG 58,ALG,58,25,17,9,2,53
MCHENRY:ALG 59,MCHENRY:ALG 59,ALG,59,44,30,5,2,81
MCHENRY:ALG 6,MCHENRY:ALG 6,ALG,6,24,20,3,4,51
MCHENRY:ALG 60,MCHENRY:ALG 60,ALG,60,51,27,5,2,85
MCHENRY:ALG 61,MCHENRY:ALG 61,ALG,61,18,22,9,4,53
MCHENRY:ALG 62,MCHENRY:ALG 62,ALG,62,40,41,13,5,99
MCHENRY:ALG 63,MCHENRY:ALG 63,ALG,63,33,25,3,2,63
MCHENRY:ALG 7,MCHENRY:ALG 7,ALG,7,30,11,7,7,55
MCHENRY:ALG 8,MCHENRY:ALG 8,ALG,8,47,15,8,1,71
MCHENRY:ALG 9,MCHENRY:ALG 9,ALG,9,24,28,2,2,56
