JoinField,JoinField_alt,Ward/Township,Precinct,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,Evanston,Ward 3 Precinct 4,10,5,0,4,19
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,Evanston,Ward 3 Precinct 5,3,3,0,0,6
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,Evanston,Ward 4 Precinct 1,2,1,0,1,4
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,Evanston,Ward 4 Precinct 2,0,4,1,0,5
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,Evanston,Ward 4 Precinct 3,1,1,1,0,3
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,Evanston,Ward 4 Precinct 4,4,5,0,5,14
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,Evanston,Ward 4 Precinct 5,8,3,0,0,11
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,Evanston,Ward 4 Precinct 6,9,9,1,3,22
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,Evanston,Ward 4 Precinct 7,1,2,0,3,6
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,Evanston,Ward 5 Precinct 1,3,2,0,0,5
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,Evanston,Ward 5 Precinct 2,7,4,2,2,15
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,Evanston,Ward 5 Precinct 3,2,2,0,2,6
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,Evanston,Ward 6 Precinct 1,4,10,3,2,19
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,Evanston,Ward 6 Precinct 2,8,0,1,0,9
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,Evanston,Ward 6 Precinct 3,5,5,1,3,14
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,Evanston,Ward 6 Precinct 4,16,12,3,4,35
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,Evanston,Ward 6 Precinct 5,6,3,1,1,11
