JoinField,JoinField_alt,Ward/Township,Precinct,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
LAKE:VERNON 288,LAKE:VERNON 288,VERNON,288,121,2,1,4,1,3,70,5,0,47,0,1,4,2,3,264
LAKE:VERNON 289,LAKE:VERNON 289,VERNON,289,91,3,4,0,2,1,50,9,0,20,0,0,1,1,1,183
LAKE:VERNON 290,LAKE:VERNON 290,VERNON,290,94,2,0,1,2,3,53,6,0,25,0,1,1,2,2,192
LAKE:WAUCONDA 344,LAKE:WAUCONDA 344,WAUCONDA,344,41,0,2,3,10,0,40,5,0,37,0,1,0,1,0,140
LAKE:WAUCONDA 346,LAKE:WAUCONDA 346,WAUCONDA,346,36,3,0,2,8,1,28,4,0,34,2,0,2,3,0,123
LAKE:WAUCONDA 347,LAKE:WAUCONDA 347,WAUCONDA,347,35,1,4,6,3,0,26,6,0,24,1,0,2,1,1,110
LAKE:WAUCONDA 350,LAKE:WAUCONDA 350,WAUCONDA,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE:WAUCONDA 353,LAKE:WAUCONDA 353,WAUCONDA,353,30,0,3,2,5,1,20,4,0,27,0,7,0,0,1,100
LAKE:WAUCONDA 354,LAKE:WAUCONDA 354,WAUCONDA,354,61,2,4,6,3,1,39,11,0,36,0,2,0,1,0,166
MCHENRY:ALG 1,MCHENRY:ALG 1,Algonquin,1,55,1,1,3,0,1,40,16,0,33,0,1,1,2,0,154
MCHENRY:ALG 10,MCHENRY:ALG 10,Algonquin,10,21,1,4,5,5,3,24,6,1,41,0,2,1,0,0,114
MCHENRY:ALG 11,MCHENRY:ALG 11,Algonquin,11,52,1,0,5,2,1,20,2,0,37,1,2,1,2,1,127
MCHENRY:ALG 12,MCHENRY:ALG 12,Algonquin,12,33,0,1,6,1,1,34,12,0,41,0,2,1,5,1,138
MCHENRY:ALG 13,MCHENRY:ALG 13,Algonquin,13,44,1,2,2,4,1,28,8,0,34,0,2,0,1,1,128
MCHENRY:ALG 14,MCHENRY:ALG 14,Algonquin,14,44,1,2,2,2,0,48,10,0,48,1,2,0,7,0,167
MCHENRY:ALG 15,MCHENRY:ALG 15,Algonquin,15,31,0,0,0,4,0,24,6,0,24,0,1,1,0,1,92
MCHENRY:ALG 16,MCHENRY:ALG 16,Algonquin,16,27,2,5,2,9,0,20,9,0,55,0,2,0,0,0,131
MCHENRY:ALG 17,MCHENRY:ALG 17,Algonquin,17,38,2,4,5,0,1,28,4,0,30,2,1,2,1,0,118
MCHENRY:ALG 18,MCHENRY:ALG 18,Algonquin,18,54,1,1,4,9,3,46,20,0,35,2,0,1,6,2,184
MCHENRY:ALG 19,MCHENRY:ALG 19,Algonquin,19,22,1,2,4,1,2,15,6,0,34,0,1,0,8,0,96
MCHENRY:ALG 2,MCHENRY:ALG 2,Algonquin,2,64,0,7,2,2,2,47,16,0,68,2,3,1,2,1,217
MCHENRY:ALG 20,MCHENRY:ALG 20,Algonquin,20,30,0,5,12,1,2,32,5,0,43,0,1,0,9,0,140
MCHENRY:ALG 21,MCHENRY:ALG 21,Algonquin,21,44,2,2,2,4,3,40,2,0,46,5,1,1,12,1,165
MCHENRY:ALG 22,MCHENRY:ALG 22,Algonquin,22,46,4,7,1,8,2,30,15,0,54,1,0,1,7,1,177
MCHENRY:ALG 23,MCHENRY:ALG 23,Algonquin,23,29,2,3,3,3,0,33,4,0,17,0,1,0,11,0,106
MCHENRY:ALG 24,MCHENRY:ALG 24,Algonquin,24,22,0,4,1,3,0,12,2,0,30,2,0,0,1,0,77
MCHENRY:ALG 25,MCHENRY:ALG 25,Algonquin,25,27,1,2,3,1,1,22,5,0,38,0,0,0,3,2,105
MCHENRY:ALG 26,MCHENRY:ALG 26,Algonquin,26,29,0,3,4,2,1,19,4,0,25,0,1,1,1,0,90
MCHENRY:ALG 27,MCHENRY:ALG 27,Algonquin,27,23,2,2,4,6,2,31,5,0,31,0,5,1,5,0,117
MCHENRY:ALG 28,MCHENRY:ALG 28,Algonquin,28,64,2,6,2,1,1,63,8,0,72,2,2,1,2,0,226
MCHENRY:ALG 29,MCHENRY:ALG 29,Algonquin,29,27,3,2,3,2,0,19,4,0,33,2,2,1,2,1,101
MCHENRY:ALG 3,MCHENRY:ALG 3,Algonquin,3,47,0,2,8,2,0,23,8,0,38,4,3,0,4,0,139
MCHENRY:ALG 30,MCHENRY:ALG 30,Algonquin,30,18,3,4,2,2,2,19,4,1,50,0,0,0,1,0,106
MCHENRY:ALG 31,MCHENRY:ALG 31,Algonquin,31,21,1,4,3,4,0,25,5,0,71,0,0,1,3,0,138
MCHENRY:ALG 32,MCHENRY:ALG 32,Algonquin,32,41,1,0,3,0,1,44,11,0,27,1,2,1,1,0,133
MCHENRY:ALG 33,MCHENRY:ALG 33,Algonquin,33,54,0,5,8,3,2,27,5,1,55,9,3,2,2,0,176
MCHENRY:ALG 34,MCHENRY:ALG 34,Algonquin,34,37,2,5,3,5,0,26,11,1,40,0,3,0,1,1,135
MCHENRY:ALG 35,MCHENRY:ALG 35,Algonquin,35,22,2,7,1,3,0,25,9,0,40,1,1,1,3,0,115
MCHENRY:ALG 36,MCHENRY:ALG 36,Algonquin,36,34,0,4,6,0,1,19,4,0,54,0,1,0,0,0,123
MCHENRY:ALG 37,MCHENRY:ALG 37,Algonquin,37,36,0,4,2,2,2,19,15,0,17,0,2,1,1,1,102
MCHENRY:ALG 38,MCHENRY:ALG 38,Algonquin,38,35,0,2,2,5,1,30,9,1,33,0,0,0,3,1,122
MCHENRY:ALG 39,MCHENRY:ALG 39,Algonquin,39,43,2,3,3,1,2,20,6,0,42,0,3,0,0,0,125
MCHENRY:ALG 4,MCHENRY:ALG 4,Algonquin,4,28,1,6,4,5,0,35,5,0,56,1,1,2,5,0,149
MCHENRY:ALG 40,MCHENRY:ALG 40,Algonquin,40,27,3,7,4,3,0,29,9,0,35,1,0,0,0,0,118
MCHENRY:ALG 41,MCHENRY:ALG 41,Algonquin,41,27,3,2,8,2,0,33,10,1,34,2,2,2,2,0,128
MCHENRY:ALG 42,MCHENRY:ALG 42,Algonquin,42,38,1,0,1,3,2,43,11,0,47,2,6,2,16,0,172
MCHENRY:ALG 43,MCHENRY:ALG 43,Algonquin,43,17,1,0,3,5,0,21,4,0,28,0,1,2,3,0,85
MCHENRY:ALG 44,MCHENRY:ALG 44,Algonquin,44,23,2,2,2,1,2,26,1,2,34,4,1,1,3,0,104
MCHENRY:ALG 45,MCHENRY:ALG 45,Algonquin,45,45,2,0,4,5,0,33,12,0,43,0,3,1,2,1,151
MCHENRY:ALG 46,MCHENRY:ALG 46,Algonquin,46,24,3,2,9,5,2,46,11,0,69,0,0,2,4,1,178
MCHENRY:ALG 47,MCHENRY:ALG 47,Algonquin,47,31,0,0,5,7,1,37,14,0,45,2,2,0,1,0,145
MCHENRY:ALG 48,MCHENRY:ALG 48,Algonquin,48,37,19,0,3,0,0,29,17,0,44,0,0,0,5,1,155
MCHENRY:ALG 49,MCHENRY:ALG 49,Algonquin,49,28,2,3,4,3,0,39,2,0,32,0,2,3,3,1,122
MCHENRY:ALG 5,MCHENRY:ALG 5,Algonquin,5,31,2,7,3,5,3,38,1,0,63,1,0,1,0,0,155
MCHENRY:ALG 50,MCHENRY:ALG 50,Algonquin,50,44,1,9,0,2,2,35,9,2,50,6,1,0,1,0,162
MCHENRY:ALG 51,MCHENRY:ALG 51,Algonquin,51,46,1,1,3,3,0,42,9,0,56,3,0,0,2,1,167
MCHENRY:ALG 52,MCHENRY:ALG 52,Algonquin,52,33,3,3,3,3,2,29,14,0,51,5,1,0,7,0,154
MCHENRY:ALG 53,MCHENRY:ALG 53,Algonquin,53,29,4,1,3,4,0,22,9,0,36,0,0,0,3,0,111
MCHENRY:ALG 54,MCHENRY:ALG 54,Algonquin,54,20,0,10,1,1,1,25,7,0,41,1,1,2,2,2,114
MCHENRY:ALG 55,MCHENRY:ALG 55,Algonquin,55,45,2,11,4,5,4,27,9,1,54,3,2,0,4,0,171
MCHENRY:ALG 56,MCHENRY:ALG 56,Algonquin,56,39,1,6,5,1,1,39,12,0,61,4,2,0,2,0,173
MCHENRY:ALG 57,MCHENRY:ALG 57,Algonquin,57,38,0,11,3,2,2,36,18,0,40,0,0,0,1,2,153
MCHENRY:ALG 58,MCHENRY:ALG 58,Algonquin,58,52,1,3,5,3,1,25,5,0,62,0,5,0,0,0,162
MCHENRY:ALG 59,MCHENRY:ALG 59,Algonquin,59,45,0,1,3,3,3,44,7,0,38,1,3,1,2,1,152
MCHENRY:ALG 6,MCHENRY:ALG 6,Algonquin,6,35,0,8,5,0,0,37,6,1,41,3,1,1,2,0,140
MCHENRY:ALG 60,MCHENRY:ALG 60,Algonquin,60,65,0,5,2,1,0,25,7,0,26,0,2,0,1,1,135
MCHENRY:ALG 61,MCHENRY:ALG 61,Algonquin,61,28,4,2,5,4,2,33,6,1,45,4,3,0,9,0,146
MCHENRY:ALG 62,MCHENRY:ALG 62,Algonquin,62,46,3,3,2,1,1,34,6,0,39,0,3,1,3,0,142
MCHENRY:ALG 63,MCHENRY:ALG 63,Algonquin,63,38,14,2,2,2,1,35,7,1,53,1,0,0,4,1,161
MCHENRY:ALG 7,MCHENRY:ALG 7,Algonquin,7,26,1,2,2,1,0,25,9,1,45,2,2,0,2,0,118
MCHENRY:ALG 8,MCHENRY:ALG 8,Algonquin,8,58,1,4,3,3,1,42,8,0,57,0,2,1,1,2,183
MCHENRY:ALG 9,MCHENRY:ALG 9,Algonquin,9,58,2,6,1,2,2,34,12,0,31,0,0,0,2,1,151
