JoinField,Ward,Precinct,JB Pritzker & Christian Mitchell,Total Voters
CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,421,421
CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,309,309
CITY OF CHICAGO:WARD 40 PRECINCT 05,40,5,270,270
CITY OF CHICAGO:WARD 40 PRECINCT 06,40,6,333,333
CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,419,419
CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,229,229
CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,384,384
CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,807,807
CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,349,349
CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,491,491
CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,525,525
CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,730,730
CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,526,526
CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,474,474
CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,470,470
CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,502,502
CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,523,523
CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,569,569
CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,549,549
CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,690,690
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,675,675
CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,113,113
CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,86,86
CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,92,92
CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,123,123
CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,153,153
CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,160,160
CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,173,173
CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,136,136
CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,295,295
CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,209,209
CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,181,181
CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,79,79
CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,290,290
CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,293,293
CITY OF CHICAGO:WARD 41 PRECINCT 15,41,15,354,354
CITY OF CHICAGO:WARD 41 PRECINCT 16,41,16,118,118
CITY OF CHICAGO:WARD 41 PRECINCT 17,41,17,67,67
CITY OF CHICAGO:WARD 41 PRECINCT 18,41,18,334,334
CITY OF CHICAGO:WARD 41 PRECINCT 19,41,19,146,146
CITY OF CHICAGO:WARD 41 PRECINCT 20,41,20,173,173
CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,143,143
CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,115,115
CITY OF CHICAGO:WARD 41 PRECINCT 23,41,23,175,175
CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,238,238
CITY OF CHICAGO:WARD 41 PRECINCT 25,41,25,173,173
CITY OF CHICAGO:WARD 41 PRECINCT 26,41,26,327,327
CITY OF CHICAGO:WARD 41 PRECINCT 27,41,27,189,189
CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,353,353
CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,370,370
CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,238,238
CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,215,215
CITY OF CHICAGO:WARD 42 PRECINCT 01,42,1,168,168
CITY OF CHICAGO:WARD 42 PRECINCT 02,42,2,146,146
CITY OF CHICAGO:WARD 42 PRECINCT 03,42,3,467,467
CITY OF CHICAGO:WARD 42 PRECINCT 04,42,4,328,328
CITY OF CHICAGO:WARD 42 PRECINCT 05,42,5,518,518
CITY OF CHICAGO:WARD 42 PRECINCT 06,42,6,244,244
CITY OF CHICAGO:WARD 42 PRECINCT 07,42,7,339,339
CITY OF CHICAGO:WARD 42 PRECINCT 08,42,8,200,200
CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,296,296
CITY OF CHICAGO:WARD 42 PRECINCT 10,42,10,195,195
CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,201,201
CITY OF CHICAGO:WARD 42 PRECINCT 12,42,12,181,181
CITY OF CHICAGO:WARD 42 PRECINCT 13,42,13,171,171
CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,124,124
CITY OF CHICAGO:WARD 42 PRECINCT 15,42,15,69,69
CITY OF CHICAGO:WARD 42 PRECINCT 16,42,16,288,288
CITY OF CHICAGO:WARD 42 PRECINCT 17,42,17,339,339
CITY OF CHICAGO:WARD 42 PRECINCT 18,42,18,177,177
CITY OF CHICAGO:WARD 42 PRECINCT 19,42,19,360,360
CITY OF CHICAGO:WARD 42 PRECINCT 20,42,20,329,329
CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,330,330
CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,371,371
CITY OF CHICAGO:WARD 42 PRECINCT 23,42,23,439,439
CITY OF CHICAGO:WARD 42 PRECINCT 24,42,24,465,465
CITY OF CHICAGO:WARD 43 PRECINCT 01,43,1,467,467
CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,459,459
CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,191,191
CITY OF CHICAGO:WARD 43 PRECINCT 04,43,4,368,368
CITY OF CHICAGO:WARD 43 PRECINCT 05,43,5,520,520
CITY OF CHICAGO:WARD 43 PRECINCT 06,43,6,641,641
CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,538,538
CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,427,427
CITY OF CHICAGO:WARD 43 PRECINCT 09,43,9,566,566
CITY OF CHICAGO:WARD 43 PRECINCT 10,43,10,380,380
CITY OF CHICAGO:WARD 43 PRECINCT 11,43,11,243,243
CITY OF CHICAGO:WARD 43 PRECINCT 12,43,12,414,414
CITY OF CHICAGO:WARD 43 PRECINCT 13,43,13,369,369
CITY OF CHICAGO:WARD 43 PRECINCT 14,43,14,228,228
CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,549,549
CITY OF CHICAGO:WARD 43 PRECINCT 16,43,16,221,221
CITY OF CHICAGO:WARD 43 PRECINCT 17,43,17,401,401
CITY OF CHICAGO:WARD 43 PRECINCT 18,43,18,570,570
CITY OF CHICAGO:WARD 43 PRECINCT 19,43,19,420,420
CITY OF CHICAGO:WARD 43 PRECINCT 20,43,20,356,356
CITY OF CHICAGO:WARD 43 PRECINCT 21,43,21,197,197
CITY OF CHICAGO:WARD 43 PRECINCT 22,43,22,491,491
CITY OF CHICAGO:WARD 43 PRECINCT 23,43,23,351,351
CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,608,608
CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,387,387
CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,466,466
CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,643,643
CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,557,557
CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,455,455
CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,497,497
CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,646,646
CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,568,568
CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,573,573
CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,419,419
CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,720,720
CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,594,594
CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,552,552
CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,621,621
CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,609,609
CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,733,733
CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,425,425
CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,572,572
CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,385,385
CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,645,645
CITY OF CHICAGO:WARD 45 PRECINCT 01,45,1,376,376
CITY OF CHICAGO:WARD 45 PRECINCT 02,45,2,209,209
CITY OF CHICAGO:WARD 45 PRECINCT 03,45,3,91,91
CITY OF CHICAGO:WARD 45 PRECINCT 04,45,4,174,174
CITY OF CHICAGO:WARD 45 PRECINCT 05,45,5,260,260
CITY OF CHICAGO:WARD 45 PRECINCT 06,45,6,276,276
CITY OF CHICAGO:WARD 45 PRECINCT 07,45,7,281,281
CITY OF CHICAGO:WARD 45 PRECINCT 08,45,8,206,206
CITY OF CHICAGO:WARD 45 PRECINCT 09,45,9,265,265
CITY OF CHICAGO:WARD 45 PRECINCT 10,45,10,255,255
CITY OF CHICAGO:WARD 45 PRECINCT 11,45,11,242,242
CITY OF CHICAGO:WARD 45 PRECINCT 12,45,12,216,216
CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,383,383
CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,194,194
CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,271,271
CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,281,281
CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,314,314
CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,303,303
CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,212,212
CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,299,299
CITY OF CHICAGO:WARD 45 PRECINCT 21,45,21,245,245
CITY OF CHICAGO:WARD 45 PRECINCT 22,45,22,321,321
CITY OF CHICAGO:WARD 45 PRECINCT 23,45,23,344,344
CITY OF CHICAGO:WARD 45 PRECINCT 24,45,24,312,312
CITY OF CHICAGO:WARD 45 PRECINCT 25,45,25,382,382
CITY OF CHICAGO:WARD 45 PRECINCT 26,45,26,304,304
CITY OF CHICAGO:WARD 45 PRECINCT 27,45,27,441,441
CITY OF CHICAGO:WARD 45 PRECINCT 28,45,28,407,407
CITY OF CHICAGO:WARD 45 PRECINCT 29,45,29,429,429
CITY OF CHICAGO:WARD 46 PRECINCT 01,46,1,399,399
CITY OF CHICAGO:WARD 46 PRECINCT 02,46,2,474,474
CITY OF CHICAGO:WARD 46 PRECINCT 03,46,3,500,500
CITY OF CHICAGO:WARD 46 PRECINCT 04,46,4,616,616
CITY OF CHICAGO:WARD 46 PRECINCT 05,46,5,478,478
CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,794,794
CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,463,463
CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,577,577
CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,575,575
CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,655,655
CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,632,632
CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,780,780
CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,740,740
CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,352,352
CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,787,787
CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,626,626
CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,738,738
CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,701,701
CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,607,607
CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,436,436
CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,373,373
CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,426,426
CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,376,376
CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,498,498
CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,532,532
CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,550,550
CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,694,694
CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,802,802
CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,721,721
CITY OF CHICAGO:WARD 47 PRECINCT 07,47,7,896,896
CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,568,568
CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,690,690
CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,652,652
CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,545,545
CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,422,422
CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,444,444
CITY OF CHICAGO:WARD 47 PRECINCT 14,47,14,510,510
CITY OF CHICAGO:WARD 47 PRECINCT 15,47,15,521,521
CITY OF CHICAGO:WARD 47 PRECINCT 16,47,16,509,509
CITY OF CHICAGO:WARD 47 PRECINCT 17,47,17,467,467
CITY OF CHICAGO:WARD 47 PRECINCT 18,47,18,609,609
CITY OF CHICAGO:WARD 47 PRECINCT 19,47,19,594,594
CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,510,510
CITY OF CHICAGO:WARD 47 PRECINCT 21,47,21,526,526
CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,413,413
CITY OF CHICAGO:WARD 47 PRECINCT 23,47,23,523,523
CITY OF CHICAGO:WARD 47 PRECINCT 24,47,24,594,594
CITY OF CHICAGO:WARD 47 PRECINCT 25,47,25,451,451
CITY OF CHICAGO:WARD 47 PRECINCT 26,47,26,591,591
CITY OF CHICAGO:WARD 47 PRECINCT 27,47,27,550,550
CITY OF CHICAGO:WARD 47 PRECINCT 28,47,28,387,387
CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,670,670
CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,218,218
CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,347,347
CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,462,462
CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,275,275
CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,523,523
CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,520,520
CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,333,333
CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,215,215
CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,606,606
CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,445,445
CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,558,558
CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,416,416
CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,479,479
CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,376,376
CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,326,326
CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,156,156
CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,472,472
CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,279,279
CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,192,192
CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,505,505
CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,290,290
CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,410,410
CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,582,582
CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,555,555
CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,281,281
CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,376,376
CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,427,427
CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,247,247
CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,503,503
CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,484,484
CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,325,325
CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,194,194
CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,378,378
CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,612,612
CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,500,500
CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,509,509
CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,627,627
CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,703,703
CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,680,680
CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,57,57
CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,720,720
CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,882,882
CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,690,690
CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,507,507
CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,518,518
CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,398,398
CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,617,617
CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,754,754
CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,690,690
CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,629,629
CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,711,711
CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,259,259
CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,256,256
CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,217,217
CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,232,232
CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,411,411
CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,205,205
CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,508,508
CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,304,304
CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,86,86
CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,165,165
CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,281,281
CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,76,76
CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,339,339
CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,62,62
CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,364,364
CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,60,60
CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,116,116
CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,46,46
CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,114,114
CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,130,130
CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,287,287
CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,249,249
CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,226,226
CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,213,213
CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,47,47
CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,113,113
CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,58,58
CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,352,352
