JoinField,JB Pritzker,Total Voters
DUPAGE:DOWNERS GROVE 019,149,149
DUPAGE:DOWNERS GROVE 020,138,138
DUPAGE:DOWNERS GROVE 021,159,159
DUPAGE:DOWNERS GROVE 022,131,131
DUPAGE:DOWNERS GROVE 023,110,110
DUPAGE:DOWNERS GROVE 024,197,197
DUPAGE:DOWNERS GROVE 025,241,241
DUPAGE:DOWNERS GROVE 026,233,233
DUPAGE:DOWNERS GROVE 027,204,204
DUPAGE:DOWNERS GROVE 028,198,198
DUPAGE:DOWNERS GROVE 029,151,151
DUPAGE:DOWNERS GROVE 030,147,147
DUPAGE:DOWNERS GROVE 031,189,189
DUPAGE:DOWNERS GROVE 032,135,135
DUPAGE:DOWNERS GROVE 033,109,109
DUPAGE:DOWNERS GROVE 034,84,84
DUPAGE:DOWNERS GROVE 035,51,51
DUPAGE:DOWNERS GROVE 036,210,210
DUPAGE:DOWNERS GROVE 037,241,241
DUPAGE:DOWNERS GROVE 038,175,175
DUPAGE:DOWNERS GROVE 039,195,195
DUPAGE:DOWNERS GROVE 040,169,169
DUPAGE:DOWNERS GROVE 041,128,128
DUPAGE:DOWNERS GROVE 042,115,115
DUPAGE:DOWNERS GROVE 043,132,132
DUPAGE:DOWNERS GROVE 044,157,157
DUPAGE:DOWNERS GROVE 045,263,263
DUPAGE:DOWNERS GROVE 046,262,262
DUPAGE:DOWNERS GROVE 047,191,191
DUPAGE:DOWNERS GROVE 048,143,143
DUPAGE:DOWNERS GROVE 049,125,125
DUPAGE:DOWNERS GROVE 050,151,151
DUPAGE:DOWNERS GROVE 051,155,155
DUPAGE:DOWNERS GROVE 052,109,109
DUPAGE:DOWNERS GROVE 053,214,214
DUPAGE:DOWNERS GROVE 054,172,172
DUPAGE:DOWNERS GROVE 055,171,171
DUPAGE:DOWNERS GROVE 056,187,187
DUPAGE:DOWNERS GROVE 057,165,165
DUPAGE:DOWNERS GROVE 058,145,145
DUPAGE:DOWNERS GROVE 059,267,267
DUPAGE:DOWNERS GROVE 060,133,133
DUPAGE:DOWNERS GROVE 061,155,155
DUPAGE:DOWNERS GROVE 062,244,244
DUPAGE:DOWNERS GROVE 063,225,225
DUPAGE:DOWNERS GROVE 064,173,173
DUPAGE:DOWNERS GROVE 065,240,240
DUPAGE:DOWNERS GROVE 066,164,164
DUPAGE:DOWNERS GROVE 067,134,134
DUPAGE:DOWNERS GROVE 068,177,177
DUPAGE:DOWNERS GROVE 069,191,191
DUPAGE:DOWNERS GROVE 070,141,141
DUPAGE:DOWNERS GROVE 071,148,148
DUPAGE:DOWNERS GROVE 072,160,160
DUPAGE:DOWNERS GROVE 073,127,127
DUPAGE:DOWNERS GROVE 074,167,167
DUPAGE:DOWNERS GROVE 075,88,88
DUPAGE:DOWNERS GROVE 076,130,130
DUPAGE:DOWNERS GROVE 077,179,179
DUPAGE:DOWNERS GROVE 078,194,194
DUPAGE:DOWNERS GROVE 079,162,162
DUPAGE:DOWNERS GROVE 080,172,172
DUPAGE:DOWNERS GROVE 081,98,98
DUPAGE:DOWNERS GROVE 082,167,167
DUPAGE:DOWNERS GROVE 083,168,168
DUPAGE:DOWNERS GROVE 084,118,118
DUPAGE:DOWNERS GROVE 085,224,224
DUPAGE:DOWNERS GROVE 086,156,156
DUPAGE:DOWNERS GROVE 087,197,197
DUPAGE:DOWNERS GROVE 088,104,104
DUPAGE:DOWNERS GROVE 089,182,182
DUPAGE:DOWNERS GROVE 090,189,189
DUPAGE:DOWNERS GROVE 091,127,127
DUPAGE:DOWNERS GROVE 092,154,154
DUPAGE:DOWNERS GROVE 093,133,133
DUPAGE:DOWNERS GROVE 094,194,194
DUPAGE:DOWNERS GROVE 095,125,125
DUPAGE:DOWNERS GROVE 096,108,108
DUPAGE:DOWNERS GROVE 097,148,148
DUPAGE:DOWNERS GROVE 098,113,113
DUPAGE:DOWNERS GROVE 099,121,121
DUPAGE:DOWNERS GROVE 100,114,114
DUPAGE:DOWNERS GROVE 101,143,143
DUPAGE:DOWNERS GROVE 102,108,108
DUPAGE:DOWNERS GROVE 103,95,95
DUPAGE:LISLE 001,199,199
DUPAGE:LISLE 002,141,141
DUPAGE:LISLE 003,166,166
DUPAGE:LISLE 004,239,239
DUPAGE:LISLE 005,214,214
DUPAGE:LISLE 006,216,216
DUPAGE:LISLE 007,157,157
DUPAGE:LISLE 008,211,211
DUPAGE:LISLE 009,233,233
DUPAGE:LISLE 010,251,251
DUPAGE:LISLE 011,192,192
DUPAGE:LISLE 012,281,281
DUPAGE:LISLE 013,170,170
DUPAGE:LISLE 014,127,127
DUPAGE:LISLE 015,131,131
DUPAGE:LISLE 016,241,241
DUPAGE:LISLE 017,202,202
DUPAGE:LISLE 018,231,231
DUPAGE:LISLE 019,215,215
DUPAGE:LISLE 020,260,260
DUPAGE:LISLE 021,231,231
DUPAGE:LISLE 022,184,184
DUPAGE:LISLE 023,179,179
DUPAGE:LISLE 024,118,118
DUPAGE:LISLE 025,177,177
DUPAGE:LISLE 026,254,254
DUPAGE:LISLE 027,271,271
DUPAGE:LISLE 028,205,205
DUPAGE:LISLE 029,96,96
DUPAGE:LISLE 030,255,255
DUPAGE:LISLE 031,244,244
DUPAGE:LISLE 032,220,220
DUPAGE:LISLE 033,186,186
DUPAGE:LISLE 034,217,217
DUPAGE:LISLE 035,235,235
DUPAGE:LISLE 036,195,195
