FOR COMPTROLLER (Vote For 1),,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,STEPHANIE A. KIFOWIT,,,,HOLLY KIM,,,,MARGARET CROKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
PLAINFIELD PCT 023,1126,33,6,5,44,11,2,4,17,16,3,9,28,23,3,7,33,122
PLAINFIELD PCT 024,1221,27,9,9,45,13,3,16,32,20,7,11,38,24,12,13,49,164
PLAINFIELD PCT 025,1831,50,4,22,76,7,2,3,12,31,4,11,46,31,5,9,45,179
PLAINFIELD PCT 026,2299,65,4,14,83,20,2,4,26,42,4,13,59,39,7,6,52,220
PLAINFIELD PCT 027,1284,42,5,13,60,14,1,7,22,30,4,7,41,22,9,7,38,161
PLAINFIELD PCT 028,1559,49,2,15,66,15,0,4,19,33,0,6,39,35,3,6,44,168
PLAINFIELD PCT 029,1351,35,3,5,43,15,1,7,23,18,4,9,31,22,5,3,30,127
PLAINFIELD PCT 030,1342,19,8,13,40,7,1,4,12,16,2,4,22,30,5,11,46,120
PLAINFIELD PCT 031,1343,56,8,9,73,14,2,4,20,14,3,7,24,29,2,10,41,158
PLAINFIELD PCT 032,1338,35,9,6,50,9,3,3,15,26,9,11,46,26,7,12,45,156
PLAINFIELD PCT 033,1402,30,8,12,50,10,2,3,15,28,12,13,53,21,13,11,45,163
PLAINFIELD PCT 034,1498,36,8,10,54,13,3,1,17,18,3,5,26,40,6,11,57,154
PLAINFIELD PCT 035,1447,51,4,10,65,14,2,5,21,34,4,5,43,30,2,12,44,173
REED PCT 001,1554,14,5,6,25,6,1,2,9,11,3,6,20,21,7,6,34,88
REED PCT 002,1695,8,4,5,17,8,1,0,9,11,6,5,22,21,3,9,33,81
REED PCT 003,1571,10,0,7,17,9,1,3,13,15,2,7,24,18,3,6,27,81
TROY PCT 001,2909,66,15,27,108,19,7,7,33,38,8,11,57,40,19,15,74,272
TROY PCT 002,1823,46,13,14,73,9,4,1,14,25,3,15,43,29,7,10,46,176
TROY PCT 003,1286,28,2,6,36,4,2,8,14,8,0,7,15,32,3,11,46,111
TROY PCT 004,1241,31,4,7,42,9,2,3,14,23,7,7,37,27,7,8,42,135
TROY PCT 005,1104,19,8,9,36,8,2,5,15,19,11,16,46,29,7,21,57,154
TROY PCT 006,932,20,7,13,40,4,1,5,10,22,4,6,32,28,2,7,37,119
TROY PCT 007,2123,40,14,23,77,8,3,6,17,21,4,17,42,43,19,30,92,228
TROY PCT 008,2079,53,13,15,81,10,10,8,28,32,15,22,69,58,14,17,89,267
TROY PCT 009,1298,38,3,12,53,7,1,7,15,13,6,12,31,35,10,14,59,158
TROY PCT 010,1777,34,8,9,51,10,4,5,19,18,8,11,37,40,11,11,62,169
TROY PCT 011,1539,33,14,11,58,12,8,2,22,10,13,10,33,30,24,9,63,176
TROY PCT 012,877,22,12,4,38,3,2,3,8,10,9,2,21,33,11,5,49,116
TROY PCT 013,1823,32,12,17,61,19,3,12,34,27,9,26,62,94,31,26,151,308
TROY PCT 014,1990,48,7,16,71,11,2,10,23,26,14,11,51,41,13,16,70,215
TROY PCT 015,1322,28,8,15,51,11,5,8,24,24,4,9,37,29,12,4,45,157
TROY PCT 016,1914,45,19,15,79,11,12,10,33,22,15,14,51,39,38,22,99,262
TROY PCT 017,1669,29,7,10,46,9,6,8,23,16,8,10,34,37,25,15,77,180
TROY PCT 018,1567,59,17,7,83,8,2,3,13,27,10,10,47,36,14,7,57,200
TROY PCT 019,1868,57,19,7,83,12,6,2,20,31,9,6,46,30,22,3,55,204
TROY PCT 020,1676,27,8,14,49,13,3,4,20,20,12,8,40,31,26,7,64,173
TROY PCT 021,1769,35,5,9,49,13,4,4,21,31,5,11,47,36,6,9,51,168
TROY PCT 022,689,14,0,5,19,1,4,0,5,5,4,6,15,16,7,5,28,67
WASHINGTON PCT 001,1402,12,2,6,20,10,1,2,13,11,0,12,23,50,11,10,71,127
WASHINGTON PCT 002,1754,29,11,2,42,9,1,2,12,12,8,3,23,45,24,15,84,161
WASHINGTON PCT 003,1333,16,3,3,22,6,1,3,10,12,4,2,18,27,4,5,36,86
WESLEY PCT 001,1493,7,3,10,20,10,0,4,14,14,2,12,28,26,1,6,33,95
WHEATLAND PCT 001,1321,55,3,7,65,12,1,3,16,29,4,11,44,17,3,6,26,151
WHEATLAND PCT 002,2112,34,43,16,93,68,87,88,243,18,20,28,66,46,57,24,127,529
WHEATLAND PCT 003,1781,38,34,8,80,42,32,9,83,24,11,6,41,30,11,6,47,251
WHEATLAND PCT 004,2015,36,27,11,74,62,31,17,110,18,7,6,31,17,13,6,36,251
WHEATLAND PCT 005,1879,41,18,14,73,20,8,3,31,35,9,8,52,58,10,12,80,236
WHEATLAND PCT 006,1333,49,12,11,72,26,1,12,39,30,13,9,52,42,14,12,68,231
WHEATLAND PCT 007,1377,33,24,15,72,19,5,4,28,25,17,13,55,37,16,13,66,221
WHEATLAND PCT 008,1332,34,18,13,65,21,6,15,42,41,11,14,66,56,19,16,91,264
