FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,ROBIN KELLY,,,,JULIANA STRATTON,,,,RAJA KRISHNAMOORTHI,,,,STEVE BOTSFORD JR.,,,,BRYAN MAXWELL,,,,JONATHAN DEAN,,,,SEAN BROWN,,,,AWISI A. BUSTOS,,,,CHRISTOPHER SWANN,,,,ADAM DELGADO (WRITE-IN),,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
HOMER PCT 017,1577,0,0,0,0,13,1,11,25,17,4,5,26,18,8,17,43,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
HOMER PCT 018,2061,8,3,3,14,16,4,4,24,57,10,22,89,33,14,13,60,0,1,0,1,2,0,0,2,1,0,0,1,3,0,1,4,0,0,0,0,1,0,0,1,0,0,0,0,196
HOMER PCT 019,1712,8,0,0,8,15,6,2,23,43,12,10,65,31,8,24,63,0,0,1,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,167
JACKSON PCT 001,1653,3,1,1,5,17,7,1,25,55,7,15,77,30,10,14,54,1,0,0,1,3,0,0,3,2,0,1,3,0,0,0,0,0,0,2,2,2,1,0,3,0,0,0,0,173
JACKSON PCT 002,1359,3,1,0,4,15,3,1,19,27,4,3,34,44,15,25,84,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,145
JOLIET PCT 001,1381,2,1,0,3,16,5,5,26,57,11,17,85,29,8,16,53,1,0,0,1,1,0,0,1,0,0,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,173
JOLIET PCT 002,1221,3,0,1,4,14,4,3,21,47,9,13,69,38,8,12,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,155
JOLIET PCT 003,1213,4,1,0,5,8,0,0,8,45,5,10,60,17,6,11,34,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,0,0,0,0,113
JOLIET PCT 004,1252,1,2,0,3,15,2,2,19,35,11,5,51,13,1,9,23,0,0,0,0,0,2,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,102
JOLIET PCT 005,866,2,3,0,5,2,5,2,9,30,11,5,46,7,7,6,20,2,0,0,2,0,0,0,0,2,0,0,2,2,3,0,5,1,0,0,1,0,0,0,0,0,0,0,0,90
JOLIET PCT 006,943,4,1,1,6,8,6,0,14,58,23,11,92,5,7,6,18,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,2,1,0,1,2,2,1,0,3,0,0,0,0,139
JOLIET PCT 007,1132,2,4,1,7,27,7,3,37,71,18,16,105,19,7,19,45,0,0,0,0,2,0,0,2,0,0,0,0,4,1,1,6,0,0,0,0,1,1,1,3,0,0,0,0,205
JOLIET PCT 008,1090,10,0,1,11,17,4,3,24,30,12,11,53,13,3,15,31,0,0,1,1,5,0,0,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127
JOLIET PCT 009,1835,10,1,3,14,13,4,14,31,50,14,16,80,28,8,23,59,1,0,0,1,0,0,4,4,0,0,1,1,1,1,0,2,3,1,0,4,1,0,0,1,0,0,0,0,197
JOLIET PCT 010,1390,6,1,1,8,14,3,4,21,50,7,6,63,35,8,29,72,0,0,0,0,2,1,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,169
JOLIET PCT 011,1341,7,3,1,11,19,11,4,34,55,19,5,79,20,9,10,39,2,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,171
JOLIET PCT 012,1215,7,3,1,11,13,3,1,17,62,10,9,81,11,2,6,19,0,0,0,0,1,0,0,1,1,1,0,2,2,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,136
JOLIET PCT 013,1120,0,0,1,1,14,5,2,21,46,15,7,68,21,10,7,38,1,0,0,1,2,0,0,2,0,0,0,0,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,135
JOLIET PCT 014,1158,8,0,0,8,9,4,1,14,55,11,9,75,23,3,5,31,1,0,1,2,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,136
JOLIET PCT 015,1243,2,2,0,4,3,3,2,8,55,10,6,71,19,8,13,40,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,125
JOLIET PCT 016,1209,5,1,0,6,21,13,9,43,72,22,10,104,19,2,6,27,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,186
JOLIET PCT 017,1305,5,3,2,10,14,7,4,25,41,15,14,70,43,11,20,74,0,0,0,0,2,0,1,3,0,0,1,1,1,0,0,1,2,0,0,2,3,0,0,3,0,0,0,0,189
JOLIET PCT 018,1359,6,3,3,12,18,8,3,29,65,26,13,104,42,16,36,94,0,0,1,1,1,1,0,2,1,0,1,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,247
JOLIET PCT 019,1172,5,4,5,14,18,3,1,22,63,17,16,96,28,14,13,55,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,191
JOLIET PCT 020,1128,5,3,0,8,16,0,3,19,47,12,17,76,29,15,18,62,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,169
JOLIET PCT 021,677,2,0,0,2,9,2,1,12,23,3,3,29,14,5,3,22,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,69
JOLIET PCT 022,1038,4,1,0,5,18,4,1,23,44,14,5,63,15,4,9,28,0,0,0,0,1,0,0,1,1,1,0,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,125
JOLIET PCT 023,990,1,0,2,3,11,3,0,14,21,12,11,44,6,8,9,23,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,89
JOLIET PCT 024,1101,5,0,4,9,11,5,3,19,33,14,7,54,13,5,11,29,1,0,0,1,2,0,1,3,0,0,0,0,3,0,2,5,2,0,0,2,0,0,0,0,0,0,0,0,122
JOLIET PCT 025,920,4,2,3,9,5,4,4,13,32,11,9,52,18,6,20,44,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,123
JOLIET PCT 026,1197,7,1,3,11,14,5,3,22,48,8,16,72,22,8,12,42,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,151
JOLIET PCT 027,878,2,0,2,4,8,5,1,14,27,12,2,41,9,4,4,17,2,0,0,2,2,0,0,2,0,0,0,0,1,1,0,2,0,1,0,1,2,1,0,3,0,0,0,0,86
JOLIET PCT 028,881,2,0,0,2,14,9,5,28,39,13,9,61,11,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,111
JOLIET PCT 029,1204,2,0,1,3,7,5,2,14,43,17,9,69,10,4,9,23,0,0,0,0,1,0,0,1,0,1,0,1,3,0,0,3,1,0,0,1,0,1,0,1,0,0,0,0,116
JOLIET PCT 030,1203,7,3,0,10,16,0,2,18,53,6,9,68,17,5,17,39,1,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,2,0,0,0,0,142
JOLIET PCT 031,1204,3,0,1,4,7,5,2,14,35,15,12,62,19,5,12,36,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,2,1,0,3,1,0,0,1,0,0,0,0,123
JOLIET PCT 032,898,6,0,1,7,24,7,2,33,36,17,8,61,9,4,13,26,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,129
JOLIET PCT 033,1088,5,2,0,7,8,2,1,11,32,5,10,47,15,3,2,20,0,0,0,0,0,0,1,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89
JOLIET PCT 034,977,4,3,3,10,16,9,3,28,39,23,12,74,14,2,8,24,0,0,0,0,2,0,1,3,1,0,0,1,4,1,0,5,0,0,0,0,0,1,0,1,0,0,0,0,146
JOLIET PCT 035,1102,6,3,0,9,15,14,5,34,46,22,20,88,13,14,21,48,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,183
JOLIET PCT 036,949,0,2,0,2,9,13,2,24,50,25,19,94,14,9,9,32,0,0,0,0,1,2,1,4,2,0,0,2,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,162
JOLIET PCT 037,1243,3,5,1,9,9,12,11,32,40,23,11,74,27,7,16,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,169
LOCKPORT PCT 001,1800,13,4,3,20,39,6,11,56,99,26,19,144,106,26,115,247,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,471
LOCKPORT PCT 002,1828,7,3,1,11,21,4,1,26,84,13,5,102,19,12,15,46,0,0,0,0,2,0,0,2,1,0,0,1,2,1,0,3,2,1,1,4,0,0,1,1,0,0,0,0,196
LOCKPORT PCT 003,1692,4,2,7,13,15,4,2,21,66,13,11,90,32,5,16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,0,0,0,0,181
LOCKPORT PCT 004,1434,2,2,4,8,17,3,2,22,51,9,14,74,19,3,24,46,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,154
LOCKPORT PCT 005,1418,4,7,3,14,16,3,6,25,34,8,6,48,18,13,22,53,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,144
LOCKPORT PCT 006,2015,6,0,1,7,23,5,6,34,70,8,22,100,30,2,20,52,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,4,1,0,0,1,0,0,0,0,199
LOCKPORT PCT 007,1939,5,4,1,10,27,4,3,34,108,15,19,142,44,3,10,57,1,0,0,1,3,0,0,3,0,0,0,0,1,0,0,1,2,0,1,3,1,0,0,1,0,0,0,0,252
LOCKPORT PCT 008,1626,4,2,2,8,24,8,1,33,66,26,14,106,30,10,4,44,0,1,0,1,1,1,0,2,2,0,2,4,1,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,202
LOCKPORT PCT 009,2131,6,0,4,10,41,5,4,50,101,16,20,137,83,14,69,166,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,369
LOCKPORT PCT 010,1496,4,1,2,7,14,3,2,19,47,10,9,66,24,6,18,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141
LOCKPORT PCT 011,1439,5,2,7,14,12,7,3,22,35,12,6,53,22,19,26,67,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,160
LOCKPORT PCT 012,1553,5,3,0,8,22,5,4,31,32,7,11,50,25,17,14,56,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,148
LOCKPORT PCT 013,1926,8,0,3,11,38,7,13,58,86,19,20,125,129,48,93,270,2,0,1,3,1,0,0,1,0,0,1,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,472
LOCKPORT PCT 014,1371,6,1,1,8,14,2,5,21,58,3,10,71,34,6,19,59,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,164
LOCKPORT PCT 015,1356,3,1,1,5,14,1,1,16,54,7,3,64,42,2,8,52,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,141
LOCKPORT PCT 016,1521,9,3,3,15,17,6,5,28,46,17,18,81,26,17,10,53,0,0,0,0,1,0,0,1,2,0,0,2,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,183
LOCKPORT PCT 017,1431,10,4,4,18,11,3,4,18,47,16,9,72,35,17,25,77,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,188
LOCKPORT PCT 018,1635,7,0,2,9,10,3,6,19,43,19,16,78,22,8,21,51,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,163
LOCKPORT PCT 019,1526,12,3,3,18,21,10,7,38,42,27,9,78,56,42,44,142,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,282
LOCKPORT PCT 020,1180,4,0,0,4,11,1,5,17,48,13,9,70,30,14,21,65,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,2,1,0,0,1,2,0,0,2,0,0,0,0,163
LOCKPORT PCT 021,1351,4,0,0,4,14,4,1,19,39,16,9,64,22,7,15,44,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,136
LOCKPORT PCT 022,1133,5,0,3,8,16,2,2,20,33,9,10,52,27,7,9,43,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,127
LOCKPORT PCT 023,1027,3,1,0,4,5,2,4,11,29,4,9,42,19,9,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92
LOCKPORT PCT 024,855,1,1,1,3,24,7,5,36,35,10,5,50,10,5,9,24,1,0,0,1,4,1,0,5,3,0,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,124
MANHATTAN PCT 001,1699,7,1,1,9,18,5,5,28,33,7,11,51,28,7,16,51,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,142
MANHATTAN PCT 002,2095,9,0,2,11,15,1,4,20,35,14,6,55,33,11,29,73,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
MANHATTAN PCT 003,1355,3,1,2,6,8,1,7,16,19,4,3,26,13,10,26,49,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101
MANHATTAN PCT 004,1614,5,0,0,5,21,4,5,30,30,2,6,38,21,5,9,35,2,1,2,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115
MANHATTAN PCT 005,1990,0,2,1,3,20,4,1,25,23,9,12,44,28,10,14,52,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,127
MONEE PCT 001,1095,5,0,0,5,49,15,25,89,61,7,3,71,13,5,20,38,2,0,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
MONEE PCT 002,1286,5,2,0,7,86,25,25,136,61,6,12,79,21,4,15,40,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,268
MONEE PCT 003,1470,8,2,2,12,56,7,8,71,61,1,16,78,28,7,11,46,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,211
MONEE PCT 004,1538,6,2,3,11,65,9,6,80,49,8,11,68,29,8,19,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,218
MONEE PCT 005,1027,2,0,2,4,69,8,19,96,37,16,7,60,18,3,5,26,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,193
MONEE PCT 006,814,1,0,1,2,60,4,9,73,52,6,9,67,15,1,4,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,166
MONEE PCT 007,1181,7,1,1,9,136,9,21,166,76,9,5,90,28,3,8,39,1,0,0,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,308
MONEE PCT 008,1370,6,1,2,9,43,5,10,58,52,6,14,72,26,4,15,45,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,188
NEW LENOX PCT 001,1405,0,0,5,5,16,6,5,27,34,6,10,50,19,13,19,51,1,0,0,1,0,0,1,1,1,0,1,2,0,1,0,1,0,1,2,3,2,0,0,2,0,0,0,0,143
NEW LENOX PCT 002,1905,7,1,3,11,9,7,3,19,58,6,22,86,30,11,31,72,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,191
NEW LENOX PCT 003,1231,3,1,0,4,8,3,3,14,39,6,6,51,12,3,17,32,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,104
NEW LENOX PCT 004,1036,4,0,4,8,14,3,0,17,24,5,5,34,18,2,11,31,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,93
NEW LENOX PCT 005,1337,8,3,0,11,17,6,2,25,28,11,14,53,18,9,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
NEW LENOX PCT 006,1521,13,0,0,13,14,1,1,16,38,5,14,57,25,1,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,140
NEW LENOX PCT 007,1700,4,3,4,11,10,3,3,16,9,6,19,34,26,16,19,61,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,125
NEW LENOX PCT 008,1357,2,2,3,7,14,3,2,19,28,6,12,46,22,11,19,52,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,129
NEW LENOX PCT 009,955,4,1,0,5,9,7,4,20,27,2,5,34,8,7,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,82
NEW LENOX PCT 010,1638,7,1,1,9,12,4,8,24,31,9,24,64,49,22,18,89,1,1,0,2,1,0,0,1,2,0,0,2,0,0,0,0,2,1,0,3,1,1,0,2,0,0,0,0,196
NEW LENOX PCT 011,1856,4,4,0,8,21,4,1,26,49,17,13,79,33,18,18,69,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,185
NEW LENOX PCT 012,1416,5,0,3,8,12,4,4,20,44,6,14,64,21,5,21,47,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,144
NEW LENOX PCT 013,1779,9,3,4,16,15,9,5,29,57,8,17,82,25,25,28,78,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,210
NEW LENOX PCT 014,2169,7,5,2,14,21,10,2,33,56,21,33,110,62,18,19,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,259
NEW LENOX PCT 015,1568,5,3,0,8,13,3,2,18,22,5,9,36,33,16,27,76,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,141
NEW LENOX PCT 016,1391,5,2,1,8,13,9,6,28,43,15,24,82,24,9,19,52,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,174
NEW LENOX PCT 017,1392,6,1,6,13,7,9,5,21,31,9,8,48,23,8,30,61,0,0,1,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
NEW LENOX PCT 018,1793,5,1,2,8,11,6,3,20,54,7,15,76,42,7,16,65,1,0,1,2,3,0,0,3,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,3,0,0,0,0,179
NEW LENOX PCT 019,2129,4,3,1,8,18,6,0,24,40,7,12,59,27,10,20,57,0,0,0,0,2,1,0,3,1,0,1,2,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,156
NEW LENOX PCT 020,2402,9,0,3,12,14,10,5,29,34,16,13,63,43,34,28,105,0,0,0,0,1,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,214
PEOTONE PCT 001,1516,3,0,1,4,16,1,3,20,28,2,5,35,23,0,15,38,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,99
PEOTONE PCT 002,1566,5,0,3,8,19,4,8,31,40,0,3,43,22,1,14,37,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,124
PLAINFIELD PCT 001,1748,2,0,0,2,20,2,1,23,66,10,20,96,35,10,32,77,0,0,0,0,3,1,1,5,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,4,0,0,0,0,210
PLAINFIELD PCT 002,1644,4,0,0,4,17,5,9,31,61,7,10,78,36,6,16,58,1,0,2,3,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,181
PLAINFIELD PCT 003,1608,7,0,2,9,10,2,3,15,46,6,10,62,30,13,19,62,0,0,0,0,4,1,0,5,1,0,0,1,0,1,0,1,0,0,1,1,3,0,1,4,0,0,0,0,160
PLAINFIELD PCT 004,1472,19,0,0,19,14,1,4,19,76,7,11,94,40,2,10,52,2,0,0,2,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,189
PLAINFIELD PCT 005,1506,11,0,1,12,11,3,3,17,61,7,9,77,31,1,11,43,0,0,0,0,2,0,1,3,1,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,156
PLAINFIELD PCT 006,970,9,1,1,11,16,0,3,19,52,2,9,63,24,2,5,31,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127
PLAINFIELD PCT 007,2015,11,2,1,14,19,3,2,24,78,16,18,112,39,5,12,56,2,1,1,4,3,0,0,3,2,0,0,2,0,1,0,1,2,5,1,8,2,0,0,2,0,0,0,0,226
PLAINFIELD PCT 008,1836,2,2,1,5,34,6,7,47,94,22,27,143,37,8,24,69,1,0,0,1,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,269
PLAINFIELD PCT 009,1960,3,0,2,5,14,5,1,20,61,16,14,91,36,8,22,66,0,0,1,1,2,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,2,1,0,0,1,190
PLAINFIELD PCT 010,1254,2,0,0,2,8,3,4,15,43,10,10,63,25,20,18,63,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,147
PLAINFIELD PCT 011,815,3,1,0,4,10,4,0,14,31,4,4,39,23,6,7,36,1,0,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,98
PLAINFIELD PCT 012,1733,6,0,0,6,16,4,4,24,59,8,26,93,59,3,14,76,0,1,0,1,3,0,0,3,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,206
PLAINFIELD PCT 013,2869,9,0,4,13,30,8,6,44,108,41,27,176,48,19,35,102,0,1,1,2,3,0,0,3,1,0,0,1,2,0,0,2,0,2,0,2,1,0,0,1,0,0,0,0,346
PLAINFIELD PCT 014,1993,13,2,3,18,29,5,2,36,77,25,24,126,37,14,15,66,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,249
PLAINFIELD PCT 015,2035,6,1,2,9,23,4,11,38,63,16,24,103,38,20,41,99,0,1,3,4,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,261
PLAINFIELD PCT 016,1737,14,0,5,19,27,7,7,41,48,16,17,81,41,13,30,84,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,229
PLAINFIELD PCT 017,1778,6,1,3,10,18,1,3,22,66,8,17,91,34,6,22,62,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,188
PLAINFIELD PCT 018,1318,4,2,1,7,12,2,1,15,69,7,7,83,26,7,11,44,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,155
PLAINFIELD PCT 019,1876,11,1,3,15,21,6,3,30,93,5,9,107,36,5,4,45,0,0,0,0,3,0,0,3,2,1,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,209
PLAINFIELD PCT 020,1825,6,0,0,6,9,3,2,14,59,8,20,87,20,9,25,54,1,0,0,1,0,0,2,2,0,2,0,2,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,169
PLAINFIELD PCT 021,1266,11,1,2,14,8,3,4,15,40,10,10,60,21,14,26,61,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
PLAINFIELD PCT 022,1097,0,0,0,0,6,1,1,8,25,3,11,39,14,5,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,80
PLAINFIELD PCT 023,1126,3,0,1,4,18,1,0,19,38,10,8,56,23,4,16,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,125
PLAINFIELD PCT 024,1221,2,1,4,7,13,5,4,22,41,13,6,60,24,11,37,72,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,166
PLAINFIELD PCT 025,1831,7,0,4,11,12,2,10,24,72,10,20,102,33,3,11,47,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,186
PLAINFIELD PCT 026,2299,11,0,0,11,25,0,2,27,100,11,18,129,33,5,20,58,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,5,1,0,0,1,1,0,0,1,0,0,0,0,233
