FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,DON TRACY,,,,R. CARY CAPPARELLI,,,,PAMELA DENISE LONG,,,,"JIMMY LEE TILLMAN, II",,,,JEANNIE EVANS,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
NEW LENOX PCT 007,1700,2,16,5,23,12,21,9,42,17,7,6,30,6,6,2,14,3,1,3,7,24,17,5,46,162
NEW LENOX PCT 008,1357,12,2,7,21,43,3,7,53,11,3,1,15,6,2,0,8,2,2,1,5,33,4,4,41,143
NEW LENOX PCT 009,955,10,1,0,11,22,4,1,27,9,3,0,12,6,2,4,12,7,0,0,7,20,3,0,23,92
NEW LENOX PCT 010,1638,12,4,2,18,37,22,5,64,16,5,3,24,7,1,2,10,1,2,1,4,52,22,6,80,200
NEW LENOX PCT 011,1856,13,0,2,15,55,7,5,67,19,3,0,22,9,3,0,12,5,2,0,7,35,16,3,54,177
NEW LENOX PCT 012,1416,11,2,2,15,43,7,4,54,15,5,2,22,5,2,1,8,3,2,0,5,27,4,3,34,138
NEW LENOX PCT 013,1779,16,2,2,20,37,7,1,45,19,3,2,24,6,2,1,9,10,2,0,12,33,6,9,48,158
NEW LENOX PCT 014,2169,26,2,0,28,58,12,4,74,17,4,2,23,14,1,0,15,4,1,2,7,31,10,6,47,194
NEW LENOX PCT 015,1568,20,1,4,25,46,9,6,61,18,6,0,24,5,3,1,9,3,2,1,6,26,6,3,35,160
NEW LENOX PCT 016,1391,10,3,2,15,35,9,6,50,17,2,0,19,3,3,2,8,4,1,0,5,25,9,6,40,137
NEW LENOX PCT 017,1392,12,7,3,22,44,10,9,63,16,4,0,20,3,1,0,4,4,5,0,9,39,9,4,52,170
NEW LENOX PCT 018,1793,8,1,3,12,38,7,0,45,12,5,1,18,5,0,2,7,7,1,0,8,24,6,0,30,120
NEW LENOX PCT 019,2129,11,3,2,16,56,23,10,89,15,3,4,22,13,5,1,19,7,2,1,10,26,6,2,34,190
NEW LENOX PCT 020,2402,9,3,2,14,72,19,10,101,17,7,1,25,11,0,2,13,5,1,0,6,40,3,10,53,212
PEOTONE PCT 001,1516,19,1,3,23,60,2,5,67,15,0,3,18,26,1,4,31,13,0,0,13,60,1,4,65,217
PEOTONE PCT 002,1566,22,0,4,26,68,1,11,80,16,0,1,17,8,0,5,13,7,0,0,7,48,0,5,53,196
PLAINFIELD PCT 001,1748,20,0,3,23,22,3,3,28,5,1,1,7,2,0,0,2,4,1,0,5,26,2,1,29,94
PLAINFIELD PCT 002,1644,13,3,0,16,17,6,5,28,8,0,2,10,5,2,0,7,6,2,0,8,18,3,0,21,90
PLAINFIELD PCT 003,1608,16,3,2,21,31,4,2,37,6,0,1,7,8,3,6,17,9,0,1,10,23,3,5,31,123
PLAINFIELD PCT 004,1472,7,0,1,8,10,1,0,11,5,1,1,7,4,0,0,4,1,1,0,2,14,1,0,15,47
PLAINFIELD PCT 005,1506,13,0,0,13,15,0,1,16,10,0,0,10,5,0,0,5,4,4,0,8,16,1,1,18,70
PLAINFIELD PCT 006,970,4,1,0,5,5,0,0,5,8,0,0,8,1,0,0,1,1,0,0,1,11,0,0,11,31
PLAINFIELD PCT 007,2015,9,0,4,13,14,1,4,19,2,2,0,4,1,0,2,3,0,0,2,2,14,2,3,19,60
PLAINFIELD PCT 008,1836,11,1,1,13,16,10,3,29,6,2,2,10,9,0,4,13,5,0,0,5,23,2,4,29,99
PLAINFIELD PCT 009,1960,16,3,2,21,33,12,5,50,10,5,1,16,4,3,1,8,5,2,0,7,22,5,1,28,130
PLAINFIELD PCT 010,1254,2,2,5,9,29,7,3,39,2,2,3,7,6,1,2,9,5,2,1,8,21,8,4,33,105
PLAINFIELD PCT 011,815,3,1,0,4,4,1,2,7,0,1,0,1,2,0,0,2,1,0,0,1,1,0,2,3,18
PLAINFIELD PCT 012,1733,10,1,0,11,20,3,2,25,6,0,1,7,7,0,0,7,5,0,0,5,9,0,0,9,64
PLAINFIELD PCT 013,2869,19,3,4,26,43,8,6,57,27,9,1,37,17,5,2,24,7,0,1,8,46,3,2,51,203
PLAINFIELD PCT 014,1993,10,0,3,13,19,6,5,30,11,4,2,17,6,2,1,9,5,0,0,5,26,3,5,34,108
PLAINFIELD PCT 015,2035,23,1,4,28,42,10,14,66,15,3,9,27,12,0,2,14,12,0,0,12,41,2,4,47,194
PLAINFIELD PCT 016,1737,13,0,3,16,38,8,4,50,16,4,2,22,3,4,0,7,2,1,1,4,19,6,3,28,127
PLAINFIELD PCT 017,1778,9,1,4,14,14,1,3,18,12,1,1,14,6,0,0,6,1,0,0,1,15,1,0,16,69
PLAINFIELD PCT 018,1318,3,2,0,5,8,2,3,13,9,2,1,12,4,1,1,6,3,1,0,4,4,1,1,6,46
PLAINFIELD PCT 019,1876,7,1,1,9,17,0,2,19,9,0,0,9,4,1,1,6,5,1,2,8,15,0,2,17,68
PLAINFIELD PCT 020,1825,7,3,3,13,27,5,6,38,12,4,3,19,7,1,2,10,3,1,1,5,11,6,4,21,106
PLAINFIELD PCT 021,1266,11,1,0,12,23,4,7,34,13,0,0,13,4,1,1,6,0,2,0,2,14,5,3,22,89
PLAINFIELD PCT 022,1097,5,0,1,6,12,6,6,24,3,1,2,6,2,3,1,6,3,1,1,5,15,3,5,23,70
PLAINFIELD PCT 023,1126,10,0,0,10,32,4,1,37,7,1,1,9,5,0,0,5,3,0,3,6,11,3,2,16,83
PLAINFIELD PCT 024,1221,10,0,1,11,34,2,1,37,11,0,5,16,9,0,2,11,7,0,1,8,26,2,3,31,114
PLAINFIELD PCT 025,1831,9,2,4,15,20,0,1,21,9,1,1,11,6,2,0,8,1,0,0,1,14,4,6,24,80
PLAINFIELD PCT 026,2299,14,1,0,15,7,3,2,12,7,0,3,10,5,0,2,7,0,0,1,1,15,2,0,17,62
PLAINFIELD PCT 027,1284,1,1,0,2,10,4,2,16,4,1,2,7,7,0,0,7,2,0,0,2,18,1,2,21,55
PLAINFIELD PCT 028,1559,14,0,0,14,19,0,1,20,10,1,0,11,7,0,3,10,4,0,1,5,22,1,0,23,83
PLAINFIELD PCT 029,1351,9,1,0,10,19,4,2,25,7,1,2,10,7,0,0,7,3,0,0,3,19,2,3,24,79
PLAINFIELD PCT 030,1342,13,0,0,13,29,3,4,36,7,2,3,12,4,2,1,7,7,1,1,9,16,1,3,20,97
PLAINFIELD PCT 031,1343,11,3,2,16,22,4,2,28,4,2,1,7,7,0,4,11,2,2,1,5,18,0,3,21,88
PLAINFIELD PCT 032,1338,5,1,1,7,14,2,0,16,4,1,0,5,5,0,1,6,3,0,1,4,11,2,0,13,51
PLAINFIELD PCT 033,1402,10,0,3,13,35,0,3,38,9,1,5,15,5,2,1,8,3,1,0,4,16,4,1,21,99
PLAINFIELD PCT 034,1498,17,0,0,17,20,0,0,20,16,1,3,20,9,0,0,9,4,0,1,5,15,0,4,19,90
PLAINFIELD PCT 035,1447,8,0,0,8,19,2,1,22,15,2,1,18,5,1,1,7,3,0,0,3,11,0,0,11,69
REED PCT 001,1554,10,4,0,14,24,2,1,27,17,2,1,20,11,0,3,14,12,0,0,12,27,3,2,32,119
REED PCT 002,1695,16,1,0,17,40,6,8,54,12,1,2,15,12,3,2,17,5,2,0,7,31,15,4,50,160
REED PCT 003,1571,7,2,0,9,29,3,0,32,9,2,0,11,14,2,0,16,8,0,0,8,29,1,3,33,109
TROY PCT 001,2909,12,3,0,15,16,1,4,21,18,5,1,24,4,2,0,6,0,0,2,2,9,0,2,11,79
TROY PCT 002,1823,5,0,2,7,16,4,2,22,5,2,0,7,2,1,3,6,3,0,1,4,10,3,0,13,59
TROY PCT 003,1286,7,0,1,8,18,3,3,24,10,2,5,17,10,3,0,13,6,0,0,6,27,1,0,28,96
TROY PCT 004,1241,10,2,5,17,26,0,1,27,23,2,0,25,6,0,0,6,5,3,1,9,20,3,4,27,111
TROY PCT 005,1104,8,2,0,10,15,4,2,21,6,2,2,10,3,0,3,6,2,0,1,3,18,3,0,21,71
TROY PCT 006,932,2,0,1,3,21,5,2,28,7,3,0,10,5,0,1,6,2,0,1,3,11,0,1,12,62
TROY PCT 007,2123,8,1,0,9,13,5,9,27,10,10,2,22,1,0,2,3,2,0,0,2,19,6,3,28,91
TROY PCT 008,2079,7,1,10,18,26,6,9,41,14,7,2,23,9,1,2,12,7,2,0,9,28,6,9,43,146
TROY PCT 009,1298,6,0,1,7,34,5,5,44,15,4,2,21,5,1,2,8,4,0,0,4,21,5,2,28,112
TROY PCT 010,1777,13,2,1,16,28,3,10,41,19,2,1,22,6,0,2,8,6,1,0,7,26,1,3,30,124
TROY PCT 011,1539,4,3,2,9,43,15,9,67,14,2,2,18,7,3,1,11,2,3,1,6,20,3,2,25,136
TROY PCT 012,877,2,1,2,5,15,4,2,21,2,5,0,7,9,0,0,9,1,0,0,1,13,2,0,15,58
TROY PCT 013,1823,12,3,2,17,45,8,22,75,23,11,3,37,8,2,4,14,5,0,0,5,23,16,1,40,188
TROY PCT 014,1990,12,1,2,15,40,6,10,56,5,2,3,10,10,1,4,15,2,2,1,5,26,5,2,33,134
TROY PCT 015,1322,10,1,1,12,24,8,3,35,8,2,1,11,9,3,0,12,4,0,0,4,35,12,0,47,121
TROY PCT 016,1914,4,10,1,15,20,10,1,31,8,7,4,19,5,2,2,9,4,1,0,5,10,3,2,15,94
TROY PCT 017,1669,8,3,0,11,40,10,7,57,8,4,1,13,5,6,4,15,2,2,1,5,19,8,6,33,134
TROY PCT 018,1567,3,3,3,9,28,3,2,33,10,4,2,16,3,0,2,5,8,2,0,10,13,3,5,21,94
TROY PCT 019,1868,3,1,1,5,10,7,1,18,4,1,1,6,2,1,2,5,1,1,0,2,8,4,2,14,50
TROY PCT 020,1676,10,1,5,16,22,11,1,34,11,0,1,12,6,2,2,10,7,2,1,10,24,7,1,32,114
TROY PCT 021,1769,12,2,1,15,25,4,7,36,14,4,4,22,11,1,1,13,9,1,3,13,35,7,2,44,143
TROY PCT 022,689,6,0,0,6,30,10,4,44,7,1,1,9,5,3,4,12,1,0,0,1,28,4,4,36,108
WASHINGTON PCT 001,1402,12,1,1,14,35,1,5,41,17,1,1,19,11,3,1,15,5,0,0,5,40,2,6,48,142
WASHINGTON PCT 002,1754,10,0,1,11,35,5,4,44,26,1,2,29,11,1,2,14,2,0,0,2,43,4,3,50,150
WASHINGTON PCT 003,1333,17,0,1,18,45,5,4,54,25,3,0,28,9,4,2,15,4,0,1,5,33,6,2,41,161
WESLEY PCT 001,1493,13,0,0,13,37,2,4,43,8,0,1,9,25,3,2,30,12,0,0,12,37,0,2,39,146
WHEATLAND PCT 001,1321,5,1,1,7,13,3,7,23,2,1,1,4,3,2,3,8,4,0,1,5,6,2,2,10,57
WHEATLAND PCT 002,2112,4,10,1,15,53,45,38,136,3,2,5,10,4,8,5,17,4,2,1,7,27,11,7,45,230
WHEATLAND PCT 003,1781,5,1,1,7,28,7,8,43,6,0,0,6,4,4,1,9,2,0,2,4,11,2,2,15,84
WHEATLAND PCT 004,2015,8,3,3,14,19,10,4,33,6,1,0,7,3,1,0,4,5,0,0,5,10,5,3,18,81
WHEATLAND PCT 005,1879,9,1,4,14,36,4,6,46,10,5,2,17,19,0,1,20,4,2,1,7,21,5,4,30,134
WHEATLAND PCT 006,1333,6,6,4,16,18,9,2,29,8,3,3,14,7,5,0,12,4,1,0,5,21,8,5,34,110
WHEATLAND PCT 007,1377,15,3,1,19,24,15,6,45,5,5,1,11,7,3,1,11,4,0,2,6,19,9,1,29,121
WHEATLAND PCT 008,1332,9,1,0,10,26,5,2,33,7,2,0,9,7,2,4,13,2,2,0,4,23,7,4,34,103
WHEATLAND PCT 009,1531,6,3,1,10,34,9,4,47,9,5,2,16,7,2,7,16,3,3,0,6,25,7,5,37,132
WHEATLAND PCT 010,1377,6,5,3,14,30,16,9,55,9,1,1,11,6,4,1,11,3,2,0,5,22,6,1,29,125
WHEATLAND PCT 011,1856,4,4,3,11,15,9,7,31,1,3,1,5,4,0,1,5,0,0,1,1,11,6,3,20,73
WHEATLAND PCT 012,1713,6,2,0,8,14,7,4,25,3,1,0,4,3,0,1,4,1,1,0,2,13,5,5,23,66
WHEATLAND PCT 013,1395,11,3,4,18,18,11,2,31,9,1,1,11,6,1,0,7,2,0,1,3,18,5,9,32,102
WHEATLAND PCT 014,1593,4,2,1,7,40,15,11,66,6,2,0,8,5,5,4,14,2,4,0,6,23,10,4,37,138
WHEATLAND PCT 015,1563,6,2,1,9,39,23,11,73,3,1,0,4,8,2,0,10,2,0,0,2,12,7,1,20,118
WHEATLAND PCT 016,1694,5,3,2,10,23,8,5,36,12,3,0,15,8,5,4,17,0,0,1,1,31,1,0,32,111
WHEATLAND PCT 017,1019,3,1,0,4,13,3,2,18,1,1,1,3,3,0,3,6,0,1,0,1,13,7,2,22,54
WHEATLAND PCT 018,1531,8,2,1,11,51,20,13,84,8,3,1,12,8,4,0,12,0,0,0,0,13,4,5,22,141
WHEATLAND PCT 019,1148,3,1,0,4,15,1,4,20,2,0,0,2,1,0,1,2,0,0,0,0,15,0,0,15,43
WHEATLAND PCT 020,1318,8,2,2,12,23,9,5,37,6,1,1,8,5,1,0,6,1,0,0,1,15,3,3,21,85
WHEATLAND PCT 021,1389,2,1,3,6,17,9,5,31,7,3,2,12,3,1,1,5,0,2,1,3,19,12,3,34,91
WHEATLAND PCT 022,2006,3,0,0,3,14,4,10,28,6,1,0,7,3,2,0,5,5,0,2,7,13,3,0,16,66
WHEATLAND PCT 023,1878,6,7,2,15,6,0,1,7,3,2,1,6,1,0,1,2,2,0,0,2,14,4,0,18,50
WHEATLAND PCT 024,2100,8,1,1,10,22,13,12,47,13,4,4,21,4,3,5,12,7,1,0,8,20,3,1,24,122
WHEATLAND PCT 025,1730,6,0,0,6,25,8,4,37,11,7,1,19,6,0,0,6,1,1,0,2,20,1,2,23,93
WHEATLAND PCT 026,2339,17,0,2,19,40,13,15,68,11,2,0,13,11,3,2,16,6,1,0,7,35,8,6,49,172
WHEATLAND PCT 027,1192,2,2,0,4,24,4,4,32,1,2,2,5,1,1,0,2,1,0,0,1,6,1,2,9,53
WHEATLAND PCT 028,2011,11,3,3,17,39,3,5,47,7,2,4,13,4,0,4,8,9,1,1,11,29,4,3,36,132
WHEATLAND PCT 029,1851,13,2,0,15,42,7,5,54,13,3,0,16,4,1,2,7,4,1,0,5,27,9,6,42,139
WHEATLAND PCT 030,1902,9,2,0,11,51,13,3,67,7,1,3,11,5,0,3,8,2,0,0,2,16,8,1,25,124
WHEATLAND PCT 031,1418,4,3,0,7,13,4,1,18,3,0,0,3,2,0,3,5,4,1,0,5,6,1,1,8,46
WHEATLAND PCT 032,1818,3,0,1,4,20,4,4,28,3,1,1,5,4,1,0,5,3,1,0,4,15,2,2,19,65
WHEATLAND PCT 033,1717,6,1,1,8,15,2,0,17,4,0,0,4,1,1,2,4,7,1,0,8,14,3,1,18,59
WHEATLAND PCT 034,1415,3,0,1,4,14,3,4,21,5,0,0,5,10,0,0,10,4,0,0,4,11,4,1,16,60
WHEATLAND PCT 035,1358,2,1,1,4,11,7,1,19,4,4,0,8,4,1,1,6,4,0,0,4,10,3,2,15,56
WHEATLAND PCT 036,1511,9,0,1,10,19,3,3,25,8,0,1,9,6,0,1,7,2,0,0,2,10,4,3,17,70
WHEATLAND PCT 037,1484,6,0,4,10,12,1,5,18,9,2,1,12,4,2,0,6,1,0,2,3,11,1,1,13,62
WHEATLAND PCT 038,1207,2,0,1,3,9,7,4,20,5,1,2,8,3,0,4,7,0,1,2,3,8,2,3,13,54
WILL PCT 001,1162,17,1,3,21,62,2,3,67,23,0,1,24,16,0,2,18,4,1,1,6,56,2,3,61,197
WILMINGTON PCT 001,1403,7,0,1,8,32,1,1,34,11,1,0,12,19,1,1,21,8,1,0,9,19,2,1,22,106
WILMINGTON PCT 002,1102,11,0,2,13,34,6,1,41,15,0,0,15,21,4,0,25,5,1,1,7,28,0,3,31,132
WILMINGTON PCT 003,1383,14,1,2,17,37,0,3,40,21,2,4,27,16,1,1,18,11,1,0,12,23,1,3,27,141
WILTON PCT 001,597,11,0,0,11,61,1,1,63,9,0,0,9,12,0,0,12,4,0,0,4,40,2,1,43,142
Total:,458788,2804,586,494,3884,7781,1837,1336,10954,2866,665,455,3986,1860,424,407,2691,1107,239,144,1490,5968,1219,754,7941,30946
