FOR GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,
,,DABROWSKI / MENDOZA,,,,MENDRICK / RENTERIA,,,,BAILEY / DEL MAR,,,,HEIDNER / NEITZKE-TROIKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
NEW LENOX PCT 020,2402,64,12,11,87,16,2,2,20,61,14,12,87,20,6,1,27,221
PEOTONE PCT 001,1516,64,3,2,69,17,0,4,21,104,4,13,121,23,0,2,25,236
PEOTONE PCT 002,1566,67,2,10,79,13,0,4,17,89,1,11,101,17,0,1,18,215
PLAINFIELD PCT 001,1748,39,3,0,42,12,0,6,18,21,1,2,24,7,3,0,10,94
PLAINFIELD PCT 002,1644,37,2,2,41,8,3,1,12,20,7,3,30,5,4,1,10,93
PLAINFIELD PCT 003,1608,40,5,2,47,15,1,3,19,35,5,12,52,5,2,0,7,125
PLAINFIELD PCT 004,1472,16,2,2,20,7,1,0,8,14,1,0,15,4,0,0,4,47
PLAINFIELD PCT 005,1506,23,3,0,26,13,2,0,15,20,0,1,21,9,0,1,10,72
PLAINFIELD PCT 006,970,13,0,0,13,4,0,0,4,11,1,0,12,4,0,0,4,33
PLAINFIELD PCT 007,2015,17,0,9,26,5,0,0,5,16,4,5,25,3,1,1,5,61
PLAINFIELD PCT 008,1836,21,0,3,24,18,2,4,24,24,10,6,40,9,4,1,14,102
PLAINFIELD PCT 009,1960,38,18,3,59,14,3,1,18,30,5,5,40,9,4,1,14,131
PLAINFIELD PCT 010,1254,32,5,8,45,9,1,2,12,19,16,6,41,8,1,1,10,108
PLAINFIELD PCT 011,815,3,1,3,7,1,0,1,2,7,1,0,8,1,1,0,2,19
PLAINFIELD PCT 012,1733,23,2,1,26,4,0,0,4,21,2,1,24,10,0,1,11,65
PLAINFIELD PCT 013,2869,63,10,6,79,17,6,2,25,58,12,6,76,26,1,2,29,209
PLAINFIELD PCT 014,1993,22,7,9,38,11,1,0,12,30,5,7,42,15,2,0,17,109
PLAINFIELD PCT 015,2035,42,3,7,52,31,4,4,39,61,10,16,87,10,2,7,19,197
PLAINFIELD PCT 016,1737,45,4,5,54,9,2,0,11,32,14,8,54,6,3,1,10,129
PLAINFIELD PCT 017,1778,15,2,3,20,11,0,1,12,28,3,5,36,3,0,0,3,71
PLAINFIELD PCT 018,1318,2,3,2,7,10,2,2,14,18,2,3,23,1,2,0,3,47
PLAINFIELD PCT 019,1876,27,1,3,31,5,1,4,10,22,1,0,23,4,0,1,5,69
PLAINFIELD PCT 020,1825,26,9,7,42,14,1,3,18,24,10,11,45,4,0,1,5,110
PLAINFIELD PCT 021,1266,33,3,4,40,5,4,1,10,21,5,5,31,6,1,1,8,89
PLAINFIELD PCT 022,1097,9,6,6,21,11,4,7,22,20,4,4,28,2,0,0,2,73
PLAINFIELD PCT 023,1126,21,3,0,24,8,0,1,9,33,5,4,42,7,0,2,9,84
PLAINFIELD PCT 024,1221,24,3,2,29,12,0,1,13,53,1,7,61,12,0,4,16,119
PLAINFIELD PCT 025,1831,17,0,5,22,9,3,4,16,29,2,3,34,5,4,0,9,81
PLAINFIELD PCT 026,2299,20,1,0,21,6,0,1,7,19,5,6,30,4,0,1,5,63
PLAINFIELD PCT 027,1284,12,1,3,16,9,3,0,12,18,3,3,24,3,0,0,3,55
PLAINFIELD PCT 028,1559,24,0,0,24,14,0,0,14,38,2,3,43,3,0,2,5,86
PLAINFIELD PCT 029,1351,21,2,3,26,11,0,3,14,29,3,1,33,5,3,2,10,83
PLAINFIELD PCT 030,1342,29,3,6,38,10,1,1,12,31,5,5,41,8,0,1,9,100
PLAINFIELD PCT 031,1343,20,0,5,25,10,3,0,13,30,8,7,45,4,0,1,5,88
PLAINFIELD PCT 032,1338,22,0,2,24,4,0,0,4,14,5,1,20,4,2,0,6,54
PLAINFIELD PCT 033,1402,27,1,1,29,12,3,2,17,31,5,9,45,10,1,0,11,102
PLAINFIELD PCT 034,1498,24,1,3,28,12,0,1,13,39,0,4,43,6,0,1,7,91
PLAINFIELD PCT 035,1447,20,1,3,24,7,1,0,8,33,3,0,36,3,0,0,3,71
REED PCT 001,1554,16,3,1,20,9,2,0,11,75,5,5,85,5,1,1,7,123
REED PCT 002,1695,30,7,1,38,14,1,3,18,72,21,12,105,4,1,0,5,166
REED PCT 003,1571,23,4,1,28,5,2,0,7,59,4,1,64,11,0,1,12,111
TROY PCT 001,2909,20,4,0,24,9,0,0,9,23,6,9,38,6,2,1,9,80
TROY PCT 002,1823,8,5,2,15,9,0,2,11,24,4,4,32,3,1,0,4,62
TROY PCT 003,1286,27,1,3,31,6,2,0,8,41,6,7,54,9,0,1,10,103
TROY PCT 004,1241,33,3,4,40,6,2,3,11,43,5,3,51,9,0,1,10,112
TROY PCT 005,1104,30,5,0,35,7,0,1,8,16,8,6,30,1,1,1,3,76
TROY PCT 006,932,12,4,3,19,3,1,0,4,33,1,3,37,3,2,0,5,65
