JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 38 PRECINCT 20,CITY OF CHICAGO:WARD 38 PRECINCT 20,38,20,83,199,282
CITY OF CHICAGO:WARD 38 PRECINCT 21,CITY OF CHICAGO:WARD 38 PRECINCT 21,38,21,132,225,357
CITY OF CHICAGO:WARD 38 PRECINCT 22,CITY OF CHICAGO:WARD 38 PRECINCT 22,38,22,64,142,206
CITY OF CHICAGO:WARD 38 PRECINCT 23,CITY OF CHICAGO:WARD 38 PRECINCT 23,38,23,129,231,360
CITY OF CHICAGO:WARD 38 PRECINCT 24,CITY OF CHICAGO:WARD 38 PRECINCT 24,38,24,114,199,313
CITY OF CHICAGO:WARD 38 PRECINCT 25,CITY OF CHICAGO:WARD 38 PRECINCT 25,38,25,177,265,442
CITY OF CHICAGO:WARD 39 PRECINCT 01,CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,94,178,272
CITY OF CHICAGO:WARD 39 PRECINCT 02,CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,60,99,159
CITY OF CHICAGO:WARD 39 PRECINCT 03,CITY OF CHICAGO:WARD 39 PRECINCT 03,39,3,71,140,211
CITY OF CHICAGO:WARD 39 PRECINCT 04,CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,82,143,225
CITY OF CHICAGO:WARD 39 PRECINCT 05,CITY OF CHICAGO:WARD 39 PRECINCT 05,39,5,78,128,206
CITY OF CHICAGO:WARD 39 PRECINCT 06,CITY OF CHICAGO:WARD 39 PRECINCT 06,39,6,57,105,162
CITY OF CHICAGO:WARD 39 PRECINCT 07,CITY OF CHICAGO:WARD 39 PRECINCT 07,39,7,67,105,172
CITY OF CHICAGO:WARD 39 PRECINCT 08,CITY OF CHICAGO:WARD 39 PRECINCT 08,39,8,66,88,154
CITY OF CHICAGO:WARD 39 PRECINCT 09,CITY OF CHICAGO:WARD 39 PRECINCT 09,39,9,58,67,125
CITY OF CHICAGO:WARD 39 PRECINCT 10,CITY OF CHICAGO:WARD 39 PRECINCT 10,39,10,70,130,200
CITY OF CHICAGO:WARD 39 PRECINCT 11,CITY OF CHICAGO:WARD 39 PRECINCT 11,39,11,52,97,149
CITY OF CHICAGO:WARD 39 PRECINCT 12,CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,105,116,221
CITY OF CHICAGO:WARD 39 PRECINCT 13,CITY OF CHICAGO:WARD 39 PRECINCT 13,39,13,152,223,375
CITY OF CHICAGO:WARD 39 PRECINCT 14,CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,113,218,331
CITY OF CHICAGO:WARD 39 PRECINCT 15,CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,95,199,294
CITY OF CHICAGO:WARD 39 PRECINCT 16,CITY OF CHICAGO:WARD 39 PRECINCT 16,39,16,63,120,183
CITY OF CHICAGO:WARD 39 PRECINCT 17,CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,138,224,362
CITY OF CHICAGO:WARD 39 PRECINCT 18,CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,63,90,153
CITY OF CHICAGO:WARD 39 PRECINCT 19,CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,154,220,374
CITY OF CHICAGO:WARD 39 PRECINCT 20,CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,74,108,182
CITY OF CHICAGO:WARD 39 PRECINCT 21,CITY OF CHICAGO:WARD 39 PRECINCT 21,39,21,109,197,306
CITY OF CHICAGO:WARD 39 PRECINCT 22,CITY OF CHICAGO:WARD 39 PRECINCT 22,39,22,63,84,147
CITY OF CHICAGO:WARD 39 PRECINCT 23,CITY OF CHICAGO:WARD 39 PRECINCT 23,39,23,11,27,38
CITY OF CHICAGO:WARD 39 PRECINCT 24,CITY OF CHICAGO:WARD 39 PRECINCT 24,39,24,95,141,236
CITY OF CHICAGO:WARD 39 PRECINCT 25,CITY OF CHICAGO:WARD 39 PRECINCT 25,39,25,84,114,198
CITY OF CHICAGO:WARD 39 PRECINCT 26,CITY OF CHICAGO:WARD 39 PRECINCT 26,39,26,62,88,150
CITY OF CHICAGO:WARD 39 PRECINCT 27,CITY OF CHICAGO:WARD 39 PRECINCT 27,39,27,74,94,168
CITY OF CHICAGO:WARD 39 PRECINCT 28,CITY OF CHICAGO:WARD 39 PRECINCT 28,39,28,51,157,208
CITY OF CHICAGO:WARD 39 PRECINCT 29,CITY OF CHICAGO:WARD 39 PRECINCT 29,39,29,37,103,140
CITY OF CHICAGO:WARD 39 PRECINCT 30,CITY OF CHICAGO:WARD 39 PRECINCT 30,39,30,39,63,102
CITY OF CHICAGO:WARD 39 PRECINCT 31,CITY OF CHICAGO:WARD 39 PRECINCT 31,39,31,67,94,161
CITY OF CHICAGO:WARD 39 PRECINCT 32,CITY OF CHICAGO:WARD 39 PRECINCT 32,39,32,131,264,395
CITY OF CHICAGO:WARD 39 PRECINCT 33,CITY OF CHICAGO:WARD 39 PRECINCT 33,39,33,55,99,154
CITY OF CHICAGO:WARD 39 PRECINCT 34,CITY OF CHICAGO:WARD 39 PRECINCT 34,39,34,51,100,151
CITY OF CHICAGO:WARD 39 PRECINCT 35,CITY OF CHICAGO:WARD 39 PRECINCT 35,39,35,113,218,331
CITY OF CHICAGO:WARD 40 PRECINCT 01,CITY OF CHICAGO:WARD 40 PRECINCT 01,40,1,130,185,315
CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,40,2,143,219,362
CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,144,199,343
CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,127,151,278
CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,40,5,87,132,219
CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,40,6,115,167,282
CITY OF CHICAGO:WARD 40 PRECINCT 07,CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,129,218,347
CITY OF CHICAGO:WARD 40 PRECINCT 08,CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,82,122,204
CITY OF CHICAGO:WARD 40 PRECINCT 09,CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,129,197,326
CITY OF CHICAGO:WARD 40 PRECINCT 10,CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,195,423,618
CITY OF CHICAGO:WARD 40 PRECINCT 11,CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,122,172,294
CITY OF CHICAGO:WARD 40 PRECINCT 12,CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,155,250,405
CITY OF CHICAGO:WARD 40 PRECINCT 13,CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,139,295,434
CITY OF CHICAGO:WARD 40 PRECINCT 14,CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,192,394,586
CITY OF CHICAGO:WARD 40 PRECINCT 15,CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,125,280,405
CITY OF CHICAGO:WARD 40 PRECINCT 16,CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,121,230,351
CITY OF CHICAGO:WARD 40 PRECINCT 17,CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,134,250,384
CITY OF CHICAGO:WARD 40 PRECINCT 18,CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,129,263,392
CITY OF CHICAGO:WARD 40 PRECINCT 19,CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,123,278,401
CITY OF CHICAGO:WARD 40 PRECINCT 20,CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,127,318,445
CITY OF CHICAGO:WARD 40 PRECINCT 21,CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,133,267,400
CITY OF CHICAGO:WARD 40 PRECINCT 22,CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,163,367,530
CITY OF CHICAGO:WARD 40 PRECINCT 23,CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,163,395,558
CITY OF CHICAGO:WARD 41 PRECINCT 01,CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,48,58,106
CITY OF CHICAGO:WARD 41 PRECINCT 02,CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,52,26,78
CITY OF CHICAGO:WARD 41 PRECINCT 03,CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,44,36,80
CITY OF CHICAGO:WARD 41 PRECINCT 04,CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,56,70,126
CITY OF CHICAGO:WARD 41 PRECINCT 05,CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,62,94,156
CITY OF CHICAGO:WARD 41 PRECINCT 06,CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,57,100,157
CITY OF CHICAGO:WARD 41 PRECINCT 07,CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,54,98,152
CITY OF CHICAGO:WARD 41 PRECINCT 08,CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,52,75,127
CITY OF CHICAGO:WARD 41 PRECINCT 09,CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,88,208,296
CITY OF CHICAGO:WARD 41 PRECINCT 10,CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,79,119,198
CITY OF CHICAGO:WARD 41 PRECINCT 11,CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,58,120,178
CITY OF CHICAGO:WARD 41 PRECINCT 12,CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,35,44,79
CITY OF CHICAGO:WARD 41 PRECINCT 13,CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,119,167,286
CITY OF CHICAGO:WARD 41 PRECINCT 14,CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,110,186,296
CITY OF CHICAGO:WARD 41 PRECINCT 15,CITY OF CHICAGO:WARD 41 PRECINCT 15,41,15,136,203,339
CITY OF CHICAGO:WARD 41 PRECINCT 16,CITY OF CHICAGO:WARD 41 PRECINCT 16,41,16,45,86,131
CITY OF CHICAGO:WARD 41 PRECINCT 17,CITY OF CHICAGO:WARD 41 PRECINCT 17,41,17,23,39,62
CITY OF CHICAGO:WARD 41 PRECINCT 18,CITY OF CHICAGO:WARD 41 PRECINCT 18,41,18,114,206,320
CITY OF CHICAGO:WARD 41 PRECINCT 19,CITY OF CHICAGO:WARD 41 PRECINCT 19,41,19,45,87,132
CITY OF CHICAGO:WARD 41 PRECINCT 20,CITY OF CHICAGO:WARD 41 PRECINCT 20,41,20,73,98,171
CITY OF CHICAGO:WARD 41 PRECINCT 21,CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,66,93,159
CITY OF CHICAGO:WARD 41 PRECINCT 22,CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,49,78,127
CITY OF CHICAGO:WARD 41 PRECINCT 23,CITY OF CHICAGO:WARD 41 PRECINCT 23,41,23,56,110,166
CITY OF CHICAGO:WARD 41 PRECINCT 24,CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,69,147,216
CITY OF CHICAGO:WARD 41 PRECINCT 25,CITY OF CHICAGO:WARD 41 PRECINCT 25,41,25,61,108,169
CITY OF CHICAGO:WARD 41 PRECINCT 26,CITY OF CHICAGO:WARD 41 PRECINCT 26,41,26,116,204,320
CITY OF CHICAGO:WARD 41 PRECINCT 27,CITY OF CHICAGO:WARD 41 PRECINCT 27,41,27,65,111,176
CITY OF CHICAGO:WARD 41 PRECINCT 28,CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,112,242,354
CITY OF CHICAGO:WARD 41 PRECINCT 29,CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,123,254,377
CITY OF CHICAGO:WARD 41 PRECINCT 30,CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,97,146,243
CITY OF CHICAGO:WARD 41 PRECINCT 31,CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,93,139,232
CITY OF CHICAGO:WARD 42 PRECINCT 09,CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,26,34,60
CITY OF CHICAGO:WARD 42 PRECINCT 11,CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,6,21,27
CITY OF CHICAGO:WARD 42 PRECINCT 14,CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,32,70,102
CITY OF CHICAGO:WARD 42 PRECINCT 15,CITY OF CHICAGO:WARD 42 PRECINCT 15,42,15,23,36,59
CITY OF CHICAGO:WARD 42 PRECINCT 16,CITY OF CHICAGO:WARD 42 PRECINCT 16,42,16,6,29,35
CITY OF CHICAGO:WARD 42 PRECINCT 17,CITY OF CHICAGO:WARD 42 PRECINCT 17,42,17,116,162,278
CITY OF CHICAGO:WARD 42 PRECINCT 18,CITY OF CHICAGO:WARD 42 PRECINCT 18,42,18,53,84,137
CITY OF CHICAGO:WARD 42 PRECINCT 19,CITY OF CHICAGO:WARD 42 PRECINCT 19,42,19,116,188,304
CITY OF CHICAGO:WARD 42 PRECINCT 20,CITY OF CHICAGO:WARD 42 PRECINCT 20,42,20,100,174,274
CITY OF CHICAGO:WARD 42 PRECINCT 21,CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,110,155,265
CITY OF CHICAGO:WARD 42 PRECINCT 22,CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,114,190,304
CITY OF CHICAGO:WARD 42 PRECINCT 23,CITY OF CHICAGO:WARD 42 PRECINCT 23,42,23,106,156,262
CITY OF CHICAGO:WARD 42 PRECINCT 24,CITY OF CHICAGO:WARD 42 PRECINCT 24,42,24,167,198,365
CITY OF CHICAGO:WARD 43 PRECINCT 01,CITY OF CHICAGO:WARD 43 PRECINCT 01,43,1,143,248,391
CITY OF CHICAGO:WARD 43 PRECINCT 02,CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,126,236,362
CITY OF CHICAGO:WARD 43 PRECINCT 03,CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,46,93,139
CITY OF CHICAGO:WARD 43 PRECINCT 04,CITY OF CHICAGO:WARD 43 PRECINCT 04,43,4,117,173,290
CITY OF CHICAGO:WARD 43 PRECINCT 05,CITY OF CHICAGO:WARD 43 PRECINCT 05,43,5,152,262,414
CITY OF CHICAGO:WARD 43 PRECINCT 06,CITY OF CHICAGO:WARD 43 PRECINCT 06,43,6,206,302,508
CITY OF CHICAGO:WARD 43 PRECINCT 07,CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,171,258,429
CITY OF CHICAGO:WARD 43 PRECINCT 08,CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,129,206,335
CITY OF CHICAGO:WARD 43 PRECINCT 09,CITY OF CHICAGO:WARD 43 PRECINCT 09,43,9,164,295,459
CITY OF CHICAGO:WARD 43 PRECINCT 10,CITY OF CHICAGO:WARD 43 PRECINCT 10,43,10,130,187,317
CITY OF CHICAGO:WARD 43 PRECINCT 11,CITY OF CHICAGO:WARD 43 PRECINCT 11,43,11,69,132,201
CITY OF CHICAGO:WARD 43 PRECINCT 12,CITY OF CHICAGO:WARD 43 PRECINCT 12,43,12,117,234,351
CITY OF CHICAGO:WARD 43 PRECINCT 13,CITY OF CHICAGO:WARD 43 PRECINCT 13,43,13,104,204,308
CITY OF CHICAGO:WARD 43 PRECINCT 14,CITY OF CHICAGO:WARD 43 PRECINCT 14,43,14,64,116,180
CITY OF CHICAGO:WARD 43 PRECINCT 15,CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,173,275,448
CITY OF CHICAGO:WARD 43 PRECINCT 16,CITY OF CHICAGO:WARD 43 PRECINCT 16,43,16,63,108,171
CITY OF CHICAGO:WARD 43 PRECINCT 17,CITY OF CHICAGO:WARD 43 PRECINCT 17,43,17,124,194,318
CITY OF CHICAGO:WARD 43 PRECINCT 18,CITY OF CHICAGO:WARD 43 PRECINCT 18,43,18,166,304,470
CITY OF CHICAGO:WARD 43 PRECINCT 19,CITY OF CHICAGO:WARD 43 PRECINCT 19,43,19,130,212,342
CITY OF CHICAGO:WARD 43 PRECINCT 20,CITY OF CHICAGO:WARD 43 PRECINCT 20,43,20,116,191,307
CITY OF CHICAGO:WARD 43 PRECINCT 21,CITY OF CHICAGO:WARD 43 PRECINCT 21,43,21,55,108,163
CITY OF CHICAGO:WARD 43 PRECINCT 22,CITY OF CHICAGO:WARD 43 PRECINCT 22,43,22,135,245,380
CITY OF CHICAGO:WARD 43 PRECINCT 23,CITY OF CHICAGO:WARD 43 PRECINCT 23,43,23,103,180,283
CITY OF CHICAGO:WARD 44 PRECINCT 01,CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,185,318,503
CITY OF CHICAGO:WARD 44 PRECINCT 02,CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,95,219,314
CITY OF CHICAGO:WARD 44 PRECINCT 03,CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,144,230,374
CITY OF CHICAGO:WARD 44 PRECINCT 04,CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,215,315,530
CITY OF CHICAGO:WARD 44 PRECINCT 05,CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,146,289,435
CITY OF CHICAGO:WARD 44 PRECINCT 06,CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,117,236,353
CITY OF CHICAGO:WARD 44 PRECINCT 07,CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,134,270,404
CITY OF CHICAGO:WARD 44 PRECINCT 08,CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,184,328,512
CITY OF CHICAGO:WARD 44 PRECINCT 09,CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,149,323,472
CITY OF CHICAGO:WARD 44 PRECINCT 10,CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,146,311,457
CITY OF CHICAGO:WARD 44 PRECINCT 11,CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,114,241,355
CITY OF CHICAGO:WARD 44 PRECINCT 12,CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,207,383,590
CITY OF CHICAGO:WARD 44 PRECINCT 13,CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,167,331,498
CITY OF CHICAGO:WARD 44 PRECINCT 14,CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,134,301,435
CITY OF CHICAGO:WARD 44 PRECINCT 15,CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,160,338,498
CITY OF CHICAGO:WARD 44 PRECINCT 16,CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,157,329,486
CITY OF CHICAGO:WARD 44 PRECINCT 17,CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,180,380,560
CITY OF CHICAGO:WARD 44 PRECINCT 18,CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,99,236,335
CITY OF CHICAGO:WARD 44 PRECINCT 19,CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,150,298,448
CITY OF CHICAGO:WARD 44 PRECINCT 20,CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,99,214,313
CITY OF CHICAGO:WARD 44 PRECINCT 21,CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,177,350,527
CITY OF CHICAGO:WARD 45 PRECINCT 01,CITY OF CHICAGO:WARD 45 PRECINCT 01,45,1,130,242,372
CITY OF CHICAGO:WARD 45 PRECINCT 02,CITY OF CHICAGO:WARD 45 PRECINCT 02,45,2,74,149,223
CITY OF CHICAGO:WARD 45 PRECINCT 03,CITY OF CHICAGO:WARD 45 PRECINCT 03,45,3,36,57,93
CITY OF CHICAGO:WARD 45 PRECINCT 04,CITY OF CHICAGO:WARD 45 PRECINCT 04,45,4,62,108,170
CITY OF CHICAGO:WARD 45 PRECINCT 05,CITY OF CHICAGO:WARD 45 PRECINCT 05,45,5,86,155,241
CITY OF CHICAGO:WARD 45 PRECINCT 06,CITY OF CHICAGO:WARD 45 PRECINCT 06,45,6,77,187,264
CITY OF CHICAGO:WARD 45 PRECINCT 07,CITY OF CHICAGO:WARD 45 PRECINCT 07,45,7,124,159,283
CITY OF CHICAGO:WARD 45 PRECINCT 08,CITY OF CHICAGO:WARD 45 PRECINCT 08,45,8,69,130,199
CITY OF CHICAGO:WARD 45 PRECINCT 09,CITY OF CHICAGO:WARD 45 PRECINCT 09,45,9,88,162,250
CITY OF CHICAGO:WARD 45 PRECINCT 10,CITY OF CHICAGO:WARD 45 PRECINCT 10,45,10,96,139,235
CITY OF CHICAGO:WARD 45 PRECINCT 11,CITY OF CHICAGO:WARD 45 PRECINCT 11,45,11,78,151,229
CITY OF CHICAGO:WARD 45 PRECINCT 12,CITY OF CHICAGO:WARD 45 PRECINCT 12,45,12,77,121,198
CITY OF CHICAGO:WARD 45 PRECINCT 13,CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,125,204,329
CITY OF CHICAGO:WARD 45 PRECINCT 14,CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,63,117,180
CITY OF CHICAGO:WARD 45 PRECINCT 15,CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,109,147,256
CITY OF CHICAGO:WARD 45 PRECINCT 16,CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,96,134,230
CITY OF CHICAGO:WARD 45 PRECINCT 17,CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,100,192,292
CITY OF CHICAGO:WARD 45 PRECINCT 18,CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,105,159,264
CITY OF CHICAGO:WARD 45 PRECINCT 19,CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,79,117,196
CITY OF CHICAGO:WARD 45 PRECINCT 20,CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,82,174,256
CITY OF CHICAGO:WARD 45 PRECINCT 21,CITY OF CHICAGO:WARD 45 PRECINCT 21,45,21,88,123,211
CITY OF CHICAGO:WARD 45 PRECINCT 22,CITY OF CHICAGO:WARD 45 PRECINCT 22,45,22,100,165,265
CITY OF CHICAGO:WARD 45 PRECINCT 23,CITY OF CHICAGO:WARD 45 PRECINCT 23,45,23,104,190,294
CITY OF CHICAGO:WARD 45 PRECINCT 24,CITY OF CHICAGO:WARD 45 PRECINCT 24,45,24,88,183,271
CITY OF CHICAGO:WARD 45 PRECINCT 25,CITY OF CHICAGO:WARD 45 PRECINCT 25,45,25,121,206,327
CITY OF CHICAGO:WARD 45 PRECINCT 26,CITY OF CHICAGO:WARD 45 PRECINCT 26,45,26,101,159,260
CITY OF CHICAGO:WARD 45 PRECINCT 27,CITY OF CHICAGO:WARD 45 PRECINCT 27,45,27,148,233,381
CITY OF CHICAGO:WARD 45 PRECINCT 28,CITY OF CHICAGO:WARD 45 PRECINCT 28,45,28,126,220,346
CITY OF CHICAGO:WARD 45 PRECINCT 29,CITY OF CHICAGO:WARD 45 PRECINCT 29,45,29,113,245,358
CITY OF CHICAGO:WARD 46 PRECINCT 01,CITY OF CHICAGO:WARD 46 PRECINCT 01,46,1,117,219,336
CITY OF CHICAGO:WARD 46 PRECINCT 02,CITY OF CHICAGO:WARD 46 PRECINCT 02,46,2,116,265,381
CITY OF CHICAGO:WARD 46 PRECINCT 03,CITY OF CHICAGO:WARD 46 PRECINCT 03,46,3,137,269,406
CITY OF CHICAGO:WARD 46 PRECINCT 04,CITY OF CHICAGO:WARD 46 PRECINCT 04,46,4,188,307,495
CITY OF CHICAGO:WARD 46 PRECINCT 05,CITY OF CHICAGO:WARD 46 PRECINCT 05,46,5,169,219,388
CITY OF CHICAGO:WARD 46 PRECINCT 06,CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,244,420,664
CITY OF CHICAGO:WARD 46 PRECINCT 07,CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,133,230,363
CITY OF CHICAGO:WARD 46 PRECINCT 08,CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,161,284,445
CITY OF CHICAGO:WARD 46 PRECINCT 09,CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,190,280,470
CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,160,353,513
CITY OF CHICAGO:WARD 46 PRECINCT 11,CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,182,322,504
CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,216,413,629
CITY OF CHICAGO:WARD 46 PRECINCT 13,CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,216,363,579
CITY OF CHICAGO:WARD 46 PRECINCT 14,CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,105,183,288
CITY OF CHICAGO:WARD 46 PRECINCT 15,CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,243,413,656
CITY OF CHICAGO:WARD 46 PRECINCT 16,CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,192,284,476
CITY OF CHICAGO:WARD 46 PRECINCT 17,CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,210,359,569
CITY OF CHICAGO:WARD 46 PRECINCT 18,CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,219,301,520
CITY OF CHICAGO:WARD 46 PRECINCT 19,CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,185,297,482
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,151,212,363
CITY OF CHICAGO:WARD 46 PRECINCT 21,CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,117,189,306
CITY OF CHICAGO:WARD 46 PRECINCT 22,CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,148,201,349
CITY OF CHICAGO:WARD 46 PRECINCT 23,CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,108,197,305
CITY OF CHICAGO:WARD 47 PRECINCT 01,CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,128,270,398
CITY OF CHICAGO:WARD 47 PRECINCT 02,CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,136,262,398
CITY OF CHICAGO:WARD 47 PRECINCT 03,CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,135,284,419
CITY OF CHICAGO:WARD 47 PRECINCT 04,CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,172,349,521
CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,173,399,572
CITY OF CHICAGO:WARD 47 PRECINCT 06,CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,195,345,540
CITY OF CHICAGO:WARD 47 PRECINCT 07,CITY OF CHICAGO:WARD 47 PRECINCT 07,47,7,220,478,698
CITY OF CHICAGO:WARD 47 PRECINCT 08,CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,135,300,435
CITY OF CHICAGO:WARD 47 PRECINCT 09,CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,142,399,541
CITY OF CHICAGO:WARD 47 PRECINCT 10,CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,150,329,479
CITY OF CHICAGO:WARD 47 PRECINCT 11,CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,128,310,438
CITY OF CHICAGO:WARD 47 PRECINCT 12,CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,108,234,342
CITY OF CHICAGO:WARD 47 PRECINCT 13,CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,115,231,346
