JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 26 PRECINCT 11,CITY OF CHICAGO:WARD 26 PRECINCT 11,26,11,36,78,114
CITY OF CHICAGO:WARD 26 PRECINCT 17,CITY OF CHICAGO:WARD 26 PRECINCT 17,26,17,69,107,176
CITY OF CHICAGO:WARD 26 PRECINCT 19,CITY OF CHICAGO:WARD 26 PRECINCT 19,26,19,93,168,261
CITY OF CHICAGO:WARD 26 PRECINCT 20,CITY OF CHICAGO:WARD 26 PRECINCT 20,26,20,104,140,244
CITY OF CHICAGO:WARD 26 PRECINCT 25,CITY OF CHICAGO:WARD 26 PRECINCT 25,26,25,89,118,207
CITY OF CHICAGO:WARD 26 PRECINCT 26,CITY OF CHICAGO:WARD 26 PRECINCT 26,26,26,95,117,212
CITY OF CHICAGO:WARD 26 PRECINCT 28,CITY OF CHICAGO:WARD 26 PRECINCT 28,26,28,86,141,227
CITY OF CHICAGO:WARD 26 PRECINCT 30,CITY OF CHICAGO:WARD 26 PRECINCT 30,26,30,42,70,112
CITY OF CHICAGO:WARD 26 PRECINCT 32,CITY OF CHICAGO:WARD 26 PRECINCT 32,26,32,66,110,176
CITY OF CHICAGO:WARD 27 PRECINCT 01,CITY OF CHICAGO:WARD 27 PRECINCT 01,27,1,73,146,219
CITY OF CHICAGO:WARD 27 PRECINCT 06,CITY OF CHICAGO:WARD 27 PRECINCT 06,27,6,142,184,326
CITY OF CHICAGO:WARD 27 PRECINCT 07,CITY OF CHICAGO:WARD 27 PRECINCT 07,27,7,166,218,384
CITY OF CHICAGO:WARD 27 PRECINCT 09,CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,160,145,305
CITY OF CHICAGO:WARD 27 PRECINCT 11,CITY OF CHICAGO:WARD 27 PRECINCT 11,27,11,67,128,195
CITY OF CHICAGO:WARD 27 PRECINCT 12,CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,120,85,205
CITY OF CHICAGO:WARD 27 PRECINCT 13,CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,153,99,252
CITY OF CHICAGO:WARD 27 PRECINCT 15,CITY OF CHICAGO:WARD 27 PRECINCT 15,27,15,110,97,207
