JoinField,Ward,Precinct,Total Voters,Toni Preckwinkle,Brendan Reilly
CITY OF CHICAGO:WARD 19 PRECINCT 31,19,31,556,342,214
CITY OF CHICAGO:WARD 19 PRECINCT 32,19,32,385,270,115
CITY OF CHICAGO:WARD 19 PRECINCT 33,19,33,132,35,97
CITY OF CHICAGO:WARD 19 PRECINCT 34,19,34,587,155,432
CITY OF CHICAGO:WARD 19 PRECINCT 35,19,35,405,198,207
CITY OF CHICAGO:WARD 19 PRECINCT 36,19,36,336,156,180
CITY OF CHICAGO:WARD 20 PRECINCT 01,20,1,140,92,48
CITY OF CHICAGO:WARD 20 PRECINCT 02,20,2,71,45,26
CITY OF CHICAGO:WARD 20 PRECINCT 03,20,3,87,67,20
CITY OF CHICAGO:WARD 20 PRECINCT 04,20,4,68,51,17
CITY OF CHICAGO:WARD 20 PRECINCT 05,20,5,156,124,32
CITY OF CHICAGO:WARD 20 PRECINCT 06,20,6,91,74,17
CITY OF CHICAGO:WARD 20 PRECINCT 07,20,7,131,102,29
CITY OF CHICAGO:WARD 20 PRECINCT 08,20,8,141,110,31
CITY OF CHICAGO:WARD 20 PRECINCT 09,20,9,283,232,51
CITY OF CHICAGO:WARD 20 PRECINCT 10,20,10,257,216,41
CITY OF CHICAGO:WARD 20 PRECINCT 11,20,11,212,159,53
CITY OF CHICAGO:WARD 20 PRECINCT 12,20,12,25,15,10
CITY OF CHICAGO:WARD 20 PRECINCT 13,20,13,473,416,57
CITY OF CHICAGO:WARD 20 PRECINCT 14,20,14,312,280,32
CITY OF CHICAGO:WARD 20 PRECINCT 15,20,15,226,181,45
CITY OF CHICAGO:WARD 20 PRECINCT 16,20,16,263,220,43
CITY OF CHICAGO:WARD 20 PRECINCT 17,20,17,298,248,50
CITY OF CHICAGO:WARD 20 PRECINCT 18,20,18,371,321,50
CITY OF CHICAGO:WARD 20 PRECINCT 19,20,19,222,179,43
CITY OF CHICAGO:WARD 20 PRECINCT 20,20,20,336,285,51
CITY OF CHICAGO:WARD 20 PRECINCT 21,20,21,389,328,61
CITY OF CHICAGO:WARD 20 PRECINCT 22,20,22,334,270,64
CITY OF CHICAGO:WARD 20 PRECINCT 23,20,23,125,95,30
CITY OF CHICAGO:WARD 21 PRECINCT 01,21,1,388,319,69
CITY OF CHICAGO:WARD 21 PRECINCT 02,21,2,136,113,23
CITY OF CHICAGO:WARD 21 PRECINCT 03,21,3,441,360,81
CITY OF CHICAGO:WARD 21 PRECINCT 04,21,4,349,286,63
CITY OF CHICAGO:WARD 21 PRECINCT 05,21,5,357,286,71
CITY OF CHICAGO:WARD 21 PRECINCT 06,21,6,293,239,54
CITY OF CHICAGO:WARD 21 PRECINCT 07,21,7,471,395,76
CITY OF CHICAGO:WARD 21 PRECINCT 08,21,8,411,333,78
CITY OF CHICAGO:WARD 21 PRECINCT 09,21,9,133,110,23
CITY OF CHICAGO:WARD 21 PRECINCT 10,21,10,424,334,90
CITY OF CHICAGO:WARD 21 PRECINCT 11,21,11,447,368,79
CITY OF CHICAGO:WARD 21 PRECINCT 12,21,12,148,120,28
CITY OF CHICAGO:WARD 21 PRECINCT 13,21,13,296,239,57
CITY OF CHICAGO:WARD 21 PRECINCT 14,21,14,523,426,97
CITY OF CHICAGO:WARD 21 PRECINCT 15,21,15,444,349,95
CITY OF CHICAGO:WARD 21 PRECINCT 16,21,16,425,351,74
CITY OF CHICAGO:WARD 21 PRECINCT 17,21,17,319,273,46
CITY OF CHICAGO:WARD 21 PRECINCT 18,21,18,428,365,63
CITY OF CHICAGO:WARD 21 PRECINCT 19,21,19,367,285,82
CITY OF CHICAGO:WARD 21 PRECINCT 20,21,20,303,242,61
CITY OF CHICAGO:WARD 21 PRECINCT 21,21,21,477,403,74
CITY OF CHICAGO:WARD 21 PRECINCT 22,21,22,557,455,102
CITY OF CHICAGO:WARD 21 PRECINCT 23,21,23,344,267,77
CITY OF CHICAGO:WARD 21 PRECINCT 24,21,24,327,263,64
CITY OF CHICAGO:WARD 21 PRECINCT 25,21,25,233,178,55
CITY OF CHICAGO:WARD 21 PRECINCT 26,21,26,302,241,61
CITY OF CHICAGO:WARD 21 PRECINCT 27,21,27,364,305,59
CITY OF CHICAGO:WARD 21 PRECINCT 28,21,28,398,314,84
CITY OF CHICAGO:WARD 21 PRECINCT 29,21,29,416,332,84
CITY OF CHICAGO:WARD 22 PRECINCT 01,22,1,122,102,20
CITY OF CHICAGO:WARD 22 PRECINCT 02,22,2,73,64,9
CITY OF CHICAGO:WARD 22 PRECINCT 03,22,3,158,114,44
CITY OF CHICAGO:WARD 22 PRECINCT 04,22,4,102,72,30
CITY OF CHICAGO:WARD 22 PRECINCT 05,22,5,229,172,57
CITY OF CHICAGO:WARD 22 PRECINCT 06,22,6,116,80,36
CITY OF CHICAGO:WARD 22 PRECINCT 07,22,7,140,100,40
CITY OF CHICAGO:WARD 22 PRECINCT 08,22,8,143,102,41
CITY OF CHICAGO:WARD 22 PRECINCT 09,22,9,175,128,47
CITY OF CHICAGO:WARD 22 PRECINCT 10,22,10,174,123,51
CITY OF CHICAGO:WARD 22 PRECINCT 11,22,11,216,147,69
CITY OF CHICAGO:WARD 22 PRECINCT 12,22,12,122,88,34
CITY OF CHICAGO:WARD 22 PRECINCT 13,22,13,176,127,49
CITY OF CHICAGO:WARD 22 PRECINCT 14,22,14,136,95,41
CITY OF CHICAGO:WARD 22 PRECINCT 15,22,15,87,62,25
CITY OF CHICAGO:WARD 22 PRECINCT 16,22,16,194,103,91
CITY OF CHICAGO:WARD 22 PRECINCT 17,22,17,77,62,15
CITY OF CHICAGO:WARD 22 PRECINCT 18,22,18,176,149,27
CITY OF CHICAGO:WARD 22 PRECINCT 19,22,19,243,153,90
CITY OF CHICAGO:WARD 23 PRECINCT 01,23,1,122,50,72
CITY OF CHICAGO:WARD 23 PRECINCT 02,23,2,208,91,117
CITY OF CHICAGO:WARD 23 PRECINCT 03,23,3,136,52,84
CITY OF CHICAGO:WARD 23 PRECINCT 04,23,4,87,37,50
CITY OF CHICAGO:WARD 23 PRECINCT 05,23,5,154,63,91
CITY OF CHICAGO:WARD 23 PRECINCT 06,23,6,97,48,49
CITY OF CHICAGO:WARD 23 PRECINCT 07,23,7,145,65,80
CITY OF CHICAGO:WARD 23 PRECINCT 08,23,8,131,53,78
CITY OF CHICAGO:WARD 23 PRECINCT 09,23,9,233,109,124
CITY OF CHICAGO:WARD 23 PRECINCT 10,23,10,234,116,118
CITY OF CHICAGO:WARD 23 PRECINCT 11,23,11,113,61,52
CITY OF CHICAGO:WARD 23 PRECINCT 12,23,12,141,78,63
CITY OF CHICAGO:WARD 23 PRECINCT 13,23,13,265,170,95
CITY OF CHICAGO:WARD 23 PRECINCT 14,23,14,176,109,67
CITY OF CHICAGO:WARD 23 PRECINCT 15,23,15,185,114,71
CITY OF CHICAGO:WARD 23 PRECINCT 16,23,16,111,72,39
CITY OF CHICAGO:WARD 23 PRECINCT 17,23,17,157,104,53
CITY OF CHICAGO:WARD 23 PRECINCT 18,23,18,138,87,51
CITY OF CHICAGO:WARD 23 PRECINCT 19,23,19,90,51,39
CITY OF CHICAGO:WARD 23 PRECINCT 20,23,20,111,78,33
CITY OF CHICAGO:WARD 23 PRECINCT 21,23,21,81,43,38
CITY OF CHICAGO:WARD 23 PRECINCT 22,23,22,103,67,36
CITY OF CHICAGO:WARD 23 PRECINCT 23,23,23,90,57,33
CITY OF CHICAGO:WARD 23 PRECINCT 24,23,24,76,51,25
CITY OF CHICAGO:WARD 23 PRECINCT 25,23,25,66,35,31
CITY OF CHICAGO:WARD 23 PRECINCT 26,23,26,62,41,21
CITY OF CHICAGO:WARD 23 PRECINCT 27,23,27,80,49,31
CITY OF CHICAGO:WARD 23 PRECINCT 28,23,28,111,79,32
CITY OF CHICAGO:WARD 23 PRECINCT 29,23,29,154,93,61
CITY OF CHICAGO:WARD 23 PRECINCT 30,23,30,112,61,51
CITY OF CHICAGO:WARD 23 PRECINCT 31,23,31,115,79,36
CITY OF CHICAGO:WARD 23 PRECINCT 32,23,32,88,49,39
CITY OF CHICAGO:WARD 23 PRECINCT 33,23,33,235,146,89
CITY OF CHICAGO:WARD 24 PRECINCT 01,24,1,163,128,35
CITY OF CHICAGO:WARD 24 PRECINCT 02,24,2,126,102,24
CITY OF CHICAGO:WARD 24 PRECINCT 03,24,3,235,185,50
CITY OF CHICAGO:WARD 24 PRECINCT 04,24,4,184,149,35
CITY OF CHICAGO:WARD 24 PRECINCT 05,24,5,423,344,79
CITY OF CHICAGO:WARD 24 PRECINCT 06,24,6,231,188,43
CITY OF CHICAGO:WARD 24 PRECINCT 07,24,7,115,91,24
CITY OF CHICAGO:WARD 24 PRECINCT 08,24,8,150,117,33
CITY OF CHICAGO:WARD 24 PRECINCT 09,24,9,245,192,53
CITY OF CHICAGO:WARD 24 PRECINCT 10,24,10,154,120,34
CITY OF CHICAGO:WARD 24 PRECINCT 11,24,11,243,198,45
CITY OF CHICAGO:WARD 24 PRECINCT 12,24,12,330,247,83
CITY OF CHICAGO:WARD 24 PRECINCT 13,24,13,241,185,56
CITY OF CHICAGO:WARD 24 PRECINCT 14,24,14,215,170,45
CITY OF CHICAGO:WARD 24 PRECINCT 15,24,15,153,120,33
CITY OF CHICAGO:WARD 24 PRECINCT 16,24,16,88,68,20
CITY OF CHICAGO:WARD 24 PRECINCT 17,24,17,168,125,43
CITY OF CHICAGO:WARD 24 PRECINCT 18,24,18,325,252,73
CITY OF CHICAGO:WARD 24 PRECINCT 19,24,19,431,228,203
CITY OF CHICAGO:WARD 24 PRECINCT 20,24,20,246,194,52
CITY OF CHICAGO:WARD 25 PRECINCT 01,25,1,177,119,58
CITY OF CHICAGO:WARD 25 PRECINCT 02,25,2,137,82,55
CITY OF CHICAGO:WARD 25 PRECINCT 03,25,3,220,162,58
CITY OF CHICAGO:WARD 25 PRECINCT 04,25,4,186,134,52
CITY OF CHICAGO:WARD 25 PRECINCT 05,25,5,356,280,76
CITY OF CHICAGO:WARD 25 PRECINCT 06,25,6,297,226,71
CITY OF CHICAGO:WARD 25 PRECINCT 07,25,7,305,249,56
CITY OF CHICAGO:WARD 25 PRECINCT 08,25,8,321,226,95
CITY OF CHICAGO:WARD 25 PRECINCT 09,25,9,355,279,76
CITY OF CHICAGO:WARD 25 PRECINCT 10,25,10,430,335,95
CITY OF CHICAGO:WARD 25 PRECINCT 11,25,11,270,228,42
CITY OF CHICAGO:WARD 25 PRECINCT 12,25,12,302,232,70
CITY OF CHICAGO:WARD 25 PRECINCT 13,25,13,395,300,95
CITY OF CHICAGO:WARD 25 PRECINCT 14,25,14,487,387,100
CITY OF CHICAGO:WARD 25 PRECINCT 15,25,15,268,191,77
CITY OF CHICAGO:WARD 25 PRECINCT 16,25,16,373,290,83
CITY OF CHICAGO:WARD 25 PRECINCT 17,25,17,171,139,32
CITY OF CHICAGO:WARD 26 PRECINCT 01,26,1,107,68,39
CITY OF CHICAGO:WARD 26 PRECINCT 02,26,2,175,137,38
CITY OF CHICAGO:WARD 26 PRECINCT 03,26,3,307,256,51
CITY OF CHICAGO:WARD 26 PRECINCT 04,26,4,128,96,32
CITY OF CHICAGO:WARD 26 PRECINCT 05,26,5,196,154,42
CITY OF CHICAGO:WARD 26 PRECINCT 06,26,6,128,101,27
CITY OF CHICAGO:WARD 26 PRECINCT 07,26,7,221,192,29
CITY OF CHICAGO:WARD 26 PRECINCT 08,26,8,156,113,43
CITY OF CHICAGO:WARD 26 PRECINCT 09,26,9,162,131,31
CITY OF CHICAGO:WARD 26 PRECINCT 10,26,10,178,150,28
CITY OF CHICAGO:WARD 26 PRECINCT 11,26,11,140,119,21
CITY OF CHICAGO:WARD 26 PRECINCT 12,26,12,80,60,20
CITY OF CHICAGO:WARD 26 PRECINCT 13,26,13,129,113,16
CITY OF CHICAGO:WARD 26 PRECINCT 14,26,14,101,71,30
CITY OF CHICAGO:WARD 26 PRECINCT 15,26,15,118,90,28
CITY OF CHICAGO:WARD 26 PRECINCT 16,26,16,289,245,44
CITY OF CHICAGO:WARD 26 PRECINCT 17,26,17,235,192,43
CITY OF CHICAGO:WARD 26 PRECINCT 18,26,18,90,59,31
CITY OF CHICAGO:WARD 26 PRECINCT 19,26,19,326,277,49
CITY OF CHICAGO:WARD 26 PRECINCT 20,26,20,320,270,50
CITY OF CHICAGO:WARD 26 PRECINCT 21,26,21,115,92,23
CITY OF CHICAGO:WARD 26 PRECINCT 22,26,22,117,89,28
CITY OF CHICAGO:WARD 26 PRECINCT 23,26,23,229,190,39
CITY OF CHICAGO:WARD 26 PRECINCT 24,26,24,94,81,13
CITY OF CHICAGO:WARD 26 PRECINCT 25,26,25,273,234,39
CITY OF CHICAGO:WARD 26 PRECINCT 26,26,26,283,252,31
CITY OF CHICAGO:WARD 26 PRECINCT 27,26,27,299,248,51
CITY OF CHICAGO:WARD 26 PRECINCT 28,26,28,292,242,50
CITY OF CHICAGO:WARD 26 PRECINCT 29,26,29,297,246,51
CITY OF CHICAGO:WARD 26 PRECINCT 30,26,30,148,116,32
CITY OF CHICAGO:WARD 26 PRECINCT 31,26,31,144,106,38
CITY OF CHICAGO:WARD 26 PRECINCT 32,26,32,225,177,48
CITY OF CHICAGO:WARD 27 PRECINCT 01,27,1,259,178,81
CITY OF CHICAGO:WARD 27 PRECINCT 02,27,2,311,203,108
CITY OF CHICAGO:WARD 27 PRECINCT 03,27,3,200,163,37
CITY OF CHICAGO:WARD 27 PRECINCT 04,27,4,271,210,61
CITY OF CHICAGO:WARD 27 PRECINCT 05,27,5,161,132,29
CITY OF CHICAGO:WARD 27 PRECINCT 06,27,6,370,238,132
CITY OF CHICAGO:WARD 27 PRECINCT 07,27,7,471,338,133
CITY OF CHICAGO:WARD 27 PRECINCT 08,27,8,118,100,18
CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,366,272,94
CITY OF CHICAGO:WARD 27 PRECINCT 10,27,10,235,194,41
CITY OF CHICAGO:WARD 27 PRECINCT 11,27,11,235,145,90
CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,230,163,67
CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,296,234,62
CITY OF CHICAGO:WARD 27 PRECINCT 14,27,14,202,162,40
CITY OF CHICAGO:WARD 27 PRECINCT 15,27,15,252,185,67
CITY OF CHICAGO:WARD 27 PRECINCT 16,27,16,347,249,98
CITY OF CHICAGO:WARD 27 PRECINCT 17,27,17,178,144,34
CITY OF CHICAGO:WARD 27 PRECINCT 18,27,18,373,293,80
CITY OF CHICAGO:WARD 27 PRECINCT 19,27,19,109,87,22
CITY OF CHICAGO:WARD 27 PRECINCT 20,27,20,173,132,41
CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,110,76,34
CITY OF CHICAGO:WARD 27 PRECINCT 22,27,22,199,154,45
CITY OF CHICAGO:WARD 27 PRECINCT 23,27,23,196,161,35
CITY OF CHICAGO:WARD 27 PRECINCT 24,27,24,107,85,22
CITY OF CHICAGO:WARD 27 PRECINCT 25,27,25,261,209,52
CITY OF CHICAGO:WARD 27 PRECINCT 26,27,26,273,226,47
CITY OF CHICAGO:WARD 27 PRECINCT 27,27,27,185,138,47
CITY OF CHICAGO:WARD 27 PRECINCT 28,27,28,147,105,42
CITY OF CHICAGO:WARD 27 PRECINCT 29,27,29,360,271,89
CITY OF CHICAGO:WARD 28 PRECINCT 01,28,1,142,115,27
CITY OF CHICAGO:WARD 28 PRECINCT 02,28,2,147,122,25
CITY OF CHICAGO:WARD 28 PRECINCT 03,28,3,43,33,10
CITY OF CHICAGO:WARD 28 PRECINCT 04,28,4,120,94,26
CITY OF CHICAGO:WARD 28 PRECINCT 05,28,5,171,127,44
CITY OF CHICAGO:WARD 28 PRECINCT 06,28,6,222,185,37
CITY OF CHICAGO:WARD 28 PRECINCT 07,28,7,131,110,21
CITY OF CHICAGO:WARD 28 PRECINCT 08,28,8,240,195,45
CITY OF CHICAGO:WARD 28 PRECINCT 09,28,9,123,95,28
CITY OF CHICAGO:WARD 28 PRECINCT 10,28,10,80,60,20
CITY OF CHICAGO:WARD 28 PRECINCT 11,28,11,319,247,72
CITY OF CHICAGO:WARD 28 PRECINCT 12,28,12,473,348,125
CITY OF CHICAGO:WARD 28 PRECINCT 13,28,13,288,197,91
CITY OF CHICAGO:WARD 28 PRECINCT 14,28,14,275,207,68
CITY OF CHICAGO:WARD 28 PRECINCT 15,28,15,136,102,34
CITY OF CHICAGO:WARD 28 PRECINCT 16,28,16,309,236,73
CITY OF CHICAGO:WARD 28 PRECINCT 17,28,17,175,139,36
CITY OF CHICAGO:WARD 28 PRECINCT 18,28,18,191,153,38
CITY OF CHICAGO:WARD 28 PRECINCT 19,28,19,174,133,41
CITY OF CHICAGO:WARD 28 PRECINCT 20,28,20,160,128,32
CITY OF CHICAGO:WARD 28 PRECINCT 21,28,21,155,120,35
CITY OF CHICAGO:WARD 28 PRECINCT 22,28,22,132,106,26
CITY OF CHICAGO:WARD 28 PRECINCT 23,28,23,204,166,38
CITY OF CHICAGO:WARD 28 PRECINCT 24,28,24,130,99,31
CITY OF CHICAGO:WARD 28 PRECINCT 25,28,25,350,275,75
CITY OF CHICAGO:WARD 28 PRECINCT 26,28,26,106,83,23
CITY OF CHICAGO:WARD 29 PRECINCT 01,29,1,258,116,142
CITY OF CHICAGO:WARD 29 PRECINCT 02,29,2,194,111,83
CITY OF CHICAGO:WARD 29 PRECINCT 03,29,3,167,101,66
CITY OF CHICAGO:WARD 29 PRECINCT 04,29,4,248,157,91
CITY OF CHICAGO:WARD 29 PRECINCT 05,29,5,241,165,76
CITY OF CHICAGO:WARD 29 PRECINCT 06,29,6,228,185,43
CITY OF CHICAGO:WARD 29 PRECINCT 07,29,7,425,295,130
CITY OF CHICAGO:WARD 29 PRECINCT 08,29,8,620,478,142
CITY OF CHICAGO:WARD 29 PRECINCT 09,29,9,256,200,56
CITY OF CHICAGO:WARD 29 PRECINCT 10,29,10,310,232,78
CITY OF CHICAGO:WARD 29 PRECINCT 11,29,11,256,209,47
CITY OF CHICAGO:WARD 29 PRECINCT 12,29,12,363,289,74
CITY OF CHICAGO:WARD 29 PRECINCT 13,29,13,351,289,62
CITY OF CHICAGO:WARD 29 PRECINCT 14,29,14,317,257,60
CITY OF CHICAGO:WARD 29 PRECINCT 15,29,15,280,231,49
CITY OF CHICAGO:WARD 29 PRECINCT 16,29,16,339,271,68
CITY OF CHICAGO:WARD 29 PRECINCT 17,29,17,261,220,41
CITY OF CHICAGO:WARD 29 PRECINCT 18,29,18,333,273,60
CITY OF CHICAGO:WARD 29 PRECINCT 19,29,19,372,293,79
CITY OF CHICAGO:WARD 29 PRECINCT 20,29,20,173,136,37
CITY OF CHICAGO:WARD 29 PRECINCT 21,29,21,281,203,78
CITY OF CHICAGO:WARD 29 PRECINCT 22,29,22,352,280,72
CITY OF CHICAGO:WARD 29 PRECINCT 23,29,23,342,274,68
CITY OF CHICAGO:WARD 29 PRECINCT 24,29,24,250,194,56
CITY OF CHICAGO:WARD 30 PRECINCT 01,30,1,231,133,98
CITY OF CHICAGO:WARD 30 PRECINCT 02,30,2,159,106,53
CITY OF CHICAGO:WARD 30 PRECINCT 03,30,3,346,252,94
CITY OF CHICAGO:WARD 30 PRECINCT 04,30,4,199,128,71
CITY OF CHICAGO:WARD 30 PRECINCT 05,30,5,188,105,83
CITY OF CHICAGO:WARD 30 PRECINCT 06,30,6,279,179,100
CITY OF CHICAGO:WARD 30 PRECINCT 07,30,7,153,106,47
CITY OF CHICAGO:WARD 30 PRECINCT 08,30,8,387,305,82
CITY OF CHICAGO:WARD 30 PRECINCT 09,30,9,228,157,71
CITY OF CHICAGO:WARD 30 PRECINCT 10,30,10,184,134,50
CITY OF CHICAGO:WARD 30 PRECINCT 11,30,11,169,101,68
CITY OF CHICAGO:WARD 30 PRECINCT 12,30,12,193,124,69
CITY OF CHICAGO:WARD 30 PRECINCT 13,30,13,195,115,80
CITY OF CHICAGO:WARD 30 PRECINCT 14,30,14,230,160,70
CITY OF CHICAGO:WARD 30 PRECINCT 15,30,15,446,341,105
CITY OF CHICAGO:WARD 30 PRECINCT 16,30,16,133,88,45
CITY OF CHICAGO:WARD 30 PRECINCT 17,30,17,255,178,77
CITY OF CHICAGO:WARD 30 PRECINCT 18,30,18,279,219,60
CITY OF CHICAGO:WARD 30 PRECINCT 19,30,19,166,122,44
CITY OF CHICAGO:WARD 30 PRECINCT 20,30,20,210,158,52
CITY OF CHICAGO:WARD 30 PRECINCT 21,30,21,259,167,92
CITY OF CHICAGO:WARD 30 PRECINCT 22,30,22,354,264,90
CITY OF CHICAGO:WARD 30 PRECINCT 23,30,23,351,238,113
CITY OF CHICAGO:WARD 30 PRECINCT 24,30,24,286,214,72
CITY OF CHICAGO:WARD 30 PRECINCT 25,30,25,170,119,51
CITY OF CHICAGO:WARD 30 PRECINCT 26,30,26,409,312,97
CITY OF CHICAGO:WARD 31 PRECINCT 01,31,1,190,143,47
CITY OF CHICAGO:WARD 31 PRECINCT 02,31,2,369,300,69
CITY OF CHICAGO:WARD 31 PRECINCT 03,31,3,117,77,40
CITY OF CHICAGO:WARD 31 PRECINCT 04,31,4,242,189,53
CITY OF CHICAGO:WARD 31 PRECINCT 05,31,5,175,131,44
CITY OF CHICAGO:WARD 31 PRECINCT 06,31,6,161,113,48
CITY OF CHICAGO:WARD 31 PRECINCT 07,31,7,163,125,38
CITY OF CHICAGO:WARD 31 PRECINCT 08,31,8,273,196,77
CITY OF CHICAGO:WARD 31 PRECINCT 09,31,9,140,103,37
CITY OF CHICAGO:WARD 31 PRECINCT 10,31,10,280,206,74
CITY OF CHICAGO:WARD 31 PRECINCT 11,31,11,219,163,56
CITY OF CHICAGO:WARD 31 PRECINCT 12,31,12,262,184,78
CITY OF CHICAGO:WARD 31 PRECINCT 13,31,13,165,114,51
CITY OF CHICAGO:WARD 31 PRECINCT 14,31,14,189,134,55
CITY OF CHICAGO:WARD 31 PRECINCT 15,31,15,85,61,24
CITY OF CHICAGO:WARD 31 PRECINCT 16,31,16,106,65,41
CITY OF CHICAGO:WARD 31 PRECINCT 17,31,17,157,115,42
CITY OF CHICAGO:WARD 31 PRECINCT 18,31,18,153,104,49
CITY OF CHICAGO:WARD 31 PRECINCT 19,31,19,170,97,73
CITY OF CHICAGO:WARD 31 PRECINCT 20,31,20,154,82,72
CITY OF CHICAGO:WARD 31 PRECINCT 21,31,21,159,110,49
CITY OF CHICAGO:WARD 31 PRECINCT 22,31,22,88,61,27
CITY OF CHICAGO:WARD 31 PRECINCT 23,31,23,86,59,27
CITY OF CHICAGO:WARD 32 PRECINCT 01,32,1,617,412,205
CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,529,330,199
CITY OF CHICAGO:WARD 32 PRECINCT 03,32,3,370,271,99
CITY OF CHICAGO:WARD 32 PRECINCT 04,32,4,348,232,116
CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,269,174,95
CITY OF CHICAGO:WARD 32 PRECINCT 06,32,6,168,112,56
CITY OF CHICAGO:WARD 32 PRECINCT 07,32,7,340,211,129
CITY OF CHICAGO:WARD 32 PRECINCT 08,32,8,307,202,105
CITY OF CHICAGO:WARD 32 PRECINCT 09,32,9,254,151,103
CITY OF CHICAGO:WARD 32 PRECINCT 10,32,10,491,325,166
CITY OF CHICAGO:WARD 32 PRECINCT 11,32,11,246,139,107
CITY OF CHICAGO:WARD 32 PRECINCT 12,32,12,180,89,91
CITY OF CHICAGO:WARD 32 PRECINCT 13,32,13,114,65,49
CITY OF CHICAGO:WARD 32 PRECINCT 14,32,14,461,277,184
CITY OF CHICAGO:WARD 32 PRECINCT 15,32,15,462,238,224
CITY OF CHICAGO:WARD 32 PRECINCT 16,32,16,189,106,83
CITY OF CHICAGO:WARD 32 PRECINCT 17,32,17,488,275,213
CITY OF CHICAGO:WARD 32 PRECINCT 18,32,18,222,160,62
CITY OF CHICAGO:WARD 32 PRECINCT 19,32,19,249,168,81
CITY OF CHICAGO:WARD 32 PRECINCT 20,32,20,408,240,168
CITY OF CHICAGO:WARD 32 PRECINCT 21,32,21,556,408,148
CITY OF CHICAGO:WARD 32 PRECINCT 22,32,22,410,320,90
CITY OF CHICAGO:WARD 32 PRECINCT 23,32,23,278,178,100
CITY OF CHICAGO:WARD 32 PRECINCT 24,32,24,129,72,57
CITY OF CHICAGO:WARD 32 PRECINCT 25,32,25,336,222,114
CITY OF CHICAGO:WARD 32 PRECINCT 26,32,26,423,252,171
CITY OF CHICAGO:WARD 32 PRECINCT 27,32,27,460,327,133
CITY OF CHICAGO:WARD 32 PRECINCT 28,32,28,134,81,53
CITY OF CHICAGO:WARD 32 PRECINCT 29,32,29,397,272,125
CITY OF CHICAGO:WARD 32 PRECINCT 30,32,30,448,324,124
CITY OF CHICAGO:WARD 33 PRECINCT 01,33,1,662,472,190
CITY OF CHICAGO:WARD 33 PRECINCT 02,33,2,672,520,152
CITY OF CHICAGO:WARD 33 PRECINCT 03,33,3,458,313,145
CITY OF CHICAGO:WARD 33 PRECINCT 04,33,4,597,453,144
CITY OF CHICAGO:WARD 33 PRECINCT 05,33,5,481,355,126
CITY OF CHICAGO:WARD 33 PRECINCT 06,33,6,540,431,109
CITY OF CHICAGO:WARD 33 PRECINCT 07,33,7,523,398,125
CITY OF CHICAGO:WARD 33 PRECINCT 08,33,8,361,274,87
CITY OF CHICAGO:WARD 33 PRECINCT 09,33,9,390,288,102
CITY OF CHICAGO:WARD 33 PRECINCT 10,33,10,367,308,59
CITY OF CHICAGO:WARD 33 PRECINCT 11,33,11,306,249,57
CITY OF CHICAGO:WARD 33 PRECINCT 12,33,12,466,380,86
CITY OF CHICAGO:WARD 33 PRECINCT 13,33,13,446,352,94
CITY OF CHICAGO:WARD 33 PRECINCT 14,33,14,606,492,114
CITY OF CHICAGO:WARD 33 PRECINCT 15,33,15,456,373,83
CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,588,448,140
CITY OF CHICAGO:WARD 33 PRECINCT 17,33,17,555,446,109
CITY OF CHICAGO:WARD 34 PRECINCT 01,34,1,282,211,71
CITY OF CHICAGO:WARD 34 PRECINCT 02,34,2,207,132,75
CITY OF CHICAGO:WARD 34 PRECINCT 03,34,3,368,269,99
CITY OF CHICAGO:WARD 34 PRECINCT 04,34,4,264,167,97
CITY OF CHICAGO:WARD 34 PRECINCT 05,34,5,396,281,115
CITY OF CHICAGO:WARD 34 PRECINCT 06,34,6,266,145,121
CITY OF CHICAGO:WARD 34 PRECINCT 07,34,7,131,68,63
CITY OF CHICAGO:WARD 34 PRECINCT 08,34,8,174,101,73
CITY OF CHICAGO:WARD 34 PRECINCT 09,34,9,324,189,135
CITY OF CHICAGO:WARD 34 PRECINCT 10,34,10,113,72,41
CITY OF CHICAGO:WARD 34 PRECINCT 11,34,11,296,195,101
CITY OF CHICAGO:WARD 34 PRECINCT 12,34,12,196,114,82
CITY OF CHICAGO:WARD 34 PRECINCT 13,34,13,313,177,136
CITY OF CHICAGO:WARD 34 PRECINCT 14,34,14,294,144,150
CITY OF CHICAGO:WARD 34 PRECINCT 15,34,15,268,187,81
CITY OF CHICAGO:WARD 34 PRECINCT 16,34,16,440,343,97
CITY OF CHICAGO:WARD 34 PRECINCT 17,34,17,392,312,80
CITY OF CHICAGO:WARD 34 PRECINCT 18,34,18,431,316,115
CITY OF CHICAGO:WARD 34 PRECINCT 19,34,19,380,237,143
CITY OF CHICAGO:WARD 34 PRECINCT 20,34,20,406,201,205
CITY OF CHICAGO:WARD 35 PRECINCT 01,35,1,134,99,35
CITY OF CHICAGO:WARD 35 PRECINCT 02,35,2,249,180,69
CITY OF CHICAGO:WARD 35 PRECINCT 03,35,3,234,173,61
