JoinField,JoinField_alt,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,288,60,348
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,298,96,394
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,278,61,339
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,418,227,645
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,274,111,385
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,261,98,359
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,513,195,708
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,407,153,560
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,430,179,609
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,452,184,636
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,477,206,683
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,12,0,12
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,310,97,407
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,390,189,579
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,310,77,387
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,221,50,271
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,155,40,195
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,328,76,404
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,335,82,417
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,247,53,300
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,692,125,817
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,488,99,587
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,547,101,648
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,259,61,320
COOK:7600001,COOK:Hanover Precinct 1,163,99,262
COOK:7600002,COOK:Hanover Precinct 2,110,57,167
COOK:7600003,COOK:Hanover Precinct 3,48,24,72
COOK:7600004,COOK:Hanover Precinct 4,97,57,154
COOK:7600005,COOK:Hanover Precinct 5,97,71,168
COOK:7600006,COOK:Hanover Precinct 6,70,46,116
COOK:7600007,COOK:Hanover Precinct 7,87,51,138
COOK:7600008,COOK:Hanover Precinct 8,96,56,152
COOK:7600009,COOK:Hanover Precinct 9,88,65,153
COOK:7600010,COOK:Hanover Precinct 10,56,39,95
COOK:7600011,COOK:Hanover Precinct 11,94,41,135
COOK:7600012,COOK:Hanover Precinct 12,63,24,87
COOK:7600013,COOK:Hanover Precinct 13,74,41,115
COOK:7600014,COOK:Hanover Precinct 14,153,74,227
COOK:7600015,COOK:Hanover Precinct 15,86,49,135
COOK:7600016,COOK:Hanover Precinct 16,122,65,187
COOK:7600017,COOK:Hanover Precinct 17,58,38,96
COOK:7600018,COOK:Hanover Precinct 18,76,42,118
COOK:7600019,COOK:Hanover Precinct 19,98,42,140
COOK:7600020,COOK:Hanover Precinct 20,139,59,198
COOK:7600021,COOK:Hanover Precinct 21,103,63,166
COOK:7600022,COOK:Hanover Precinct 22,93,49,142
COOK:7600023,COOK:Hanover Precinct 23,100,56,156
COOK:7600024,COOK:Hanover Precinct 24,81,42,123
COOK:7600025,COOK:Hanover Precinct 25,133,114,247
COOK:7600026,COOK:Hanover Precinct 26,85,70,155
COOK:7600027,COOK:Hanover Precinct 27,390,229,619
COOK:7600028,COOK:Hanover Precinct 28,154,96,250
COOK:7600029,COOK:Hanover Precinct 29,56,32,88
COOK:7600030,COOK:Hanover Precinct 30,95,38,133
COOK:7600031,COOK:Hanover Precinct 31,66,42,108
COOK:7600032,COOK:Hanover Precinct 32,85,37,122
COOK:7600033,COOK:Hanover Precinct 33,100,59,159
COOK:7600034,COOK:Hanover Precinct 34,114,60,174
COOK:7600035,COOK:Hanover Precinct 35,98,50,148
COOK:7600036,COOK:Hanover Precinct 36,84,39,123
COOK:7600037,COOK:Hanover Precinct 37,146,91,237
COOK:7600038,COOK:Hanover Precinct 38,100,69,169
COOK:7600039,COOK:Hanover Precinct 39,122,54,176
COOK:7600040,COOK:Hanover Precinct 40,120,73,193
COOK:7600041,COOK:Hanover Precinct 41,169,105,274
COOK:7600042,COOK:Hanover Precinct 42,98,80,178
