JoinField,NEIL KHOT,YASMEEN BANKOLE,KEVIN B. MORRISON,DAN TULLY,RYAN VETTICAD,MELISSA L. BEAN,JUNAID AHMED,SANJYOT DUNUNG,Total Voters
DUPAGE:WAYNE 004,7,19,9,19,0,69,37,1,161
DUPAGE:WAYNE 005,7,28,3,17,0,17,26,3,101
DUPAGE:WAYNE 006,8,17,3,15,2,50,51,2,148
DUPAGE:WAYNE 008,10,21,2,17,1,46,56,2,155
DUPAGE:WAYNE 009,23,21,8,23,0,48,37,2,162
DUPAGE:WAYNE 010,13,28,14,30,1,47,41,9,183
DUPAGE:WAYNE 011,16,34,10,16,2,38,59,4,179
DUPAGE:WAYNE 015,19,16,11,14,1,53,48,8,170
DUPAGE:WAYNE 016,7,9,11,14,2,43,44,0,130
DUPAGE:WAYNE 017,19,49,12,14,1,55,43,8,201
DUPAGE:WAYNE 018,5,16,3,9,0,17,25,3,78
DUPAGE:WAYNE 022,9,11,6,12,0,38,42,6,124
DUPAGE:WAYNE 023,5,27,7,13,0,53,33,5,143
DUPAGE:WAYNE 024,17,22,3,9,1,27,44,6,129
DUPAGE:WAYNE 025,15,18,10,6,2,32,55,8,146
DUPAGE:WAYNE 027,10,19,13,35,0,59,43,4,183
DUPAGE:WAYNE 028,20,17,14,17,1,55,43,5,172
DUPAGE:WAYNE 029,8,19,13,23,6,42,39,6,156
DUPAGE:WAYNE 030,18,21,12,35,1,66,53,7,213
DUPAGE:WAYNE 031,12,14,7,37,2,54,52,3,181
DUPAGE:WAYNE 032,15,23,4,22,3,37,36,5,145
DUPAGE:WAYNE 034,10,12,16,23,1,40,38,3,143
DUPAGE:WAYNE 035,7,6,5,12,1,41,27,2,101
DUPAGE:WAYNE 036,7,18,11,66,2,65,60,0,229
DUPAGE:WAYNE 037,13,12,5,21,0,39,41,5,136
DUPAGE:WAYNE 042,10,12,8,18,2,47,34,2,133
DUPAGE:FEDERAL - F08,0,1,1,0,0,4,0,0,6
DUPAGE:TOTAL:,983,1818,892,2395,155,4880,4499,370,15992
