JoinField,JoinField_alt,Neil Khot,Yasmeen Bankole,Kevin B. Morrison,Dan Tully,Ryan Vetticad,Melissa L. Bean,Junaid Ahmed,Sanjyot Dunung,Total Voters
COOK:9300043,COOK:Schaumburg Precinct 43,10,23,15,15,2,43,92,1,201
COOK:9300044,COOK:Schaumburg Precinct 44,25,27,16,21,1,43,97,0,230
COOK:9300045,COOK:Schaumburg Precinct 45,7,9,38,11,1,50,34,6,156
COOK:9300046,COOK:Schaumburg Precinct 46,13,4,14,13,0,51,37,1,133
COOK:9300047,COOK:Schaumburg Precinct 47,12,18,21,26,0,65,31,4,177
COOK:9300048,COOK:Schaumburg Precinct 48,8,12,10,13,2,42,49,3,139
COOK:9300049,COOK:Schaumburg Precinct 49,12,5,10,9,2,30,44,3,115
COOK:9300050,COOK:Schaumburg Precinct 50,4,12,22,6,2,54,27,8,135
COOK:9300051,COOK:Schaumburg Precinct 51,9,44,14,7,1,45,44,3,167
COOK:9300052,COOK:Schaumburg Precinct 52,21,8,88,12,3,58,42,5,237
COOK:9300053,COOK:Schaumburg Precinct 53,20,13,33,21,1,64,38,5,195
COOK:9300054,COOK:Schaumburg Precinct 54,27,9,25,13,2,36,39,8,159
COOK:9300055,COOK:Schaumburg Precinct 55,22,23,13,44,6,110,95,3,316
COOK:9300056,COOK:Schaumburg Precinct 56,19,12,51,12,5,61,39,10,209
COOK:9300057,COOK:Schaumburg Precinct 57,9,17,58,12,2,56,28,2,184
COOK:9300058,COOK:Schaumburg Precinct 58,4,10,7,10,0,36,38,2,107
COOK:9300059,COOK:Schaumburg Precinct 59,15,27,28,25,1,72,51,10,229
COOK:9300060,COOK:Schaumburg Precinct 60,16,11,25,16,1,55,78,6,208
COOK:9300061,COOK:Schaumburg Precinct 61,24,27,27,21,4,94,73,9,279
COOK:9300062,COOK:Schaumburg Precinct 62,18,15,24,15,4,68,78,4,226
COOK:9300063,COOK:Schaumburg Precinct 63,27,18,20,27,1,79,74,17,263
COOK:9300064,COOK:Schaumburg Precinct 64,13,10,23,14,0,57,34,6,157
COOK:9300065,COOK:Schaumburg Precinct 65,11,12,24,19,0,79,30,4,179
COOK:9300066,COOK:Schaumburg Precinct 66,20,18,21,49,1,76,71,12,268
COOK:9300067,COOK:Schaumburg Precinct 67,15,22,26,24,6,87,85,3,268
COOK:9300068,COOK:Schaumburg Precinct 68,17,12,20,17,5,60,47,7,185
COOK:9300069,COOK:Schaumburg Precinct 69,11,9,35,7,1,52,12,6,133
,COOK:Suburban Cook County,2720,2775,4211,3356,425,10950,9251,976,34664
