UNIQUE_ID,JurisName,COUNTYFP,CountyName,PrecinctName,Registration,NAME20,ContestName,Paul Schimpf,Richard C. Irvin,Jesse Sullivan,Darren Bailey,Max Solomon,Gary Rabine,Write-In,Keisha S. Smith
COOK-:-7800033,COOK,31,COOK,7800033,1142,COOK:7800033,GOVERNOR AND LIEUTENANT GOVERNOR,1,14,8,39,1,2,0,0
COOK-:-7800034,COOK,31,COOK,7800034,1029,COOK:7800034,GOVERNOR AND LIEUTENANT GOVERNOR,0,8,7,26,2,5,0,0
COOK-:-7800035,COOK,31,COOK,7800035,522,COOK:7800035,GOVERNOR AND LIEUTENANT GOVERNOR,0,3,3,21,0,1,0,0
COOK-:-7800036,COOK,31,COOK,7800036,1157,COOK:7800036,GOVERNOR AND LIEUTENANT GOVERNOR,2,10,14,24,0,3,0,0
COOK-:-7800037,COOK,31,COOK,7800037,934,COOK:7800037,GOVERNOR AND LIEUTENANT GOVERNOR,3,6,8,18,1,6,0,0
COOK-:-7800038,COOK,31,COOK,7800038,479,COOK:7800038,GOVERNOR AND LIEUTENANT GOVERNOR,1,34,5,14,0,2,0,0
COOK-:-7800039,COOK,31,COOK,7800039,806,COOK:7800039,GOVERNOR AND LIEUTENANT GOVERNOR,0,11,6,27,0,8,0,0
COOK-:-7800040,COOK,31,COOK,7800040,1101,COOK:7800040,GOVERNOR AND LIEUTENANT GOVERNOR,3,11,8,32,2,8,0,0
COOK-:-7800041,COOK,31,COOK,7800041,613,COOK:7800041,GOVERNOR AND LIEUTENANT GOVERNOR,1,2,7,23,0,2,0,0
COOK-:-7800042,COOK,31,COOK,7800042,1200,COOK:7800042,GOVERNOR AND LIEUTENANT GOVERNOR,2,18,23,50,0,11,0,0
COOK-:-7800043,COOK,31,COOK,7800043,847,COOK:7800043,GOVERNOR AND LIEUTENANT GOVERNOR,3,8,8,37,0,1,0,0
COOK-:-7800044,COOK,31,COOK,7800044,1091,COOK:7800044,GOVERNOR AND LIEUTENANT GOVERNOR,1,12,7,47,0,4,0,0
COOK-:-7800045,COOK,31,COOK,7800045,1137,COOK:7800045,GOVERNOR AND LIEUTENANT GOVERNOR,1,12,12,38,0,7,0,0
COOK-:-7800046,COOK,31,COOK,7800046,1064,COOK:7800046,GOVERNOR AND LIEUTENANT GOVERNOR,1,6,12,29,1,8,0,0
COOK-:-7800047,COOK,31,COOK,7800047,1028,COOK:7800047,GOVERNOR AND LIEUTENANT GOVERNOR,1,24,10,32,0,7,0,0
COOK-:-7800048,COOK,31,COOK,7800048,1246,COOK:7800048,GOVERNOR AND LIEUTENANT GOVERNOR,3,17,15,29,1,3,0,0
COOK-:-7800049,COOK,31,COOK,7800049,1605,COOK:7800049,GOVERNOR AND LIEUTENANT GOVERNOR,1,22,20,45,0,5,0,0
COOK-:-7800050,COOK,31,COOK,7800050,1442,COOK:7800050,GOVERNOR AND LIEUTENANT GOVERNOR,3,19,13,35,1,7,0,0
