JoinField,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
LAKE:FREMONT 120,13,16,4,4,3,14,54
LAKE:FREMONT 121,6,11,3,6,0,15,41
LAKE:FREMONT 122,7,25,6,3,4,20,65
LAKE:FREMONT 123,7,5,8,5,2,10,37
LAKE:FREMONT 124,14,15,0,3,7,13,52
LAKE:FREMONT 125,3,22,2,6,1,12,46
LAKE:FREMONT 126,7,15,5,2,2,10,41
LAKE:FREMONT 127,8,9,6,3,0,11,37
LAKE:FREMONT 128,2,9,7,3,1,16,38
LAKE:FREMONT 129,3,20,7,7,0,17,54
LAKE:GRANT 130,7,24,9,9,3,13,65
LAKE:GRANT 131,4,19,12,5,6,15,61
LAKE:GRANT 132,8,21,13,6,2,17,67
LAKE:GRANT 133,14,19,5,5,1,23,67
LAKE:GRANT 134,5,28,12,7,4,19,75
LAKE:GRANT 135,9,14,13,8,6,14,64
LAKE:GRANT 136,18,30,14,11,3,24,100
LAKE:GRANT 137,12,18,7,5,5,14,61
LAKE:GRANT 138,7,16,4,6,5,14,52
LAKE:GRANT 139,14,16,8,7,5,18,68
LAKE:GRANT 140,3,16,7,2,6,17,51
LAKE:GRANT 141,2,17,6,3,3,4,35
LAKE:GRANT 142,9,5,3,0,4,4,25
LAKE:GRANT 143,1,7,6,4,1,17,36
LAKE:GRANT 144,4,19,11,5,2,18,59
LAKE:GRANT 145,8,23,4,8,0,14,57
LAKE:GRANT 146,1,13,6,5,0,9,34
LAKE:GRANT 147,6,16,0,5,3,13,43
LAKE:LAKE VILLA 148,11,29,8,7,2,13,70
LAKE:LAKE VILLA 149,12,23,12,5,1,21,74
LAKE:LAKE VILLA 150,8,28,16,6,3,21,82
LAKE:LAKE VILLA 151,7,20,10,4,4,15,60
LAKE:LAKE VILLA 152,10,34,12,5,5,16,82
LAKE:LAKE VILLA 153,11,15,9,3,0,18,56
LAKE:LAKE VILLA 154,12,18,2,7,2,10,51
LAKE:LAKE VILLA 155,5,17,2,6,3,13,46
LAKE:LAKE VILLA 156,8,20,10,8,5,12,63
LAKE:LAKE VILLA 157,6,20,5,2,0,13,46
LAKE:LAKE VILLA 158,3,6,6,4,1,12,32
LAKE:LAKE VILLA 159,10,24,5,6,2,11,58
LAKE:LAKE VILLA 160,8,15,5,4,2,17,51
LAKE:LAKE VILLA 161,4,16,8,7,2,24,61
LAKE:LAKE VILLA 162,6,26,4,1,3,13,53
LAKE:LAKE VILLA 163,10,21,8,4,1,10,54
LAKE:LAKE VILLA 164,7,3,1,2,5,6,24
LAKE:LAKE VILLA 165,4,9,6,0,2,17,38
LAKE:LAKE VILLA 166,2,6,3,3,2,12,28
LAKE:LAKE VILLA 167,5,10,2,1,2,4,24
LAKE:LAKE VILLA 168,6,12,4,4,2,8,36
LAKE:LAKE VILLA 169,6,27,11,3,1,17,65
LAKE:LAKE VILLA 170,7,18,11,5,4,10,55
LAKE:LAKE VILLA 171,6,12,7,4,2,12,43
LAKE:LAKE VILLA 172,7,21,3,3,7,11,52
LAKE:LAKE VILLA 173,10,15,4,7,5,7,48
LAKE:LIBERTYVILLE 174,2,11,1,1,0,10,25
LAKE:LIBERTYVILLE 175,4,24,7,2,2,10,49
LAKE:LIBERTYVILLE 176,6,14,7,2,1,17,47
LAKE:LIBERTYVILLE 177,8,7,2,7,1,3,28
LAKE:LIBERTYVILLE 178,5,15,2,1,1,8,32
LAKE:LIBERTYVILLE 179,0,5,3,1,2,3,14
LAKE:LIBERTYVILLE 180,2,19,4,2,2,14,43
LAKE:LIBERTYVILLE 181,4,13,1,4,4,9,35
LAKE:LIBERTYVILLE 182,3,9,1,3,2,5,23
LAKE:LIBERTYVILLE 183,4,6,5,1,0,7,23
LAKE:LIBERTYVILLE 184,2,29,6,2,1,17,57
LAKE:LIBERTYVILLE 185,2,10,2,7,0,8,29
LAKE:LIBERTYVILLE 186,7,16,3,4,0,11,41
LAKE:LIBERTYVILLE 187,4,33,6,8,4,26,81
LAKE:LIBERTYVILLE 188,2,19,1,2,2,19,45
LAKE:LIBERTYVILLE 189,1,21,5,3,3,30,63
LAKE:LIBERTYVILLE 190,7,20,6,4,3,17,57
LAKE:LIBERTYVILLE 191,4,21,5,7,2,8,47
LAKE:LIBERTYVILLE 192,1,6,9,1,0,9,26
LAKE:LIBERTYVILLE 193,11,19,3,6,3,12,54
LAKE:LIBERTYVILLE 194,6,22,3,3,1,10,45
LAKE:LIBERTYVILLE 195,5,20,5,5,0,15,50
LAKE:LIBERTYVILLE 196,3,30,2,2,0,12,49
LAKE:LIBERTYVILLE 197,5,25,5,1,1,9,46
LAKE:LIBERTYVILLE 198,4,11,3,4,2,19,43
LAKE:LIBERTYVILLE 199,4,17,5,3,2,19,50
LAKE:LIBERTYVILLE 200,8,29,7,5,2,30,81
LAKE:LIBERTYVILLE 201,6,30,7,5,2,9,59
LAKE:LIBERTYVILLE 202,3,23,2,1,4,13,46
LAKE:LIBERTYVILLE 203,3,13,7,0,1,8,32
LAKE:LIBERTYVILLE 204,3,13,0,5,0,7,28
LAKE:LIBERTYVILLE 205,0,7,1,2,0,0,10
LAKE:LIBERTYVILLE 206,3,9,3,0,2,12,29
LAKE:LIBERTYVILLE 207,4,1,4,0,2,6,17
LAKE:LIBERTYVILLE 208,1,15,3,6,1,6,32
LAKE:LIBERTYVILLE 209,0,17,4,1,2,8,32
LAKE:MORAINE 210,12,26,3,4,1,17,63
LAKE:MORAINE 211,8,12,5,2,3,13,43
LAKE:MORAINE 212,2,2,2,0,1,2,9
LAKE:MORAINE 213,6,9,12,2,0,8,37
LAKE:MORAINE 214,14,13,4,0,1,3,35
LAKE:MORAINE 215,3,16,1,2,0,4,26
LAKE:MORAINE 216,2,13,4,1,0,4,24
LAKE:MORAINE 217,4,7,4,1,0,5,21
LAKE:MORAINE 218,7,6,4,1,1,5,24
LAKE:MORAINE 219,5,4,3,1,0,8,21
LAKE:MORAINE 220,2,10,2,1,0,7,22
LAKE:MORAINE 221,2,9,4,5,1,3,24
LAKE:MORAINE 222,1,7,1,1,0,6,16
LAKE:MORAINE 223,3,5,3,1,0,6,18
LAKE:MORAINE 224,5,6,0,2,0,4,17
LAKE:MORAINE 225,5,11,5,1,6,5,33
LAKE:MORAINE 226,2,6,3,1,2,5,19
LAKE:MORAINE 227,3,7,0,1,0,7,18
LAKE:MORAINE 228,1,2,2,0,0,6,11
LAKE:MORAINE 229,3,8,2,0,2,9,24
LAKE:MORAINE 230,7,9,1,1,3,7,28
LAKE:MORAINE 231,1,8,0,1,0,2,12
LAKE:MORAINE 232,4,5,4,0,0,6,19
LAKE:NEWPORT 233,6,23,7,6,0,18,60
LAKE:NEWPORT 234,13,36,14,5,1,32,101
LAKE:NEWPORT 235,10,38,17,4,4,27,100
LAKE:NEWPORT 236,4,9,4,1,4,4,26
LAKE:NEWPORT 237,6,8,2,0,1,1,18
LAKE:SHIELDS 238,0,5,3,0,1,1,10
LAKE:SHIELDS 239,0,0,1,0,1,1,3
LAKE:SHIELDS 240,0,0,0,0,0,0,0
LAKE:SHIELDS 241,0,1,0,0,2,0,3
LAKE:SHIELDS 242,4,6,2,1,2,4,19
LAKE:SHIELDS 243,1,6,0,7,0,16,30
LAKE:SHIELDS 244,3,9,8,0,0,5,25
LAKE:SHIELDS 245,11,13,6,1,0,21,52
LAKE:SHIELDS 246,4,34,4,2,2,6,52
LAKE:SHIELDS 247,6,19,0,4,1,17,47
LAKE:SHIELDS 248,3,5,3,2,2,18,33
LAKE:SHIELDS 249,4,14,3,3,1,10,35
LAKE:SHIELDS 250,13,34,3,3,1,12,66
LAKE:SHIELDS 251,6,44,0,1,3,9,63
LAKE:SHIELDS 252,11,16,4,2,2,14,49
LAKE:SHIELDS 253,5,23,4,1,2,20,55
LAKE:SHIELDS 254,8,26,1,2,0,8,45
LAKE:SHIELDS 255,4,17,2,4,2,6,35
LAKE:VERNON 256,10,18,0,2,4,12,46
LAKE:VERNON 257,5,11,5,3,0,2,26
LAKE:VERNON 258,5,5,3,1,1,1,16
LAKE:VERNON 259,2,18,5,4,3,18,50
LAKE:VERNON 260,1,9,5,3,2,10,30
LAKE:VERNON 261,5,6,1,1,3,6,22
LAKE:VERNON 262,11,27,6,6,2,14,66
LAKE:VERNON 263,12,43,9,5,5,15,89
LAKE:VERNON 264,4,5,4,3,0,8,24
LAKE:VERNON 265,5,9,4,6,1,9,34
LAKE:VERNON 266,7,12,3,2,2,5,31
LAKE:VERNON 267,6,9,8,3,3,5,34
LAKE:VERNON 268,5,14,4,2,3,18,46
LAKE:VERNON 269,5,11,1,6,2,4,29
LAKE:VERNON 270,0,14,3,0,1,4,22
LAKE:VERNON 271,0,12,7,3,4,7,33
LAKE:VERNON 272,5,28,2,5,2,19,61
LAKE:VERNON 273,4,15,2,0,1,8,30
LAKE:VERNON 274,7,43,3,2,3,15,73
LAKE:VERNON 275,6,16,3,3,0,10,38
LAKE:VERNON 276,7,9,4,0,4,9,33
LAKE:VERNON 277,3,11,2,0,3,4,23
LAKE:VERNON 278,3,8,1,1,1,0,14
LAKE:VERNON 279,4,18,11,2,1,9,45
LAKE:VERNON 280,3,13,4,2,1,7,30
LAKE:VERNON 281,6,54,3,1,0,5,69
LAKE:VERNON 282,10,19,7,3,0,8,47
LAKE:VERNON 283,5,10,1,4,2,11,33
LAKE:VERNON 284,3,11,3,8,6,1,32
LAKE:VERNON 285,1,17,2,0,0,5,25
LAKE:VERNON 286,4,3,1,0,0,10,18
LAKE:VERNON 287,2,14,4,1,0,1,22
LAKE:VERNON 288,2,30,4,2,4,11,53
LAKE:VERNON 289,7,17,2,1,3,6,36
LAKE:VERNON 290,9,10,7,4,2,3,35
LAKE:VERNON 291,2,15,6,4,0,7,34
LAKE:VERNON 292,5,5,1,2,0,2,15
LAKE:VERNON 293,6,11,3,2,1,3,26
LAKE:VERNON 294,5,21,5,0,2,8,41
LAKE:VERNON 295,2,20,8,0,0,10,40
LAKE:VERNON 296,6,8,2,1,1,4,22
LAKE:VERNON 297,2,14,4,1,1,9,31
LAKE:VERNON 298,8,20,9,5,4,9,55
LAKE:WARREN 299,2,17,0,6,1,14,40
LAKE:WARREN 300,6,14,4,0,2,11,37
LAKE:WARREN 301,3,14,2,3,3,20,45
LAKE:WARREN 302,15,7,1,6,3,9,41
LAKE:WARREN 303,5,15,9,1,3,14,47
LAKE:WARREN 304,5,7,4,4,1,9,30
LAKE:WARREN 305,5,12,5,5,3,13,43
LAKE:WARREN 306,6,14,12,2,2,6,42
LAKE:WARREN 307,1,9,5,4,1,5,25
LAKE:WARREN 308,4,12,3,2,1,9,31
LAKE:WARREN 309,4,13,4,5,0,7,33
LAKE:WARREN 310,4,9,5,2,1,7,28
LAKE:WARREN 311,3,16,1,3,5,11,39
LAKE:WARREN 312,7,10,4,3,2,11,37
LAKE:WARREN 313,7,15,1,1,2,4,30
LAKE:WARREN 314,11,10,6,4,3,7,41
LAKE:WARREN 315,8,32,13,4,2,10,69
LAKE:WARREN 316,10,9,5,5,1,15,45
LAKE:WARREN 317,7,16,3,6,0,11,43
LAKE:WARREN 318,4,12,3,2,2,4,27
LAKE:WARREN 319,4,11,5,2,1,7,30
LAKE:WARREN 320,13,18,2,1,1,7,42
LAKE:WARREN 321,5,16,3,7,2,17,50
LAKE:WARREN 322,9,23,5,3,3,11,54
LAKE:WARREN 323,2,9,4,4,1,5,25
LAKE:WARREN 324,6,26,9,1,0,11,53
LAKE:WARREN 325,1,19,7,0,1,9,37
LAKE:WARREN 326,20,18,9,12,2,15,76
LAKE:WARREN 327,7,23,5,11,5,15,66
LAKE:WARREN 328,5,15,1,1,1,2,25
LAKE:WARREN 329,11,19,10,9,6,29,84
LAKE:WARREN 330,12,20,10,3,5,12,62
LAKE:WARREN 331,7,15,7,7,3,12,51
LAKE:WARREN 332,10,13,4,3,3,12,45
LAKE:WARREN 333,7,13,1,8,2,10,41
LAKE:WARREN 334,1,9,2,2,1,10,25
LAKE:WARREN 335,1,6,0,1,0,5,13
LAKE:WARREN 336,2,10,4,1,0,7,24
LAKE:WARREN 337,4,4,0,1,0,2,11
LAKE:WARREN 338,1,4,1,2,1,5,14
LAKE:WAUCONDA 339,10,12,0,0,6,8,36
LAKE:WAUCONDA 340,4,23,2,3,2,10,44
LAKE:WAUCONDA 341,9,16,3,1,7,8,44
LAKE:WAUCONDA 342,9,16,6,6,3,21,61
LAKE:WAUCONDA 343,13,29,11,10,3,25,91
LAKE:WAUCONDA 344,4,38,11,14,4,26,97
LAKE:WAUCONDA 345,2,27,8,3,2,17,59
LAKE:WAUCONDA 346,9,14,3,1,3,17,47
LAKE:WAUCONDA 347,10,24,9,1,2,21,67
LAKE:WAUCONDA 348,1,17,5,4,0,13,40
LAKE:WAUCONDA 349,11,31,3,3,3,26,77
LAKE:WAUCONDA 350,6,21,9,2,3,27,68
LAKE:WAUCONDA 351,11,20,9,5,3,26,74
LAKE:WAUCONDA 352,6,20,7,1,3,20,57
LAKE:WAUCONDA 353,10,19,9,3,2,15,58
LAKE:WAUCONDA 354,10,41,6,6,4,29,96
LAKE:WAUKEGAN 355,6,9,3,1,1,6,26
LAKE:WAUKEGAN 356,7,9,4,5,5,3,33
LAKE:WAUKEGAN 357,4,7,1,2,2,0,16
LAKE:WAUKEGAN 358,4,11,3,5,2,14,39
LAKE:WAUKEGAN 359,3,15,3,1,0,1,23
LAKE:WAUKEGAN 360,3,7,5,6,0,9,30
LAKE:WAUKEGAN 361,1,3,2,2,0,0,8
LAKE:WAUKEGAN 362,5,4,4,1,0,11,25
LAKE:WAUKEGAN 363,2,10,5,3,0,5,25
LAKE:WAUKEGAN 364,2,10,6,2,0,2,22
LAKE:WAUKEGAN 365,1,7,1,3,0,4,16
LAKE:WAUKEGAN 366,2,14,1,4,0,12,33
LAKE:WAUKEGAN 367,1,3,2,4,1,1,12
LAKE:WAUKEGAN 368,4,4,1,1,1,1,12
LAKE:WAUKEGAN 369,2,7,2,2,2,2,17
LAKE:WAUKEGAN 370,2,3,1,0,0,2,8
LAKE:WAUKEGAN 371,1,6,1,1,1,3,13
LAKE:WAUKEGAN 372,1,2,3,2,0,1,9
LAKE:WAUKEGAN 373,5,4,3,4,2,6,24
LAKE:WAUKEGAN 374,0,4,1,2,4,2,13
LAKE:WAUKEGAN 375,0,1,0,1,1,3,6
LAKE:WAUKEGAN 376,2,4,2,1,0,4,13
LAKE:WAUKEGAN 377,1,1,3,0,1,3,9
LAKE:WAUKEGAN 378,1,6,1,4,0,2,14
LAKE:WAUKEGAN 379,3,5,1,2,0,3,14
LAKE:WAUKEGAN 380,1,1,0,2,3,0,7
LAKE:WAUKEGAN 381,0,4,3,0,0,4,11
LAKE:WAUKEGAN 382,1,1,1,0,0,6,9
LAKE:WAUKEGAN 383,0,1,0,1,0,1,3
LAKE:WAUKEGAN 384,5,5,1,3,0,8,22
LAKE:WAUKEGAN 385,0,2,1,0,1,4,8
LAKE:WAUKEGAN 386,0,1,0,1,1,0,3
LAKE:WAUKEGAN 387,0,3,5,2,0,0,10
LAKE:WAUKEGAN 388,2,1,0,2,0,0,5
LAKE:WAUKEGAN 389,0,5,1,1,2,2,11
LAKE:WAUKEGAN 390,0,0,0,1,0,4,5
LAKE:WAUKEGAN 391,0,2,1,2,1,2,8
LAKE:WAUKEGAN 392,0,0,1,1,3,2,7
LAKE:WAUKEGAN 393,3,4,1,0,0,2,10
LAKE:WEST DEERFIELD 394,19,15,3,4,1,12,54
LAKE:WEST DEERFIELD 395,11,10,4,3,0,8,36
LAKE:WEST DEERFIELD 396,9,13,2,2,2,6,34
LAKE:WEST DEERFIELD 397,12,27,4,1,1,15,60
LAKE:WEST DEERFIELD 398,41,21,3,2,0,15,82
LAKE:WEST DEERFIELD 399,13,15,3,1,1,13,46
LAKE:WEST DEERFIELD 400,20,22,5,5,1,9,62
LAKE:WEST DEERFIELD 401,7,5,1,2,2,3,20
LAKE:WEST DEERFIELD 402,6,5,1,3,1,2,18
LAKE:WEST DEERFIELD 403,5,16,5,1,0,7,34
LAKE:WEST DEERFIELD 404,1,4,2,2,0,5,14
LAKE:WEST DEERFIELD 405,8,10,7,4,1,17,47
LAKE:WEST DEERFIELD 406,6,4,2,3,0,3,18
LAKE:WEST DEERFIELD 407,18,37,10,3,3,15,86
LAKE:WEST DEERFIELD 408,10,22,8,6,2,7,55
LAKE:WEST DEERFIELD 409,5,16,4,3,2,8,38
LAKE:WEST DEERFIELD 410,10,24,0,8,0,16,58
LAKE:WEST DEERFIELD 411,11,14,10,3,0,7,45
LAKE:WEST DEERFIELD 412,7,31,6,7,1,13,65
LAKE:WEST DEERFIELD 413,7,7,4,3,1,12,34
LAKE:WEST DEERFIELD 414,9,11,6,2,3,6,37
LAKE:WEST DEERFIELD 415,7,17,7,3,1,8,43
LAKE:WEST DEERFIELD 416,10,18,3,5,2,12,50
LAKE:WEST DEERFIELD 417,12,17,2,3,0,3,37
LAKE:WEST DEERFIELD 418,6,11,4,5,1,11,38
LAKE:ZION 419,0,4,3,3,0,5,15
LAKE:ZION 420,5,8,4,3,3,7,30
LAKE:ZION 421,3,6,1,2,1,6,19
LAKE:ZION 422,2,10,5,3,2,10,32
LAKE:ZION 423,0,5,2,2,2,5,16
LAKE:ZION 424,7,15,2,1,0,11,36
LAKE:ZION 425,8,22,4,5,2,13,54
LAKE:ZION 426,3,6,2,3,0,3,17
LAKE:ZION 427,10,2,1,2,1,16,32
LAKE:ZION 428,1,7,1,6,1,3,19
LAKE:ZION 429,6,16,2,6,1,8,39
LAKE:ZION 430,5,12,4,0,2,8,31
LAKE:ZION 431,2,8,3,3,1,9,26
LAKE:TOTAL:,2623,7199,2041,1560,811,4933,19167
