JoinField,CASEY CHLEBEK,DON TRACY,R. CARY CAPPARELLI,PAMELA DENISE LONG,"JIMMY LEE TILLMAN, II",JEANNIE EVANS,Total Voters
DUPAGE:NAPERVILLE 007,2,19,3,7,2,18,51
DUPAGE:NAPERVILLE 008,0,6,1,3,1,1,12
DUPAGE:NAPERVILLE 009,12,27,9,5,3,17,73
DUPAGE:NAPERVILLE 010,11,22,7,3,2,16,61
DUPAGE:NAPERVILLE 011,6,25,9,6,5,22,73
DUPAGE:NAPERVILLE 012,3,31,3,7,2,18,64
DUPAGE:NAPERVILLE 013,15,42,8,11,5,33,114
DUPAGE:NAPERVILLE 014,9,34,6,9,4,32,94
DUPAGE:NAPERVILLE 015,6,43,10,10,3,31,103
DUPAGE:NAPERVILLE 016,11,35,9,12,0,19,86
DUPAGE:NAPERVILLE 017,10,30,7,7,4,23,81
DUPAGE:NAPERVILLE 018,8,21,8,7,1,17,62
DUPAGE:NAPERVILLE 019,3,17,6,4,2,16,48
DUPAGE:NAPERVILLE 020,4,18,1,5,2,14,44
DUPAGE:NAPERVILLE 021,3,42,2,9,1,16,73
DUPAGE:NAPERVILLE 022,7,45,8,9,2,28,99
DUPAGE:NAPERVILLE 023,11,49,9,8,1,31,109
DUPAGE:NAPERVILLE 024,7,17,9,7,0,6,46
DUPAGE:NAPERVILLE 025,3,24,7,6,3,11,54
DUPAGE:NAPERVILLE 026,0,3,2,6,1,10,22
DUPAGE:NAPERVILLE 027,2,8,3,2,0,8,23
DUPAGE:NAPERVILLE 028,7,14,1,2,1,6,31
DUPAGE:NAPERVILLE 029,5,21,5,6,3,12,52
DUPAGE:NAPERVILLE 030,9,41,12,6,3,23,94
DUPAGE:NAPERVILLE 031,14,42,13,18,5,29,121
DUPAGE:NAPERVILLE 032,0,13,1,1,2,9,26
DUPAGE:NAPERVILLE 033,10,8,6,3,0,15,42
DUPAGE:NAPERVILLE 034,11,42,5,10,2,20,90
DUPAGE:NAPERVILLE 035,9,25,6,7,1,18,66
DUPAGE:NAPERVILLE 036,2,12,1,7,1,2,25
DUPAGE:NAPERVILLE 037,7,27,12,9,6,23,84
DUPAGE:NAPERVILLE 038,4,19,3,3,3,6,38
DUPAGE:NAPERVILLE 039,4,15,9,3,3,14,48
DUPAGE:NAPERVILLE 040,3,6,0,2,1,6,18
DUPAGE:NAPERVILLE 041,4,20,4,10,0,12,50
DUPAGE:NAPERVILLE 042,5,25,6,3,1,17,57
DUPAGE:NAPERVILLE 043,5,34,8,8,2,17,74
DUPAGE:NAPERVILLE 044,7,32,8,11,3,33,94
DUPAGE:NAPERVILLE 045,11,55,6,14,5,31,122
DUPAGE:NAPERVILLE 046,9,54,7,15,4,31,120
DUPAGE:NAPERVILLE 047,5,14,4,8,2,11,44
DUPAGE:NAPERVILLE 048,6,15,7,4,1,6,39
DUPAGE:NAPERVILLE 049,9,19,2,5,4,13,52
DUPAGE:NAPERVILLE 050,3,8,3,3,1,5,23
DUPAGE:NAPERVILLE 051,1,14,4,6,2,20,47
DUPAGE:NAPERVILLE 052,5,18,8,6,1,22,60
DUPAGE:NAPERVILLE 053,5,16,6,3,4,17,51
DUPAGE:NAPERVILLE 054,2,8,0,7,1,13,31
DUPAGE:NAPERVILLE 055,15,31,4,8,2,33,93
DUPAGE:NAPERVILLE 056,9,31,5,11,8,20,84
DUPAGE:NAPERVILLE 057,7,23,9,10,1,30,80
DUPAGE:NAPERVILLE 058,7,33,3,14,0,23,80
DUPAGE:WAYNE 001,20,42,12,8,4,33,119
DUPAGE:WAYNE 002,11,37,12,8,4,44,116
DUPAGE:WAYNE 003,10,17,10,4,6,34,81
DUPAGE:WAYNE 004,13,20,8,8,4,17,70
DUPAGE:WAYNE 005,1,8,9,6,5,11,40
DUPAGE:WAYNE 006,16,19,7,3,4,21,70
DUPAGE:WAYNE 007,23,22,13,6,7,26,97
DUPAGE:WAYNE 008,4,23,8,12,2,11,60
DUPAGE:WAYNE 009,12,10,9,7,2,23,63
DUPAGE:WAYNE 010,11,18,10,7,2,22,70
DUPAGE:WAYNE 011,7,11,5,6,1,6,36
DUPAGE:WAYNE 012,14,26,18,4,0,13,75
DUPAGE:WAYNE 013,8,24,9,11,2,20,74
DUPAGE:WAYNE 014,17,24,9,5,4,29,88
DUPAGE:WAYNE 015,9,24,18,6,1,14,72
DUPAGE:WAYNE 016,14,21,11,3,3,16,68
DUPAGE:WAYNE 017,18,26,16,13,2,17,92
DUPAGE:WAYNE 018,2,6,0,1,0,6,15
DUPAGE:WAYNE 019,17,32,13,8,5,33,108
DUPAGE:WAYNE 020,17,38,15,12,1,41,124
DUPAGE:WAYNE 021,13,22,18,7,6,29,95
DUPAGE:WAYNE 022,7,16,10,8,3,18,62
DUPAGE:WAYNE 023,20,24,9,9,3,20,85
DUPAGE:WAYNE 024,4,17,4,3,2,7,37
DUPAGE:WAYNE 025,6,12,4,6,1,14,43
DUPAGE:WAYNE 026,9,32,13,6,2,16,78
DUPAGE:WAYNE 027,21,49,18,7,5,47,147
DUPAGE:WAYNE 028,10,39,10,5,6,16,86
DUPAGE:WAYNE 029,6,15,10,5,2,17,55
DUPAGE:WAYNE 030,12,24,11,7,2,30,86
DUPAGE:WAYNE 031,10,24,11,5,3,30,83
DUPAGE:WAYNE 032,9,45,7,8,1,18,88
DUPAGE:WAYNE 033,16,33,9,22,6,36,122
DUPAGE:WAYNE 034,5,32,8,4,3,29,81
DUPAGE:WAYNE 035,5,22,6,10,0,23,66
DUPAGE:WAYNE 036,10,35,6,9,8,34,102
DUPAGE:WAYNE 037,7,18,7,2,4,18,56
DUPAGE:WAYNE 038,4,33,12,7,5,25,86
DUPAGE:WAYNE 039,10,48,16,7,5,15,101
DUPAGE:WAYNE 040,7,34,14,9,12,31,107
DUPAGE:WAYNE 041,14,64,9,8,4,42,141
DUPAGE:WAYNE 042,14,12,13,6,2,28,75
DUPAGE:WAYNE 043,7,44,4,8,3,19,85
DUPAGE:WINFIELD 001,9,31,6,9,4,19,78
DUPAGE:WINFIELD 002,8,44,13,6,11,35,117
DUPAGE:WINFIELD 003,10,53,8,12,2,48,133
DUPAGE:WINFIELD 004,6,57,11,7,5,37,123
DUPAGE:WINFIELD 005,13,29,4,4,8,31,89
DUPAGE:WINFIELD 006,6,30,12,10,3,47,108
DUPAGE:WINFIELD 007,10,47,9,8,4,37,115
DUPAGE:WINFIELD 008,14,41,5,2,1,51,114
DUPAGE:WINFIELD 009,9,21,10,6,5,27,78
DUPAGE:WINFIELD 010,3,8,4,5,1,9,30
DUPAGE:WINFIELD 011,9,20,3,6,3,21,62
DUPAGE:WINFIELD 012,7,4,0,0,1,4,16
DUPAGE:WINFIELD 013,10,20,5,7,9,24,75
DUPAGE:WINFIELD 014,16,53,6,14,3,36,128
DUPAGE:WINFIELD 015,10,46,8,8,5,45,122
