JoinField,CASEY CHLEBEK,DON TRACY,R. CARY CAPPARELLI,PAMELA DENISE LONG,"JIMMY LEE TILLMAN, II",JEANNIE EVANS,Total Voters
WILL:NEW LENOX PCT 018,12,45,18,7,8,30,120
WILL:NEW LENOX PCT 019,16,89,22,19,10,34,190
WILL:NEW LENOX PCT 020,14,101,25,13,6,53,212
WILL:PEOTONE PCT 001,23,67,18,31,13,65,217
WILL:PEOTONE PCT 002,26,80,17,13,7,53,196
WILL:PLAINFIELD PCT 001,23,28,7,2,5,29,94
WILL:PLAINFIELD PCT 002,16,28,10,7,8,21,90
WILL:PLAINFIELD PCT 003,21,37,7,17,10,31,123
WILL:PLAINFIELD PCT 004,8,11,7,4,2,15,47
WILL:PLAINFIELD PCT 005,13,16,10,5,8,18,70
WILL:PLAINFIELD PCT 006,5,5,8,1,1,11,31
WILL:PLAINFIELD PCT 007,13,19,4,3,2,19,60
WILL:PLAINFIELD PCT 008,13,29,10,13,5,29,99
WILL:PLAINFIELD PCT 009,21,50,16,8,7,28,130
WILL:PLAINFIELD PCT 010,9,39,7,9,8,33,105
WILL:PLAINFIELD PCT 011,4,7,1,2,1,3,18
WILL:PLAINFIELD PCT 012,11,25,7,7,5,9,64
WILL:PLAINFIELD PCT 013,26,57,37,24,8,51,203
WILL:PLAINFIELD PCT 014,13,30,17,9,5,34,108
WILL:PLAINFIELD PCT 015,28,66,27,14,12,47,194
WILL:PLAINFIELD PCT 016,16,50,22,7,4,28,127
WILL:PLAINFIELD PCT 017,14,18,14,6,1,16,69
WILL:PLAINFIELD PCT 018,5,13,12,6,4,6,46
WILL:PLAINFIELD PCT 019,9,19,9,6,8,17,68
WILL:PLAINFIELD PCT 020,13,38,19,10,5,21,106
WILL:PLAINFIELD PCT 021,12,34,13,6,2,22,89
WILL:PLAINFIELD PCT 022,6,24,6,6,5,23,70
WILL:PLAINFIELD PCT 023,10,37,9,5,6,16,83
WILL:PLAINFIELD PCT 024,11,37,16,11,8,31,114
WILL:PLAINFIELD PCT 025,15,21,11,8,1,24,80
WILL:PLAINFIELD PCT 026,15,12,10,7,1,17,62
WILL:PLAINFIELD PCT 027,2,16,7,7,2,21,55
WILL:PLAINFIELD PCT 028,14,20,11,10,5,23,83
WILL:PLAINFIELD PCT 029,10,25,10,7,3,24,79
WILL:PLAINFIELD PCT 030,13,36,12,7,9,20,97
WILL:PLAINFIELD PCT 031,16,28,7,11,5,21,88
WILL:PLAINFIELD PCT 032,7,16,5,6,4,13,51
WILL:PLAINFIELD PCT 033,13,38,15,8,4,21,99
WILL:PLAINFIELD PCT 034,17,20,20,9,5,19,90
WILL:PLAINFIELD PCT 035,8,22,18,7,3,11,69
WILL:REED PCT 001,14,27,20,14,12,32,119
WILL:REED PCT 002,17,54,15,17,7,50,160
WILL:REED PCT 003,9,32,11,16,8,33,109
WILL:TROY PCT 001,15,21,24,6,2,11,79
WILL:TROY PCT 002,7,22,7,6,4,13,59
WILL:TROY PCT 003,8,24,17,13,6,28,96
WILL:TROY PCT 004,17,27,25,6,9,27,111
WILL:TROY PCT 005,10,21,10,6,3,21,71
WILL:TROY PCT 006,3,28,10,6,3,12,62
WILL:TROY PCT 007,9,27,22,3,2,28,91
WILL:TROY PCT 008,18,41,23,12,9,43,146
WILL:TROY PCT 009,7,44,21,8,4,28,112
WILL:TROY PCT 010,16,41,22,8,7,30,124
WILL:TROY PCT 011,9,67,18,11,6,25,136
WILL:TROY PCT 012,5,21,7,9,1,15,58
