JoinField,JoinField_alt,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
COOK:7400033,COOK:Elk Grove Precinct 33,4,31,10,7,5,13,70
COOK:7400034,COOK:Elk Grove Precinct 34,8,47,14,2,9,10,90
COOK:7400035,COOK:Elk Grove Precinct 35,14,18,5,6,3,7,53
COOK:7400036,COOK:Elk Grove Precinct 36,0,4,2,1,5,0,12
COOK:7400037,COOK:Elk Grove Precinct 37,16,31,6,4,10,16,83
COOK:7400038,COOK:Elk Grove Precinct 38,1,2,1,1,1,6,12
COOK:7400039,COOK:Elk Grove Precinct 39,11,15,10,4,13,16,69
COOK:7400040,COOK:Elk Grove Precinct 40,13,9,4,4,0,10,40
COOK:7400041,COOK:Elk Grove Precinct 41,17,23,16,4,8,12,80
COOK:7400042,COOK:Elk Grove Precinct 42,5,12,0,1,3,5,26
COOK:7400043,COOK:Elk Grove Precinct 43,20,46,9,9,11,19,114
COOK:7400044,COOK:Elk Grove Precinct 44,9,19,8,2,6,10,54
COOK:7400045,COOK:Elk Grove Precinct 45,11,21,9,4,4,19,68
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,0,0,0,0,0,2,2
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,2,6,0,1,1,0,10
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,0,1,1,2,0,3,7
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,3,7,3,1,1,6,21
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,1,7,1,4,1,6,20
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,0,2,1,2,0,1,6
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,0,1,1,2,1,1,6
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,2,4,0,0,0,5,11
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,0,2,0,2,1,3,8
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,0,4,1,1,1,5,12
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,0,4,3,1,0,5,13
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,1,4,0,0,1,2,8
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,3,8,3,0,1,6,21
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,1,2,2,0,0,1,6
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,1,2,0,0,0,2,5
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,0,2,0,1,1,0,4
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,1,1,0,1,0,0,3
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,0,8,2,0,0,4,14
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,0,2,4,0,3,1,10
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,2,11,2,1,0,10,26
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,2,2,0,1,0,2,7
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,1,3,0,1,0,1,6
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,1,7,4,2,1,1,16
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,2,1,0,1,2,0,6
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,1,10,3,3,0,7,24
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,1,6,2,0,0,1,10
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,1,8,0,1,1,7,18
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,1,18,4,7,2,7,39
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,0,4,0,1,1,5,11
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,0,7,2,3,0,4,16
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,1,2,1,1,0,5,10
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,1,9,3,1,1,7,22
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,0,0,0,0,0,0,0
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,0,3,0,2,0,1,6
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,1,9,0,1,0,2,13
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,3,2,2,3,3,3,16
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,0,6,2,2,0,4,14
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,2,0,0,1,0,2,5
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,3,5,1,0,2,1,12
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,1,3,0,0,0,2,6
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,0,0,2,0,0,3,5
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,1,5,1,1,0,4,12
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,1,4,3,0,0,3,11
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,2,3,0,2,2,5,14
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,1,3,2,3,0,2,11
COOK:7600001,COOK:Hanover Precinct 1,9,19,9,2,1,23,63
COOK:7600002,COOK:Hanover Precinct 2,17,41,27,4,2,22,113
COOK:7600003,COOK:Hanover Precinct 3,4,5,3,2,1,3,18
COOK:7600004,COOK:Hanover Precinct 4,9,28,3,6,2,13,61
COOK:7600005,COOK:Hanover Precinct 5,6,14,6,2,2,14,44
COOK:7600006,COOK:Hanover Precinct 6,6,12,2,2,2,12,36
COOK:7600007,COOK:Hanover Precinct 7,10,15,7,3,0,14,49
COOK:7600008,COOK:Hanover Precinct 8,6,19,7,5,5,9,51
COOK:7600009,COOK:Hanover Precinct 9,4,21,10,4,0,17,56
COOK:7600010,COOK:Hanover Precinct 10,5,11,4,4,1,11,36
COOK:7600011,COOK:Hanover Precinct 11,7,19,6,7,1,13,53
COOK:7600012,COOK:Hanover Precinct 12,7,11,3,2,1,5,29
COOK:7600013,COOK:Hanover Precinct 13,6,15,2,9,3,7,42
COOK:7600014,COOK:Hanover Precinct 14,8,28,11,2,4,19,72
COOK:7600015,COOK:Hanover Precinct 15,10,15,6,5,3,6,45
COOK:7600016,COOK:Hanover Precinct 16,10,27,19,4,2,27,89
COOK:7600017,COOK:Hanover Precinct 17,5,24,4,4,2,7,46
COOK:7600018,COOK:Hanover Precinct 18,4,16,3,7,1,4,35
COOK:7600019,COOK:Hanover Precinct 19,8,37,11,5,3,27,91
COOK:7600020,COOK:Hanover Precinct 20,17,28,15,7,1,18,86
COOK:7600021,COOK:Hanover Precinct 21,13,28,9,10,5,20,85
COOK:7600022,COOK:Hanover Precinct 22,5,32,8,5,3,21,74
COOK:7600023,COOK:Hanover Precinct 23,10,18,13,4,2,11,58
COOK:7600024,COOK:Hanover Precinct 24,3,14,4,1,1,6,29
COOK:7600025,COOK:Hanover Precinct 25,11,36,12,8,4,28,99
COOK:7600026,COOK:Hanover Precinct 26,13,24,14,3,3,15,72
COOK:7600027,COOK:Hanover Precinct 27,20,72,25,19,5,34,175
COOK:7600028,COOK:Hanover Precinct 28,5,28,14,6,0,7,60
COOK:7600029,COOK:Hanover Precinct 29,2,9,5,1,0,4,21
COOK:7600030,COOK:Hanover Precinct 30,5,28,6,5,3,27,74
COOK:7600031,COOK:Hanover Precinct 31,8,18,10,3,3,16,58
COOK:7600032,COOK:Hanover Precinct 32,3,10,5,1,0,7,26
COOK:7600033,COOK:Hanover Precinct 33,5,18,9,5,1,13,51
COOK:7600034,COOK:Hanover Precinct 34,6,21,12,1,2,8,50
COOK:7600035,COOK:Hanover Precinct 35,4,12,6,4,1,13,40
COOK:7600036,COOK:Hanover Precinct 36,4,8,6,4,0,7,29
COOK:7600037,COOK:Hanover Precinct 37,17,30,4,4,2,14,71
COOK:7600038,COOK:Hanover Precinct 38,10,31,11,1,3,17,73
COOK:7600039,COOK:Hanover Precinct 39,11,24,5,2,6,10,58
COOK:7600040,COOK:Hanover Precinct 40,12,25,13,5,3,13,71
COOK:7600041,COOK:Hanover Precinct 41,6,34,11,5,2,21,79
COOK:7600042,COOK:Hanover Precinct 42,10,23,12,5,2,23,75
COOK:7600043,COOK:Hanover Precinct 43,13,34,9,2,4,13,75
COOK:7700001,COOK:Lemont Precinct 1,25,35,11,5,3,13,92
COOK:7700002,COOK:Lemont Precinct 2,20,24,12,2,4,15,77
COOK:7700003,COOK:Lemont Precinct 3,39,52,19,10,6,25,151
COOK:7700004,COOK:Lemont Precinct 4,11,57,15,6,0,24,113
COOK:7700005,COOK:Lemont Precinct 5,13,33,14,4,3,24,91
COOK:7700006,COOK:Lemont Precinct 6,25,24,17,9,4,26,105
COOK:7700007,COOK:Lemont Precinct 7,18,30,6,1,3,13,71
COOK:7700008,COOK:Lemont Precinct 8,17,39,14,7,5,20,102
COOK:7700009,COOK:Lemont Precinct 9,11,18,5,3,3,12,52
COOK:7700010,COOK:Lemont Precinct 10,10,14,12,4,3,17,60
COOK:7700011,COOK:Lemont Precinct 11,28,69,16,5,3,42,163
COOK:7700012,COOK:Lemont Precinct 12,26,45,20,8,1,38,138
COOK:7700013,COOK:Lemont Precinct 13,32,45,20,4,3,36,140
COOK:7700014,COOK:Lemont Precinct 14,24,37,12,4,1,28,106
COOK:7800001,COOK:Leyden Precinct 1,6,14,4,2,1,2,29
