JoinField,Ward,Precinct,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,6,5,1,2,14
CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,4,4,1,1,10
CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,7,12,1,7,27
CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,10,7,2,5,24
CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,8,11,3,1,23
CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,10,2,0,2,14
CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,0,0,0,0,0
CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,15,11,2,0,28
CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,4,4,1,1,10
CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,6,2,7,6,21
CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,1,11,1,0,13
CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,8,6,1,2,17
CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,6,7,3,5,21
CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,10,11,2,1,24
CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,10,2,2,3,17
CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,12,4,2,2,20
CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,4,9,1,1,15
CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,5,4,1,1,11
CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,2,10,0,2,14
CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,10,13,2,2,27
CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,3,13,2,2,20
CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,7,8,2,1,18
CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,4,12,4,2,22
CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,1,5,3,2,11
CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,11,6,3,6,26
CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,8,4,4,4,20
CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,4,0,1,1,6
CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,6,7,1,1,15
CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,4,10,0,0,14
CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,0,14,1,2,17
CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,8,5,4,3,20
CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,1,7,2,2,12
CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,9,13,1,2,25
CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,5,2,1,2,10
CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,2,8,2,3,15
CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,0,2,0,0,2
CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,5,3,1,0,9
CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,4,7,0,0,11
CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,4,5,4,2,15
CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,7,15,0,0,22
CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,10,7,7,2,26
CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,8,1,0,0,9
CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,3,4,1,0,8
CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,4,3,8,0,15
CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,4,12,1,0,17
