JoinField,Ward,Precinct,Total Voters,Samantha Steele,"Elizabeth ""Liz"" Nicholson"
CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,362,126,236
CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,139,46,93
CITY OF CHICAGO:WARD 43 PRECINCT 04,43,4,290,117,173
CITY OF CHICAGO:WARD 43 PRECINCT 05,43,5,414,152,262
CITY OF CHICAGO:WARD 43 PRECINCT 06,43,6,508,206,302
CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,429,171,258
CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,335,129,206
CITY OF CHICAGO:WARD 43 PRECINCT 09,43,9,459,164,295
CITY OF CHICAGO:WARD 43 PRECINCT 10,43,10,317,130,187
CITY OF CHICAGO:WARD 43 PRECINCT 11,43,11,201,69,132
CITY OF CHICAGO:WARD 43 PRECINCT 12,43,12,351,117,234
CITY OF CHICAGO:WARD 43 PRECINCT 13,43,13,308,104,204
CITY OF CHICAGO:WARD 43 PRECINCT 14,43,14,180,64,116
CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,448,173,275
CITY OF CHICAGO:WARD 43 PRECINCT 16,43,16,171,63,108
CITY OF CHICAGO:WARD 43 PRECINCT 17,43,17,318,124,194
CITY OF CHICAGO:WARD 43 PRECINCT 18,43,18,470,166,304
CITY OF CHICAGO:WARD 43 PRECINCT 19,43,19,342,130,212
CITY OF CHICAGO:WARD 43 PRECINCT 20,43,20,307,116,191
CITY OF CHICAGO:WARD 43 PRECINCT 21,43,21,163,55,108
CITY OF CHICAGO:WARD 43 PRECINCT 22,43,22,380,135,245
CITY OF CHICAGO:WARD 43 PRECINCT 23,43,23,283,103,180
CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,503,185,318
CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,314,95,219
CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,374,144,230
CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,530,215,315
CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,435,146,289
CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,353,117,236
CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,404,134,270
CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,512,184,328
CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,472,149,323
CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,457,146,311
CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,355,114,241
CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,590,207,383
CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,498,167,331
CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,435,134,301
CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,498,160,338
CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,486,157,329
CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,560,180,380
CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,335,99,236
CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,448,150,298
CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,313,99,214
CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,527,177,350
CITY OF CHICAGO:WARD 45 PRECINCT 01,45,1,372,130,242
CITY OF CHICAGO:WARD 45 PRECINCT 02,45,2,223,74,149
CITY OF CHICAGO:WARD 45 PRECINCT 03,45,3,93,36,57
CITY OF CHICAGO:WARD 45 PRECINCT 04,45,4,170,62,108
CITY OF CHICAGO:WARD 45 PRECINCT 05,45,5,241,86,155
CITY OF CHICAGO:WARD 45 PRECINCT 06,45,6,264,77,187
CITY OF CHICAGO:WARD 45 PRECINCT 07,45,7,283,124,159
