JoinField,Ward,Precinct,Total Voters,Drake Warren,Bridget Gainer
CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,367,172,195
CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,186,81,105
CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,262,125,137
CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,260,125,135
CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,309,131,178
CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,279,147,132
CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,206,105,101
CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,280,129,151
CITY OF CHICAGO:WARD 46 PRECINCT 01,46,1,363,195,168
CITY OF CHICAGO:WARD 46 PRECINCT 02,46,2,445,285,160
CITY OF CHICAGO:WARD 46 PRECINCT 03,46,3,472,302,170
CITY OF CHICAGO:WARD 46 PRECINCT 04,46,4,573,322,251
CITY OF CHICAGO:WARD 46 PRECINCT 05,46,5,434,241,193
CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,753,468,285
CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,398,263,135
CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,530,318,212
CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,521,255,266
CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,628,448,180
CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,598,381,217
CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,734,422,312
CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,695,455,240
CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,326,206,120
CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,708,364,344
CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,586,404,182
CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,706,482,224
CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,663,462,201
CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,572,378,194
CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,416,251,165
CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,346,187,159
CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,389,237,152
CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,357,244,113
CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,467,299,168
CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,483,297,186
CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,524,379,145
CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,641,415,226
CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,765,584,181
CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,697,483,214
CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,486,321,165
CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,649,362,287
CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,626,431,195
CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,522,335,187
CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,416,262,154
CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,424,256,168
CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,487,255,232
CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,379,197,182
CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,656,460,196
CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,312,194,118
CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,429,252,177
CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,253,130,123
CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,507,343,164
CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,493,365,128
CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,299,159,140
