JoinField,Ward,Precinct,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,Total Voters
CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,11,161,222,86,3,4,3,2,3,2,497
CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,13,165,219,82,1,6,2,0,2,0,490
CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,18,155,237,93,4,3,4,1,7,4,526
CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,18,144,284,91,1,2,1,2,0,3,546
CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,25,178,238,137,5,7,0,1,2,3,596
CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,9,209,246,78,3,7,3,1,6,7,569
CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,22,246,340,96,1,9,4,1,2,7,728
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,39,189,337,135,2,0,1,0,4,2,709
CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,4,24,46,44,1,1,0,0,0,1,121
CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,3,16,28,35,1,2,2,2,2,0,91
CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,6,18,24,37,0,2,2,2,2,2,95
CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,16,21,40,62,1,2,1,1,0,3,147
CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,16,23,53,94,1,0,0,0,0,2,189
CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,21,31,47,83,0,0,3,0,0,3,188
CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,12,26,59,88,2,2,1,3,1,1,195
CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,16,23,43,69,1,1,1,3,1,0,158
CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,29,62,122,112,2,1,7,2,0,3,340
CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,19,41,67,97,1,0,0,0,0,0,225
CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,19,31,76,69,1,0,0,1,3,0,200
CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,16,11,20,37,4,0,0,0,1,0,89
CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,19,49,124,108,2,2,2,0,4,2,312
CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,29,53,120,135,10,2,3,0,1,6,359
CITY OF CHICAGO:WARD 41 PRECINCT 15,41,15,36,55,124,159,10,3,4,0,0,3,394
CITY OF CHICAGO:WARD 41 PRECINCT 16,41,16,12,16,49,58,0,2,0,2,0,1,140
CITY OF CHICAGO:WARD 41 PRECINCT 17,41,17,3,14,15,44,0,1,0,1,1,0,79
CITY OF CHICAGO:WARD 41 PRECINCT 18,41,18,35,40,98,183,6,5,3,1,1,2,374
CITY OF CHICAGO:WARD 41 PRECINCT 19,41,19,20,24,49,73,1,1,4,0,0,1,173
CITY OF CHICAGO:WARD 41 PRECINCT 20,41,20,18,26,41,105,1,5,2,1,1,2,202
CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,21,23,54,72,1,2,0,1,0,2,176
CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,15,27,45,48,2,3,4,1,0,2,147
CITY OF CHICAGO:WARD 41 PRECINCT 23,41,23,18,27,53,88,0,0,3,4,1,3,197
CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,26,36,89,109,2,4,3,1,2,5,277
CITY OF CHICAGO:WARD 41 PRECINCT 25,41,25,26,39,57,79,4,2,2,1,2,1,213
CITY OF CHICAGO:WARD 41 PRECINCT 26,41,26,35,58,119,160,2,4,2,3,2,1,386
CITY OF CHICAGO:WARD 41 PRECINCT 27,41,27,23,29,67,92,0,0,2,1,1,3,218
CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,46,51,134,170,3,2,3,4,1,5,419
CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,45,56,129,211,3,1,1,3,4,1,454
CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,32,23,95,108,1,2,5,1,1,2,270
CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,41,32,59,135,0,2,1,4,0,1,275
CITY OF CHICAGO:WARD 42 PRECINCT 01,42,1,7,20,71,77,4,1,1,2,2,0,185
CITY OF CHICAGO:WARD 42 PRECINCT 02,42,2,6,26,56,56,2,2,1,0,0,1,150
CITY OF CHICAGO:WARD 42 PRECINCT 03,42,3,15,78,198,191,2,5,3,1,0,1,494
CITY OF CHICAGO:WARD 42 PRECINCT 04,42,4,15,58,125,132,6,3,0,0,0,4,343
CITY OF CHICAGO:WARD 42 PRECINCT 05,42,5,26,88,242,191,6,0,5,4,3,1,566
CITY OF CHICAGO:WARD 42 PRECINCT 06,42,6,21,45,86,108,0,2,0,3,0,6,271
CITY OF CHICAGO:WARD 42 PRECINCT 07,42,7,12,40,144,150,3,2,2,2,4,0,359
CITY OF CHICAGO:WARD 42 PRECINCT 08,42,8,5,32,110,60,2,1,2,0,1,1,214
CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,8,40,130,149,4,4,0,0,0,0,335
CITY OF CHICAGO:WARD 42 PRECINCT 10,42,10,10,28,77,97,0,4,5,2,0,1,224
CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,10,49,122,29,0,0,0,0,1,2,213
CITY OF CHICAGO:WARD 42 PRECINCT 12,42,12,10,30,97,49,2,6,0,1,2,1,198
CITY OF CHICAGO:WARD 42 PRECINCT 13,42,13,7,39,81,56,3,1,0,1,2,0,190
CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,2,18,65,38,0,1,0,0,0,1,125
