JoinField,KEVIN RYAN,ROBIN KELLY,JULIANA STRATTON,RAJA KRISHNAMOORTHI,STEVE BOTSFORD JR.,BRYAN MAXWELL,JONATHAN DEAN,SEAN BROWN,AWISI A. BUSTOS,CHRISTOPHER SWANN,Adam Delgado,Total Voters
DUPAGE:BLOOMINGDALE 068,3,36,50,66,0,0,0,0,3,1,0,159
DUPAGE:BLOOMINGDALE 069,10,20,35,63,1,2,1,2,7,0,0,141
DUPAGE:BLOOMINGDALE 070,3,19,39,31,0,4,1,3,1,1,0,102
DUPAGE:BLOOMINGDALE 071,14,23,48,68,0,1,0,2,2,2,0,160
DUPAGE:BLOOMINGDALE 072,6,26,37,43,0,0,0,0,0,0,0,112
DUPAGE:DOWNERS GROVE 001,3,9,46,66,0,3,0,0,0,0,0,127
DUPAGE:DOWNERS GROVE 002,19,32,81,74,0,1,0,0,1,3,0,211
DUPAGE:DOWNERS GROVE 003,7,19,98,63,0,1,2,1,2,1,0,194
DUPAGE:DOWNERS GROVE 004,13,26,71,74,0,0,1,0,1,1,0,187
DUPAGE:DOWNERS GROVE 005,4,27,80,94,1,0,3,0,0,1,0,210
DUPAGE:DOWNERS GROVE 006,2,9,68,79,1,0,0,0,0,0,0,159
DUPAGE:DOWNERS GROVE 007,9,13,114,94,1,1,0,0,1,0,0,233
DUPAGE:DOWNERS GROVE 008,14,29,144,97,0,1,2,0,0,1,0,288
DUPAGE:DOWNERS GROVE 009,11,24,102,82,5,0,1,1,1,1,0,228
DUPAGE:DOWNERS GROVE 010,10,17,105,73,0,0,1,2,0,1,0,209
DUPAGE:DOWNERS GROVE 011,5,12,53,46,0,4,0,3,0,0,0,123
DUPAGE:DOWNERS GROVE 012,7,17,136,83,0,0,0,0,0,0,0,243
DUPAGE:DOWNERS GROVE 013,10,22,160,74,0,0,2,0,1,1,0,270
DUPAGE:DOWNERS GROVE 014,6,33,100,84,2,1,0,2,0,2,0,230
DUPAGE:DOWNERS GROVE 015,13,26,110,93,3,1,0,1,1,0,0,248
DUPAGE:DOWNERS GROVE 016,10,29,67,72,1,3,1,1,2,2,0,188
DUPAGE:DOWNERS GROVE 017,15,29,86,64,0,2,2,0,0,0,0,198
DUPAGE:DOWNERS GROVE 018,6,30,64,47,0,0,0,0,1,1,0,149
DUPAGE:DOWNERS GROVE 019,4,15,71,71,0,0,0,0,2,0,0,163
DUPAGE:DOWNERS GROVE 020,6,7,67,68,0,0,1,0,0,0,0,149
DUPAGE:DOWNERS GROVE 021,7,10,77,72,0,1,1,1,0,1,0,170
DUPAGE:DOWNERS GROVE 022,9,18,43,65,0,1,0,0,1,2,0,139
DUPAGE:DOWNERS GROVE 023,0,15,67,38,0,1,0,0,0,0,0,121
DUPAGE:DOWNERS GROVE 024,5,19,88,86,1,3,2,0,0,0,0,204
DUPAGE:DOWNERS GROVE 025,14,33,95,99,1,0,5,0,0,0,0,247
DUPAGE:DOWNERS GROVE 026,5,22,119,92,1,1,1,1,0,1,0,243
DUPAGE:DOWNERS GROVE 027,10,25,106,64,1,5,1,2,0,1,0,215
DUPAGE:DOWNERS GROVE 028,8,17,100,72,0,5,1,3,0,1,0,207
DUPAGE:DOWNERS GROVE 029,7,18,71,57,0,3,1,0,0,2,1,160
DUPAGE:DOWNERS GROVE 030,4,11,70,58,0,0,4,0,1,3,0,151
DUPAGE:DOWNERS GROVE 031,9,15,90,90,2,1,0,0,0,1,0,208
DUPAGE:DOWNERS GROVE 032,4,13,67,54,0,3,1,0,0,2,0,144
DUPAGE:DOWNERS GROVE 033,4,10,53,40,1,1,0,0,1,2,0,112
DUPAGE:DOWNERS GROVE 034,5,16,40,32,2,0,0,0,0,0,0,95
DUPAGE:DOWNERS GROVE 035,2,6,28,23,0,0,1,0,0,0,0,60
DUPAGE:DOWNERS GROVE 036,13,23,110,71,0,0,0,2,0,0,0,219
DUPAGE:DOWNERS GROVE 037,6,32,108,93,2,0,0,6,0,3,0,250
DUPAGE:DOWNERS GROVE 038,7,25,74,69,1,1,1,2,2,0,0,182
DUPAGE:DOWNERS GROVE 039,6,27,84,90,1,0,2,0,1,3,0,214
DUPAGE:DOWNERS GROVE 040,11,17,69,72,0,5,1,1,0,0,0,176
DUPAGE:DOWNERS GROVE 041,6,11,61,54,0,3,0,0,0,0,0,135
DUPAGE:DOWNERS GROVE 042,2,17,50,53,1,3,0,0,1,2,0,129
DUPAGE:DOWNERS GROVE 043,5,21,51,61,2,2,3,0,2,0,0,147
DUPAGE:DOWNERS GROVE 044,6,10,74,70,1,1,0,1,0,1,0,164
DUPAGE:DOWNERS GROVE 045,5,38,109,112,4,3,1,1,0,0,0,273
DUPAGE:DOWNERS GROVE 046,13,30,124,100,0,1,2,2,0,1,0,273
DUPAGE:DOWNERS GROVE 047,9,31,83,67,1,2,1,3,2,0,0,199
DUPAGE:DOWNERS GROVE 048,10,25,73,29,0,2,1,3,1,0,0,144
DUPAGE:DOWNERS GROVE 049,3,14,54,56,1,1,3,0,0,2,0,134
DUPAGE:DOWNERS GROVE 050,5,20,70,65,0,0,1,1,1,0,0,163
DUPAGE:DOWNERS GROVE 051,7,22,68,60,0,1,1,1,0,0,0,160
DUPAGE:DOWNERS GROVE 052,3,30,46,58,0,1,0,0,0,0,0,138
DUPAGE:DOWNERS GROVE 053,11,23,82,98,0,2,0,0,1,0,0,217
DUPAGE:DOWNERS GROVE 054,10,20,71,75,0,3,2,0,0,0,0,181
DUPAGE:DOWNERS GROVE 055,9,26,77,68,0,0,1,1,3,0,0,185
DUPAGE:DOWNERS GROVE 056,7,24,68,84,1,2,0,1,1,1,0,189
DUPAGE:DOWNERS GROVE 057,15,23,73,45,1,0,1,3,4,2,0,167
DUPAGE:DOWNERS GROVE 058,3,26,55,70,1,0,0,1,1,0,0,157
DUPAGE:DOWNERS GROVE 059,8,38,84,145,1,0,0,2,0,0,0,278
DUPAGE:DOWNERS GROVE 060,3,26,53,57,0,2,0,2,2,1,0,146
DUPAGE:DOWNERS GROVE 061,4,14,74,70,0,1,3,2,0,0,0,168
DUPAGE:DOWNERS GROVE 062,11,16,122,96,0,1,1,2,0,1,0,250
DUPAGE:DOWNERS GROVE 063,15,27,74,106,0,2,2,0,0,1,0,227
DUPAGE:DOWNERS GROVE 064,8,26,86,51,0,0,1,3,1,1,0,177
DUPAGE:DOWNERS GROVE 065,12,20,94,115,0,1,1,1,1,0,0,245
DUPAGE:DOWNERS GROVE 066,11,30,66,57,1,0,1,0,0,1,0,167
DUPAGE:DOWNERS GROVE 067,13,19,41,56,0,0,4,3,0,1,0,137
DUPAGE:DOWNERS GROVE 068,9,25,73,73,0,1,0,0,0,3,0,184
DUPAGE:DOWNERS GROVE 069,11,32,80,67,0,4,0,0,1,2,1,198
DUPAGE:DOWNERS GROVE 070,10,11,59,61,0,1,1,0,1,0,0,144
DUPAGE:DOWNERS GROVE 071,5,14,65,64,2,0,1,1,2,0,0,154
DUPAGE:DOWNERS GROVE 072,3,16,73,68,1,2,1,3,0,0,0,167
DUPAGE:DOWNERS GROVE 073,10,23,53,40,0,3,0,0,3,1,0,133
DUPAGE:DOWNERS GROVE 074,5,34,58,77,0,2,0,2,0,0,0,178
DUPAGE:DOWNERS GROVE 075,0,18,31,50,1,0,0,1,1,0,0,102
DUPAGE:DOWNERS GROVE 076,8,13,59,52,0,1,0,0,1,0,0,134
DUPAGE:DOWNERS GROVE 077,7,24,75,74,0,2,3,5,2,0,0,192
DUPAGE:DOWNERS GROVE 078,9,32,63,92,1,3,0,3,0,2,0,205
DUPAGE:DOWNERS GROVE 079,5,15,66,70,2,4,2,0,0,1,0,165
DUPAGE:DOWNERS GROVE 080,12,25,58,79,2,2,1,1,0,0,0,180
DUPAGE:DOWNERS GROVE 081,2,16,35,44,0,0,2,2,2,1,0,104
DUPAGE:DOWNERS GROVE 082,3,27,62,72,0,2,2,3,2,0,0,173
DUPAGE:DOWNERS GROVE 083,5,26,61,76,0,3,0,0,1,0,0,172
DUPAGE:DOWNERS GROVE 084,8,17,31,74,0,0,1,2,0,0,0,133
DUPAGE:DOWNERS GROVE 085,5,25,84,113,2,0,0,1,0,2,0,232
DUPAGE:DOWNERS GROVE 086,11,19,55,73,0,2,0,1,0,2,0,163
DUPAGE:DOWNERS GROVE 087,12,42,62,86,0,2,0,0,1,0,0,205
DUPAGE:DOWNERS GROVE 088,12,27,30,45,0,3,1,1,1,2,0,122
DUPAGE:DOWNERS GROVE 089,15,19,86,60,0,1,1,0,0,1,0,183
DUPAGE:DOWNERS GROVE 090,18,27,55,92,1,2,0,1,2,0,0,198
DUPAGE:DOWNERS GROVE 091,2,28,54,61,0,0,0,0,2,1,0,148
DUPAGE:DOWNERS GROVE 092,6,11,74,66,0,0,0,0,0,1,0,158
DUPAGE:DOWNERS GROVE 093,3,52,46,61,1,0,0,1,0,0,0,164
DUPAGE:DOWNERS GROVE 094,5,16,66,109,0,1,2,0,2,4,0,205
DUPAGE:DOWNERS GROVE 095,3,32,45,57,1,1,0,2,0,3,0,144
DUPAGE:DOWNERS GROVE 096,5,27,43,42,0,1,0,0,2,0,0,120
DUPAGE:DOWNERS GROVE 097,2,7,54,83,3,1,0,0,0,0,0,150
DUPAGE:DOWNERS GROVE 098,5,19,35,60,2,1,0,0,1,0,0,123
DUPAGE:DOWNERS GROVE 099,8,16,58,37,0,1,0,4,2,0,0,126
DUPAGE:DOWNERS GROVE 100,3,46,31,53,0,1,0,0,0,0,0,134
DUPAGE:DOWNERS GROVE 101,3,32,50,62,0,0,1,1,1,2,0,152
DUPAGE:DOWNERS GROVE 102,5,13,40,51,0,0,0,1,0,1,0,111
DUPAGE:DOWNERS GROVE 103,8,18,48,24,0,0,0,1,0,3,0,102
DUPAGE:LISLE 001,2,31,86,79,0,0,2,2,1,1,0,204
DUPAGE:LISLE 002,7,30,68,45,0,1,1,1,0,0,0,153
DUPAGE:LISLE 003,14,27,77,53,0,2,1,3,1,0,0,178
DUPAGE:LISLE 004,11,32,114,88,2,1,1,2,1,0,0,252
DUPAGE:LISLE 005,11,41,86,76,1,0,1,2,0,0,0,218
DUPAGE:LISLE 006,18,25,108,56,3,3,2,3,1,3,0,222
DUPAGE:LISLE 007,16,27,60,52,0,3,0,1,3,1,0,163
DUPAGE:LISLE 008,14,33,89,67,2,4,0,1,5,2,0,217
DUPAGE:LISLE 009,9,28,103,89,2,2,1,1,0,0,0,235
DUPAGE:LISLE 010,22,28,96,106,0,5,3,0,0,2,0,262
DUPAGE:LISLE 011,13,19,85,83,1,1,3,0,1,3,0,209
DUPAGE:LISLE 012,7,67,108,102,0,1,2,1,0,0,0,288
DUPAGE:LISLE 013,7,26,85,46,0,2,1,2,1,3,0,173
DUPAGE:LISLE 014,4,22,41,64,0,3,0,2,1,0,0,137
DUPAGE:LISLE 015,6,24,60,48,0,1,0,0,3,2,0,144
DUPAGE:LISLE 016,13,32,93,114,2,0,0,0,0,0,0,254
DUPAGE:LISLE 017,29,23,86,64,1,6,2,1,0,0,0,212
DUPAGE:LISLE 018,25,21,96,83,1,0,1,5,2,2,0,236
DUPAGE:LISLE 019,11,39,78,86,1,3,1,1,4,2,0,226
DUPAGE:LISLE 020,12,28,156,74,0,1,0,0,0,2,0,273
DUPAGE:LISLE 021,17,29,93,91,0,1,2,1,0,0,0,234
DUPAGE:LISLE 022,13,23,95,57,1,1,1,2,0,2,0,195
DUPAGE:LISLE 023,10,37,77,58,0,1,0,1,3,2,0,189
DUPAGE:LISLE 024,7,12,55,43,0,2,2,0,0,0,0,121
DUPAGE:LISLE 025,9,22,88,54,0,1,0,2,1,3,0,180
DUPAGE:LISLE 026,8,24,90,139,1,3,0,0,0,0,0,265
DUPAGE:LISLE 027,26,37,117,104,0,3,3,1,0,1,0,292
DUPAGE:LISLE 028,13,32,101,60,0,0,2,1,1,1,0,211
DUPAGE:LISLE 029,4,20,33,39,0,2,0,0,0,0,0,98
DUPAGE:LISLE 030,18,36,122,88,0,2,1,1,0,0,0,268
DUPAGE:LISLE 031,6,71,89,82,0,0,0,3,1,0,0,252
DUPAGE:LISLE 032,35,30,82,74,0,2,0,0,2,1,0,226
DUPAGE:LISLE 033,38,22,70,64,0,3,1,0,0,0,0,198
DUPAGE:LISLE 034,11,45,83,79,1,2,3,0,0,1,0,225
DUPAGE:LISLE 035,4,31,115,97,0,1,0,0,0,1,0,249
DUPAGE:LISLE 036,2,18,80,93,1,1,0,0,2,1,0,198
DUPAGE:LISLE 037,9,26,139,92,1,0,0,1,2,0,0,270
DUPAGE:LISLE 038,5,12,70,61,0,0,2,0,1,0,0,151
DUPAGE:LISLE 039,17,33,74,64,0,0,3,0,1,0,0,192
DUPAGE:LISLE 040,11,46,104,84,0,4,1,0,0,0,0,250
DUPAGE:LISLE 041,10,37,99,88,0,1,1,0,1,0,0,237
DUPAGE:LISLE 042,7,29,87,73,1,0,0,3,1,0,0,201
DUPAGE:LISLE 043,6,13,64,58,0,3,0,0,2,0,0,146
DUPAGE:LISLE 044,15,19,84,62,0,1,0,0,0,0,0,181
DUPAGE:LISLE 045,10,31,77,88,1,0,1,1,1,0,0,210
DUPAGE:LISLE 046,4,8,44,28,0,0,1,2,1,0,0,88
DUPAGE:LISLE 047,10,16,98,70,0,3,0,0,3,0,0,200
DUPAGE:LISLE 048,6,22,65,70,0,1,2,0,2,1,0,169
DUPAGE:LISLE 049,6,22,83,70,1,0,0,1,0,0,1,184
DUPAGE:LISLE 050,2,29,67,78,0,2,0,0,1,1,0,180
DUPAGE:LISLE 051,7,25,58,51,1,2,0,0,1,1,0,146
DUPAGE:LISLE 052,6,24,73,84,0,4,1,0,0,0,0,192
DUPAGE:LISLE 053,10,29,85,73,2,2,0,1,1,2,0,205
DUPAGE:LISLE 054,8,20,108,84,2,1,1,2,1,0,0,227
DUPAGE:LISLE 055,10,30,139,76,1,1,0,1,1,0,1,260
DUPAGE:LISLE 056,3,31,50,51,1,1,1,1,0,2,0,141
DUPAGE:LISLE 057,17,27,110,105,1,0,0,1,1,0,0,262
DUPAGE:LISLE 058,6,16,68,76,0,1,1,0,1,1,0,170
DUPAGE:LISLE 059,9,23,83,94,1,0,1,0,1,1,0,213
DUPAGE:LISLE 060,9,22,61,34,0,0,0,2,2,0,0,130
DUPAGE:LISLE 061,13,11,41,70,0,0,0,2,0,0,0,137
DUPAGE:LISLE 062,12,28,87,51,3,2,0,0,0,0,0,183
DUPAGE:LISLE 063,8,33,121,118,2,1,0,2,1,1,0,287
DUPAGE:LISLE 064,8,33,98,81,2,0,2,0,1,2,0,227
DUPAGE:LISLE 065,11,20,75,96,3,0,0,1,0,1,0,207
DUPAGE:LISLE 066,2,41,38,43,1,2,2,0,3,0,0,132
DUPAGE:LISLE 067,9,29,64,53,0,3,0,1,0,2,0,161
DUPAGE:LISLE 068,7,21,68,72,1,1,2,1,2,1,0,176
DUPAGE:LISLE 069,9,25,72,49,0,1,0,1,0,1,0,158
DUPAGE:LISLE 070,4,18,71,42,1,3,0,0,0,1,0,140
DUPAGE:LISLE 071,17,34,116,57,0,2,3,3,0,4,0,236
DUPAGE:LISLE 072,3,35,85,69,1,1,0,1,1,0,0,196
DUPAGE:LISLE 073,10,18,105,101,0,2,4,0,1,1,0,242
DUPAGE:LISLE 074,9,19,78,74,0,0,0,0,0,1,0,181
DUPAGE:LISLE 075,5,44,77,67,1,2,0,0,2,2,0,200
DUPAGE:LISLE 076,10,24,75,69,0,0,0,0,1,0,0,179
DUPAGE:LISLE 077,25,26,79,84,1,2,0,0,0,0,0,217
DUPAGE:MILTON 001,7,19,30,50,0,1,0,0,1,0,0,108
DUPAGE:MILTON 002,6,26,54,102,2,1,0,2,0,0,0,193
DUPAGE:MILTON 003,0,14,37,41,0,0,2,0,0,1,0,95
DUPAGE:MILTON 004,5,46,63,102,0,3,1,1,2,1,0,224
DUPAGE:MILTON 005,12,41,52,37,0,1,0,0,0,2,0,145
DUPAGE:MILTON 006,10,83,52,60,0,1,1,0,0,0,0,207
DUPAGE:MILTON 007,12,23,64,94,1,1,1,2,0,2,0,200
DUPAGE:MILTON 008,5,25,39,37,1,1,0,2,0,0,0,110
DUPAGE:MILTON 009,15,54,70,92,1,1,1,0,0,1,0,235
DUPAGE:MILTON 010,7,76,44,46,2,0,0,0,1,0,0,176
DUPAGE:MILTON 011,6,63,30,39,0,0,0,0,1,0,0,139
DUPAGE:MILTON 012,3,30,81,52,1,1,0,1,1,0,0,170
DUPAGE:MILTON 013,2,16,53,46,2,1,1,1,0,1,0,123
DUPAGE:MILTON 014,9,15,44,98,0,1,0,0,0,1,0,168
DUPAGE:MILTON 015,6,24,77,99,3,1,1,1,0,0,0,212
DUPAGE:MILTON 016,18,21,67,104,0,0,1,1,0,2,0,214
DUPAGE:MILTON 017,4,29,70,67,1,0,1,2,1,2,0,177
DUPAGE:MILTON 018,11,18,124,99,1,2,1,1,0,0,0,257
DUPAGE:MILTON 019,10,28,94,94,1,1,0,1,0,0,0,229
DUPAGE:MILTON 020,4,27,104,104,0,0,2,0,1,0,0,242
DUPAGE:MILTON 021,6,24,109,95,0,0,0,1,0,0,0,235
