JoinField,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,Total Voters
LAKE:ANTIOCH 1,3,6,48,73,1,2,0,0,0,0,133
LAKE:ANTIOCH 2,2,7,33,24,0,1,2,0,1,2,72
LAKE:ANTIOCH 3,6,13,37,47,2,0,2,1,0,2,110
LAKE:ANTIOCH 4,5,10,31,43,0,0,1,0,0,0,90
LAKE:ANTIOCH 5,8,14,34,41,0,0,1,1,0,3,102
LAKE:ANTIOCH 6,5,21,45,41,0,0,1,2,2,1,118
LAKE:ANTIOCH 7,6,13,50,40,0,0,0,0,2,1,112
LAKE:ANTIOCH 8,12,12,58,54,1,0,3,0,2,0,142
LAKE:ANTIOCH 9,4,12,77,48,2,1,1,1,0,0,146
LAKE:ANTIOCH 10,5,7,41,31,1,1,0,0,2,1,89
LAKE:ANTIOCH 11,4,14,68,45,0,0,1,0,1,0,133
LAKE:ANTIOCH 12,6,5,31,70,0,0,0,0,0,0,112
LAKE:ANTIOCH 13,4,8,47,45,0,4,0,0,0,2,110
LAKE:ANTIOCH 14,9,9,53,44,0,1,2,0,0,2,120
LAKE:ANTIOCH 15,6,13,44,56,2,0,0,0,0,0,121
LAKE:ANTIOCH 16,5,8,28,48,0,4,0,0,1,0,94
LAKE:ANTIOCH 17,1,7,26,26,0,0,0,0,0,0,60
LAKE:ANTIOCH 18,1,6,41,79,0,1,0,0,0,0,128
LAKE:ANTIOCH 19,4,13,26,41,0,1,0,0,2,0,87
LAKE:AVON 20,13,10,44,43,2,2,1,1,2,2,120
LAKE:AVON 21,5,8,47,24,0,0,1,0,2,0,87
LAKE:AVON 22,10,11,37,31,0,2,0,1,0,1,93
LAKE:AVON 23,3,7,48,39,0,0,2,2,1,0,102
LAKE:AVON 24,13,12,39,44,0,1,1,0,4,2,116
LAKE:AVON 25,6,20,63,107,0,0,0,1,0,0,197
LAKE:AVON 26,2,16,59,43,0,0,0,0,0,1,121
LAKE:AVON 27,9,13,43,45,0,0,0,0,2,1,113
LAKE:AVON 28,10,12,36,36,1,2,0,1,0,2,100
LAKE:AVON 29,11,19,60,53,1,2,1,2,3,2,154
LAKE:AVON 30,10,6,54,46,2,0,1,1,1,2,123
LAKE:AVON 31,10,4,58,35,0,3,3,1,1,3,118
LAKE:AVON 32,8,12,57,52,0,2,0,0,3,0,134
LAKE:AVON 33,10,15,44,53,1,1,0,0,1,1,126
LAKE:AVON 34,10,13,58,36,1,1,0,1,2,1,123
LAKE:AVON 35,9,14,79,48,0,3,0,0,1,0,154
LAKE:AVON 36,4,19,72,56,1,1,0,0,2,0,155
LAKE:AVON 37,3,17,77,57,0,2,0,0,0,0,156
LAKE:AVON 38,8,14,38,36,1,2,2,0,2,0,103
LAKE:AVON 39,9,13,72,56,0,2,0,0,2,1,155
LAKE:AVON 40,8,20,47,54,1,1,1,0,0,0,132
LAKE:AVON 41,3,7,48,49,1,2,0,0,3,4,117
LAKE:AVON 42,5,11,73,41,2,4,0,2,3,1,142
LAKE:AVON 43,14,20,70,65,0,1,1,0,0,1,172
LAKE:AVON 44,8,15,98,75,0,2,0,0,1,3,202
LAKE:AVON 45,11,10,86,56,0,0,0,0,0,1,164
LAKE:AVON 46,14,16,78,63,1,3,0,1,1,0,177
LAKE:AVON 47,9,25,103,48,2,2,1,1,0,1,192
LAKE:AVON 48,10,27,93,73,0,1,0,0,1,0,205
LAKE:AVON 49,20,16,85,60,0,1,1,3,0,1,187
LAKE:AVON 50,8,18,65,73,1,3,0,0,1,0,169
LAKE:AVON 51,7,14,70,76,0,0,0,0,3,0,170
LAKE:AVON 52,11,23,95,79,0,1,2,0,1,2,214
LAKE:BENTON 53,3,10,42,42,0,1,0,1,1,2,102
LAKE:BENTON 54,4,10,54,38,1,1,1,1,1,1,112
LAKE:BENTON 55,2,8,43,52,1,0,0,0,0,0,106
LAKE:BENTON 56,8,8,31,24,0,2,3,0,1,0,77
LAKE:BENTON 57,1,9,17,20,0,0,0,2,2,0,51
LAKE:BENTON 58,4,5,29,36,0,1,0,0,0,0,75
LAKE:BENTON 59,4,9,44,34,0,1,0,0,0,1,93
